Rank,Team,GM,W-L,AST,TO,Ratio
115,Lehigh (Patriot),32,17-15,477,416,1.15
116,East Carolina (AAC),32,12-20,486,424,1.15
117,Eastern Ill. (OVC),30,13-17,417,364,1.15
118,Miami (FL) (ACC),35,27-8,438,383,1.14
119,Jacksonville St. (OVC),31,8-23,377,331,1.14
120,Yale (Ivy League),30,23-7,452,397,1.14
121,ULM (Sun Belt),34,20-14,481,424,1.13
122,Green Bay (Horizon),36,23-13,500,441,1.13
123,Syracuse (ACC),37,23-14,498,440,1.13
124,The Citadel (SoCon),32,10-22,498,441,1.13
125,Dayton (Atlantic 10),33,25-8,481,427,1.13
126,Louisiana Tech (C-USA),33,23-10,463,412,1.12
127,Duquesne (Atlantic 10),34,17-17,531,473,1.12
128,Fairleigh Dickinson (NEC),33,18-15,472,423,1.12
129,Army West Point (Patriot),33,19-14,502,450,1.12
130,Fordham (Atlantic 10),31,17-14,488,438,1.11
131,Omaha (Summit League),32,18-14,460,413,1.11
132,Georgetown (Big East),33,15-18,492,442,1.11
133,Drexel (CAA),31,6-25,384,345,1.11
134,Oklahoma (Big 12),37,29-8,537,484,1.11
135,Ball St. (MAC),35,21-14,513,464,1.11
136,Texas (Big 12),33,20-13,377,341,1.11
137,Northern Ill. (MAC),34,21-13,475,430,1.10
138,FGCU (ASUN),35,21-14,483,438,1.10
139,Montana (Big Sky),33,21-12,451,409,1.10
140,Brown (Ivy League),28,8-20,414,376,1.10
141,Arizona (Pac-12),34,25-9,486,442,1.10
142,Marquette (Big East),33,20-13,533,485,1.10
143,Jacksonville (ASUN),32,16-16,402,366,1.10
144,Valparaiso (Horizon),37,30-7,526,479,1.10
145,Mississippi St. (SEC),31,14-17,431,393,1.10
146,Denver (Summit League),31,16-15,443,404,1.10
147,Portland (WCC),32,12-20,425,389,1.09
148,Santa Clara (WCC),31,11-20,382,350,1.09
149,Colgate (Patriot),30,13-17,398,365,1.09
150,Utah Valley (WAC),30,12-18,435,399,1.09
151,Western Ill. (Summit League),27,10-17,361,332,1.09
152,Middle Tenn. (C-USA),35,25-10,455,419,1.09
153,Texas Tech (Big 12),32,19-13,418,385,1.09
154,Texas Southern (SWAC),33,18-15,471,434,1.09
155,Massachusetts (Atlantic 10),32,14-18,443,409,1.08
156,UNC Greensboro (SoCon),34,15-19,440,407,1.08
157,Eastern Ky. (OVC),31,15-16,494,457,1.08
158,South Carolina St. (MEAC),34,19-15,432,400,1.08
159,USC Upstate (ASUN),32,10-22,484,449,1.08
160,Alabama A&M (SWAC),29,11-18,367,341,1.08
161,Wyoming (Mountain West),31,13-18,372,346,1.08
162,Maryland (Big Ten),36,27-9,492,458,1.07
163,UNLV (Mountain West),33,18-15,499,466,1.07
164,Minnesota (Big Ten),31,8-23,379,354,1.07
165,James Madison (CAA),32,21-11,406,380,1.07
166,Ole Miss (SEC),32,20-12,412,386,1.07
167,Lafayette (Patriot),30,6-24,416,391,1.06
168,Northwestern St. (Southland),28,8-20,433,407,1.06
169,Hartford (America East),33,10-23,408,385,1.06
170,Rhode Island (Atlantic 10),32,17-15,391,369,1.06
171,Arizona St. (Pac-12),32,15-17,405,384,1.05
172,San Jose St. (Mountain West),31,9-22,449,428,1.05
173,NC State (ACC),33,16-17,383,366,1.05
174,Montana St. (Big Sky),31,14-17,392,375,1.05
175,Navy (Patriot),33,19-14,448,430,1.04
176,Weber St. (Big Sky),35,26-9,481,462,1.04
177,Washington (Pac-12),34,19-15,489,470,1.04
178,New Mexico St. (WAC),34,23-11,480,462,1.04
179,Harvard (Ivy League),30,14-16,452,436,1.04
180,Wisconsin (Big Ten),35,22-13,400,386,1.04
181,California (Pac-12),34,23-11,434,419,1.04
182,Western Ky. (C-USA),34,18-16,463,450,1.03
183,Florida St. (ACC),34,20-14,453,441,1.03
184,Oral Roberts (Summit League),31,14-17,383,373,1.03
185,West Virginia (Big 12),35,26-9,510,498,1.02
186,LIU (NEC),31,16-15,432,422,1.02
187,Louisiana (Sun Belt),34,19-15,433,425,1.02
188,Penn (Ivy League),28,11-17,380,373,1.02
189,Colorado (Pac-12),34,22-12,462,454,1.02
190,Alabama St. (SWAC),31,14-17,376,371,1.01
191,New Hampshire (America East),33,20-13,389,385,1.01
192,Vermont (America East),37,23-14,495,490,1.01
193,North Dakota (Big Sky),33,17-16,439,435,1.01
194,CSUN (Big West),30,10-20,423,420,1.01
195,Gardner-Webb (Big South),33,17-16,442,439,1.01
196,Georgia St. (Sun Belt),30,16-14,352,350,1.01
197,A&M-Corpus Christi (Southland),33,25-8,421,419,1.00
198,Charleston So. (Big South),30,9-21,379,378,1.00
199,Rice (C-USA),32,12-20,420,419,1.00
200,Monmouth (MAAC),36,28-8,443,443,1.00
201,Jackson St. (SWAC),36,20-16,445,446,1.00
202,UT Martin (OVC),35,20-15,425,426,1.00
203,North Dakota St. (Summit League),33,20-13,347,348,1.00
204,Kansas St. (Big 12),33,17-16,458,460,1.00
205,South Carolina (SEC),34,25-9,461,464,0.99
206,Wagner (NEC),34,23-11,451,454,0.99
207,Air Force (Mountain West),32,14-18,420,423,0.99
208,Albany (NY) (America East),33,24-9,410,413,0.99
209,Illinois St. (MVC),32,18-14,402,405,0.99
210,UMBC (America East),32,7-25,395,398,0.99
211,Nebraska (Big Ten),34,16-18,397,401,0.99
212,Kent St. (MAC),32,19-13,375,379,0.99
213,Texas St. (Sun Belt),31,15-16,366,370,0.99
214,Bryant (NEC),31,8-23,415,420,0.99
215,Manhattan (MAAC),31,13-18,436,442,0.99
216,Stanford (Pac-12),30,15-15,350,355,0.99
217,Rider (MAAC),33,13-20,416,422,0.99
218,Radford (Big South),31,16-15,410,416,0.99
219,San Francisco (WCC),30,15-15,371,378,0.98
220,Boston U. (Patriot),34,19-15,458,468,0.98
221,Campbell (Big South),30,12-18,345,353,0.98
222,Saint Louis (Atlantic 10),32,11-21,426,436,0.98
223,Southern U. (SWAC),35,22-13,382,391,0.98
224,Coastal Carolina (Big South),33,21-12,396,406,0.98
225,La Salle (Atlantic 10),31,9-22,388,398,0.97
226,Norfolk St. (MEAC),34,17-17,411,423,0.97
227,Seton Hall (Big East),34,25-9,455,469,0.97
228,Lamar University (Southland),30,11-19,425,439,0.97
229,Oklahoma St. (Big 12),32,12-20,389,402,0.97
230,ETSU (SoCon),36,24-12,447,462,0.97
231,Detroit Mercy (Horizon),31,16-15,408,422,0.97
232,Nevada (Mountain West),38,24-14,478,495,0.97
233,Wake Forest (ACC),31,11-20,434,451,0.96
234,Marist (MAAC),30,7-23,350,364,0.96
235,Ga. Southern (Sun Belt),31,14-17,344,359,0.96
236,Fla. Atlantic (C-USA),33,8-25,385,402,0.96
237,Arkansas St. (Sun Belt),31,11-20,381,398,0.96
238,Northern Ariz. (Big Sky),30,5-25,372,389,0.96
239,Samford (SoCon),33,14-19,435,455,0.96
240,South Dakota St. (Summit League),34,26-8,381,399,0.95
241,Austin Peay (OVC),36,18-18,479,502,0.95
242,Missouri St. (MVC),32,13-19,390,409,0.95
243,Virginia Tech (ACC),35,20-15,426,447,0.95
244,Western Mich. (MAC),32,13-19,382,401,0.95
245,Washington St. (Pac-12),31,9-22,419,440,0.95
246,Boston College (ACC),32,7-25,410,431,0.95
247,UNC Asheville (Big South),34,22-12,422,444,0.95
248,Morgan St. (MEAC),31,9-22,349,368,0.95
249,Liberty (Big South),32,13-19,419,442,0.95
250,UC Riverside (Big West),33,14-19,410,433,0.95
251,Georgia (SEC),34,20-14,424,448,0.95
252,Houston Baptist (Southland),34,17-17,475,502,0.95
253,Pacific (WCC),28,8-20,362,383,0.95
254,FIU (C-USA),32,13-19,391,414,0.94
255,New Mexico (Mountain West),32,17-15,461,489,0.94
256,Missouri (SEC),31,10-21,363,386,0.94
257,Saint Francis (PA) (NEC),30,13-17,356,379,0.94
258,Winthrop (Big South),32,23-9,378,403,0.94
259,Southeastern La. (Southland),33,12-21,472,504,0.94
260,Kennesaw St. (ASUN),31,11-20,379,405,0.94
261,Idaho St. (Big Sky),31,16-15,380,409,0.93
262,Buffalo (MAC),35,20-15,441,475,0.93
263,Troy (Sun Belt),31,9-22,349,376,0.93
264,Col. of Charleston (CAA),31,17-14,364,393,0.93
265,Bowling Green (MAC),34,16-18,398,430,0.93
266,Towson (CAA),33,20-13,371,401,0.93
267,Dartmouth (Ivy League),28,10-18,368,401,0.92
268,N.C. Central (MEAC),32,13-19,406,444,0.91
269,Loyola Chicago (MVC),32,15-17,370,405,0.91
270,Saint Peter's (MAAC),30,14-16,357,392,0.91
271,Southern Miss. (C-USA),29,8-21,353,388,0.91
272,Central Ark. (Southland),28,7-21,370,407,0.91
273,New Orleans (Southland),30,10-20,408,452,0.90
274,Siena (MAAC),34,21-13,492,546,0.90
275,Mount St. Mary's (NEC),33,14-19,361,401,0.90
276,Furman (SoCon),35,19-16,424,472,0.90
277,Drake (MVC),31,7-24,378,421,0.90
278,Bethune-Cookman (MEAC),32,14-18,372,415,0.90
279,McNeese (Southland),29,9-20,331,370,0.89
280,Penn St. (Big Ten),32,16-16,322,361,0.89
281,Eastern Mich. (MAC),33,18-15,379,425,0.89
282,Southeast Mo. St. (OVC),29,5-24,358,402,0.89
283,Longwood (Big South),33,10-23,421,474,0.89
284,Southern Utah (Big Sky),29,5-24,338,381,0.89
285,Delaware (CAA),30,7-23,319,360,0.89
286,Maine (America East),30,8-22,433,491,0.88
287,Robert Morris (NEC),32,10-22,400,454,0.88
288,Western Caro. (SoCon),34,16-18,427,485,0.88
289,Ohio St. (Big Ten),35,21-14,397,451,0.88
290,Hampton (MEAC),32,21-11,381,440,0.87
291,San Diego St. (Mountain West),38,28-10,405,468,0.87
292,UCF (AAC),30,12-18,379,440,0.86
293,Loyola Maryland (Patriot),30,9-21,337,392,0.86
294,Coppin St. (MEAC),31,9-22,348,408,0.85
295,St. John's (NY) (Big East),32,8-24,418,491,0.85
296,Rutgers (Big Ten),32,7-25,377,443,0.85
297,Central Conn. St. (NEC),29,4-25,341,402,0.85
298,Idaho (Big Sky),34,21-13,428,506,0.85
299,Kansas City (WAC),31,12-19,350,415,0.84
300,Southern Ill. (MVC),32,22-10,369,438,0.84
301,UTSA (C-USA),32,5-27,366,435,0.84
302,St. Francis Brooklyn (NEC),32,15-17,370,442,0.84
303,Miami (OH) (MAC),33,13-20,336,402,0.84
304,IUPUI (Summit League),32,13-19,355,426,0.83
305,VMI (SoCon),30,9-21,330,397,0.83
306,Tulane (AAC),34,12-22,372,451,0.82
307,Delaware St. (MEAC),32,7-25,367,446,0.82
308,Auburn (SEC),31,11-20,352,428,0.82
309,Seattle U (WAC),32,15-17,415,505,0.82
310,Quinnipiac (MAAC),30,9-21,377,459,0.82
311,Sacred Heart (NEC),30,12-18,363,442,0.82
312,Indiana St. (MVC),32,15-17,347,423,0.82
313,Chicago St. (WAC),32,4-28,375,458,0.82
314,North Texas (C-USA),32,12-20,362,443,0.82
315,American (Patriot),31,12-19,348,428,0.81
316,Cornell (Ivy League),28,10-18,302,372,0.81
317,Nicholls (Southland),34,11-23,433,534,0.81
318,George Mason (Atlantic 10),32,11-21,328,407,0.81
319,SIUE (OVC),28,6-22,303,377,0.80
320,UC Davis (Big West),30,11-19,342,427,0.80
321,San Diego (WCC),30,9-21,328,410,0.80
322,TCU (Big 12),33,12-21,382,478,0.80
323,DePaul (Big East),31,9-22,366,458,0.80
324,Binghamton (America East),30,8-22,333,419,0.79
325,Presbyterian (Big South),31,11-20,350,441,0.79
326,Mississippi Val. (SWAC),35,8-27,373,470,0.79
327,Alabama (SEC),33,18-15,347,438,0.79
328,UMES (MEAC),32,10-22,403,512,0.79
329,App State (Sun Belt),31,9-22,358,462,0.77
330,Cal St. Fullerton (Big West),30,10-20,304,393,0.77
331,N.C. A&T (MEAC),32,10-22,339,439,0.77
332,Tennessee St. (OVC),31,20-11,328,426,0.77
333,UIC (Horizon),30,5-25,347,453,0.77
334,Northern Colo. (Big Sky),31,10-21,322,427,0.75
335,Niagara (MAAC),32,7-25,347,461,0.75
336,South Alabama (Sun Belt),33,14-19,350,483,0.72
337,Cleveland St. (Horizon),32,9-23,327,459,0.71
338,Savannah St. (MEAC),32,16-16,330,473,0.70
339,Florida A&M (MEAC),29,8-21,319,466,0.68
340,South Fla. (AAC),33,8-25,331,485,0.68
341,Grambling (SWAC),31,7-24,301,444,0.68
342,Alcorn (SWAC),30,15-15,272,429,0.63
343,Ark.-Pine Bluff (SWAC),33,8-25,317,516,0.61
344,Prairie View (SWAC),31,7-24,269,465,0.58
345,Howard (MEAC),32,12-20,275,477,0.58
346,Bradley (MVC),32,5-27,292,548,0.53
