Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
54,Oklahoma (Big 12),37,29-8,953,"2,315",41.2
55,Rider (MAAC),33,13-20,767,"1,862",41.2
56,FGCU (ASUN),35,21-14,877,"2,129",41.2
57,Wagner (NEC),34,23-11,737,"1,789",41.2
58,Saint Peter's (MAAC),30,14-16,693,"1,682",41.2
59,Syracuse (ACC),37,23-14,877,"2,128",41.2
60,Georgetown (Big East),33,15-18,758,"1,839",41.2
61,ULM (Sun Belt),34,20-14,827,"2,005",41.2
62,Navy (Patriot),33,19-14,707,"1,713",41.3
63,Tennessee St. (OVC),31,20-11,698,"1,691",41.3
64,Arizona (Pac-12),34,25-9,853,"2,066",41.3
65,South Fla. (AAC),33,8-25,817,"1,978",41.3
66,UC Davis (Big West),30,11-19,707,"1,710",41.3
67,Temple (AAC),33,21-12,809,"1,953",41.4
68,UNLV (Mountain West),33,18-15,831,"2,006",41.4
69,Xavier (Big East),34,28-6,834,"2,010",41.5
70,UCF (AAC),30,12-18,799,"1,925",41.5
71,Idaho (Big Sky),34,21-13,747,"1,799",41.5
72,Quinnipiac (MAAC),30,9-21,729,"1,755",41.5
73,BYU (WCC),37,26-11,943,"2,270",41.5
74,Indiana St. (MVC),32,15-17,745,"1,793",41.6
75,Weber St. (Big Sky),35,26-9,880,"2,116",41.6
76,Southern U. (SWAC),35,22-13,832,"2,000",41.6
77,Tulsa (AAC),32,20-12,757,"1,819",41.6
78,North Carolina (ACC),40,33-7,993,"2,385",41.6
79,Saint Joseph's (Atlantic 10),36,28-8,924,"2,218",41.7
80,Duquesne (Atlantic 10),34,17-17,892,"2,141",41.7
81,Siena (MAAC),34,21-13,851,"2,041",41.7
82,UAB (C-USA),33,26-7,841,"2,017",41.7
83,Southern California (Pac-12),34,21-13,924,"2,215",41.7
84,A&M-Corpus Christi (Southland),33,25-8,753,"1,805",41.7
85,South Dakota St. (Summit League),34,26-8,789,"1,888",41.8
86,Colorado (Pac-12),34,22-12,852,"2,038",41.8
87,Towson (CAA),33,20-13,746,"1,784",41.8
88,Clemson (ACC),31,17-14,723,"1,725",41.9
89,Utah (Pac-12),36,27-9,933,"2,226",41.9
90,Virginia (ACC),37,29-8,777,"1,849",42
91,Texas (Big 12),33,20-13,775,"1,844",42
92,New Mexico (Mountain West),32,17-15,807,"1,919",42.1
93,Eastern Mich. (MAC),33,18-15,823,"1,957",42.1
94,Iowa (Big Ten),33,22-11,850,"2,021",42.1
95,Houston (AAC),32,22-10,776,"1,845",42.1
96,UNCW (CAA),33,25-8,758,"1,802",42.1
97,Illinois St. (MVC),32,18-14,734,"1,744",42.1
98,Fresno St. (Mountain West),35,25-10,812,"1,929",42.1
99,William & Mary (CAA),31,20-11,798,"1,894",42.1
100,Wright St. (Horizon),35,22-13,745,"1,768",42.1
101,Albany (NY) (America East),33,24-9,801,"1,899",42.2
102,North Dakota St. (Summit League),33,20-13,772,"1,830",42.2
103,South Alabama (Sun Belt),33,14-19,834,"1,975",42.2
104,George Mason (Atlantic 10),32,11-21,827,"1,957",42.3
105,UNI (MVC),36,23-13,850,"2,011",42.3
106,St. Francis Brooklyn (NEC),32,15-17,765,"1,809",42.3
107,Norfolk St. (MEAC),34,17-17,824,"1,948",42.3
108,Oregon (Pac-12),38,31-7,931,"2,199",42.3
109,Iona (MAAC),33,22-11,844,"1,993",42.3
110,Penn St. (Big Ten),32,16-16,739,"1,744",42.4
111,UTEP (C-USA),33,19-14,853,"2,013",42.4
112,Missouri (SEC),31,10-21,759,"1,791",42.4
113,West Virginia (Big 12),35,26-9,726,"1,713",42.4
114,Winthrop (Big South),32,23-9,870,"2,050",42.4
115,Col. of Charleston (CAA),31,17-14,657,"1,548",42.4
116,Texas St. (Sun Belt),31,15-16,691,"1,627",42.5
117,Niagara (MAAC),32,7-25,788,"1,854",42.5
118,Pacific (WCC),28,8-20,650,"1,528",42.5
119,Howard (MEAC),32,12-20,844,"1,984",42.5
120,Vermont (America East),37,23-14,904,"2,125",42.5
121,Tennessee (SEC),34,15-19,886,"2,081",42.6
122,Wisconsin (Big Ten),35,22-13,794,"1,862",42.6
123,Rhode Island (Atlantic 10),32,17-15,713,"1,672",42.6
124,New Hampshire (America East),33,20-13,811,"1,900",42.7
125,Massachusetts (Atlantic 10),32,14-18,823,"1,928",42.7
126,Bucknell (Patriot),31,17-14,779,"1,824",42.7
127,UC Riverside (Big West),33,14-19,796,"1,863",42.7
128,UNC Asheville (Big South),34,22-12,835,"1,954",42.7
129,Marquette (Big East),33,20-13,886,"2,073",42.7
130,Hampton (MEAC),32,21-11,826,"1,932",42.8
131,UIC (Horizon),30,5-25,803,"1,878",42.8
132,George Washington (Atlantic 10),38,28-10,953,"2,228",42.8
133,Louisiana Tech (C-USA),33,23-10,863,"2,017",42.8
134,Ole Miss (SEC),32,20-12,779,"1,819",42.8
135,Texas Tech (Big 12),32,19-13,783,"1,828",42.8
136,Oregon St. (Pac-12),32,19-13,766,"1,788",42.8
137,Cal St. Fullerton (Big West),30,10-20,752,"1,755",42.8
138,Montana (Big Sky),33,21-12,743,"1,732",42.9
139,Sacramento St. (Big Sky),31,14-17,789,"1,839",42.9
140,Western Ill. (Summit League),27,10-17,647,"1,508",42.9
141,UCLA (Pac-12),32,15-17,860,"2,002",43
142,Grambling (SWAC),31,7-24,727,"1,692",43
143,Air Force (Mountain West),32,14-18,784,"1,823",43
144,Washington (Pac-12),34,19-15,936,"2,175",43
145,Mississippi St. (SEC),31,14-17,791,"1,837",43.1
146,San Jose St. (Mountain West),31,9-22,761,"1,767",43.1
147,UT Martin (OVC),35,20-15,883,"2,050",43.1
148,Miami (FL) (ACC),35,27-8,865,"2,008",43.1
149,N.C. Central (MEAC),32,13-19,770,"1,787",43.1
150,Kansas City (WAC),31,12-19,734,"1,703",43.1
151,Bowling Green (MAC),34,16-18,853,"1,979",43.1
152,Virginia Tech (ACC),35,20-15,906,"2,100",43.1
153,Creighton (Big East),35,20-15,901,"2,088",43.2
154,Bethune-Cookman (MEAC),32,14-18,830,"1,923",43.2
155,Notre Dame (ACC),36,24-12,930,"2,154",43.2
156,Buffalo (MAC),35,20-15,906,"2,098",43.2
157,Pittsburgh (ACC),33,21-12,798,"1,844",43.3
158,Western Caro. (SoCon),34,16-18,824,"1,903",43.3
159,Loyola Chicago (MVC),32,15-17,726,"1,676",43.3
160,Middle Tenn. (C-USA),35,25-10,824,"1,902",43.3
161,Saint Louis (Atlantic 10),32,11-21,780,"1,800",43.3
161,Tulane (AAC),34,12-22,845,"1,950",43.3
163,Kansas St. (Big 12),33,17-16,776,"1,789",43.4
164,Ohio (MAC),35,23-12,919,"2,118",43.4
165,Robert Morris (NEC),32,10-22,800,"1,843",43.4
166,Miami (OH) (MAC),33,13-20,748,"1,723",43.4
167,ETSU (SoCon),36,24-12,915,"2,107",43.4
168,Delaware St. (MEAC),32,7-25,791,"1,821",43.4
169,Oakland (Horizon),35,23-12,982,"2,260",43.5
170,Louisiana (Sun Belt),34,19-15,876,"2,016",43.5
171,Wyoming (Mountain West),31,13-18,764,"1,758",43.5
172,Binghamton (America East),30,8-22,728,"1,675",43.5
173,Houston Baptist (Southland),34,17-17,908,"2,089",43.5
174,Toledo (MAC),32,17-15,815,"1,874",43.5
175,Furman (SoCon),35,19-16,815,"1,873",43.5
176,Delaware (CAA),30,7-23,784,"1,801",43.5
177,Boston U. (Patriot),34,19-15,875,"2,010",43.5
178,Fairfield (MAAC),33,19-14,902,"2,072",43.5
179,Butler (Big East),33,22-11,818,"1,879",43.5
180,Arkansas (SEC),32,16-16,803,"1,844",43.5
181,Lehigh (Patriot),32,17-15,795,"1,825",43.6
182,Pepperdine (WCC),32,18-14,834,"1,914",43.6
183,Savannah St. (MEAC),32,16-16,736,"1,689",43.6
184,St. Bonaventure (Atlantic 10),31,22-9,788,"1,808",43.6
185,Princeton (Ivy League),29,22-7,737,"1,690",43.6
186,Southern Miss. (C-USA),29,8-21,687,"1,575",43.6
187,Hofstra (CAA),34,24-10,952,"2,182",43.6
188,Ga. Southern (Sun Belt),31,14-17,770,"1,763",43.7
189,Morehead St. (OVC),37,23-14,810,"1,851",43.8
190,SFA (Southland),34,28-6,764,"1,745",43.8
191,NC State (ACC),33,16-17,883,"2,016",43.8
192,North Dakota (Big Sky),33,17-16,838,"1,913",43.8
193,NJIT (ASUN),35,20-15,902,"2,059",43.8
194,Iowa St. (Big 12),35,23-12,986,"2,250",43.8
195,Texas Southern (SWAC),33,18-15,873,"1,992",43.8
196,Nebraska (Big Ten),34,16-18,799,"1,823",43.8
197,UNC Greensboro (SoCon),34,15-19,837,"1,909",43.8
198,Brown (Ivy League),28,8-20,757,"1,726",43.9
199,Ark.-Pine Bluff (SWAC),33,8-25,747,"1,701",43.9
200,Bradley (MVC),32,5-27,737,"1,678",43.9
201,Columbia (Ivy League),35,25-10,842,"1,917",43.9
202,Providence (Big East),35,24-11,909,"2,067",44
203,San Francisco (WCC),30,15-15,811,"1,843",44
204,Santa Clara (WCC),31,11-20,781,"1,774",44
205,Chattanooga (SoCon),35,29-6,866,"1,967",44
206,Wake Forest (ACC),31,11-20,847,"1,923",44
207,CSUN (Big West),30,10-20,799,"1,814",44
208,Sam Houston (Southland),34,18-16,796,"1,807",44.1
209,VCU (Atlantic 10),36,25-11,872,"1,979",44.1
210,Western Mich. (MAC),32,13-19,804,"1,823",44.1
211,Florida A&M (MEAC),29,8-21,746,"1,691",44.1
212,Belmont (OVC),32,20-12,873,"1,978",44.1
213,Long Beach St. (Big West),35,20-15,890,"2,016",44.1
214,Troy (Sun Belt),31,9-22,821,"1,859",44.2
215,Georgia Tech (ACC),36,21-15,931,"2,108",44.2
216,Utah St. (Mountain West),31,16-15,795,"1,800",44.2
217,Florida St. (ACC),34,20-14,875,"1,981",44.2
218,DePaul (Big East),31,9-22,756,"1,711",44.2
219,Washington St. (Pac-12),31,9-22,836,"1,892",44.2
220,Stanford (Pac-12),30,15-15,728,"1,647",44.2
221,Penn (Ivy League),28,11-17,732,"1,655",44.2
222,Tennessee Tech (OVC),31,19-12,836,"1,890",44.2
223,South Carolina St. (MEAC),34,19-15,851,"1,922",44.3
224,Kent St. (MAC),32,19-13,810,"1,829",44.3
225,Auburn (SEC),31,11-20,832,"1,877",44.3
226,Samford (SoCon),33,14-19,820,"1,848",44.4
227,Cornell (Ivy League),28,10-18,765,"1,723",44.4
228,Cleveland St. (Horizon),32,9-23,738,"1,662",44.4
229,Central Mich. (MAC),33,17-16,861,"1,938",44.4
230,Indiana (Big Ten),35,27-8,905,"2,037",44.4
231,Missouri St. (MVC),32,13-19,818,"1,841",44.4
232,N.C. A&T (MEAC),32,10-22,796,"1,791",44.4
233,Army West Point (Patriot),33,19-14,918,"2,065",44.5
234,Duke (ACC),36,25-11,998,"2,244",44.5
235,Boise St. (Mountain West),32,20-12,785,"1,765",44.5
236,Eastern Ill. (OVC),30,13-17,766,"1,722",44.5
237,San Diego (WCC),30,9-21,714,"1,605",44.5
238,Gardner-Webb (Big South),33,17-16,840,"1,887",44.5
239,Lamar University (Southland),30,11-19,773,"1,734",44.6
240,Presbyterian (Big South),31,11-20,781,"1,751",44.6
241,Longwood (Big South),33,10-23,853,"1,911",44.6
242,Jacksonville (ASUN),32,16-16,862,"1,931",44.6
243,Elon (CAA),32,16-16,884,"1,980",44.6
244,TCU (Big 12),33,12-21,806,"1,805",44.7
245,Baylor (Big 12),34,22-12,823,"1,843",44.7
246,Alcorn (SWAC),30,15-15,748,"1,674",44.7
247,East Carolina (AAC),32,12-20,854,"1,911",44.7
248,Bryant (NEC),31,8-23,841,"1,880",44.7
249,Utah Valley (WAC),30,12-18,851,"1,902",44.7
250,Southeastern La. (Southland),33,12-21,847,"1,893",44.7
251,Idaho St. (Big Sky),31,16-15,832,"1,859",44.8
252,Nicholls (Southland),34,11-23,909,"2,031",44.8
253,Michigan (Big Ten),36,23-13,894,"1,995",44.8
254,VMI (SoCon),30,9-21,769,"1,716",44.8
255,Saint Francis (PA) (NEC),30,13-17,796,"1,776",44.8
256,Lipscomb (ASUN),33,12-21,922,"2,057",44.8
257,Milwaukee (Horizon),33,20-13,882,"1,966",44.9
258,Fordham (Atlantic 10),31,17-14,728,"1,622",44.9
259,Radford (Big South),31,16-15,818,"1,822",44.9
260,Green Bay (Horizon),36,23-13,"1,013","2,255",44.9
261,Sacred Heart (NEC),30,12-18,811,"1,805",44.9
262,St. John's (NY) (Big East),32,8-24,835,"1,855",45
263,Richmond (Atlantic 10),32,16-16,837,"1,858",45
264,Dartmouth (Ivy League),28,10-18,679,"1,507",45.1
265,Minnesota (Big Ten),31,8-23,807,"1,791",45.1
266,Colorado St. (Mountain West),34,18-16,918,"2,037",45.1
267,LIU (NEC),31,16-15,837,"1,856",45.1
268,Oral Roberts (Summit League),31,14-17,861,"1,909",45.1
269,Portland (WCC),32,12-20,871,"1,928",45.2
270,Drake (MVC),31,7-24,816,"1,805",45.2
271,Mississippi Val. (SWAC),35,8-27,973,"2,152",45.2
272,LSU (SEC),33,19-14,915,"2,021",45.3
273,Southern Ill. (MVC),32,22-10,764,"1,687",45.3
274,Rutgers (Big Ten),32,7-25,940,"2,074",45.3
275,Mount St. Mary's (NEC),33,14-19,801,"1,766",45.4
276,Chicago St. (WAC),32,4-28,826,"1,821",45.4
277,Western Ky. (C-USA),34,18-16,949,"2,092",45.4
278,High Point (Big South),32,21-11,811,"1,787",45.4
279,UTRGV (WAC),30,8-22,861,"1,897",45.4
280,Denver (Summit League),31,16-15,672,"1,479",45.4
281,South Dakota (Summit League),32,14-18,852,"1,874",45.5
282,New Orleans (Southland),30,10-20,785,"1,726",45.5
283,Alabama A&M (SWAC),29,11-18,726,"1,596",45.5
284,Murray St. (OVC),31,17-14,719,"1,580",45.5
285,Morgan St. (MEAC),31,9-22,800,"1,756",45.6
286,Liberty (Big South),32,13-19,747,"1,637",45.6
287,Northeastern (CAA),33,18-15,883,"1,935",45.6
288,Fairleigh Dickinson (NEC),33,18-15,868,"1,901",45.7
289,Prairie View (SWAC),31,7-24,748,"1,637",45.7
290,Fla. Atlantic (C-USA),33,8-25,882,"1,927",45.8
291,Arizona St. (Pac-12),32,15-17,830,"1,812",45.8
292,Campbell (Big South),30,12-18,783,"1,708",45.8
292,Charleston So. (Big South),30,9-21,783,"1,708",45.8
294,La Salle (Atlantic 10),31,9-22,802,"1,749",45.9
295,Holy Cross (Patriot),35,15-20,859,"1,872",45.9
296,Davidson (Atlantic 10),33,20-13,945,"2,059",45.9
297,Colgate (Patriot),30,13-17,734,"1,599",45.9
298,IUPUI (Summit League),32,13-19,843,"1,836",45.9
299,Loyola Maryland (Patriot),30,9-21,784,"1,707",45.9
300,Boston College (ACC),32,7-25,796,"1,732",46
301,LMU (CA) (WCC),31,14-17,775,"1,686",46
302,USC Upstate (ASUN),32,10-22,889,"1,934",46
303,North Texas (C-USA),32,12-20,864,"1,879",46
304,Purdue Fort Wayne (Summit League),34,24-10,941,"2,046",46
305,McNeese (Southland),29,9-20,822,"1,785",46.1
306,Austin Peay (OVC),36,18-18,994,"2,158",46.1
307,Drexel (CAA),31,6-25,737,"1,600",46.1
308,Omaha (Summit League),32,18-14,909,"1,973",46.1
309,Cal Poly (Big West),30,10-20,792,"1,719",46.1
310,SIUE (OVC),28,6-22,708,"1,536",46.1
311,UMES (MEAC),32,10-22,790,"1,713",46.1
312,Eastern Ky. (OVC),31,15-16,837,"1,814",46.1
313,Detroit Mercy (Horizon),31,16-15,862,"1,867",46.2
314,Illinois (Big Ten),34,15-19,930,"2,013",46.2
315,App State (Sun Belt),31,9-22,856,"1,852",46.2
316,Alabama St. (SWAC),31,14-17,808,"1,746",46.3
317,Lafayette (Patriot),30,6-24,853,"1,839",46.4
318,North Florida (ASUN),34,22-12,"1,049","2,261",46.4
319,Jacksonville St. (OVC),31,8-23,783,"1,685",46.5
320,Portland St. (Big Sky),31,13-18,875,"1,878",46.6
321,Marshall (C-USA),33,17-16,"1,009","2,160",46.7
322,Kennesaw St. (ASUN),31,11-20,857,"1,834",46.7
323,Manhattan (MAAC),31,13-18,769,"1,643",46.8
324,American (Patriot),31,12-19,735,"1,568",46.9
325,Marist (MAAC),30,7-23,833,"1,776",46.9
326,Central Ark. (Southland),28,7-21,811,"1,728",46.9
327,Youngstown St. (Horizon),32,11-21,984,"2,094",47
328,Coppin St. (MEAC),31,9-22,881,"1,872",47.1
329,Hartford (America East),33,10-23,918,"1,946",47.2
330,Stetson (ASUN),34,12-22,"1,052","2,227",47.2
331,Northern Colo. (Big Sky),31,10-21,811,"1,714",47.3
332,Montana St. (Big Sky),31,14-17,820,"1,732",47.3
333,Central Conn. St. (NEC),29,4-25,843,"1,775",47.5
334,Southeast Mo. St. (OVC),29,5-24,824,"1,733",47.5
335,Canisius (MAAC),33,14-19,892,"1,873",47.6
336,Northern Ariz. (Big Sky),30,5-25,864,"1,810",47.7
337,Rice (C-USA),32,12-20,915,"1,901",48.1
338,Charlotte (C-USA),33,14-19,961,"1,994",48.2
339,Northwestern St. (Southland),28,8-20,870,"1,798",48.4
340,Eastern Wash. (Big Sky),34,18-16,953,"1,966",48.5
341,Wofford (SoCon),32,15-17,826,"1,699",48.6
342,UMBC (America East),32,7-25,904,"1,821",49.6
343,Maine (America East),30,8-22,934,"1,880",49.7
344,Southern Utah (Big Sky),29,5-24,825,"1,635",50.5
345,UTSA (C-USA),32,5-27,927,"1,826",50.8
346,The Citadel (SoCon),32,10-22,"1,052","2,054",51.2
