Rank,Team,W,L,Pct
162,Furman (SoCon),19,16,54.3
163,Georgia St. (Sun Belt),16,14,53.3
164,Toledo (MAC),17,15,53.1
164,Rhode Island (Atlantic 10),17,15,53.1
164,Lehigh (Patriot),17,15,53.1
164,New Mexico (Mountain West),17,15,53.1
168,Colorado St. (Mountain West),18,16,52.9
168,Western Ky. (C-USA),18,16,52.9
168,Sam Houston (Southland),18,16,52.9
168,Eastern Wash. (Big Sky),18,16,52.9
172,LIU (NEC),16,15,51.6
172,Utah St. (Mountain West),16,15,51.6
172,Radford (Big South),16,15,51.6
172,Idaho St. (Big Sky),16,15,51.6
172,Detroit Mercy (Horizon),16,15,51.6
172,Denver (Summit League),16,15,51.6
178,Kansas St. (Big 12),17,16,51.5
178,North Dakota (Big Sky),17,16,51.5
178,Marshall (C-USA),17,16,51.5
178,Gardner-Webb (Big South),17,16,51.5
178,Central Mich. (MAC),17,16,51.5
183,Austin Peay (OVC),18,18,50
183,Norfolk St. (MEAC),17,17,50
183,Houston Baptist (Southland),17,17,50
183,Duquesne (Atlantic 10),17,17,50
183,Richmond (Atlantic 10),16,16,50
183,Savannah St. (MEAC),16,16,50
183,Arkansas (SEC),16,16,50
183,Jacksonville (ASUN),16,16,50
183,Elon (CAA),16,16,50
183,Penn St. (Big Ten),16,16,50
183,Alcorn (SWAC),15,15,50
183,San Francisco (WCC),15,15,50
183,Stanford (Pac-12),15,15,50
196,NC State (ACC),16,17,48.5
197,Texas St. (Sun Belt),15,16,48.4
197,Eastern Ky. (OVC),15,16,48.4
199,Bowling Green (MAC),16,18,47.1
199,Western Caro. (SoCon),16,18,47.1
199,Nebraska (Big Ten),16,18,47.1
202,Arizona St. (Pac-12),15,17,46.9
202,UCLA (Pac-12),15,17,46.9
202,Loyola Chicago (MVC),15,17,46.9
202,Seattle U (WAC),15,17,46.9
202,Indiana St. (MVC),15,17,46.9
202,Wofford (SoCon),15,17,46.9
202,St. Francis Brooklyn (NEC),15,17,46.9
209,Saint Peter's (MAAC),14,16,46.7
209,Harvard (Ivy League),14,16,46.7
211,Georgetown (Big East),15,18,45.5
212,Sacramento St. (Big Sky),14,17,45.2
212,Oral Roberts (Summit League),14,17,45.2
212,LMU (CA) (WCC),14,17,45.2
212,Mississippi St. (SEC),14,17,45.2
212,Montana St. (Big Sky),14,17,45.2
212,Alabama St. (SWAC),14,17,45.2
212,Ga. Southern (Sun Belt),14,17,45.2
219,Illinois (Big Ten),15,19,44.1
219,Tennessee (SEC),15,19,44.1
219,UNC Greensboro (SoCon),15,19,44.1
222,Bethune-Cookman (MEAC),14,18,43.8
222,Massachusetts (Atlantic 10),14,18,43.8
222,South Dakota (Summit League),14,18,43.8
222,Air Force (Mountain West),14,18,43.8
226,Saint Francis (PA) (NEC),13,17,43.3
226,Eastern Ill. (OVC),13,17,43.3
226,Colgate (Patriot),13,17,43.3
229,Holy Cross (Patriot),15,20,42.9
230,Canisius (MAAC),14,19,42.4
230,South Alabama (Sun Belt),14,19,42.4
230,Charlotte (C-USA),14,19,42.4
230,Samford (SoCon),14,19,42.4
230,UC Riverside (Big West),14,19,42.4
230,Mount St. Mary's (NEC),14,19,42.4
236,Manhattan (MAAC),13,18,41.9
236,Portland St. (Big Sky),13,18,41.9
236,Wyoming (Mountain West),13,18,41.9
239,N.C. Central (MEAC),13,19,40.6
239,IUPUI (Summit League),13,19,40.6
239,Western Mich. (MAC),13,19,40.6
239,Missouri St. (MVC),13,19,40.6
239,FIU (C-USA),13,19,40.6
239,Liberty (Big South),13,19,40.6
245,Sacred Heart (NEC),12,18,40
245,Utah Valley (WAC),12,18,40
245,UCF (AAC),12,18,40
245,Campbell (Big South),12,18,40
249,Miami (OH) (MAC),13,20,39.4
249,Rider (MAAC),13,20,39.4
251,Penn (Ivy League),11,17,39.3
252,Kansas City (WAC),12,19,38.7
252,American (Patriot),12,19,38.7
254,Alabama A&M (SWAC),11,18,37.9
255,Howard (MEAC),12,20,37.5
255,East Carolina (AAC),12,20,37.5
255,North Texas (C-USA),12,20,37.5
255,Oklahoma St. (Big 12),12,20,37.5
255,Portland (WCC),12,20,37.5
255,Rice (C-USA),12,20,37.5
261,Western Ill. (Summit League),10,17,37
262,Lamar University (Southland),11,19,36.7
262,UC Davis (Big West),11,19,36.7
264,TCU (Big 12),12,21,36.4
264,Lipscomb (ASUN),12,21,36.4
264,Southeastern La. (Southland),12,21,36.4
267,Cornell (Ivy League),10,18,35.7
267,Dartmouth (Ivy League),10,18,35.7
269,Presbyterian (Big South),11,20,35.5
269,Auburn (SEC),11,20,35.5
269,Arkansas St. (Sun Belt),11,20,35.5
269,Santa Clara (WCC),11,20,35.5
269,Kennesaw St. (ASUN),11,20,35.5
269,Wake Forest (ACC),11,20,35.5
275,Tulane (AAC),12,22,35.3
275,Stetson (ASUN),12,22,35.3
277,George Mason (Atlantic 10),11,21,34.4
277,Youngstown St. (Horizon),11,21,34.4
277,Saint Louis (Atlantic 10),11,21,34.4
280,Cal Poly (Big West),10,20,33.3
280,New Orleans (Southland),10,20,33.3
280,CSUN (Big West),10,20,33.3
280,Cal St. Fullerton (Big West),10,20,33.3
284,Nicholls (Southland),11,23,32.4
285,Northern Colo. (Big Sky),10,21,32.3
285,Missouri (SEC),10,21,32.3
287,The Citadel (SoCon),10,22,31.3
287,UMES (MEAC),10,22,31.3
287,USC Upstate (ASUN),10,22,31.3
287,N.C. A&T (MEAC),10,22,31.3
287,Robert Morris (NEC),10,22,31.3
292,McNeese (Southland),9,20,31
293,Longwood (Big South),10,23,30.3
293,Hartford (America East),10,23,30.3
295,Quinnipiac (MAAC),9,21,30
295,San Diego (WCC),9,21,30
295,VMI (SoCon),9,21,30
295,Charleston So. (Big South),9,21,30
295,Loyola Maryland (Patriot),9,21,30
300,App State (Sun Belt),9,22,29
300,Coppin St. (MEAC),9,22,29
300,DePaul (Big East),9,22,29
300,Washington St. (Pac-12),9,22,29
300,Morgan St. (MEAC),9,22,29
300,San Jose St. (Mountain West),9,22,29
300,Troy (Sun Belt),9,22,29
300,La Salle (Atlantic 10),9,22,29
308,Brown (Ivy League),8,20,28.6
308,Pacific (WCC),8,20,28.6
308,Northwestern St. (Southland),8,20,28.6
311,Cleveland St. (Horizon),9,23,28.1
312,Southern Miss. (C-USA),8,21,27.6
312,Florida A&M (MEAC),8,21,27.6
314,Binghamton (America East),8,22,26.7
314,UTRGV (WAC),8,22,26.7
314,Maine (America East),8,22,26.7
317,Bryant (NEC),8,23,25.8
317,Jacksonville St. (OVC),8,23,25.8
317,Minnesota (Big Ten),8,23,25.8
320,St. John's (NY) (Big East),8,24,25
320,Central Ark. (Southland),7,21,25
322,Fla. Atlantic (C-USA),8,25,24.2
322,Ark.-Pine Bluff (SWAC),8,25,24.2
322,South Fla. (AAC),8,25,24.2
325,Marist (MAAC),7,23,23.3
325,Delaware (CAA),7,23,23.3
327,Mississippi Val. (SWAC),8,27,22.9
328,Prairie View (SWAC),7,24,22.6
328,Drake (MVC),7,24,22.6
328,Grambling (SWAC),7,24,22.6
331,Boston College (ACC),7,25,21.9
331,Delaware St. (MEAC),7,25,21.9
331,UMBC (America East),7,25,21.9
331,Niagara (MAAC),7,25,21.9
331,Rutgers (Big Ten),7,25,21.9
336,SIUE (OVC),6,22,21.4
337,Lafayette (Patriot),6,24,20
338,Drexel (CAA),6,25,19.4
339,Southern Utah (Big Sky),5,24,17.2
339,Southeast Mo. St. (OVC),5,24,17.2
341,Northern Ariz. (Big Sky),5,25,16.7
341,UIC (Horizon),5,25,16.7
343,UTSA (C-USA),5,27,15.6
343,Bradley (MVC),5,27,15.6
345,Central Conn. St. (NEC),4,25,13.8
346,Chicago St. (WAC),4,28,12.5
