Year,Team,Power 5 School,Placement,Seed,Berth type,Overall rank,Win Pct,SCR MAR,REB MAR,FG%,FT%,3FG%,OPP FG%,OPP 3FG%,AST/TO Ratio
2022,Navy (Patriot),False,DNP,DNP,DNP,DNP,65.6,4.8,5.9,43.0,65.5,32.6,40.6,32.8,0.95
2022,Samford (SoCon),False,DNP,DNP,DNP,DNP,65.6,0.8,1.4,44.5,73.0,33.6,44.1,34.3,0.93
2022,Seton Hall (Big East),False,64.0,8.0,At-Large,32.0,65.6,5.5,2.7,42.0,75.3,33.8,40.2,31.0,0.85
2022,Richmond (Atlantic 10),False,32.0,12.0,Auto,49.0,64.9,2.6,-3.4,44.2,71.8,32.9,44.3,34.3,1.48
2022,FGCU (ASUN),False,DNP,DNP,DNP,DNP,64.7,4.0,3.8,45.4,67.6,35.0,43.7,33.3,1.17
2022,Furman (SoCon),False,DNP,DNP,DNP,DNP,64.7,8.9,-0.3,46.4,75.7,38.0,45.2,33.2,1.66
2022,LSU (SEC),True,64.0,6.0,At-Large,22.0,64.7,9.1,2.2,43.8,73.1,31.6,38.6,28.2,0.86
2022,Saint Peter's (MAAC),False,8.0,15.0,Auto,60.0,64.7,4.5,2.1,42.7,70.1,35.0,38.6,29.1,0.92
2022,Texas (Big 12),True,32.0,6.0,At-Large,23.0,64.7,8.1,1.1,44.1,74.6,33.0,41.7,31.9,1.15
2022,Cleveland St. (Horizon),False,DNP,DNP,DNP,DNP,64.5,5.4,2.6,47.8,67.1,32.7,42.1,31.9,1.22
2022,Fresno St. (Mountain West),False,DNP,DNP,DNP,DNP,63.9,6.8,3.7,44.6,71.1,33.7,40.9,32.4,1.07
2022,Michigan St. (Big Ten),True,32.0,7.0,At-Large,27.0,63.9,3.2,4.2,45.6,75.0,37.8,42.1,31.6,1.23
2022,Virginia Tech (ACC),True,64.0,11.0,Auto,46.0,63.9,8.0,1.7,47.1,75.1,39.2,43.0,32.3,1.32
2022,Xavier (Big East),False,DNP,DNP,DNP,DNP,63.9,4.9,2.7,45.1,69.8,32.2,42.4,32.2,1.27
2022,Colorado (Pac-12),True,DNP,DNP,DNP,DNP,63.6,3.7,5.0,44.2,75.6,36.6,42.0,33.1,0.99
2022,Nicholls (Southland),False,DNP,DNP,DNP,DNP,63.6,7.2,1.5,46.9,62.5,32.7,41.6,33.5,1.11
2022,Purdue Fort Wayne (Horizon),False,DNP,DNP,DNP,DNP,63.6,3.8,-2.5,45.8,74.8,37.1,45.6,35.2,1.04
2022,Santa Clara (WCC),False,DNP,DNP,DNP,DNP,63.6,5.4,0.6,48.4,76.2,37.8,42.8,34.8,1.31
2022,South Alabama (Sun Belt),False,DNP,DNP,DNP,DNP,63.6,7.6,-0.2,46.0,69.2,33.7,40.4,31.7,0.94
2022,Weber St. (Big Sky),False,DNP,DNP,DNP,DNP,63.6,5.9,-1.3,47.5,74.9,33.9,44.0,36.8,0.91
2022,Buffalo (MAC),False,DNP,DNP,DNP,DNP,63.3,7.7,7.7,45.5,70.9,34.2,42.3,31.6,1.14
2022,Boston U. (Patriot),False,DNP,DNP,DNP,DNP,62.9,2.9,4.4,45.4,73.9,35.4,45.0,33.6,0.91
2022,Delaware (CAA),False,64.0,15.0,Auto,59.0,62.9,3.2,-1.0,46.9,74.4,34.7,43.0,35.3,1.0
2022,Iowa St. (Big 12),True,16.0,11.0,At-Large,41.0,62.9,3.1,-0.9,43.1,68.3,31.5,42.5,28.9,1.06
2022,Northern Ky. (Horizon),False,DNP,DNP,DNP,DNP,62.5,4.8,2.7,42.9,71.4,34.5,42.7,32.1,1.05
2022,Oakland (Horizon),False,DNP,DNP,DNP,DNP,62.5,5.8,-0.9,43.9,79.4,30.2,43.1,30.5,1.1
2022,Ohio St. (Big Ten),True,32.0,7.0,At-Large,28.0,62.5,5.1,2.6,47.1,75.7,36.5,41.5,33.8,1.12
2022,Troy (Sun Belt),False,DNP,DNP,DNP,DNP,62.5,3.6,3.6,42.5,72.7,32.7,41.4,32.9,0.9
2022,UNI (MVC),False,DNP,DNP,DNP,DNP,62.5,3.4,0.1,45.9,78.9,35.5,45.0,35.2,1.06
2022,Utah Valley (WAC),False,DNP,DNP,DNP,DNP,62.5,6.1,8.4,45.4,71.4,37.1,39.4,28.4,0.96
2022,Arkansas St. (Sun Belt),False,DNP,DNP,DNP,DNP,62.1,2.8,2.1,45.1,74.5,31.1,42.8,32.9,1.12
2022,Georgia St. (Sun Belt),False,64.0,16.0,Auto,63.0,62.1,4.9,1.0,40.0,72.0,33.0,41.7,36.7,1.15
2022,Monmouth (MAAC),False,DNP,DNP,DNP,DNP,61.8,1.3,1.4,41.8,72.8,33.1,40.7,32.3,1.0
2022,TCU (Big 12),True,32.0,9.0,At-Large,34.0,61.8,3.6,8.5,43.9,67.4,30.2,42.0,30.9,0.94
2022,Kansas City (Summit League),False,DNP,DNP,DNP,DNP,61.3,7.3,-1.9,47.8,67.6,36.4,44.1,31.8,1.26
2022,Oral Roberts (Summit League),False,DNP,DNP,DNP,DNP,61.3,8.9,4.4,45.6,73.0,37.9,43.7,33.2,1.18
2022,South Dakota (Summit League),False,DNP,DNP,DNP,DNP,61.3,4.2,3.8,46.6,75.0,37.4,45.3,36.2,1.2
2022,Yale (Ivy League),False,64.0,14.0,Auto,56.0,61.3,2.7,0.4,44.2,73.5,32.8,42.3,30.5,0.93
2022,Wright St. (Horizon),False,64.0,16.0,Auto,65.0,61.1,4.0,1.2,46.1,76.8,33.3,45.2,33.2,1.15
2022,Hawaii (Big West),False,DNP,DNP,DNP,DNP,60.7,4.7,4.5,44.1,74.4,35.8,41.8,31.1,0.95
2022,UC Santa Barbara (Big West),False,DNP,DNP,DNP,DNP,60.7,8.0,4.1,49.4,70.8,33.2,42.0,31.9,1.18
2022,Long Beach St. (Big West),False,DNP,DNP,DNP,DNP,60.6,0.8,0.6,43.7,72.9,34.6,44.5,34.5,0.94
2022,Indiana (Big Ten),True,64.0,12.0,At-Large,45.0,60.0,4.6,2.5,45.4,70.0,33.3,39.6,33.0,1.23
2022,Virginia (ACC),True,DNP,DNP,DNP,DNP,60.0,2.3,-0.1,44.9,73.0,32.3,42.5,33.6,1.45
2022,UCF (AAC),False,DNP,DNP,DNP,DNP,60.0,1.7,-0.4,42.3,70.3,35.0,42.3,31.2,1.11
2022,UC Irvine (Big West),False,DNP,DNP,DNP,DNP,60.0,6.0,4.1,44.2,76.5,32.5,39.0,26.2,0.81
2022,Washington St. (Pac-12),True,DNP,DNP,DNP,DNP,59.5,6.6,1.9,40.6,74.4,33.5,41.5,30.6,1.0
2022,Marquette (Big East),False,64.0,9.0,At-Large,35.0,59.4,2.4,-4.7,45.0,74.1,34.4,41.2,32.0,1.29
2022,Texas Southern (SWAC),False,64.0,16.0,Auto,67.0,59.4,2.9,4.8,43.3,67.9,31.4,39.9,30.4,0.72
2022,Western Ky. (C-USA),False,DNP,DNP,DNP,DNP,59.4,6.2,-1.7,46.7,71.4,35.4,41.7,34.1,1.15
2022,Wofford (SoCon),False,DNP,DNP,DNP,DNP,59.4,6.3,3.5,46.5,75.8,35.6,44.9,35.9,1.14
2022,Florida (SEC),True,DNP,DNP,DNP,DNP,58.8,4.1,-1.3,42.6,73.5,30.3,44.1,32.2,1.03
2022,UTEP (C-USA),False,DNP,DNP,DNP,DNP,58.8,2.6,-4.0,43.1,76.3,35.0,44.1,33.4,1.04
2022,Temple (AAC),False,DNP,DNP,DNP,DNP,58.6,0.3,2.6,39.5,67.9,31.1,40.1,29.4,0.94
2022,Gardner-Webb (Big South),False,DNP,DNP,DNP,DNP,58.1,5.3,2.9,44.4,70.1,32.9,38.9,28.3,0.98
2022,South Carolina (SEC),True,DNP,DNP,DNP,DNP,58.1,0.7,2.0,42.4,67.1,31.6,41.2,32.0,0.92
2022,Stony Brook (America East),False,DNP,DNP,DNP,DNP,58.1,-0.2,-1.6,43.8,75.2,33.9,45.5,33.8,1.05
2022,Northern Colo. (Big Sky),False,DNP,DNP,DNP,DNP,57.9,1.0,0.6,47.5,70.9,38.1,45.9,37.0,0.99
2022,Cornell (Ivy League),False,DNP,DNP,DNP,DNP,57.7,4.5,1.9,46.6,70.7,34.8,43.0,32.1,1.22
2022,Alabama (SEC),True,64.0,6.0,At-Large,21.0,57.6,3.0,3.5,43.9,72.8,30.9,43.7,33.8,1.01
2022,Coastal Carolina (Sun Belt),False,DNP,DNP,DNP,DNP,57.6,7.5,5.8,45.0,69.6,35.5,38.9,30.2,1.02
2022,Sam Houston (WAC),False,DNP,DNP,DNP,DNP,57.6,5.8,3.2,42.6,60.5,34.3,40.8,31.5,1.12
2022,Oregon (Pac-12),True,DNP,DNP,DNP,DNP,57.1,2.6,-0.4,45.1,67.9,33.2,43.2,32.2,1.04
2022,UC Riverside (Big West),False,DNP,DNP,DNP,DNP,57.1,2.9,2.8,44.2,72.0,32.0,41.7,29.6,1.08
2022,Montana (Big Sky),False,DNP,DNP,DNP,DNP,56.2,5.3,-3.2,45.3,78.5,34.9,44.0,35.6,1.28
2022,New Orleans (Southland),False,DNP,DNP,DNP,DNP,56.2,2.6,-0.9,46.6,73.1,30.8,42.8,30.7,0.91
2022,Rutgers (Big Ten),True,68.0,11.0,At-Large,44.0,56.2,2.0,1.9,44.5,70.0,33.9,41.8,33.9,1.32
2022,UMBC (America East),False,DNP,DNP,DNP,DNP,56.2,1.6,-3.4,44.4,78.4,37.8,45.7,34.7,1.13
2022,UNLV (Mountain West),False,DNP,DNP,DNP,DNP,56.2,4.3,1.1,42.5,73.8,33.6,40.9,31.4,1.23
2022,App State (Sun Belt),False,DNP,DNP,DNP,DNP,55.9,4.0,0.6,41.8,65.9,33.5,41.9,30.9,1.22
2022,Fla. Atlantic (C-USA),False,DNP,DNP,DNP,DNP,55.9,6.0,4.2,45.3,71.2,35.2,44.4,36.1,1.04
2022,Michigan (Big Ten),True,16.0,11.0,At-Large,42.0,55.9,3.2,5.5,46.7,74.6,33.9,44.1,32.4,1.21
2022,Portland (WCC),False,DNP,DNP,DNP,DNP,55.9,2.1,0.4,43.7,79.1,35.0,41.9,33.8,1.08
2022,Southeastern La. (Southland),False,DNP,DNP,DNP,DNP,55.9,1.1,-3.4,46.0,75.8,35.7,46.6,33.8,1.07
2022,Youngstown St. (Horizon),False,DNP,DNP,DNP,DNP,55.9,2.8,2.0,44.8,76.1,34.3,44.0,34.0,1.01
2022,Campbell (Big South),False,DNP,DNP,DNP,DNP,55.2,4.2,-0.3,46.0,68.0,31.8,42.7,34.4,1.33
2022,Howard (MEAC),False,DNP,DNP,DNP,DNP,55.2,6.8,-2.5,44.0,74.5,35.8,42.7,33.0,0.97
2022,Bradley (MVC),False,DNP,DNP,DNP,DNP,54.8,5.3,6.9,44.4,68.9,33.7,40.5,32.0,1.0
2022,Charlotte (C-USA),False,DNP,DNP,DNP,DNP,54.8,-1.2,-1.3,46.0,79.2,34.5,46.1,36.2,1.22
2022,Florida St. (ACC),True,DNP,DNP,DNP,DNP,54.8,-0.9,-0.3,43.4,70.8,33.1,44.4,36.9,1.15
2022,Southern U. (SWAC),False,DNP,DNP,DNP,DNP,54.8,4.0,-3.2,44.1,69.6,35.3,44.3,29.1,0.92
2022,Cincinnati (AAC),False,DNP,DNP,DNP,DNP,54.5,3.5,-0.3,40.4,66.9,31.5,40.3,31.3,1.25
2022,Oklahoma (Big 12),True,DNP,DNP,DNP,DNP,54.3,4.0,1.2,47.6,74.7,34.7,43.9,31.8,0.95
2022,UC Davis (Big West),False,DNP,DNP,DNP,DNP,54.2,1.5,-1.0,44.0,70.5,33.3,41.4,34.3,0.91
2022,New Hampshire (America East),False,DNP,DNP,DNP,DNP,53.6,3.8,4.2,44.0,66.9,36.6,43.1,34.0,1.34
2022,Wichita St. (AAC),False,DNP,DNP,DNP,DNP,53.6,2.1,2.2,40.3,75.3,31.2,41.4,31.6,0.93
2022,LIU (NEC),False,DNP,DNP,DNP,DNP,53.3,1.4,1.0,42.8,68.0,31.4,41.2,31.6,1.25
2022,Col. of Charleston (CAA),False,DNP,DNP,DNP,DNP,53.1,1.8,6.9,43.9,73.0,33.9,45.2,34.1,0.84
2022,St. John's (NY) (Big East),False,DNP,DNP,DNP,DNP,53.1,5.4,-1.1,45.3,67.7,33.5,42.4,34.1,1.57
