Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
Bradley (MVC),28,12,16,42.9,69.6,66.6,3.0,36.9,33.7,3.2,26.29,58.43,45.0,10.14,14.04,72.3,6.86,21.54,31.8,23.36,56.07,41.7,382,13.64,346,12.36,1.1,24.39,9.04,37.0
Gardner-Webb (Big South),26,11,15,42.3,70.7,68.4,2.3,34.4,35.1,-0.7,25.04,56.35,44.4,11.65,16.88,69.0,8.92,24.73,36.1,23.0,55.15,41.7,339,13.04,304,11.69,1.12,22.42,7.65,34.1
Little Rock (Sun Belt),26,11,15,42.3,68.7,68.5,0.2,34.5,31.5,3.0,24.54,53.88,45.5,13.96,19.88,70.2,5.65,18.15,31.1,24.81,56.77,43.7,354,13.62,392,15.08,0.9,22.35,7.73,34.6
Notre Dame (ACC),26,11,15,42.3,72.7,74.3,-1.7,33.4,36.7,-3.3,26.12,56.88,45.9,11.38,14.73,77.3,9.08,24.69,36.8,28.35,64.04,44.3,387,14.88,275,10.58,1.41,23.0,8.42,36.6
East Carolina (AAC),19,8,11,42.1,66.8,67.9,-1.2,34.4,35.8,-1.5,23.63,57.58,41.0,13.79,19.05,72.4,5.74,18.89,30.4,23.0,54.32,42.3,303,15.95,240,12.63,1.26,23.11,7.42,32.1
Southern U. (SWAC),19,8,11,42.1,69.8,70.3,-0.4,36.3,33.6,2.7,24.47,56.68,43.2,15.42,22.95,67.2,5.47,16.95,32.3,24.05,57.26,42.0,267,14.05,309,16.26,0.86,18.32,6.05,33.0
McNeese (Southland),24,10,14,41.7,80.3,71.8,8.5,37.3,32.4,5.0,29.92,60.67,49.3,11.96,17.38,68.8,8.5,21.92,38.8,26.46,59.29,44.6,443,18.46,359,14.96,1.23,21.38,7.71,36.1
Bucknell (Patriot),12,5,7,41.7,74.9,77.3,-2.4,33.5,36.9,-3.4,25.92,56.92,45.5,15.75,20.67,76.2,7.33,22.25,33.0,27.83,63.58,43.8,144,12.0,152,12.67,0.95,20.58,7.42,36.0
Longwood (Big South),29,12,17,41.4,66.2,67.8,-1.6,32.9,33.3,-0.4,23.62,54.45,43.4,11.83,17.17,68.9,7.14,20.69,34.5,23.86,53.07,45.0,309,10.66,381,13.14,0.81,23.45,7.31,31.2
UNCW (CAA),17,7,10,41.2,76.3,73.7,2.6,32.2,35.6,-3.4,26.0,59.47,43.7,16.76,21.88,76.6,7.53,21.82,34.5,27.24,58.06,46.9,206,12.12,190,11.18,1.08,17.18,5.47,31.8
William & Mary (CAA),17,7,10,41.2,64.8,71.9,-7.1,33.8,36.1,-2.3,22.82,55.76,40.9,13.35,17.82,74.9,5.76,20.12,28.7,27.35,60.41,45.3,183,10.76,232,13.65,0.79,20.94,6.82,32.6
CSUN (Big West),22,9,13,40.9,72.1,77.7,-5.6,33.2,37.5,-4.3,25.45,60.14,42.3,13.45,18.5,72.7,7.73,22.86,33.8,27.32,58.36,46.8,293,13.32,261,11.86,1.12,23.36,8.36,35.8
Coppin St. (MEAC),22,9,13,40.9,72.8,79.1,-6.3,36.2,46.7,-10.5,24.05,58.5,41.1,15.95,25.64,62.2,8.77,28.91,30.3,28.5,68.45,41.6,286,13.0,348,15.82,0.82,27.91,8.59,30.8
Portland St. (Big Sky),22,9,13,40.9,68.7,66.5,2.2,37.8,34.6,3.2,24.18,60.68,39.9,13.45,19.86,67.7,6.91,23.5,29.4,22.64,51.82,43.7,247,11.23,305,13.86,0.81,17.41,6.32,36.3
Quinnipiac (MAAC),22,9,13,40.9,67.5,69.0,-1.5,36.0,39.7,-3.6,22.95,57.18,40.1,13.91,20.23,68.8,7.68,23.73,32.4,24.14,61.91,39.0,279,12.68,313,14.23,0.89,21.32,6.41,30.1
South Fla. (AAC),22,9,13,40.9,65.9,71.4,-5.5,37.8,33.8,4.0,23.45,58.05,40.4,12.68,19.91,63.7,6.27,19.18,32.7,25.14,56.27,44.7,251,11.41,308,14.0,0.81,23.59,8.14,34.5
UIC (Horizon),22,9,13,40.9,67.7,72.3,-4.6,34.8,37.2,-2.4,25.36,59.14,42.9,8.86,13.45,65.9,8.09,24.73,32.7,26.68,60.59,44.0,297,13.5,291,13.23,1.02,16.18,4.86,30.1
Southeast Mo. St. (OVC),27,11,16,40.7,69.0,71.7,-2.7,35.1,33.0,2.2,23.33,54.37,42.9,14.78,22.04,67.1,7.59,21.56,35.2,24.89,54.74,45.5,374,13.85,415,15.37,0.9,19.56,7.07,36.2
Western Caro. (SoCon),27,11,16,40.7,75.5,78.9,-3.3,34.3,35.0,-0.6,26.52,58.41,45.4,14.11,19.44,72.6,8.37,24.52,34.1,29.07,62.52,46.5,359,13.3,381,14.11,0.94,24.85,8.96,36.1
Oakland (Horizon),30,12,18,40.0,74.7,81.2,-6.5,35.1,38.9,-3.8,25.77,61.83,41.7,14.5,20.53,70.6,8.63,25.93,33.3,30.63,64.57,47.4,444,14.8,390,13.0,1.14,27.6,10.3,37.3
Butler (Big East),25,10,15,40.0,63.5,68.7,-5.2,32.3,33.9,-1.6,22.88,55.72,41.1,10.6,16.4,64.6,7.16,22.16,32.3,25.32,54.48,46.5,308,12.32,286,11.44,1.08,20.48,7.16,35.0
New Orleans (Southland),25,10,15,40.0,76.0,76.4,-0.4,35.2,35.5,-0.3,28.12,59.04,47.6,14.24,19.32,73.7,5.48,16.68,32.9,27.36,60.44,45.3,391,15.64,421,16.84,0.93,19.96,6.36,31.9
Rhode Island (Atlantic 10),25,10,15,40.0,71.4,71.1,0.4,38.5,35.0,3.4,25.4,57.44,44.2,14.92,22.32,66.8,5.72,18.32,31.2,24.88,59.8,41.6,303,12.12,353,14.12,0.86,22.52,7.44,33.0
UNI (MVC),25,10,15,40.0,69.5,71.2,-1.6,35.8,33.5,2.3,25.88,58.44,44.3,10.32,15.12,68.3,7.44,22.88,32.5,26.04,57.48,45.3,329,13.16,327,13.08,1.01,24.36,8.0,32.8
Florida A&M (SWAC),20,8,12,40.0,65.7,68.5,-2.8,35.5,35.4,0.1,25.0,56.3,44.4,10.95,16.8,65.2,4.75,15.15,31.4,24.8,58.05,42.7,265,13.25,338,16.9,0.78,21.05,6.0,28.5
Sacramento St. (Big Sky),20,8,12,40.0,72.2,72.1,0.1,31.6,32.9,-1.4,26.55,57.85,45.9,12.4,18.25,67.9,6.65,18.1,36.7,26.35,54.5,48.3,255,12.75,202,10.1,1.26,19.15,6.85,35.8
Alabama A&M (SWAC),15,6,9,40.0,63.3,67.2,-3.9,38.5,38.8,-0.3,23.13,57.87,40.0,11.53,18.4,62.7,5.53,19.07,29.0,23.33,59.4,39.3,165,11.0,229,15.27,0.72,19.8,5.6,28.3
American (Patriot),10,4,6,40.0,69.1,73.6,-4.5,32.6,35.1,-2.5,24.8,55.7,44.5,10.5,14.9,70.5,9.0,23.8,37.8,26.8,58.4,45.9,128,12.8,158,15.8,0.81,17.2,5.0,29.1
Troy (Sun Belt),28,11,17,39.3,65.3,69.4,-4.0,37.7,36.0,1.7,22.71,57.0,39.8,13.79,19.82,69.5,6.11,22.11,27.6,24.86,58.11,42.8,320,11.43,417,14.89,0.77,22.21,7.89,35.5
Stony Brook (America East),23,9,14,39.1,66.2,65.6,0.6,38.0,35.5,2.6,23.61,57.3,41.2,12.87,18.87,68.2,6.09,20.57,29.6,23.17,56.87,40.7,278,12.09,319,13.87,0.87,22.65,7.52,33.2
Boston U. (Patriot),18,7,11,38.9,69.4,73.9,-4.6,35.3,33.7,1.7,25.06,57.5,43.6,12.33,16.44,75.0,6.94,21.83,31.8,27.5,58.33,47.1,190,10.56,225,12.5,0.84,20.5,7.33,35.8
Northwestern St. (Southland),29,11,18,37.9,72.6,79.7,-7.1,35.6,39.6,-4.0,26.55,61.66,43.1,12.28,18.28,67.2,7.24,20.79,34.8,29.07,61.48,47.3,376,12.97,419,14.45,0.9,21.48,6.93,32.3
Fairleigh Dickinson (NEC),24,9,15,37.5,75.0,78.8,-3.7,33.9,37.0,-3.2,26.88,59.67,45.0,13.21,18.54,71.2,8.08,21.54,37.5,28.33,60.83,46.6,287,11.96,340,14.17,0.84,23.42,7.83,33.5
High Point (Big South),24,9,15,37.5,66.7,69.9,-3.2,35.5,34.1,1.4,23.5,56.54,41.6,14.88,21.67,68.7,4.79,16.5,29.0,24.25,54.67,44.4,292,12.17,303,12.63,0.96,24.54,8.71,35.5
Northwestern (Big Ten),24,9,15,37.5,70.2,70.0,0.2,33.7,35.9,-2.2,25.29,58.42,43.3,11.33,15.79,71.8,8.33,23.58,35.3,24.42,57.04,42.8,352,14.67,284,11.83,1.24,24.33,8.04,33.0
Cal St. Fullerton (Big West),16,6,10,37.5,77.0,78.6,-1.6,32.9,36.2,-3.3,26.88,59.44,45.2,15.06,20.38,73.9,8.19,21.31,38.4,29.19,61.38,47.6,218,13.63,205,12.81,1.06,21.19,8.31,39.2
Fairfield (MAAC),27,10,17,37.0,61.8,66.7,-4.9,35.2,34.4,0.9,21.48,53.93,39.8,12.78,18.37,69.6,6.04,19.15,31.5,24.56,56.19,43.7,271,10.04,350,12.96,0.77,18.74,6.11,32.6
Miami (FL) (ACC),27,10,17,37.0,66.4,71.0,-4.5,35.0,34.7,0.3,23.96,56.44,42.5,12.96,18.52,70.0,5.56,18.81,29.5,26.74,59.63,44.8,305,11.3,340,12.59,0.9,24.3,9.19,37.8
NJIT (America East),19,7,12,36.8,66.1,70.2,-4.1,31.4,37.2,-5.8,23.16,57.26,40.4,13.53,19.58,69.1,6.26,20.53,30.5,26.0,56.05,46.4,181,9.53,212,11.16,0.85,20.16,6.68,33.2
UIW (Southland),22,8,14,36.4,68.0,71.7,-3.8,31.3,35.2,-3.9,23.82,53.55,44.5,12.68,18.05,70.3,7.64,20.41,37.4,26.64,57.45,46.4,269,12.23,314,14.27,0.86,18.77,5.73,30.5
Charlotte (C-USA),25,9,16,36.0,63.5,66.7,-3.2,31.2,31.9,-0.8,21.8,50.44,43.2,14.16,19.36,73.1,5.72,17.64,32.4,24.88,55.48,44.8,282,11.28,335,13.4,0.84,21.44,7.0,32.6
Evansville (MVC),25,9,16,36.0,64.8,69.6,-4.8,26.8,32.0,-5.2,22.84,51.96,44.0,9.48,13.2,71.8,9.6,25.48,37.7,25.8,50.2,51.4,291,11.64,274,10.96,1.06,14.64,6.0,41.0
Kentucky (SEC),25,9,16,36.0,70.4,70.2,0.3,38.0,36.2,1.8,24.6,59.04,41.7,14.84,20.36,72.9,6.4,19.08,33.5,25.12,60.84,41.3,314,12.56,349,13.96,0.9,21.0,6.56,31.2
La Salle (Atlantic 10),25,9,16,36.0,68.1,73.5,-5.4,33.2,35.4,-2.2,25.32,58.12,43.6,9.64,14.08,68.5,7.8,22.92,34.0,25.8,56.72,45.5,318,12.72,361,14.44,0.88,21.36,7.0,32.8
Vanderbilt (SEC),25,9,16,36.0,71.8,72.4,-0.6,33.7,34.7,-1.0,24.36,56.64,43.0,13.72,18.64,73.6,9.32,26.68,34.9,25.84,56.44,45.8,318,12.72,346,13.84,0.92,21.04,7.12,33.8
Lamar University (Southland),28,10,18,35.7,65.8,72.4,-6.5,34.6,37.0,-2.4,23.93,57.43,41.7,13.0,17.71,73.4,4.96,15.89,31.2,26.68,58.75,45.4,332,11.86,396,14.14,0.84,20.86,8.07,38.7
Valparaiso (MVC),28,10,18,35.7,65.0,67.9,-2.9,32.9,36.9,-4.0,23.57,56.29,41.9,11.14,15.32,72.7,6.75,22.68,29.8,25.04,57.36,43.6,356,12.71,346,12.36,1.03,20.5,6.82,33.3
N.C. Central (MEAC),14,5,9,35.7,67.3,71.6,-4.4,31.9,37.3,-5.4,23.79,56.5,42.1,12.93,18.64,69.3,6.79,20.0,33.9,24.71,55.07,44.9,169,12.07,205,14.64,0.82,19.64,6.71,34.2
Loyola Maryland (Patriot),17,6,11,35.3,72.1,70.9,1.2,37.6,33.7,3.9,27.12,58.35,46.5,12.47,20.65,60.4,5.41,17.71,30.6,24.76,57.71,42.9,221,13.0,245,14.41,0.9,21.35,7.41,34.7
Manhattan (MAAC),20,7,13,35.0,63.4,67.2,-3.9,36.4,37.0,-0.7,21.95,58.25,37.7,13.75,20.65,66.6,5.75,21.75,26.4,22.15,52.2,42.4,237,11.85,288,14.4,0.82,17.25,5.7,33.0
North Florida (ASUN),23,8,15,34.8,69.6,75.0,-5.4,32.7,36.9,-4.2,24.78,55.74,44.5,10.09,14.13,71.4,9.96,27.17,36.6,27.35,61.09,44.8,297,12.91,344,14.96,0.86,18.13,6.04,33.3
Purdue Fort Wayne (Horizon),23,8,15,34.8,75.1,78.7,-3.5,31.3,32.2,-0.9,27.43,54.74,50.1,11.39,16.52,68.9,8.87,22.17,40.0,28.26,61.57,45.9,329,14.3,393,17.09,0.84,24.22,8.13,33.6
FIU (C-USA),26,9,17,34.6,73.6,76.3,-2.7,32.6,38.3,-5.7,26.54,61.69,43.0,10.04,15.08,66.6,10.5,31.38,33.5,27.88,59.04,47.2,390,15.0,380,14.62,1.03,18.69,6.73,36.0
North Dakota (Summit League),26,9,17,34.6,68.7,75.7,-7.0,32.5,35.7,-3.2,23.96,55.92,42.8,13.5,19.35,69.8,7.31,21.69,33.7,27.5,58.42,47.1,306,11.77,340,13.08,0.9,18.62,7.15,38.4
SIUE (OVC),26,9,17,34.6,65.7,73.0,-7.2,32.8,35.1,-2.3,23.81,53.96,44.1,12.12,17.81,68.0,6.0,18.85,31.8,26.15,57.85,45.2,337,12.96,416,16.0,0.81,22.23,7.5,33.7
Eastern Ill. (OVC),27,9,18,33.3,69.4,74.9,-5.5,35.1,36.5,-1.4,26.19,60.11,43.6,10.15,15.44,65.7,6.89,21.26,32.4,26.74,59.3,45.1,360,13.33,383,14.19,0.94,22.11,8.04,36.3
UT Martin (OVC),24,8,16,33.3,65.5,77.0,-11.5,32.3,36.9,-4.6,23.17,58.04,39.9,12.25,17.04,71.9,6.88,20.63,33.3,27.08,55.88,48.5,289,12.04,343,14.29,0.84,23.42,8.63,36.8
Eastern Mich. (MAC),18,6,12,33.3,70.4,75.7,-5.3,33.0,37.7,-4.7,24.89,59.83,41.6,13.5,18.11,74.5,7.11,22.83,31.1,28.11,58.72,47.9,198,11.0,221,12.28,0.9,25.28,9.39,37.1
Long Beach St. (Big West),18,6,12,33.3,73.8,79.4,-5.7,35.0,39.6,-4.6,25.89,58.17,44.5,14.94,21.94,68.1,7.06,19.67,35.9,27.61,64.33,42.9,210,11.67,288,16.0,0.73,24.39,8.39,34.4
Green Bay (Horizon),25,8,17,32.0,71.6,76.5,-4.9,32.8,36.0,-3.2,26.24,60.28,43.5,12.32,16.44,74.9,6.8,20.44,33.3,27.8,58.72,47.3,352,14.08,269,10.76,1.31,20.12,7.28,36.2
Southern Miss. (C-USA),25,8,17,32.0,64.2,66.7,-2.5,35.2,34.3,1.0,24.12,55.84,43.2,10.6,15.68,67.6,5.36,16.84,31.8,23.6,55.8,42.3,302,12.08,352,14.08,0.86,24.8,8.28,33.4
Presbyterian (Big South),22,7,15,31.8,64.1,67.1,-3.0,33.6,32.0,1.6,22.68,54.5,41.6,12.95,18.91,68.5,5.82,19.0,30.6,23.0,50.27,45.8,235,10.68,334,15.18,0.7,18.14,6.27,34.6
Western Ill. (Summit League),22,7,15,31.8,73.0,79.4,-6.4,38.1,36.5,1.6,25.0,61.95,40.4,15.86,22.18,71.5,7.14,22.59,31.6,27.64,58.45,47.3,225,10.23,285,12.95,0.79,19.95,7.86,39.4
Alcorn (SWAC),19,6,13,31.6,66.1,75.6,-9.5,32.0,34.9,-2.9,22.89,58.26,39.3,14.37,19.79,72.6,5.95,19.79,30.1,25.42,52.21,48.7,177,9.32,276,14.53,0.64,20.37,7.05,34.6
Samford (SoCon),19,6,13,31.6,76.8,79.5,-2.6,39.7,36.1,3.6,28.47,64.11,44.4,11.95,17.42,68.6,7.95,25.47,31.2,26.37,60.26,43.8,283,14.89,309,16.26,0.92,29.63,10.32,34.8
Holy Cross (Patriot),16,5,11,31.2,70.6,76.1,-5.4,32.7,36.7,-4.0,26.44,59.5,44.4,10.81,15.5,69.8,6.94,19.63,35.4,27.25,58.38,46.7,193,12.06,206,12.88,0.94,19.31,6.88,35.6
Temple (AAC),16,5,11,31.2,65.8,68.8,-3.0,36.2,37.0,-0.8,21.75,54.25,40.1,15.13,21.13,71.6,7.19,21.0,34.2,24.06,59.0,40.8,214,13.38,213,13.31,1.0,22.44,7.69,34.3
California (Pac-12),29,9,20,31.0,65.4,69.2,-3.8,31.6,32.4,-0.8,22.79,52.97,43.0,12.79,18.34,69.7,7.03,21.45,32.8,24.93,53.69,46.4,346,11.93,370,12.76,0.94,17.52,6.55,37.4
Kansas St. (Big 12),29,9,20,31.0,61.8,70.2,-8.4,32.9,32.9,-0.1,22.38,54.38,41.2,10.45,15.72,66.4,6.59,22.24,29.6,24.83,54.0,46.0,377,13.0,431,14.86,0.87,21.93,8.0,36.5
Southeastern La. (Southland),26,8,18,30.8,68.3,77.7,-9.4,34.1,36.2,-2.0,22.73,57.62,39.5,16.0,23.62,67.8,6.81,23.35,29.2,26.92,55.85,48.2,261,10.04,414,15.92,0.63,21.92,7.85,35.8
Central Mich. (MAC),23,7,16,30.4,76.8,79.8,-3.0,36.2,38.7,-2.5,27.43,61.61,44.5,15.3,22.74,67.3,6.61,20.09,32.9,29.04,63.74,45.6,246,10.7,308,13.39,0.8,25.3,8.74,34.5
George Washington (Atlantic 10),17,5,12,29.4,68.1,72.3,-4.2,34.2,35.2,-0.9,24.18,54.59,44.3,13.76,19.71,69.9,6.0,18.53,32.4,27.24,60.82,44.8,194,11.41,233,13.71,0.83,22.18,7.59,34.2
Portland (WCC),21,6,15,28.6,69.5,83.2,-13.8,28.6,38.8,-10.2,23.24,56.52,41.1,15.71,20.29,77.5,7.29,21.48,33.9,31.48,62.62,50.3,250,11.9,292,13.9,0.86,25.9,9.71,37.5
South Carolina (SEC),21,6,15,28.6,72.5,79.1,-6.6,36.0,37.9,-2.0,26.95,64.95,41.5,11.86,18.14,65.4,6.76,22.19,30.5,26.95,58.19,46.3,280,13.33,313,14.9,0.89,21.62,7.95,36.8
Illinois St. (MVC),25,7,18,28.0,72.0,74.8,-2.8,35.2,36.0,-0.7,27.16,59.08,46.0,9.84,14.88,66.1,7.8,22.64,34.5,27.68,61.84,44.8,345,13.8,345,13.8,1.0,25.64,7.92,30.9
New Mexico (Mountain West),22,6,16,27.3,65.3,71.7,-6.5,38.1,35.0,3.1,24.45,59.23,41.3,11.59,19.36,59.9,4.77,17.36,27.5,25.32,57.05,44.4,277,12.59,328,14.91,0.84,24.0,8.18,34.1
Northern Ariz. (Big Sky),22,6,16,27.3,63.2,74.5,-11.4,28.5,33.9,-5.3,22.95,54.41,42.2,10.95,16.55,66.2,6.32,18.05,35.0,26.5,52.91,50.1,238,10.82,259,11.77,0.92,23.32,8.64,37.0
Saint Francis (PA) (NEC),22,6,16,27.3,68.9,73.4,-4.5,35.4,35.7,-0.3,24.59,57.55,42.7,13.82,19.36,71.4,5.86,18.95,30.9,26.86,59.18,45.4,282,12.82,312,14.18,0.9,22.77,7.14,31.3
Wake Forest (ACC),22,6,16,27.3,66.3,72.0,-5.7,32.6,34.0,-1.4,22.77,55.55,41.0,11.86,16.32,72.7,8.86,25.55,34.7,25.86,55.14,46.9,252,11.45,300,13.64,0.84,20.09,7.59,37.8
ULM (Sun Belt),26,7,19,26.9,64.2,68.9,-4.7,30.5,37.5,-6.9,23.42,56.31,41.6,9.92,14.12,70.3,7.46,21.96,34.0,24.08,55.08,43.7,355,13.65,338,13.0,1.05,20.12,7.35,36.5
Lehigh (Patriot),15,4,11,26.7,68.3,76.6,-8.3,34.9,35.5,-0.7,25.87,60.07,43.1,11.73,16.73,70.1,4.87,15.4,31.6,27.47,58.6,46.9,191,12.73,196,13.07,0.97,20.2,7.4,36.6
DePaul (Big East),19,5,14,26.3,65.8,71.9,-6.2,37.7,37.6,0.1,25.32,60.74,41.7,9.74,14.37,67.8,5.42,17.21,31.5,24.74,59.32,41.7,217,11.42,300,15.79,0.72,24.05,7.42,30.9
Rider (MAAC),23,6,17,26.1,67.5,74.0,-6.5,33.3,34.1,-0.9,24.52,57.3,42.8,12.17,16.61,73.3,6.3,17.87,35.3,26.13,56.48,46.3,284,12.35,291,12.65,0.98,22.65,8.0,35.3
Nebraska (Big Ten),27,7,20,25.9,70.0,74.2,-4.3,36.2,39.8,-3.6,24.85,59.41,41.8,11.81,18.48,63.9,8.44,25.33,33.3,26.33,62.48,42.1,369,13.67,380,14.07,0.97,28.56,8.89,31.1
Saint Joseph's (Atlantic 10),20,5,15,25.0,72.2,82.6,-10.4,33.8,41.5,-7.8,25.3,61.9,40.9,12.0,16.55,72.5,9.55,30.45,31.4,30.1,63.9,47.1,287,14.35,281,14.05,1.02,23.5,8.25,35.1
Houston Baptist (Southland),25,6,19,24.0,71.0,80.3,-9.2,34.2,38.2,-4.0,25.4,59.44,42.7,12.16,16.6,73.3,8.08,23.52,34.4,29.6,62.96,47.0,356,14.24,418,16.72,0.85,24.2,8.32,34.4
Central Conn. St. (NEC),21,5,16,23.8,68.5,77.4,-8.9,31.6,39.1,-7.5,24.86,58.57,42.4,11.67,16.62,70.2,7.14,22.05,32.4,28.19,60.0,47.0,270,12.86,298,14.19,0.91,23.57,8.29,35.2
San Jose St. (Mountain West),21,5,16,23.8,65.8,81.3,-15.6,34.4,44.9,-10.5,23.48,59.86,39.2,11.33,17.33,65.4,7.48,23.52,31.8,30.05,66.57,45.1,213,10.14,265,12.62,0.8,26.33,8.24,31.3
Western Mich. (MAC),21,5,16,23.8,63.1,72.0,-8.9,34.0,36.4,-2.4,23.76,54.9,43.3,8.86,13.86,63.9,6.71,20.33,33.0,26.67,61.48,43.4,245,11.67,305,14.52,0.8,23.62,7.43,31.5
Alabama St. (SWAC),18,4,14,22.2,64.2,71.6,-7.3,36.3,37.6,-1.3,21.28,56.06,38.0,15.5,23.94,64.7,6.17,19.44,31.7,25.33,57.89,43.8,175,9.72,291,16.17,0.6,18.44,6.0,32.5
Binghamton (America East),18,4,14,22.2,65.4,72.3,-6.9,35.7,35.4,0.3,23.89,57.72,41.4,9.0,13.39,67.2,8.67,26.22,33.1,25.89,57.61,44.9,199,11.06,250,13.89,0.8,20.78,7.61,36.6
Towson (CAA),18,4,14,22.2,67.4,74.9,-7.5,36.9,34.8,2.2,24.11,58.61,41.1,14.22,19.56,72.7,5.0,17.28,28.9,26.56,59.28,44.8,170,9.44,224,12.44,0.76,24.22,9.28,38.3
Maine (America East),9,2,7,22.2,53.1,64.6,-11.4,31.4,35.6,-4.1,19.11,50.22,38.1,7.78,13.67,56.9,7.11,22.56,31.5,23.11,54.22,42.6,108,12.0,147,16.33,0.73,21.22,6.56,30.9
Middle Tenn. (C-USA),23,5,18,21.7,62.0,70.7,-8.7,33.7,36.0,-2.3,22.22,57.52,38.6,10.13,14.83,68.3,7.43,22.96,32.4,26.52,56.22,47.2,229,9.96,345,15.0,0.66,19.0,6.09,32.0
USC Upstate (Big South),23,5,18,21.7,65.9,74.4,-8.6,31.2,35.8,-4.7,23.39,55.13,42.4,11.65,16.17,72.0,7.43,22.04,33.7,26.48,56.09,47.2,276,12.0,325,14.13,0.85,21.04,7.35,34.9
San Diego (WCC),14,3,11,21.4,66.2,77.1,-10.9,33.5,39.1,-5.6,25.14,60.5,41.6,10.07,15.5,65.0,5.86,19.29,30.4,27.71,58.71,47.2,185,13.21,184,13.14,1.01,18.57,7.14,38.5
Robert Morris (Horizon),19,4,15,21.1,72.3,78.6,-6.3,34.0,37.6,-3.6,27.26,61.53,44.3,10.32,15.74,65.6,7.47,20.74,36.0,27.74,59.21,46.8,299,15.74,254,13.37,1.18,22.16,8.53,38.5
A&M-Corpus Christi (Southland),24,5,19,20.8,64.8,71.5,-6.8,34.0,36.2,-2.2,22.58,54.0,41.8,13.21,19.29,68.5,6.38,19.33,33.0,25.67,58.42,43.9,308,12.83,401,16.71,0.77,20.29,6.58,32.4
Central Ark. (Southland),24,5,19,20.8,70.9,80.5,-9.7,37.2,35.6,1.6,25.25,57.83,43.7,13.29,18.54,71.7,7.08,19.5,36.3,28.92,63.63,45.4,322,13.42,419,17.46,0.77,24.46,9.08,37.1
Kennesaw St. (ASUN),24,5,19,20.8,65.5,69.7,-4.2,34.0,33.9,0.0,23.79,56.63,42.0,11.04,16.75,65.9,6.83,21.92,31.2,25.25,55.88,45.2,260,10.83,341,14.21,0.76,18.67,5.92,31.7
Air Force (Mountain West),25,5,20,20.0,58.7,71.9,-13.2,23.1,34.6,-11.5,20.88,46.8,44.6,10.0,14.44,69.3,6.96,21.08,33.0,26.16,52.36,50.0,308,12.32,361,14.44,0.85,21.2,7.76,36.6
Omaha (Summit League),25,5,20,20.0,67.3,78.0,-10.6,34.1,37.7,-3.6,25.0,59.76,41.8,12.0,17.44,68.8,5.32,15.88,33.5,27.92,60.0,46.5,236,9.44,326,13.04,0.72,21.76,8.36,38.4
Boston College (ACC),20,4,16,20.0,71.3,79.5,-8.2,33.3,37.1,-3.8,25.0,59.3,42.2,12.35,17.6,70.2,9.0,27.3,33.0,29.65,60.4,49.1,230,11.5,275,13.75,0.84,21.75,7.7,35.4
Howard (MEAC),5,1,4,20.0,72.6,84.8,-12.2,35.4,39.6,-4.2,24.6,56.6,43.5,15.8,22.0,71.8,7.6,24.6,30.9,31.2,66.6,46.8,74,14.8,72,14.4,1.03,27.4,9.8,35.8
Washington (Pac-12),26,5,21,19.2,67.7,77.4,-9.7,31.2,39.0,-7.8,24.65,58.19,42.4,10.77,15.27,70.5,7.58,22.81,33.2,27.65,60.92,45.4,280,10.77,355,13.65,0.79,20.15,7.04,34.9
Tennessee Tech (OVC),27,5,22,18.5,66.6,76.9,-10.3,33.7,34.5,-0.9,24.3,56.19,43.2,10.26,15.19,67.6,7.7,24.0,32.1,28.74,59.81,48.0,382,14.15,430,15.93,0.89,22.96,8.11,35.3
Tennessee St. (OVC),23,4,19,17.4,68.4,74.0,-5.6,33.7,38.2,-4.4,24.7,58.35,42.3,13.0,19.04,68.3,6.0,20.87,28.8,25.0,56.17,44.5,268,11.65,353,15.35,0.76,20.61,7.0,34.0
Cal Poly (Big West),24,4,20,16.7,61.5,70.8,-9.4,32.4,37.5,-5.0,21.63,54.79,39.5,11.67,16.17,72.2,6.54,20.46,32.0,24.88,56.58,44.0,298,12.42,333,13.88,0.89,19.0,6.71,35.3
Ark.-Pine Bluff (SWAC),25,4,21,16.0,62.0,76.8,-14.9,32.3,36.9,-4.6,20.96,54.24,38.6,15.12,20.92,72.3,4.92,16.0,30.8,27.2,57.36,47.4,240,9.6,394,15.76,0.61,19.12,7.64,40.0
Delaware St. (MEAC),19,3,16,15.8,70.8,85.7,-14.9,35.7,41.1,-5.4,24.63,62.26,39.6,13.53,18.79,72.0,8.0,25.89,30.9,29.16,62.26,46.8,216,11.37,321,16.89,0.67,23.79,8.47,35.6
Northern Ill. (MAC),19,3,16,15.8,62.3,77.4,-15.1,36.2,37.2,-0.9,24.0,60.16,39.9,8.84,14.37,61.5,5.47,16.89,32.4,26.89,57.68,46.6,204,10.74,261,13.74,0.78,23.89,9.32,39.0
Charleston So. (Big South),21,3,18,14.3,65.5,73.8,-8.3,35.7,37.8,-2.1,22.86,56.29,40.6,12.14,17.0,71.4,7.62,24.1,31.6,26.43,59.62,44.3,218,10.38,346,16.48,0.63,22.19,7.62,34.3
