Team,Games,Wins,Losses,Win Pct,PPG,OPP PPG,SCR MAR,RPG,OPP RPG,REB MAR,FGMPG,FGAPG,FG%,FTPG,FTAPG,FT%,3FGPG,3FGAPG,3FG%,OPP FGPG,OPP FGAPG,OPP FG%,AST,ASTPG,TO,TOPG,AST/TO Ratio,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
Missouri St. (MVC),24,17,7,70.8,73.4,66.4,7.0,37.0,32.0,5.0,26.54,55.5,47.8,12.83,17.29,74.2,7.5,21.46,35.0,24.21,59.08,41.0,325,13.54,305,12.71,1.07,20.96,6.83,32.6
Siena (MAAC),17,12,5,70.6,67.6,63.0,4.6,34.9,32.6,2.3,24.18,52.59,46.0,12.88,19.59,65.8,6.35,18.47,34.4,23.53,57.59,40.9,215,12.65,219,12.88,0.98,18.18,5.88,32.4
Cleveland St. (Horizon),27,19,8,70.4,70.9,71.2,-0.3,34.6,35.4,-0.8,25.96,57.7,45.0,12.59,18.78,67.1,6.37,19.81,32.1,24.11,56.74,42.5,371,13.74,350,12.96,1.06,24.04,7.37,30.7
Texas (Big 12),27,19,8,70.4,74.4,68.2,6.1,38.4,34.3,4.1,26.0,57.3,45.4,13.78,19.41,71.0,8.59,24.15,35.6,23.85,58.44,40.8,357,13.22,393,14.56,0.91,19.37,6.15,31.7
Kansas (Big 12),30,21,9,70.0,73.0,66.9,6.1,37.5,34.6,2.9,26.3,60.3,43.6,12.87,17.97,71.6,7.57,22.1,34.2,24.17,58.3,41.5,415,13.83,359,11.97,1.16,22.03,7.4,33.6
Oklahoma St. (Big 12),30,21,9,70.0,76.6,72.7,3.9,38.3,36.1,2.3,27.2,59.33,45.8,15.83,22.3,71.0,6.33,19.1,33.2,25.6,62.3,41.1,385,12.83,467,15.57,0.82,23.27,7.43,31.9
Toledo (MAC),30,21,9,70.0,81.1,72.6,8.5,37.6,37.3,0.2,28.4,62.3,45.6,13.83,17.73,78.0,10.47,28.1,37.2,27.03,63.5,42.6,480,16.0,332,11.07,1.45,25.53,7.6,29.8
UNC Greensboro (SoCon),30,21,9,70.0,73.0,67.3,5.6,39.1,36.4,2.8,27.4,65.13,42.1,10.57,15.47,68.3,7.6,25.43,29.9,22.97,55.1,41.7,370,12.33,329,10.97,1.12,22.8,7.17,31.4
UMBC (America East),20,14,6,70.0,69.5,64.9,4.7,36.5,34.0,2.5,24.15,54.95,43.9,14.3,20.1,71.1,6.95,20.4,34.1,23.15,58.35,39.7,219,10.95,258,12.9,0.85,24.0,7.9,32.9
South Dakota St. (Summit League),23,16,7,69.6,80.4,73.5,7.0,35.7,31.0,4.7,28.48,57.17,49.8,15.43,21.57,71.6,8.04,19.91,40.4,26.35,60.43,43.6,327,14.22,283,12.3,1.16,24.22,8.48,35.0
Chattanooga (SoCon),26,18,8,69.2,72.6,69.3,3.3,33.9,34.9,-1.0,25.65,58.54,43.8,12.92,16.5,78.3,8.38,23.35,35.9,26.46,58.08,45.6,319,12.27,288,11.08,1.11,20.65,6.85,33.1
Coastal Carolina (Sun Belt),26,18,8,69.2,79.5,68.2,11.3,43.5,33.6,9.9,28.15,61.69,45.6,14.69,20.5,71.7,8.5,23.77,35.8,23.81,61.08,39.0,404,15.54,395,15.19,1.02,27.69,8.58,31.0
Utah St. (Mountain West),29,20,9,69.0,72.6,62.3,10.2,40.7,30.4,10.3,26.66,59.72,44.6,12.9,17.86,72.2,6.38,19.21,33.2,22.07,56.55,39.0,469,16.17,403,13.9,1.16,22.9,7.62,33.3
UCLA (Pac-12),32,22,10,68.8,73.4,68.4,5.0,35.2,31.5,3.7,26.75,57.97,46.1,13.09,18.31,71.5,6.81,18.31,37.2,24.94,56.59,44.1,437,13.66,338,10.56,1.29,21.34,7.19,33.7
Bryant (NEC),22,15,7,68.2,83.8,75.6,8.1,39.8,38.6,1.2,29.0,62.36,46.5,16.32,21.45,76.1,9.45,24.82,38.1,27.68,67.27,41.1,336,15.27,333,15.14,1.01,25.91,7.45,28.8
Marshall (C-USA),22,15,7,68.2,79.9,72.5,7.4,35.4,37.2,-1.9,29.82,62.82,47.5,11.0,15.18,72.5,9.27,25.77,36.0,26.68,61.41,43.4,349,15.86,263,11.95,1.33,22.18,7.95,35.9
Virginia Tech (ACC),22,15,7,68.2,72.0,66.0,6.1,34.5,32.2,2.4,25.36,56.36,45.0,13.14,18.82,69.8,8.18,23.09,35.4,23.32,55.0,42.4,313,14.23,255,11.59,1.23,21.41,7.09,33.1
Norfolk St. (MEAC),25,17,8,68.0,73.6,69.7,3.9,36.3,36.9,-0.6,25.2,59.08,42.7,15.4,21.84,70.5,7.76,21.12,36.7,22.92,56.76,40.4,302,12.08,322,12.88,0.94,25.68,8.12,31.6
Ohio (MAC),25,17,8,68.0,79.2,72.6,6.6,35.3,33.6,1.7,29.12,60.76,47.9,12.6,17.92,70.3,8.36,23.72,35.2,25.84,58.72,44.0,436,17.44,301,12.04,1.45,23.32,7.88,33.8
Boise St. (Mountain West),28,19,9,67.9,75.8,66.7,9.1,35.5,32.6,2.9,26.54,58.36,45.5,14.86,20.21,73.5,7.86,22.68,34.6,24.43,56.71,43.1,378,13.5,328,11.71,1.15,19.68,6.5,33.0
Sam Houston (Southland),28,19,9,67.9,79.6,70.3,9.3,36.9,37.3,-0.4,28.46,62.79,45.3,13.57,19.61,69.2,9.11,25.54,35.7,24.29,57.57,42.2,435,15.54,402,14.36,1.08,21.57,6.29,29.1
Ohio St. (Big Ten),31,21,10,67.7,77.2,71.1,6.1,36.6,33.6,3.0,26.42,57.61,45.9,16.19,21.42,75.6,8.13,22.58,36.0,24.74,58.74,42.1,406,13.1,329,10.61,1.23,22.58,7.68,34.0
