Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
25,Louisville (ACC),36,27-9,"2,483",69,"2,154",59.8,9.1
26,Georgia St. (Sun Belt),35,25-10,"2,499",71.4,"2,184",62.4,9
27,North Carolina (ACC),38,26-12,"2,953",77.7,"2,616",68.8,8.9
28,Baylor (Big 12),34,24-10,"2,349",69.1,"2,048",60.2,8.9
29,Iowa St. (Big 12),34,25-9,"2,645",77.8,"2,346",69,8.8
30,Oklahoma (Big 12),35,24-11,"2,501",71.5,"2,196",62.7,8.7
31,South Dakota St. (Summit League),35,24-11,"2,570",73.4,"2,277",65.1,8.4
32,New Mexico St. (WAC),34,23-11,"2,316",68.1,"2,033",59.8,8.3
33,Eastern Ky. (OVC),33,21-12,"2,373",71.9,"2,100",63.6,8.3
34,Hofstra (CAA),34,20-14,"2,668",78.5,"2,388",70.2,8.2
35,Colorado St. (Mountain West),34,27-7,"2,454",72.2,"2,181",64.1,8
35,Butler (Big East),34,23-11,"2,346",69,"2,073",61,8
37,San Diego St. (Mountain West),36,27-9,"2,226",61.8,"1,939",53.9,8
38,Ga. Southern (Sun Belt),31,22-9,"2,112",68.1,"1,865",60.2,8
39,Vermont (America East),34,20-14,"2,279",67,"2,012",59.2,7.9
40,Old Dominion (C-USA),35,27-8,"2,273",64.9,"1,999",57.1,7.8
41,North Florida (ASUN),35,23-12,"2,651",75.7,"2,385",68.1,7.6
42,Louisiana Tech (C-USA),36,27-9,"2,632",73.1,"2,362",65.6,7.5
43,Louisiana (Sun Belt),36,22-14,"2,789",77.5,"2,520",70,7.5
44,Michigan St. (Big Ten),39,27-12,"2,773",71.1,"2,482",63.6,7.5
45,Green Bay (Horizon),33,24-9,"2,252",68.2,"2,006",60.8,7.5
45,Rhode Island (Atlantic 10),33,23-10,"2,232",67.6,"1,986",60.2,7.5
47,Iowa (Big Ten),34,22-12,"2,372",69.8,"2,119",62.3,7.4
48,Yale (Ivy League),32,22-10,"2,164",67.6,"1,931",60.3,7.3
49,Arkansas (SEC),36,27-9,"2,787",77.4,"2,525",70.1,7.3
50,Texas (Big 12),34,20-14,"2,290",67.4,"2,049",60.3,7.1
51,Dayton (Atlantic 10),36,27-9,"2,439",67.8,"2,190",60.8,6.9
52,Wofford (SoCon),35,28-7,"2,331",66.6,"2,089",59.7,6.9
53,VCU (Atlantic 10),36,26-10,"2,609",72.5,"2,368",65.8,6.7
54,Harvard (Ivy League),30,22-8,"1,926",64.2,"1,727",57.6,6.6
55,Eastern Wash. (Big Sky),35,26-9,"2,820",80.6,"2,588",73.9,6.6
56,Minnesota (Big Ten),33,18-15,"2,449",74.2,"2,233",67.7,6.5
57,Kansas (Big 12),36,27-9,"2,561",71.1,"2,333",64.8,6.3
57,Buffalo (MAC),33,23-10,"2,462",74.6,"2,253",68.3,6.3
59,Cincinnati (AAC),34,23-11,"2,113",62.1,"1,898",55.8,6.3
60,Vanderbilt (SEC),35,21-14,"2,472",70.6,"2,252",64.3,6.3
61,William & Mary (CAA),33,20-13,"2,414",73.2,"2,208",66.9,6.2
62,Iona (MAAC),35,26-9,"2,782",79.5,"2,564",73.3,6.2
63,Winthrop (Big South),32,19-13,"2,356",73.6,"2,159",67.5,6.2
64,Illinois St. (MVC),35,22-13,"2,385",68.1,"2,170",62,6.1
65,UC Davis (Big West),32,25-7,"2,263",70.7,"2,068",64.6,6.1
66,Xavier (Big East),37,23-14,"2,712",73.3,"2,492",67.4,5.9
67,West Virginia (Big 12),35,25-10,"2,542",72.6,"2,338",66.8,5.8
68,TCU (Big 12),33,18-15,"2,249",68.2,"2,058",62.4,5.8
69,Cleveland St. (Horizon),34,19-15,"2,294",67.5,"2,098",61.7,5.8
70,LSU (SEC),33,22-11,"2,423",73.4,"2,233",67.7,5.8
71,Chattanooga (SoCon),32,22-10,"2,325",72.7,"2,141",66.9,5.8
72,Indiana (Big Ten),34,20-14,"2,633",77.4,"2,438",71.7,5.7
73,Eastern Mich. (MAC),35,21-14,"2,429",69.4,"2,230",63.7,5.7
73,Maryland (Big Ten),35,28-7,"2,417",69.1,"2,218",63.4,5.7
75,Georgetown (Big East),33,22-11,"2,340",70.9,"2,153",65.2,5.7
76,Illinois (Big Ten),33,19-14,"2,281",69.1,"2,100",63.6,5.5
77,New Hampshire (America East),32,19-13,"2,148",67.1,"1,973",61.7,5.5
78,UTEP (C-USA),33,22-11,"2,282",69.2,"2,104",63.8,5.4
79,Stony Brook (America East),35,23-12,"2,290",65.4,"2,102",60.1,5.4
80,UC Irvine (Big West),34,21-13,"2,295",67.5,"2,113",62.1,5.4
81,High Point (Big South),33,23-10,"2,407",72.9,"2,231",67.6,5.3
82,Evansville (MVC),36,24-12,"2,552",70.9,"2,361",65.6,5.3
83,George Washington (Atlantic 10),35,22-13,"2,354",67.3,"2,169",62,5.3
84,Alabama St. (SWAC),29,19-10,"2,090",72.1,"1,937",66.8,5.3
85,Purdue (Big Ten),34,21-13,"2,373",69.8,"2,195",64.6,5.2
86,Radford (Big South),34,22-12,"2,476",72.8,"2,301",67.7,5.1
87,Akron (MAC),35,21-14,"2,382",68.1,"2,203",62.9,5.1
88,Saint Mary's (CA) (WCC),31,21-10,"2,141",69.1,"1,984",64,5.1
89,Wyoming (Mountain West),35,25-10,"2,151",61.5,"1,974",56.4,5.1
90,Stanford (Pac-12),37,24-13,"2,676",72.3,"2,491",67.3,5
91,Miami (FL) (ACC),38,25-13,"2,592",68.2,"2,404",63.3,4.9
92,Richmond (Atlantic 10),35,21-14,"2,313",66.1,"2,142",61.2,4.9
93,UT Martin (OVC),34,21-13,"2,390",70.3,"2,224",65.4,4.9
94,Albany (NY) (America East),33,24-9,"2,156",65.3,"1,996",60.5,4.8
95,Texas A&M (SEC),33,21-12,"2,236",67.8,"2,077",62.9,4.8
96,Morehead St. (OVC),34,17-17,"2,418",71.1,"2,255",66.3,4.8
97,Charleston So. (Big South),31,19-12,"2,277",73.5,"2,130",68.7,4.7
98,Hawaii (Big West),35,22-13,"2,551",72.9,"2,387",68.2,4.7
99,Temple (AAC),37,26-11,"2,436",65.8,"2,263",61.2,4.7
100,Oklahoma St. (Big 12),32,18-14,"2,160",67.5,"2,011",62.8,4.7
101,Oregon (Pac-12),36,26-10,"2,713",75.4,"2,550",70.8,4.5
102,St. Francis Brooklyn (NEC),35,23-12,"2,418",69.1,"2,262",64.6,4.5
103,UC Santa Barbara (Big West),33,19-14,"2,258",68.4,"2,112",64,4.4
104,NC State (ACC),36,22-14,"2,525",70.1,"2,367",65.8,4.4
105,Ole Miss (SEC),34,21-13,"2,475",72.8,"2,326",68.4,4.4
106,Western Ky. (C-USA),32,20-12,"2,285",71.4,"2,149",67.2,4.3
106,Memphis (AAC),32,18-14,"2,155",67.3,"2,019",63.1,4.3
108,Toledo (MAC),33,20-13,"2,483",75.2,"2,343",71,4.2
109,Syracuse (ACC),31,18-13,"2,096",67.6,"1,965",63.4,4.2
110,NJIT (Independent),33,21-12,"2,368",71.8,"2,229",67.5,4.2
110,FGCU (ASUN),33,22-11,"2,224",67.4,"2,085",63.2,4.2
112,Providence (Big East),34,22-12,"2,370",69.7,"2,227",65.5,4.2
113,ULM (Sun Belt),38,24-14,"2,454",64.6,"2,299",60.5,4.1
114,UConn (AAC),35,20-15,"2,243",64.1,"2,101",60,4.1
115,Mercer (SoCon),35,19-16,"2,334",66.7,"2,196",62.7,3.9
116,Montana (Big Sky),33,20-13,"2,347",71.1,"2,219",67.2,3.9
117,Norfolk St. (MEAC),34,20-14,"2,385",70.1,"2,254",66.3,3.9
118,Georgia (SEC),33,21-12,"2,250",68.2,"2,124",64.4,3.8
119,UCLA (Pac-12),36,22-14,"2,590",71.9,"2,453",68.1,3.8
120,UNLV (Mountain West),33,18-15,"2,250",68.2,"2,125",64.4,3.8
121,Florida (SEC),33,16-17,"2,101",63.7,"1,980",60,3.7
122,Tulsa (AAC),34,23-11,"2,188",64.4,"2,064",60.7,3.6
123,Belmont (OVC),33,22-11,"2,450",74.2,"2,330",70.6,3.6
124,Bowling Green (MAC),33,21-12,"2,194",66.5,"2,076",62.9,3.6
125,Northeastern (CAA),35,23-12,"2,397",68.5,"2,279",65.1,3.4
126,Kent St. (MAC),35,23-12,"2,313",66.1,"2,202",62.9,3.2
127,Princeton (Ivy League),30,16-14,"2,066",68.9,"1,972",65.7,3.1
128,St. John's (NY) (Big East),33,21-12,"2,343",71,"2,240",67.9,3.1
129,South Carolina (SEC),33,17-16,"2,146",65,"2,046",62,3
130,Alabama (SEC),34,19-15,"2,280",67.1,"2,180",64.1,2.9
131,Utah St. (Mountain West),31,18-13,"2,064",66.6,"1,973",63.6,2.9
132,Purdue Fort Wayne (Summit League),31,16-15,"2,171",70,"2,081",67.1,2.9
133,Arizona St. (Pac-12),34,18-16,"2,360",69.4,"2,263",66.6,2.9
134,Columbia (Ivy League),28,13-15,"1,816",64.9,"1,737",62,2.8
135,Sacramento St. (Big Sky),33,21-12,"2,342",71,"2,250",68.2,2.8
136,Canisius (MAAC),33,18-15,"2,168",65.7,"2,077",62.9,2.8
137,North Dakota St. (Summit League),33,23-10,"2,141",64.9,"2,055",62.3,2.6
138,St. Bonaventure (Atlantic 10),31,18-13,"2,085",67.3,"2,005",64.7,2.6
139,Loyola Chicago (MVC),37,24-13,"2,324",62.8,"2,235",60.4,2.4
140,Quinnipiac (MAAC),30,15-15,"2,092",69.7,"2,026",67.5,2.2
141,CSU Bakersfield (WAC),33,14-19,"2,100",63.6,"2,028",61.5,2.2
142,A&M-Corpus Christi (Southland),34,20-14,"2,266",66.6,"2,192",64.5,2.2
143,ETSU (SoCon),30,16-14,"2,201",73.4,"2,140",71.3,2
144,Manhattan (MAAC),33,19-14,"2,300",69.7,"2,234",67.7,2
145,UNC Asheville (Big South),31,15-16,"2,242",72.3,"2,183",70.4,1.9
146,Portland (WCC),33,17-16,"2,315",70.2,"2,253",68.3,1.9
147,San Diego (WCC),31,15-16,"2,006",64.7,"1,949",62.9,1.8
148,New Mexico (Mountain West),31,15-16,"1,921",62,"1,866",60.2,1.8
149,Oregon St. (Pac-12),31,17-14,"1,887",60.9,"1,834",59.2,1.7
150,Texas St. (Sun Belt),31,14-17,"1,905",61.5,"1,854",59.8,1.6
151,Colgate (Patriot),33,16-17,"2,177",66,"2,125",64.4,1.6
152,Rider (MAAC),33,21-12,"2,153",65.2,"2,103",63.7,1.5
153,San Francisco (WCC),32,14-18,"2,215",69.2,"2,167",67.7,1.5
153,Pepperdine (WCC),32,18-14,"2,020",63.1,"1,972",61.6,1.5
155,Pittsburgh (ACC),34,19-15,"2,279",67,"2,230",65.6,1.4
156,Charlotte (C-USA),32,14-18,"2,362",73.8,"2,317",72.4,1.4
157,Lehigh (Patriot),30,16-14,"2,042",68.1,"2,000",66.7,1.4
158,Western Mich. (MAC),34,20-14,"2,401",70.6,"2,354",69.2,1.4
159,Northern Ariz. (Big Sky),38,23-15,"2,606",68.6,"2,556",67.3,1.3
160,Northern Colo. (Big Sky),30,15-15,"2,242",74.7,"2,203",73.4,1.3
161,UNCW (CAA),32,18-14,"2,239",70,"2,200",68.8,1.2
162,Cal Poly (Big West),29,13-16,"1,752",60.4,"1,721",59.3,1.1
163,Idaho (Big Sky),30,13-17,"2,301",76.7,"2,269",75.6,1.1
164,Middle Tenn. (C-USA),36,19-17,"2,285",63.5,"2,247",62.4,1.1
165,Oral Roberts (Summit League),34,19-15,"2,377",69.9,"2,343",68.9,1
165,Cornell (Ivy League),30,13-17,"1,868",62.3,"1,838",61.3,1
167,Saint Peter's (MAAC),34,16-18,"2,081",61.2,"2,048",60.2,1
168,Northwestern St. (Southland),32,19-13,"2,687",84,"2,656",83,1
169,Southern U. (SWAC),35,18-17,"2,259",64.5,"2,226",63.6,0.9
170,La Salle (Atlantic 10),33,17-16,"2,086",63.2,"2,055",62.3,0.9
171,SIUE (OVC),28,12-16,"1,909",68.2,"1,884",67.3,0.9
172,Howard (MEAC),32,16-16,"2,032",63.5,"2,004",62.6,0.9
173,Colorado (Pac-12),34,16-18,"2,345",69,"2,317",68.1,0.8
173,Seattle U (WAC),34,18-16,"2,123",62.4,"2,095",61.6,0.8
175,Michigan (Big Ten),32,16-16,"2,071",64.7,"2,046",63.9,0.8
176,Tennessee Tech (OVC),30,12-18,"2,118",70.6,"2,095",69.8,0.8
176,Southeast Mo. St. (OVC),30,13-17,"2,087",69.6,"2,064",68.8,0.8
178,Washington (Pac-12),31,16-15,"2,128",68.6,"2,105",67.9,0.7
179,Monmouth (MAAC),33,18-15,"2,134",64.7,"2,110",63.9,0.7
180,Gardner-Webb (Big South),35,20-15,"2,619",74.8,"2,595",74.1,0.7
181,Penn St. (Big Ten),34,18-16,"2,273",66.9,"2,250",66.2,0.7
182,UAB (C-USA),36,20-16,"2,476",68.8,"2,452",68.1,0.7
183,Air Force (Mountain West),31,14-17,"2,037",65.7,"2,017",65.1,0.6
184,Clemson (ACC),31,16-15,"1,944",62.7,"1,927",62.2,0.5
185,Lafayette (Patriot),33,20-13,"2,426",73.5,"2,409",73,0.5
186,Robert Morris (NEC),35,20-15,"2,414",69,"2,397",68.5,0.5
187,Lamar University (Southland),30,15-15,"2,146",71.5,"2,132",71.1,0.5
188,UT Arlington (Sun Belt),31,16-15,"2,220",71.6,"2,206",71.2,0.5
189,Creighton (Big East),33,14-19,"2,221",67.3,"2,207",66.9,0.4
190,UMES (MEAC),33,18-15,"2,229",67.5,"2,216",67.2,0.4
191,Seton Hall (Big East),31,16-15,"2,119",68.4,"2,107",68,0.4
192,Saint Francis (PA) (NEC),32,16-16,"2,061",64.4,"2,050",64.1,0.3
193,UTSA (C-USA),30,14-16,"2,120",70.7,"2,111",70.4,0.3
194,Dartmouth (Ivy League),29,14-15,"1,835",63.3,"1,829",63.1,0.2
195,American (Patriot),33,17-16,"1,938",58.7,"1,933",58.6,0.2
196,Texas Southern (SWAC),35,22-13,"2,390",68.3,"2,386",68.2,0.1
197,Army West Point (Patriot),30,15-15,"2,164",72.1,"2,163",72.1,0
198,Elon (CAA),33,15-18,"2,329",70.6,"2,329",70.6,0
199,Detroit Mercy (Horizon),33,15-18,"2,334",70.7,"2,335",70.8,0
200,South Dakota (Summit League),33,17-16,"2,309",70,"2,312",70.1,-0.1
201,Bucknell (Patriot),34,19-15,"2,339",68.8,"2,346",69,-0.2
202,Sacred Heart (NEC),32,15-17,"2,360",73.8,"2,367",74,-0.2
203,Tulane (AAC),31,15-16,"1,973",63.6,"1,984",64,-0.4
204,Florida St. (ACC),33,17-16,"2,197",66.6,"2,210",67,-0.4
205,VMI (SoCon),30,11-19,"2,415",80.5,"2,428",80.9,-0.4
206,Portland St. (Big Sky),29,15-14,"2,083",71.8,"2,098",72.3,-0.5
207,Northern Ill. (MAC),30,14-16,"1,971",65.7,"1,989",66.3,-0.6
208,California (Pac-12),33,18-15,"2,195",66.5,"2,221",67.3,-0.8
209,UC Riverside (Big West),31,14-17,"2,025",65.3,"2,050",66.1,-0.8
210,Kansas St. (Big 12),32,15-17,"2,016",63,"2,042",63.8,-0.8
211,Denver (Summit League),30,12-18,"1,865",62.2,"1,890",63,-0.8
212,Tennessee (SEC),32,16-16,"2,025",63.3,"2,055",64.2,-0.9
213,Oakland (Horizon),33,16-17,"2,450",74.2,"2,482",75.2,-1
214,Long Beach St. (Big West),33,16-17,"2,188",66.3,"2,221",67.3,-1
215,Western Caro. (SoCon),32,15-17,"2,251",70.3,"2,284",71.4,-1
216,Weber St. (Big Sky),30,13-17,"2,010",67,"2,041",68,-1
217,Massachusetts (Atlantic 10),32,17-15,"2,220",69.4,"2,255",70.5,-1.1
217,Northwestern (Big Ten),32,15-17,"2,031",63.5,"2,066",64.6,-1.1
219,Little Rock (Sun Belt),31,13-18,"2,146",69.2,"2,180",70.3,-1.1
220,James Madison (CAA),33,19-14,"2,217",67.2,"2,254",68.3,-1.1
221,Kansas City (WAC),33,14-19,"2,164",65.6,"2,202",66.7,-1.2
222,Fresno St. (Mountain West),32,15-17,"2,086",65.2,"2,123",66.3,-1.2
222,Houston (AAC),32,13-19,"2,060",64.4,"2,097",65.5,-1.2
224,Hampton (MEAC),35,17-18,"2,346",67,"2,387",68.2,-1.2
225,Eastern Ill. (OVC),33,18-15,"2,097",63.5,"2,136",64.7,-1.2
226,Houston Baptist (Southland),28,12-16,"2,028",72.4,"2,063",73.7,-1.3
227,Georgia Tech (ACC),31,12-19,"1,962",63.3,"2,002",64.6,-1.3
228,Indiana St. (MVC),31,15-16,"2,060",66.5,"2,101",67.8,-1.3
229,Bryant (NEC),31,16-15,"2,058",66.4,"2,100",67.7,-1.4
230,Holy Cross (Patriot),30,14-16,"1,979",66,"2,020",67.3,-1.4
231,UNC Greensboro (SoCon),33,11-22,"2,290",69.4,"2,337",70.8,-1.4
232,Towson (CAA),32,12-20,"2,034",63.6,"2,080",65,-1.4
233,Boston U. (Patriot),30,13-17,"2,037",67.9,"2,085",69.5,-1.6
234,Boston College (ACC),32,13-19,"2,105",65.8,"2,157",67.4,-1.6
235,Nebraska (Big Ten),31,13-18,"1,905",61.5,"1,957",63.1,-1.7
236,Rice (C-USA),32,12-20,"2,052",64.1,"2,107",65.8,-1.7
236,Mississippi St. (SEC),32,13-19,"1,977",61.8,"2,032",63.5,-1.7
238,Mount St. Mary's (NEC),30,15-15,"1,893",63.1,"1,945",64.8,-1.7
239,McNeese (Southland),31,15-16,"2,154",69.5,"2,210",71.3,-1.8
240,East Carolina (AAC),33,14-19,"2,116",64.1,"2,176",65.9,-1.8
241,Marquette (Big East),32,13-19,"2,083",65.1,"2,145",67,-1.9
242,Delaware St. (MEAC),36,18-18,"2,533",70.4,"2,607",72.4,-2.1
243,Prairie View (SWAC),33,15-18,"2,211",67,"2,280",69.1,-2.1
244,Hartford (America East),30,14-16,"1,858",61.9,"1,924",64.1,-2.2
245,Southern Ill. (MVC),33,12-21,"1,968",59.6,"2,044",61.9,-2.3
246,Troy (Sun Belt),29,10-19,"1,946",67.1,"2,013",69.4,-2.3
247,New Orleans (Southland),29,11-18,"2,062",71.1,"2,133",73.6,-2.4
248,Campbell (Big South),32,10-22,"2,045",63.9,"2,124",66.4,-2.5
249,Samford (SoCon),32,13-19,"2,216",69.3,"2,301",71.9,-2.7
250,Saint Joseph's (Atlantic 10),31,13-18,"1,912",61.7,"1,999",64.5,-2.8
251,FIU (C-USA),33,16-17,"2,060",62.4,"2,153",65.2,-2.8
252,North Texas (C-USA),31,14-17,"2,025",65.3,"2,113",68.2,-2.8
253,Jackson St. (SWAC),32,11-21,"1,941",60.7,"2,032",63.5,-2.8
254,Lipscomb (ASUN),31,14-17,"2,232",72,"2,322",74.9,-2.9
254,Duquesne (Atlantic 10),31,12-19,"2,213",71.4,"2,303",74.3,-2.9
256,Wake Forest (ACC),32,13-19,"2,209",69,"2,307",72.1,-3.1
257,Brown (Ivy League),31,13-18,"2,048",66.1,"2,144",69.2,-3.1
258,Bethune-Cookman (MEAC),32,11-21,"1,899",59.3,"2,003",62.6,-3.3
259,Miami (OH) (MAC),32,13-19,"2,121",66.3,"2,226",69.6,-3.3
260,Youngstown St. (Horizon),32,11-21,"2,287",71.5,"2,394",74.8,-3.3
260,Navy (Patriot),32,13-19,"1,952",61,"2,059",64.3,-3.3
262,Santa Clara (WCC),32,14-18,"2,027",63.3,"2,136",66.8,-3.4
263,Texas Tech (Big 12),32,13-19,"1,949",60.9,"2,059",64.3,-3.4
264,Ball St. (MAC),30,7-23,"1,961",65.4,"2,068",68.9,-3.6
265,LIU (NEC),30,12-18,"2,022",67.4,"2,135",71.2,-3.8
266,Milwaukee (Horizon),30,14-16,"1,963",65.4,"2,077",69.2,-3.8
267,Wright St. (Horizon),31,11-20,"1,989",64.2,"2,107",68,-3.8
268,Pacific (WCC),31,12-19,"1,996",64.4,"2,115",68.2,-3.8
269,Southern California (Pac-12),32,12-20,"2,143",67,"2,271",71,-4
270,Virginia Tech (ACC),33,11-22,"2,156",65.3,"2,289",69.4,-4
271,Siena (MAAC),31,11-20,"2,164",69.8,"2,289",73.8,-4
272,Fla. Atlantic (C-USA),29,9-20,"1,815",62.6,"1,934",66.7,-4.1
273,Auburn (SEC),35,15-20,"2,378",67.9,"2,523",72.1,-4.1
274,Fordham (Atlantic 10),31,10-21,"2,015",65,"2,144",69.2,-4.2
275,DePaul (Big East),32,12-20,"2,220",69.4,"2,354",73.6,-4.2
276,Southeastern La. (Southland),32,9-23,"2,186",68.3,"2,324",72.6,-4.3
277,Bradley (MVC),33,9-24,"1,882",57,"2,026",61.4,-4.4
278,Furman (SoCon),33,11-22,"2,098",63.6,"2,245",68,-4.5
279,Missouri St. (MVC),31,11-20,"1,850",59.7,"1,989",64.2,-4.5
280,Ohio (MAC),30,10-20,"2,028",67.6,"2,166",72.2,-4.6
280,Idaho St. (Big Sky),30,7-23,"1,937",64.6,"2,075",69.2,-4.6
282,The Citadel (SoCon),30,11-19,"1,919",64,"2,058",68.6,-4.6
283,Southern Utah (Big Sky),29,10-19,"2,011",69.3,"2,146",74,-4.7
284,Marshall (C-USA),32,11-21,"2,137",66.8,"2,288",71.5,-4.7
285,Drexel (CAA),30,11-19,"1,787",59.6,"1,930",64.3,-4.8
286,George Mason (Atlantic 10),31,9-22,"1,996",64.4,"2,147",69.3,-4.9
287,South Alabama (Sun Belt),33,12-21,"2,275",68.9,"2,438",73.9,-4.9
288,Wagner (NEC),30,10-20,"2,052",68.4,"2,206",73.5,-5.1
289,Arkansas St. (Sun Belt),29,11-18,"1,869",64.4,"2,018",69.6,-5.1
290,Cal St. Fullerton (Big West),31,9-22,"1,991",64.2,"2,155",69.5,-5.3
291,Longwood (Big South),34,11-23,"2,311",68,"2,491",73.3,-5.3
292,CSUN (Big West),33,9-24,"2,148",65.1,"2,325",70.5,-5.4
293,Liberty (Big South),32,8-24,"2,045",63.9,"2,220",69.4,-5.5
294,Utah Valley (WAC),30,11-19,"1,758",58.6,"1,923",64.1,-5.5
295,UIC (Horizon),34,10-24,"2,201",64.7,"2,389",70.3,-5.5
296,North Dakota (Big Sky),30,8-22,"2,032",67.7,"2,201",73.4,-5.6
297,UCF (AAC),30,12-18,"1,981",66,"2,151",71.7,-5.7
298,Washington St. (Pac-12),31,13-18,"2,189",70.6,"2,373",76.5,-5.9
299,Col. of Charleston (CAA),33,9-24,"1,934",58.6,"2,131",64.6,-6
300,Fairleigh Dickinson (NEC),29,8-21,"1,956",67.4,"2,130",73.4,-6
301,Jacksonville St. (OVC),31,12-19,"1,939",62.5,"2,126",68.6,-6
301,Nevada (Mountain West),31,9-22,"1,874",60.5,"2,061",66.5,-6
303,Delaware (CAA),30,10-20,"1,979",66,"2,161",72,-6.1
304,Fairfield (MAAC),31,7-24,"1,845",59.5,"2,041",65.8,-6.3
305,IUPUI (Summit League),31,10-21,"1,883",60.7,"2,080",67.1,-6.4
306,Alabama A&M (SWAC),29,9-20,"1,797",62,"1,985",68.4,-6.5
307,Saint Louis (Atlantic 10),32,11-21,"1,912",59.8,"2,122",66.3,-6.6
308,App State (Sun Belt),29,12-17,"1,841",63.5,"2,033",70.1,-6.6
309,South Fla. (AAC),32,9-23,"1,970",61.6,"2,189",68.4,-6.8
310,Penn (Ivy League),28,9-19,"1,687",60.3,"1,882",67.2,-7
311,Ark.-Pine Bluff (SWAC),32,12-20,"1,912",59.8,"2,140",66.9,-7.1
311,N.C. A&T (MEAC),32,9-23,"1,884",58.9,"2,112",66,-7.1
313,South Carolina St. (MEAC),33,11-22,"1,965",59.5,"2,203",66.8,-7.2
314,Stetson (ASUN),31,9-22,"2,064",66.6,"2,290",73.9,-7.3
314,Drake (MVC),31,9-22,"1,844",59.5,"2,070",66.8,-7.3
316,Loyola Maryland (Patriot),30,11-19,"1,764",58.8,"1,985",66.2,-7.4
317,Presbyterian (Big South),32,10-22,"1,978",61.8,"2,214",69.2,-7.4
318,Missouri (SEC),32,9-23,"1,935",60.5,"2,173",67.9,-7.4
319,Niagara (MAAC),30,8-22,"1,928",64.3,"2,154",71.8,-7.5
320,Marist (MAAC),32,7-25,"1,957",61.2,"2,199",68.7,-7.6
321,Jacksonville (ASUN),32,10-22,"2,058",64.3,"2,303",72,-7.7
322,Montana St. (Big Sky),30,7-23,"1,917",63.9,"2,152",71.7,-7.8
323,Rutgers (Big Ten),32,10-22,"1,898",59.3,"2,150",67.2,-7.9
324,Austin Peay (OVC),30,8-22,"1,937",64.6,"2,178",72.6,-8
325,Nicholls (Southland),29,10-19,"1,883",64.9,"2,117",73,-8.1
326,Chicago St. (WAC),32,8-24,"1,855",58,"2,115",66.1,-8.1
327,UTRGV (WAC),31,10-21,"1,927",62.2,"2,179",70.3,-8.1
328,Southern Miss. (C-USA),29,9-20,"1,742",60.1,"1,978",68.2,-8.1
329,LMU (CA) (WCC),31,8-23,"1,928",62.2,"2,188",70.6,-8.4
330,Western Ill. (Summit League),28,8-20,"1,747",62.4,"1,983",70.8,-8.4
331,Binghamton (America East),32,6-26,"1,845",57.7,"2,124",66.4,-8.7
332,Morgan St. (MEAC),31,7-24,"1,898",61.2,"2,199",70.9,-9.7
333,Alcorn (SWAC),32,6-26,"2,066",64.6,"2,377",74.3,-9.7
334,Savannah St. (MEAC),31,9-22,"1,758",56.7,"2,072",66.8,-10.1
335,Tennessee St. (OVC),31,5-26,"1,793",57.8,"2,111",68.1,-10.3
336,Kennesaw St. (ASUN),32,10-22,"2,027",63.3,"2,363",73.8,-10.5
337,Coppin St. (MEAC),31,8-23,"2,219",71.6,"2,558",82.5,-10.9
337,Central Conn. St. (NEC),31,5-26,"1,834",59.2,"2,173",70.1,-10.9
339,UMBC (America East),30,4-26,"1,682",56.1,"2,013",67.1,-11
