Rank,Team,GM,W-L,FGM,FGA,FG%
45,Michigan St. (Big Ten),39,27-12,"1,014","2,181",46.5
46,Indiana (Big Ten),34,20-14,923,"1,989",46.4
47,Eastern Ky. (OVC),33,21-12,818,"1,763",46.4
48,Montana (Big Sky),33,20-13,828,"1,786",46.4
49,Iona (MAAC),35,26-9,950,"2,051",46.3
50,Oregon (Pac-12),36,26-10,992,"2,143",46.3
51,Charlotte (C-USA),32,14-18,858,"1,854",46.3
52,Minnesota (Big Ten),33,18-15,890,"1,924",46.3
53,Princeton (Ivy League),30,16-14,673,"1,455",46.3
54,Oakland (Horizon),33,16-17,857,"1,854",46.2
55,New Mexico St. (WAC),34,23-11,808,"1,748",46.2
56,American (Patriot),33,17-16,683,"1,479",46.2
57,Dayton (Atlantic 10),36,27-9,810,"1,755",46.2
58,Wyoming (Mountain West),35,25-10,747,"1,619",46.1
59,UC Irvine (Big West),34,21-13,854,"1,851",46.1
60,Northwestern St. (Southland),32,19-13,946,"2,053",46.1
61,Louisiana (Sun Belt),36,22-14,975,"2,125",45.9
62,Southeastern La. (Southland),32,9-23,807,"1,760",45.9
63,Green Bay (Horizon),33,24-9,829,"1,808",45.9
64,Radford (Big South),34,22-12,892,"1,946",45.8
65,Richmond (Atlantic 10),35,21-14,834,"1,821",45.8
66,Sacred Heart (NEC),32,15-17,874,"1,911",45.7
67,Virginia (ACC),34,30-4,804,"1,758",45.7
68,Florida St. (ACC),33,17-16,763,"1,669",45.7
69,Saint Mary's (CA) (WCC),31,21-10,752,"1,645",45.7
70,NJIT (Independent),33,21-12,808,"1,768",45.7
71,Drake (MVC),31,9-22,637,"1,396",45.6
72,Houston Baptist (Southland),28,12-16,728,"1,596",45.6
73,Valparaiso (Horizon),34,28-6,837,"1,836",45.6
74,Boise St. (Mountain West),34,25-9,831,"1,823",45.6
75,Georgetown (Big East),33,22-11,799,"1,753",45.6
76,Southern Utah (Big Sky),29,10-19,700,"1,537",45.5
77,LSU (SEC),33,22-11,892,"1,962",45.5
78,Western Mich. (MAC),34,20-14,819,"1,802",45.4
79,Wofford (SoCon),35,28-7,818,"1,802",45.4
80,Cleveland St. (Horizon),34,19-15,826,"1,820",45.4
81,UMES (MEAC),33,18-15,752,"1,660",45.3
82,Texas A&M (SEC),33,21-12,805,"1,778",45.3
83,Chattanooga (SoCon),32,22-10,793,"1,753",45.2
84,Lamar University (Southland),30,15-15,750,"1,658",45.2
85,South Dakota St. (Summit League),35,24-11,867,"1,918",45.2
86,Utah St. (Mountain West),31,18-13,721,"1,596",45.2
87,San Francisco (WCC),32,14-18,783,"1,735",45.1
88,James Madison (CAA),33,19-14,748,"1,660",45.1
89,The Citadel (SoCon),30,11-19,647,"1,436",45.1
90,Purdue (Big Ten),34,21-13,827,"1,840",44.9
91,Duquesne (Atlantic 10),31,12-19,803,"1,788",44.9
92,Winthrop (Big South),32,19-13,812,"1,810",44.9
93,Rhode Island (Atlantic 10),33,23-10,777,"1,732",44.9
94,Gardner-Webb (Big South),35,20-15,909,"2,027",44.8
95,Hofstra (CAA),34,20-14,902,"2,013",44.8
96,Pittsburgh (ACC),34,19-15,835,"1,866",44.7
97,Presbyterian (Big South),32,10-22,741,"1,656",44.7
98,Louisiana Tech (C-USA),36,27-9,945,"2,114",44.7
99,Cincinnati (AAC),34,23-11,761,"1,705",44.6
100,Boston U. (Patriot),30,13-17,668,"1,498",44.6
101,Virginia Tech (ACC),33,11-22,779,"1,747",44.6
102,A&M-Corpus Christi (Southland),34,20-14,748,"1,678",44.6
103,Boston College (ACC),32,13-19,743,"1,667",44.6
104,Arkansas (SEC),36,27-9,978,"2,196",44.5
105,Arizona St. (Pac-12),34,18-16,809,"1,818",44.5
106,UNLV (Mountain West),33,18-15,808,"1,816",44.5
107,Wichita St. (MVC),35,30-5,860,"1,933",44.5
108,Detroit Mercy (Horizon),33,15-18,840,"1,889",44.5
109,Texas Southern (SWAC),35,22-13,818,"1,840",44.5
110,Samford (SoCon),32,13-19,780,"1,756",44.4
111,Yale (Ivy League),32,22-10,740,"1,667",44.4
112,Portland (WCC),33,17-16,810,"1,825",44.4
113,Robert Morris (NEC),35,20-15,854,"1,926",44.3
114,UCLA (Pac-12),36,22-14,930,"2,099",44.3
115,Morehead St. (OVC),34,17-17,854,"1,930",44.2
116,UNC Greensboro (SoCon),33,11-22,838,"1,895",44.2
117,FIU (C-USA),33,16-17,749,"1,694",44.2
118,Seattle U (WAC),34,18-16,740,"1,674",44.2
119,Youngstown St. (Horizon),32,11-21,807,"1,826",44.2
120,St. John's (NY) (Big East),33,21-12,835,"1,890",44.2
121,UNCW (CAA),32,18-14,810,"1,834",44.2
122,Wright St. (Horizon),31,11-20,715,"1,619",44.2
123,USC Upstate (ASUN),36,24-12,938,"2,124",44.2
124,Lehigh (Patriot),30,16-14,724,"1,640",44.1
125,Tennessee Tech (OVC),30,12-18,768,"1,741",44.1
126,Alabama (SEC),34,19-15,760,"1,724",44.1
127,Army West Point (Patriot),30,15-15,779,"1,768",44.1
128,Miami (OH) (MAC),32,13-19,739,"1,678",44
129,Colorado St. (Mountain West),34,27-7,837,"1,901",44
130,Coastal Carolina (Big South),34,24-10,836,"1,899",44
131,Southeast Mo. St. (OVC),30,13-17,742,"1,686",44
132,Idaho St. (Big Sky),30,7-23,699,"1,589",44
133,Eastern Ill. (OVC),33,18-15,746,"1,696",44
134,Kansas (Big 12),36,27-9,869,"1,976",44
135,Oklahoma St. (Big 12),32,18-14,733,"1,667",44
136,UNC Asheville (Big South),31,15-16,780,"1,774",44
137,Portland St. (Big Sky),29,15-14,723,"1,645",44
138,California (Pac-12),33,18-15,821,"1,868",44
139,Maryland (Big Ten),35,28-7,781,"1,777",44
140,UT Arlington (Sun Belt),31,16-15,779,"1,773",43.9
141,Navy (Patriot),32,13-19,719,"1,637",43.9
142,Mercer (SoCon),35,19-16,808,"1,840",43.9
143,UC Santa Barbara (Big West),33,19-14,806,"1,836",43.9
144,Memphis (AAC),32,18-14,802,"1,827",43.9
145,New Orleans (Southland),29,11-18,704,"1,604",43.9
146,UConn (AAC),35,20-15,800,"1,824",43.9
147,Columbia (Ivy League),28,13-15,637,"1,453",43.8
148,Providence (Big East),34,22-12,828,"1,889",43.8
149,George Washington (Atlantic 10),35,22-13,827,"1,887",43.8
150,Hawaii (Big West),35,22-13,901,"2,056",43.8
151,Nicholls (Southland),29,10-19,662,"1,511",43.8
152,Saint Francis (PA) (NEC),32,16-16,724,"1,653",43.8
153,Rider (MAAC),33,21-12,784,"1,790",43.8
154,Washington (Pac-12),31,16-15,765,"1,747",43.8
155,Alabama St. (SWAC),29,19-10,761,"1,738",43.8
156,Bucknell (Patriot),34,19-15,800,"1,828",43.8
157,Albany (NY) (America East),33,24-9,729,"1,666",43.8
158,TCU (Big 12),33,18-15,791,"1,809",43.7
159,Marquette (Big East),32,13-19,742,"1,699",43.7
160,New Hampshire (America East),32,19-13,747,"1,712",43.6
161,Colorado (Pac-12),34,16-18,812,"1,861",43.6
162,North Dakota (Big Sky),30,8-22,713,"1,636",43.6
163,NC State (ACC),36,22-14,895,"2,054",43.6
164,Northwestern (Big Ten),32,15-17,727,"1,669",43.6
165,Buffalo (MAC),33,23-10,837,"1,922",43.5
166,DePaul (Big East),32,12-20,757,"1,739",43.5
167,Dartmouth (Ivy League),29,14-15,657,"1,510",43.5
168,Oklahoma (Big 12),35,24-11,885,"2,035",43.5
169,Western Ky. (C-USA),32,20-12,793,"1,824",43.5
170,Illinois St. (MVC),35,22-13,846,"1,946",43.5
171,Stanford (Pac-12),37,24-13,908,"2,089",43.5
172,Florida (SEC),33,16-17,766,"1,763",43.4
173,Western Caro. (SoCon),32,15-17,799,"1,839",43.4
174,Penn (Ivy League),28,9-19,599,"1,379",43.4
175,UCF (AAC),30,12-18,704,"1,621",43.4
176,Washington St. (Pac-12),31,13-18,743,"1,712",43.4
177,Baylor (Big 12),34,24-10,813,"1,874",43.4
178,North Dakota St. (Summit League),33,23-10,743,"1,713",43.4
179,Harvard (Ivy League),30,22-8,671,"1,548",43.3
180,Texas (Big 12),34,20-14,796,"1,837",43.3
181,Stetson (ASUN),31,9-22,744,"1,717",43.3
182,Ohio (MAC),30,10-20,727,"1,678",43.3
183,Kansas St. (Big 12),32,15-17,690,"1,593",43.3
184,South Fla. (AAC),32,9-23,745,"1,720",43.3
185,North Texas (C-USA),31,14-17,726,"1,678",43.3
186,Butler (Big East),34,23-11,814,"1,882",43.3
187,Manhattan (MAAC),33,19-14,756,"1,748",43.2
188,Massachusetts (Atlantic 10),32,17-15,772,"1,785",43.2
189,Liberty (Big South),32,8-24,717,"1,658",43.2
190,FGCU (ASUN),33,22-11,814,"1,883",43.2
191,Old Dominion (C-USA),35,27-8,836,"1,935",43.2
192,Georgia (SEC),33,21-12,747,"1,730",43.2
193,New Mexico (Mountain West),31,15-16,686,"1,589",43.2
194,Iowa (Big Ten),34,22-12,821,"1,905",43.1
195,Siena (MAAC),31,11-20,748,"1,736",43.1
196,SIUE (OVC),28,12-16,660,"1,532",43.1
197,Bowling Green (MAC),33,21-12,778,"1,806",43.1
198,Troy (Sun Belt),29,10-19,674,"1,567",43
199,Syracuse (ACC),31,18-13,763,"1,775",43
200,Southern Miss. (C-USA),29,9-20,618,"1,438",43
201,Mississippi St. (SEC),32,13-19,669,"1,557",43
202,Oral Roberts (Summit League),34,19-15,798,"1,859",42.9
203,Monmouth (MAAC),33,18-15,730,"1,702",42.9
204,Sam Houston (Southland),35,26-9,846,"1,973",42.9
205,Howard (MEAC),32,16-16,695,"1,621",42.9
206,Louisville (ACC),36,27-9,878,"2,048",42.9
207,Fresno St. (Mountain West),32,15-17,725,"1,692",42.8
208,Furman (SoCon),33,11-22,701,"1,636",42.8
209,Northern Ill. (MAC),30,14-16,661,"1,543",42.8
210,Miami (FL) (ACC),38,25-13,878,"2,053",42.8
211,UAB (C-USA),36,20-16,873,"2,042",42.8
212,Prairie View (SWAC),33,15-18,822,"1,923",42.7
213,ULM (Sun Belt),38,24-14,923,"2,162",42.7
214,Kent St. (MAC),35,23-12,797,"1,868",42.7
215,IUPUI (Summit League),31,10-21,692,"1,623",42.6
216,Campbell (Big South),32,10-22,705,"1,654",42.6
217,Longwood (Big South),34,11-23,809,"1,899",42.6
218,Michigan (Big Ten),32,16-16,734,"1,724",42.6
219,George Mason (Atlantic 10),31,9-22,708,"1,663",42.6
220,St. Bonaventure (Atlantic 10),31,18-13,733,"1,723",42.5
221,Indiana St. (MVC),31,15-16,681,"1,601",42.5
222,Tennessee (SEC),32,16-16,725,"1,706",42.5
223,CSUN (Big West),33,9-24,740,"1,742",42.5
224,Santa Clara (WCC),32,14-18,711,"1,675",42.4
225,Central Ark. (Southland),29,2-27,646,"1,524",42.4
226,Ball St. (MAC),30,7-23,669,"1,580",42.3
227,Elon (CAA),33,15-18,807,"1,906",42.3
228,Ole Miss (SEC),34,21-13,848,"2,003",42.3
229,McNeese (Southland),31,15-16,792,"1,873",42.3
230,Southern U. (SWAC),35,18-17,801,"1,895",42.3
231,Brown (Ivy League),31,13-18,686,"1,623",42.3
232,Pepperdine (WCC),32,18-14,704,"1,666",42.3
233,Southern California (Pac-12),32,12-20,787,"1,863",42.2
234,Weber St. (Big Sky),30,13-17,641,"1,518",42.2
235,East Carolina (AAC),33,14-19,750,"1,777",42.2
236,San Diego (WCC),31,15-16,690,"1,635",42.2
237,ETSU (SoCon),30,16-14,722,"1,712",42.2
238,Oregon St. (Pac-12),31,17-14,665,"1,577",42.2
239,South Dakota (Summit League),33,17-16,811,"1,924",42.2
240,UTSA (C-USA),30,14-16,717,"1,701",42.2
241,Milwaukee (Horizon),30,14-16,659,"1,564",42.1
242,Bryant (NEC),31,16-15,709,"1,683",42.1
243,Wake Forest (ACC),32,13-19,762,"1,809",42.1
244,Seton Hall (Big East),31,16-15,735,"1,745",42.1
245,Holy Cross (Patriot),30,14-16,692,"1,643",42.1
246,UTRGV (WAC),31,10-21,678,"1,610",42.1
247,Charleston So. (Big South),31,19-12,777,"1,846",42.1
248,Long Beach St. (Big West),33,16-17,761,"1,809",42.1
249,South Alabama (Sun Belt),33,12-21,762,"1,813",42
250,Creighton (Big East),33,14-19,746,"1,776",42
251,La Salle (Atlantic 10),33,17-16,738,"1,757",42
252,Penn St. (Big Ten),34,18-16,795,"1,893",42
253,CSU Bakersfield (WAC),33,14-19,715,"1,703",42
254,Rice (C-USA),32,12-20,679,"1,618",42
255,VCU (Atlantic 10),36,26-10,896,"2,139",41.9
256,Lipscomb (ASUN),31,14-17,741,"1,769",41.9
257,Southern Ill. (MVC),33,12-21,681,"1,627",41.9
258,Delaware St. (MEAC),36,18-18,888,"2,122",41.8
259,Fla. Atlantic (C-USA),29,9-20,651,"1,556",41.8
260,UC Riverside (Big West),31,14-17,707,"1,691",41.8
261,LMU (CA) (WCC),31,8-23,678,"1,622",41.8
262,Stony Brook (America East),35,23-12,835,"1,999",41.8
263,San Diego St. (Mountain West),36,27-9,800,"1,916",41.8
264,St. Francis Brooklyn (NEC),35,23-12,837,"2,005",41.7
265,Pacific (WCC),31,12-19,681,"1,633",41.7
266,Little Rock (Sun Belt),31,13-18,741,"1,779",41.7
267,Tulsa (AAC),34,23-11,758,"1,820",41.6
268,Akron (MAC),35,21-14,824,"1,982",41.6
269,Ga. Southern (Sun Belt),31,22-9,733,"1,765",41.5
270,Fordham (Atlantic 10),31,10-21,711,"1,713",41.5
271,Middle Tenn. (C-USA),36,19-17,773,"1,867",41.4
272,Illinois (Big Ten),33,19-14,786,"1,903",41.3
273,Cal St. Fullerton (Big West),31,9-22,698,"1,695",41.2
273,Saint Peter's (MAAC),34,16-18,698,"1,695",41.2
275,Nebraska (Big Ten),31,13-18,664,"1,613",41.2
276,Tulane (AAC),31,15-16,699,"1,700",41.1
277,Saint Louis (Atlantic 10),32,11-21,652,"1,587",41.1
278,Fairleigh Dickinson (NEC),29,8-21,681,"1,658",41.1
279,Towson (CAA),32,12-20,689,"1,678",41.1
280,Eastern Mich. (MAC),35,21-14,806,"1,963",41.1
281,UMBC (America East),30,4-26,591,"1,441",41
282,Delaware (CAA),30,10-20,675,"1,646",41
283,Savannah St. (MEAC),31,9-22,661,"1,612",41
284,Jacksonville (ASUN),32,10-22,701,"1,710",41
285,Clemson (ACC),31,16-15,689,"1,685",40.9
286,Canisius (MAAC),33,18-15,762,"1,864",40.9
287,West Virginia (Big 12),35,25-10,872,"2,138",40.8
288,Georgia Tech (ACC),31,12-19,734,"1,800",40.8
289,Arkansas St. (Sun Belt),29,11-18,664,"1,631",40.7
290,Kansas City (WAC),33,14-19,723,"1,776",40.7
291,Hampton (MEAC),35,17-18,796,"1,959",40.6
292,Missouri St. (MVC),31,11-20,654,"1,612",40.6
293,Texas Tech (Big 12),32,13-19,652,"1,610",40.5
294,Maine (America East),30,3-27,647,"1,599",40.5
295,Auburn (SEC),35,15-20,760,"1,880",40.4
296,Hartford (America East),30,14-16,645,"1,596",40.4
297,South Carolina (SEC),33,17-16,735,"1,819",40.4
298,Kennesaw St. (ASUN),32,10-22,717,"1,775",40.4
299,Saint Joseph's (Atlantic 10),31,13-18,688,"1,704",40.4
300,Northern Ariz. (Big Sky),38,23-15,878,"2,175",40.4
301,Texas St. (Sun Belt),31,14-17,664,"1,645",40.4
302,Missouri (SEC),32,9-23,683,"1,694",40.3
303,Mount St. Mary's (NEC),30,15-15,662,"1,645",40.2
304,Central Conn. St. (NEC),31,5-26,674,"1,675",40.2
305,Marshall (C-USA),32,11-21,738,"1,837",40.2
306,Col. of Charleston (CAA),33,9-24,686,"1,708",40.2
307,Western Ill. (Summit League),28,8-20,618,"1,543",40.1
308,Ark.-Pine Bluff (SWAC),32,12-20,656,"1,638",40
309,Wagner (NEC),30,10-20,722,"1,804",40
310,Bethune-Cookman (MEAC),32,11-21,627,"1,567",40
311,Utah Valley (WAC),30,11-19,616,"1,540",40
312,VMI (SoCon),30,11-19,829,"2,074",40
313,N.C. A&T (MEAC),32,9-23,648,"1,622",40
314,Niagara (MAAC),30,8-22,642,"1,608",39.9
315,Marist (MAAC),32,7-25,649,"1,629",39.8
316,Austin Peay (OVC),30,8-22,663,"1,667",39.8
317,Coppin St. (MEAC),31,8-23,758,"1,906",39.8
318,App State (Sun Belt),29,12-17,637,"1,602",39.8
319,Montana St. (Big Sky),30,7-23,662,"1,665",39.8
320,Alabama A&M (SWAC),29,9-20,608,"1,533",39.7
321,Binghamton (America East),32,6-26,633,"1,598",39.6
322,Cornell (Ivy League),30,13-17,615,"1,558",39.5
323,Tennessee St. (OVC),31,5-26,611,"1,548",39.5
324,Quinnipiac (MAAC),30,15-15,715,"1,813",39.4
325,Houston (AAC),32,13-19,705,"1,795",39.3
326,Rutgers (Big Ten),32,10-22,687,"1,751",39.2
327,LIU (NEC),30,12-18,677,"1,726",39.2
328,Drexel (CAA),30,11-19,614,"1,569",39.1
329,Cal Poly (Big West),29,13-16,620,"1,589",39
330,Fairfield (MAAC),31,7-24,614,"1,578",38.9
331,Alcorn (SWAC),32,6-26,724,"1,865",38.8
332,Temple (AAC),37,26-11,833,"2,149",38.8
333,UIC (Horizon),34,10-24,724,"1,870",38.7
334,Jackson St. (SWAC),32,11-21,701,"1,812",38.7
335,Mississippi Val. (SWAC),32,6-26,738,"1,911",38.6
336,South Carolina St. (MEAC),33,11-22,706,"1,844",38.3
337,Loyola Maryland (Patriot),30,11-19,607,"1,591",38.2
338,Jacksonville St. (OVC),31,12-19,647,"1,698",38.1
339,Nevada (Mountain West),31,9-22,637,"1,673",38.1
340,Chicago St. (WAC),32,8-24,659,"1,747",37.7
341,Bradley (MVC),33,9-24,639,"1,700",37.6
342,Florida A&M (MEAC),29,2-27,560,"1,500",37.3
343,Grambling (SWAC),29,2-27,512,"1,417",36.1
344,Morgan St. (MEAC),31,7-24,673,"1,877",35.9
345,San Jose St. (Mountain West),30,2-28,553,"1,559",35.5
