Rank,Team,W,L,Pct
60,Butler (Big East),23,11,67.6
60,New Mexico St. (WAC),23,11,67.6
64,Evansville (MVC),24,12,66.7
64,USC Upstate (ASUN),24,12,66.7
64,FGCU (ASUN),22,11,66.7
64,Belmont (OVC),22,11,66.7
64,LSU (SEC),22,11,66.7
64,Georgetown (Big East),22,11,66.7
64,UTEP (C-USA),22,11,66.7
71,Miami (FL) (ACC),25,13,65.8
72,Kent St. (MAC),23,12,65.7
72,Northeastern (CAA),23,12,65.7
72,North Florida (ASUN),23,12,65.7
72,St. Francis Brooklyn (NEC),23,12,65.7
72,Stony Brook (America East),23,12,65.7
77,Alabama St. (SWAC),19,10,65.5
78,Loyola Chicago (MVC),24,13,64.9
78,Stanford (Pac-12),24,13,64.9
80,Radford (Big South),22,12,64.7
80,Iowa (Big Ten),22,12,64.7
80,Providence (Big East),22,12,64.7
83,Bowling Green (MAC),21,12,63.6
83,Sacramento St. (Big Sky),21,12,63.6
83,Eastern Ky. (OVC),21,12,63.6
83,Georgia (SEC),21,12,63.6
83,Texas A&M (SEC),21,12,63.6
83,NJIT (Independent),21,12,63.6
83,Rider (MAAC),21,12,63.6
83,St. John's (NY) (Big East),21,12,63.6
91,ULM (Sun Belt),24,14,63.2
92,George Washington (Atlantic 10),22,13,62.9
92,Hawaii (Big West),22,13,62.9
92,Illinois St. (MVC),22,13,62.9
92,Texas Southern (SWAC),22,13,62.9
96,Western Ky. (C-USA),20,12,62.5
97,Xavier (Big East),23,14,62.2
98,Ole Miss (SEC),21,13,61.8
98,Purdue (Big Ten),21,13,61.8
98,UT Martin (OVC),21,13,61.8
98,UC Irvine (Big West),21,13,61.8
102,Charleston So. (Big South),19,12,61.3
103,Louisiana (Sun Belt),22,14,61.1
103,UCLA (Pac-12),22,14,61.1
103,NC State (ACC),22,14,61.1
106,Toledo (MAC),20,13,60.6
106,William & Mary (CAA),20,13,60.6
106,Lafayette (Patriot),20,13,60.6
106,Montana (Big Sky),20,13,60.6
110,Northern Ariz. (Big Sky),23,15,60.5
111,Richmond (Atlantic 10),21,14,60
111,Akron (MAC),21,14,60
111,Vanderbilt (SEC),21,14,60
111,Eastern Mich. (MAC),21,14,60
115,New Hampshire (America East),19,13,59.4
115,Winthrop (Big South),19,13,59.4
115,Northwestern St. (Southland),19,13,59.4
118,Western Mich. (MAC),20,14,58.8
118,Vermont (America East),20,14,58.8
118,Norfolk St. (MEAC),20,14,58.8
118,Hofstra (CAA),20,14,58.8
118,A&M-Corpus Christi (Southland),20,14,58.8
118,Texas (Big 12),20,14,58.8
118,Indiana (Big Ten),20,14,58.8
125,Utah St. (Mountain West),18,13,58.1
125,St. Bonaventure (Atlantic 10),18,13,58.1
125,Syracuse (ACC),18,13,58.1
128,UC Santa Barbara (Big West),19,14,57.6
128,James Madison (CAA),19,14,57.6
128,Manhattan (MAAC),19,14,57.6
128,Illinois (Big Ten),19,14,57.6
132,Gardner-Webb (Big South),20,15,57.1
132,Robert Morris (NEC),20,15,57.1
132,UConn (AAC),20,15,57.1
135,Memphis (AAC),18,14,56.3
135,Pepperdine (WCC),18,14,56.3
135,Oklahoma St. (Big 12),18,14,56.3
135,UNCW (CAA),18,14,56.3
139,Alabama (SEC),19,15,55.9
139,Bucknell (Patriot),19,15,55.9
139,Pittsburgh (ACC),19,15,55.9
139,Cleveland St. (Horizon),19,15,55.9
139,Oral Roberts (Summit League),19,15,55.9
144,UAB (C-USA),20,16,55.6
145,Oregon St. (Pac-12),17,14,54.8
146,Canisius (MAAC),18,15,54.5
146,Eastern Ill. (OVC),18,15,54.5
146,UMES (MEAC),18,15,54.5
146,Minnesota (Big Ten),18,15,54.5
146,Monmouth (MAAC),18,15,54.5
146,UNLV (Mountain West),18,15,54.5
146,California (Pac-12),18,15,54.5
146,TCU (Big 12),18,15,54.5
154,Mercer (SoCon),19,16,54.3
155,Princeton (Ivy League),16,14,53.3
155,Lehigh (Patriot),16,14,53.3
155,ETSU (SoCon),16,14,53.3
158,Massachusetts (Atlantic 10),17,15,53.1
159,Arizona St. (Pac-12),18,16,52.9
159,Seattle U (WAC),18,16,52.9
159,Penn St. (Big Ten),18,16,52.9
162,Middle Tenn. (C-USA),19,17,52.8
163,Portland St. (Big Sky),15,14,51.7
164,UT Arlington (Sun Belt),16,15,51.6
164,Clemson (ACC),16,15,51.6
164,Purdue Fort Wayne (Summit League),16,15,51.6
164,Seton Hall (Big East),16,15,51.6
164,Bryant (NEC),16,15,51.6
164,Washington (Pac-12),16,15,51.6
170,South Dakota (Summit League),17,16,51.5
170,South Carolina (SEC),17,16,51.5
170,American (Patriot),17,16,51.5
170,La Salle (Atlantic 10),17,16,51.5
170,Florida St. (ACC),17,16,51.5
170,Portland (WCC),17,16,51.5
176,Southern U. (SWAC),18,17,51.4
177,Delaware St. (MEAC),18,18,50
177,Morehead St. (OVC),17,17,50
177,Tennessee (SEC),16,16,50
177,Saint Francis (PA) (NEC),16,16,50
177,Michigan (Big Ten),16,16,50
177,Howard (MEAC),16,16,50
177,Quinnipiac (MAAC),15,15,50
177,Northern Colo. (Big Sky),15,15,50
177,Army West Point (Patriot),15,15,50
177,Lamar University (Southland),15,15,50
177,Mount St. Mary's (NEC),15,15,50
188,Hampton (MEAC),17,18,48.6
189,Colgate (Patriot),16,17,48.5
189,Oakland (Horizon),16,17,48.5
189,Florida (SEC),16,17,48.5
189,Long Beach St. (Big West),16,17,48.5
189,FIU (C-USA),16,17,48.5
194,Indiana St. (MVC),15,16,48.4
194,McNeese (Southland),15,16,48.4
194,UNC Asheville (Big South),15,16,48.4
194,New Mexico (Mountain West),15,16,48.4
194,San Diego (WCC),15,16,48.4
194,Tulane (AAC),15,16,48.4
200,Dartmouth (Ivy League),14,15,48.3
201,Saint Peter's (MAAC),16,18,47.1
201,Colorado (Pac-12),16,18,47.1
203,Western Caro. (SoCon),15,17,46.9
203,Sacred Heart (NEC),15,17,46.9
203,Northwestern (Big Ten),15,17,46.9
203,Fresno St. (Mountain West),15,17,46.9
203,Kansas St. (Big 12),15,17,46.9
208,UTSA (C-USA),14,16,46.7
208,Milwaukee (Horizon),14,16,46.7
208,Holy Cross (Patriot),14,16,46.7
208,Hartford (America East),14,16,46.7
208,Northern Ill. (MAC),14,16,46.7
213,Columbia (Ivy League),13,15,46.4
214,Prairie View (SWAC),15,18,45.5
214,Elon (CAA),15,18,45.5
214,Detroit Mercy (Horizon),15,18,45.5
217,Lipscomb (ASUN),14,17,45.2
217,Texas St. (Sun Belt),14,17,45.2
217,North Texas (C-USA),14,17,45.2
217,Air Force (Mountain West),14,17,45.2
217,UC Riverside (Big West),14,17,45.2
222,Cal Poly (Big West),13,16,44.8
223,Charlotte (C-USA),14,18,43.8
223,Santa Clara (WCC),14,18,43.8
223,San Francisco (WCC),14,18,43.8
226,Weber St. (Big Sky),13,17,43.3
226,Southeast Mo. St. (OVC),13,17,43.3
226,Idaho (Big Sky),13,17,43.3
226,Cornell (Ivy League),13,17,43.3
226,Boston U. (Patriot),13,17,43.3
231,Auburn (SEC),15,20,42.9
231,SIUE (OVC),12,16,42.9
231,Houston Baptist (Southland),12,16,42.9
234,Kansas City (WAC),14,19,42.4
234,Creighton (Big East),14,19,42.4
234,CSU Bakersfield (WAC),14,19,42.4
234,East Carolina (AAC),14,19,42.4
238,Saint Joseph's (Atlantic 10),13,18,41.9
238,Little Rock (Sun Belt),13,18,41.9
238,Brown (Ivy League),13,18,41.9
238,Washington St. (Pac-12),13,18,41.9
238,Nebraska (Big Ten),13,18,41.9
243,App State (Sun Belt),12,17,41.4
244,Boston College (ACC),13,19,40.6
244,Miami (OH) (MAC),13,19,40.6
244,Navy (Patriot),13,19,40.6
244,Texas Tech (Big 12),13,19,40.6
244,Samford (SoCon),13,19,40.6
244,Houston (AAC),13,19,40.6
244,Marquette (Big East),13,19,40.6
244,Wake Forest (ACC),13,19,40.6
244,Mississippi St. (SEC),13,19,40.6
253,LIU (NEC),12,18,40
253,Tennessee Tech (OVC),12,18,40
253,Denver (Summit League),12,18,40
253,UCF (AAC),12,18,40
257,Duquesne (Atlantic 10),12,19,38.7
257,Pacific (WCC),12,19,38.7
257,Jacksonville St. (OVC),12,19,38.7
257,Georgia Tech (ACC),12,19,38.7
261,Arkansas St. (Sun Belt),11,18,37.9
261,New Orleans (Southland),11,18,37.9
263,Southern California (Pac-12),12,20,37.5
263,Towson (CAA),12,20,37.5
263,Ark.-Pine Bluff (SWAC),12,20,37.5
263,DePaul (Big East),12,20,37.5
263,Rice (C-USA),12,20,37.5
268,VMI (SoCon),11,19,36.7
268,Drexel (CAA),11,19,36.7
268,Loyola Maryland (Patriot),11,19,36.7
268,Utah Valley (WAC),11,19,36.7
268,The Citadel (SoCon),11,19,36.7
273,Southern Ill. (MVC),12,21,36.4
273,South Alabama (Sun Belt),12,21,36.4
275,Siena (MAAC),11,20,35.5
275,Wright St. (Horizon),11,20,35.5
275,Missouri St. (MVC),11,20,35.5
278,Nicholls (Southland),10,19,34.5
278,Troy (Sun Belt),10,19,34.5
278,Southern Utah (Big Sky),10,19,34.5
281,Youngstown St. (Horizon),11,21,34.4
281,Saint Louis (Atlantic 10),11,21,34.4
281,Marshall (C-USA),11,21,34.4
281,Jackson St. (SWAC),11,21,34.4
281,Bethune-Cookman (MEAC),11,21,34.4
286,Virginia Tech (ACC),11,22,33.3
286,South Carolina St. (MEAC),11,22,33.3
286,UNC Greensboro (SoCon),11,22,33.3
286,Furman (SoCon),11,22,33.3
286,Wagner (NEC),10,20,33.3
286,Delaware (CAA),10,20,33.3
286,Ohio (MAC),10,20,33.3
293,Longwood (Big South),11,23,32.4
294,Fordham (Atlantic 10),10,21,32.3
294,IUPUI (Summit League),10,21,32.3
294,UTRGV (WAC),10,21,32.3
297,Penn (Ivy League),9,19,32.1
298,Jacksonville (ASUN),10,22,31.3
298,Kennesaw St. (ASUN),10,22,31.3
298,Rutgers (Big Ten),10,22,31.3
298,Campbell (Big South),10,22,31.3
298,Presbyterian (Big South),10,22,31.3
303,Fla. Atlantic (C-USA),9,20,31
303,Southern Miss. (C-USA),9,20,31
303,Alabama A&M (SWAC),9,20,31
306,UIC (Horizon),10,24,29.4
307,Drake (MVC),9,22,29
307,George Mason (Atlantic 10),9,22,29
307,Stetson (ASUN),9,22,29
307,Nevada (Mountain West),9,22,29
307,Savannah St. (MEAC),9,22,29
307,Cal St. Fullerton (Big West),9,22,29
313,Western Ill. (Summit League),8,20,28.6
314,N.C. A&T (MEAC),9,23,28.1
314,Southeastern La. (Southland),9,23,28.1
314,Missouri (SEC),9,23,28.1
314,South Fla. (AAC),9,23,28.1
318,Fairleigh Dickinson (NEC),8,21,27.6
319,Col. of Charleston (CAA),9,24,27.3
319,Bradley (MVC),9,24,27.3
319,CSUN (Big West),9,24,27.3
322,Austin Peay (OVC),8,22,26.7
322,North Dakota (Big Sky),8,22,26.7
322,Niagara (MAAC),8,22,26.7
325,Coppin St. (MEAC),8,23,25.8
325,LMU (CA) (WCC),8,23,25.8
327,Liberty (Big South),8,24,25
327,Chicago St. (WAC),8,24,25
329,Ball St. (MAC),7,23,23.3
329,Montana St. (Big Sky),7,23,23.3
329,Idaho St. (Big Sky),7,23,23.3
332,Morgan St. (MEAC),7,24,22.6
332,Fairfield (MAAC),7,24,22.6
334,Marist (MAAC),7,25,21.9
335,Alcorn (SWAC),6,26,18.8
335,Mississippi Val. (SWAC),6,26,18.8
335,Binghamton (America East),6,26,18.8
338,Tennessee St. (OVC),5,26,16.1
338,Central Conn. St. (NEC),5,26,16.1
340,UMBC (America East),4,26,13.3
341,Maine (America East),3,27,10
342,Florida A&M (MEAC),2,27,6.9
342,Central Ark. (Southland),2,27,6.9
342,Grambling (SWAC),2,27,6.9
345,San Jose St. (Mountain West),2,28,6.7
