Rank,Team,GM,W-L,3FG,3FGA,3FG%
69,Duquesne (Atlantic 10),31,12-19,245,663,37
70,UNLV (Mountain West),33,18-15,236,639,36.9
71,N.C. Central (MEAC),33,25-8,219,593,36.9
72,Longwood (Big South),34,11-23,275,746,36.9
73,UCLA (Pac-12),36,22-14,223,606,36.8
74,Boston U. (Patriot),30,13-17,232,631,36.8
75,New Mexico St. (WAC),34,23-11,165,450,36.7
76,ETSU (SoCon),30,16-14,280,764,36.6
77,Toledo (MAC),33,20-13,195,533,36.6
78,UTEP (C-USA),33,22-11,185,506,36.6
79,Wisconsin (Big Ten),40,36-4,288,790,36.5
80,Columbia (Ivy League),28,13-15,244,670,36.4
81,Western Mich. (MAC),34,20-14,236,649,36.4
82,SMU (AAC),34,27-7,145,400,36.3
83,Iowa St. (Big 12),34,25-9,263,726,36.2
83,Oregon (Pac-12),36,26-10,263,726,36.2
85,Rice (C-USA),32,12-20,289,798,36.2
86,Western Ky. (C-USA),32,20-12,248,685,36.2
87,Hofstra (CAA),34,20-14,303,837,36.2
88,Oakland (Horizon),33,16-17,259,716,36.2
89,UNC Greensboro (SoCon),33,11-22,216,598,36.1
90,Kent St. (MAC),35,23-12,250,693,36.1
91,Coastal Carolina (Big South),34,24-10,228,633,36
92,Arizona (Pac-12),38,34-4,193,536,36
93,South Dakota (Summit League),33,17-16,212,589,36
94,California (Pac-12),33,18-15,185,515,35.9
95,Michigan (Big Ten),32,16-16,250,696,35.9
96,Northwestern (Big Ten),32,15-17,228,635,35.9
97,Jacksonville (ASUN),32,10-22,203,566,35.9
98,Middle Tenn. (C-USA),36,19-17,242,675,35.9
99,Albany (NY) (America East),33,24-9,205,572,35.8
100,Alabama St. (SWAC),29,19-10,172,480,35.8
101,Louisiana (Sun Belt),36,22-14,240,670,35.8
102,Montana St. (Big Sky),30,7-23,246,687,35.8
103,Winthrop (Big South),32,19-13,251,701,35.8
104,North Carolina (ACC),38,26-12,184,514,35.8
105,Miami (FL) (ACC),38,25-13,292,816,35.8
106,Weber St. (Big Sky),30,13-17,217,607,35.7
107,UNC Asheville (Big South),31,15-16,233,652,35.7
108,Eastern Ky. (OVC),33,21-12,299,837,35.7
109,Coppin St. (MEAC),31,8-23,295,826,35.7
110,Purdue Fort Wayne (Summit League),31,16-15,221,619,35.7
111,Northwestern St. (Southland),32,19-13,264,740,35.7
112,Dayton (Atlantic 10),36,27-9,239,670,35.7
112,Wichita St. (MVC),35,30-5,239,670,35.7
114,Indiana St. (MVC),31,15-16,225,631,35.7
115,Oral Roberts (Summit League),34,19-15,205,575,35.7
116,NC State (ACC),36,22-14,236,662,35.6
117,Campbell (Big South),32,10-22,262,736,35.6
118,Butler (Big East),34,23-11,192,540,35.6
119,Illinois (Big Ten),33,19-14,238,670,35.5
120,Evansville (MVC),36,24-12,153,431,35.5
121,UConn (AAC),35,20-15,226,637,35.5
122,Vermont (America East),34,20-14,182,513,35.5
123,Harvard (Ivy League),30,22-8,146,412,35.4
124,LMU (CA) (WCC),31,8-23,160,452,35.4
125,Youngstown St. (Horizon),32,11-21,208,588,35.4
126,Delaware St. (MEAC),36,18-18,282,798,35.3
127,Georgetown (Big East),33,22-11,201,569,35.3
128,Central Ark. (Southland),29,2-27,196,556,35.3
129,Idaho St. (Big Sky),30,7-23,148,420,35.2
130,George Washington (Atlantic 10),35,22-13,192,545,35.2
131,Virginia (ACC),34,30-4,170,483,35.2
132,DePaul (Big East),32,12-20,248,705,35.2
133,East Carolina (AAC),33,14-19,233,663,35.1
134,Xavier (Big East),37,23-14,234,666,35.1
135,Niagara (MAAC),30,8-22,184,524,35.1
136,Elon (CAA),33,15-18,240,684,35.1
137,Colorado St. (Mountain West),34,27-7,245,699,35.1
138,Gardner-Webb (Big South),35,20-15,288,822,35
139,Western Ill. (Summit League),28,8-20,188,537,35
140,UCF (AAC),30,12-18,202,577,35
141,Akron (MAC),35,21-14,328,937,35
142,Arizona St. (Pac-12),34,18-16,231,660,35
142,Chattanooga (SoCon),32,22-10,217,620,35
144,Fla. Atlantic (C-USA),29,9-20,212,606,35
145,Tennessee St. (OVC),31,5-26,170,486,35
146,Seton Hall (Big East),31,16-15,213,609,35
147,Arkansas (SEC),36,27-9,238,681,34.9
148,Oklahoma St. (Big 12),32,18-14,226,647,34.9
149,Santa Clara (WCC),32,14-18,222,636,34.9
150,Kentucky (SEC),39,38-1,203,582,34.9
151,UNCW (CAA),32,18-14,162,465,34.8
152,St. John's (NY) (Big East),33,21-12,198,569,34.8
153,Northern Ariz. (Big Sky),38,23-15,255,734,34.7
154,Texas A&M (SEC),33,21-12,181,521,34.7
155,Samford (SoCon),32,13-19,204,588,34.7
156,Auburn (SEC),35,15-20,252,727,34.7
157,Mercer (SoCon),35,19-16,212,612,34.6
158,Bryant (NEC),31,16-15,226,653,34.6
159,Norfolk St. (MEAC),34,20-14,190,549,34.6
160,Dartmouth (Ivy League),29,14-15,173,500,34.6
161,Penn (Ivy League),28,9-19,155,448,34.6
162,Pacific (WCC),31,12-19,202,584,34.6
163,Delaware (CAA),30,10-20,199,576,34.5
164,Lehigh (Patriot),30,16-14,164,475,34.5
165,Creighton (Big East),33,14-19,262,759,34.5
166,Little Rock (Sun Belt),31,13-18,219,636,34.4
167,Morehead St. (OVC),34,17-17,220,639,34.4
168,Illinois St. (MVC),35,22-13,212,616,34.4
169,Marquette (Big East),32,13-19,207,602,34.4
170,UC Riverside (Big West),31,14-17,207,603,34.3
171,VCU (Atlantic 10),36,26-10,293,854,34.3
172,Oklahoma (Big 12),35,24-11,236,688,34.3
173,Saint Peter's (MAAC),34,16-18,193,563,34.3
174,Col. of Charleston (CAA),33,9-24,197,575,34.3
175,Miami (OH) (MAC),32,13-19,187,546,34.2
176,Long Beach St. (Big West),33,16-17,230,672,34.2
177,San Diego (WCC),31,15-16,192,561,34.2
178,Ball St. (MAC),30,7-23,234,684,34.2
179,Western Caro. (SoCon),32,15-17,197,576,34.2
180,Georgia (SEC),33,21-12,184,538,34.2
181,Washington St. (Pac-12),31,13-18,214,626,34.2
182,Southeast Mo. St. (OVC),30,13-17,189,553,34.2
183,Buffalo (MAC),33,23-10,199,583,34.1
184,Charleston So. (Big South),31,19-12,288,845,34.1
185,Ohio (MAC),30,10-20,217,637,34.1
186,San Francisco (WCC),32,14-18,203,596,34.1
187,Wright St. (Horizon),31,11-20,194,571,34
188,Richmond (Atlantic 10),35,21-14,231,680,34
189,Holy Cross (Patriot),30,14-16,189,557,33.9
190,Pittsburgh (ACC),34,19-15,164,484,33.9
191,LSU (SEC),33,22-11,189,558,33.9
192,Texas (Big 12),34,20-14,212,626,33.9
193,Milwaukee (Horizon),30,14-16,211,624,33.8
194,Monmouth (MAAC),33,18-15,171,506,33.8
195,Bowling Green (MAC),33,21-12,218,647,33.7
196,FGCU (ASUN),33,22-11,197,585,33.7
197,New Orleans (Southland),29,11-18,123,366,33.6
198,USC Upstate (ASUN),36,24-12,290,863,33.6
199,Manhattan (MAAC),33,19-14,215,640,33.6
200,CSU Bakersfield (WAC),33,14-19,186,554,33.6
201,Wake Forest (ACC),32,13-19,206,614,33.6
202,Kansas St. (Big 12),32,15-17,141,421,33.5
203,Colorado (Pac-12),34,16-18,179,535,33.5
204,Radford (Big South),34,22-12,212,634,33.4
205,South Alabama (Sun Belt),33,12-21,214,640,33.4
206,Penn St. (Big Ten),34,18-16,227,679,33.4
207,Rider (MAAC),33,21-12,200,599,33.4
208,Saint Francis (PA) (NEC),32,16-16,226,677,33.4
209,Washington (Pac-12),31,16-15,193,579,33.3
209,Iowa (Big Ten),34,22-12,192,576,33.3
209,Georgia St. (Sun Belt),35,25-10,174,522,33.3
212,Kansas City (WAC),33,14-19,216,649,33.3
213,UAB (C-USA),36,20-16,202,607,33.3
214,Prairie View (SWAC),33,15-18,177,532,33.3
215,Ole Miss (SEC),34,21-13,220,662,33.2
216,Ark.-Pine Bluff (SWAC),32,12-20,203,611,33.2
217,Troy (Sun Belt),29,10-19,192,578,33.2
218,Siena (MAAC),31,11-20,152,458,33.2
219,Stony Brook (America East),35,23-12,191,576,33.2
220,North Dakota (Big Sky),30,8-22,180,543,33.1
221,Fairleigh Dickinson (NEC),29,8-21,208,628,33.1
222,Tennessee (SEC),32,16-16,194,586,33.1
223,A&M-Corpus Christi (Southland),34,20-14,165,499,33.1
224,Southern Miss. (C-USA),29,9-20,183,554,33
225,Southern Ill. (MVC),33,12-21,138,418,33
226,Mount St. Mary's (NEC),30,15-15,228,691,33
227,Cincinnati (AAC),34,23-11,167,507,32.9
228,Stetson (ASUN),31,9-22,193,586,32.9
229,Sam Houston (Southland),35,26-9,266,808,32.9
230,Missouri (SEC),32,9-23,196,596,32.9
231,Southern California (Pac-12),32,12-20,170,517,32.9
232,Arkansas St. (Sun Belt),29,11-18,169,514,32.9
233,Lipscomb (ASUN),31,14-17,253,770,32.9
234,Furman (SoCon),33,11-22,216,658,32.8
235,Navy (Patriot),32,13-19,170,518,32.8
236,Memphis (AAC),32,18-14,166,506,32.8
237,Louisiana Tech (C-USA),36,27-9,248,756,32.8
238,TCU (Big 12),33,18-15,150,459,32.7
239,Purdue (Big Ten),34,21-13,195,597,32.7
240,CSUN (Big West),33,9-24,110,337,32.6
241,Liberty (Big South),32,8-24,154,472,32.6
242,Tulane (AAC),31,15-16,199,610,32.6
243,UMBC (America East),30,4-26,153,469,32.6
244,Drexel (CAA),30,11-19,176,540,32.6
245,Saint Louis (Atlantic 10),32,11-21,172,528,32.6
246,Army West Point (Patriot),30,15-15,227,697,32.6
247,Wyoming (Mountain West),35,25-10,209,642,32.6
248,Hartford (America East),30,14-16,235,722,32.5
249,Old Dominion (C-USA),35,27-8,207,636,32.5
250,UTSA (C-USA),30,14-16,191,587,32.5
251,Loyola Maryland (Patriot),30,11-19,148,456,32.5
252,LIU (NEC),30,12-18,195,601,32.4
253,Boston College (ACC),32,13-19,207,638,32.4
254,UIC (Horizon),34,10-24,204,629,32.4
255,Kennesaw St. (ASUN),32,10-22,214,661,32.4
256,Maine (America East),30,3-27,197,609,32.3
257,Florida (SEC),33,16-17,218,674,32.3
258,Houston Baptist (Southland),28,12-16,129,399,32.3
259,Oregon St. (Pac-12),31,17-14,160,495,32.3
260,Texas Tech (Big 12),32,13-19,169,524,32.3
261,Fairfield (MAAC),31,7-24,198,614,32.2
262,Texas Southern (SWAC),35,22-13,185,574,32.2
263,Hawaii (Big West),35,22-13,226,702,32.2
264,Central Conn. St. (NEC),31,5-26,146,454,32.2
265,Tennessee Tech (OVC),30,12-18,169,526,32.1
266,La Salle (Atlantic 10),33,17-16,166,517,32.1
267,Tulsa (AAC),34,23-11,188,586,32.1
268,Fresno St. (Mountain West),32,15-17,179,559,32
269,George Mason (Atlantic 10),31,9-22,130,406,32
270,Houston (AAC),32,13-19,259,809,32
271,Presbyterian (Big South),32,10-22,136,425,32
272,San Diego St. (Mountain West),36,27-9,189,591,32
273,Sacred Heart (NEC),32,15-17,169,529,31.9
274,Cal St. Fullerton (Big West),31,9-22,167,523,31.9
275,Brown (Ivy League),31,13-18,175,549,31.9
276,Lamar University (Southland),30,15-15,169,532,31.8
277,Canisius (MAAC),33,18-15,215,677,31.8
278,VMI (SoCon),30,11-19,342,"1,078",31.7
279,Alabama (SEC),34,19-15,221,697,31.7
280,Northern Ill. (MAC),30,14-16,149,470,31.7
281,Marshall (C-USA),32,11-21,249,787,31.6
282,UT Arlington (Sun Belt),31,16-15,205,648,31.6
283,App State (Sun Belt),29,12-17,186,588,31.6
284,Ga. Southern (Sun Belt),31,22-9,234,740,31.6
285,West Virginia (Big 12),35,25-10,227,719,31.6
286,Marist (MAAC),32,7-25,226,717,31.5
287,Texas St. (Sun Belt),31,14-17,159,506,31.4
288,St. Bonaventure (Atlantic 10),31,18-13,158,503,31.4
289,Providence (Big East),34,22-12,171,546,31.3
290,Pepperdine (WCC),32,18-14,145,463,31.3
291,Southeastern La. (Southland),32,9-23,185,591,31.3
292,Florida St. (ACC),33,17-16,147,470,31.3
293,Cornell (Ivy League),30,13-17,181,579,31.3
294,Nicholls (Southland),29,10-19,155,496,31.3
295,Towson (CAA),32,12-20,134,429,31.2
296,Wagner (NEC),30,10-20,179,574,31.2
297,Cal Poly (Big West),29,13-16,166,533,31.1
298,McNeese (Southland),31,15-16,193,620,31.1
299,FIU (C-USA),33,16-17,151,487,31
300,Eastern Mich. (MAC),35,21-14,230,742,31
301,Southern U. (SWAC),35,18-17,150,484,31
302,Binghamton (America East),32,6-26,171,554,30.9
303,Missouri St. (MVC),31,11-20,158,512,30.9
304,New Mexico (Mountain West),31,15-16,148,481,30.8
305,Louisville (ACC),36,27-9,198,644,30.7
306,Quinnipiac (MAAC),30,15-15,165,537,30.7
307,Mississippi St. (SEC),32,13-19,133,434,30.6
308,Fordham (Atlantic 10),31,10-21,187,613,30.5
309,Temple (AAC),37,26-11,235,772,30.4
310,Hampton (MEAC),35,17-18,194,638,30.4
311,South Carolina St. (MEAC),33,11-22,184,606,30.4
312,South Fla. (AAC),32,9-23,136,448,30.4
313,Rhode Island (Atlantic 10),33,23-10,146,482,30.3
314,ULM (Sun Belt),38,24-14,192,634,30.3
315,Mississippi Val. (SWAC),32,6-26,157,519,30.3
316,Austin Peay (OVC),30,8-22,155,513,30.2
317,Bradley (MVC),33,9-24,179,594,30.1
318,Chicago St. (WAC),32,8-24,194,644,30.1
319,Bethune-Cookman (MEAC),32,11-21,163,542,30.1
320,North Texas (C-USA),31,14-17,147,489,30.1
321,South Carolina (SEC),33,17-16,180,599,30.1
322,Syracuse (ACC),31,18-13,155,516,30
323,UTRGV (WAC),31,10-21,130,433,30
324,Jacksonville St. (OVC),31,12-19,179,598,29.9
325,Clemson (ACC),31,16-15,171,572,29.9
326,Saint Joseph's (Atlantic 10),31,13-18,167,559,29.9
327,Utah Valley (WAC),30,11-19,169,566,29.9
328,Howard (MEAC),32,16-16,149,501,29.7
329,IUPUI (Summit League),31,10-21,126,426,29.6
330,Rutgers (Big Ten),32,10-22,152,515,29.5
331,Massachusetts (Atlantic 10),32,17-15,144,488,29.5
332,St. Francis Brooklyn (NEC),35,23-12,195,662,29.5
333,Green Bay (Horizon),33,24-9,141,480,29.4
334,San Jose St. (Mountain West),30,2-28,196,668,29.3
335,Alabama A&M (SWAC),29,9-20,166,577,28.8
336,Grambling (SWAC),29,2-27,105,366,28.7
337,Nebraska (Big Ten),31,13-18,161,566,28.4
338,Morgan St. (MEAC),31,7-24,163,574,28.4
339,N.C. A&T (MEAC),32,9-23,157,555,28.3
340,Florida A&M (MEAC),29,2-27,119,421,28.3
341,Alcorn (SWAC),32,6-26,155,553,28
342,Jackson St. (SWAC),32,11-21,153,558,27.4
343,Georgia Tech (ACC),31,12-19,131,491,26.7
344,Nevada (Mountain West),31,9-22,111,417,26.6
345,Savannah St. (MEAC),31,9-22,104,412,25.2
