,Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio,Seed,Record,Berth type,Overall rank,Placement
324,2015,LMU (CA) (WCC),False,31,8,23,25.8,32.6,33.1,-0.5,21.870967741935484,52.32258064516129,41.8,24.70967741935484,53.935483870967744,45.8,5.161290322580645,14.580645161290322,35.4,8.129032258064516,20.870967741935484,38.9,13.290322580645162,18.70967741935484,71.0,62.2,70.6,-8.4,12.516129032258064,13.612903225806452,0.92,DNP,DNP,DNP,DNP,DNP
325,2015,Liberty (Big South),False,32,8,24,25.0,35.4,33.6,1.8,22.40625,51.8125,43.2,23.28125,55.625,41.9,4.8125,14.75,32.6,7.9375,23.21875,34.2,14.28125,20.3125,70.3,63.9,69.4,-5.5,11.1875,16.3125,0.69,DNP,DNP,DNP,DNP,DNP
326,2015,Chicago St. (WAC),False,32,8,24,25.0,33.1,34.3,-1.2,20.59375,54.59375,37.7,21.46875,48.1875,44.6,6.0625,20.125,30.1,7.0,18.59375,37.6,10.71875,16.0625,66.7,58.0,66.1,-8.1,9.21875,14.71875,0.63,DNP,DNP,DNP,DNP,DNP
327,2015,Ball St. (MAC),False,30,7,23,23.3,32.7,32.4,0.3,22.3,52.66666666666666,42.3,24.0,52.13333333333333,46.0,7.8,22.8,34.2,6.1,17.133333333333333,35.6,12.966666666666669,18.7,69.3,65.4,68.9,-3.6,12.766666666666667,14.133333333333333,0.9,DNP,DNP,DNP,DNP,DNP
328,2015,Montana St. (Big Sky),False,30,7,23,23.3,33.6,34.6,-0.9,22.066666666666663,55.5,39.8,24.5,52.93333333333333,46.3,8.2,22.9,35.8,6.033333333333333,15.6,38.7,11.566666666666666,16.066666666666666,72.0,63.9,71.7,-7.8,11.633333333333333,13.7,0.85,DNP,DNP,DNP,DNP,DNP
329,2015,Idaho St. (Big Sky),False,30,7,23,23.3,32.4,34.2,-1.8,23.3,52.96666666666667,44.0,23.466666666666665,53.8,43.6,4.933333333333334,14.0,35.2,8.4,22.866666666666667,36.7,13.033333333333331,20.03333333333333,65.1,64.6,69.2,-4.6,11.233333333333333,11.833333333333334,0.95,DNP,DNP,DNP,DNP,DNP
330,2015,Morgan St. (MEAC),False,31,7,24,22.6,35.4,38.6,-3.3,21.70967741935484,60.54838709677419,35.9,24.741935483870968,51.74193548387097,47.8,5.258064516129032,18.516129032258064,28.4,5.67741935483871,15.709677419354838,36.1,12.548387096774194,20.06451612903226,62.5,61.2,70.9,-9.7,10.096774193548388,10.709677419354838,0.94,DNP,DNP,DNP,DNP,DNP
331,2015,Fairfield (MAAC),False,31,7,24,22.6,31.6,36.1,-4.5,19.806451612903224,50.903225806451616,38.9,23.0,52.54838709677419,43.8,6.387096774193548,19.806451612903224,32.2,4.774193548387097,13.903225806451612,34.3,13.516129032258064,18.870967741935484,71.6,59.5,65.8,-6.3,10.451612903225806,12.774193548387096,0.82,DNP,DNP,DNP,DNP,DNP
332,2015,Marist (MAAC),False,32,7,25,21.9,29.3,38.9,-9.7,20.28125,50.90625,39.8,24.15625,55.0625,43.9,7.0625,22.40625,31.5,6.28125,19.0,33.1,13.53125,19.34375,70.0,61.2,68.7,-7.6,10.5,13.625,0.77,DNP,DNP,DNP,DNP,DNP
333,2015,Alcorn (SWAC),False,32,6,26,18.8,32.4,37.5,-5.1,22.625,58.28125,38.8,26.5,56.53125,46.9,4.84375,17.28125,28.0,6.09375,16.40625,37.1,14.46875,22.0,65.8,64.6,74.3,-9.7,8.90625,11.46875,0.78,DNP,DNP,DNP,DNP,DNP
334,2015,Mississippi Val. (SWAC),False,32,6,26,18.8,32.9,41.5,-8.6,23.0625,59.71875,38.6,29.0,59.90625,48.4,4.90625,16.21875,30.3,7.25,20.40625,35.5,12.875,19.6875,65.4,63.9,80.1,-16.2,10.5625,15.03125,0.7,DNP,DNP,DNP,DNP,DNP
335,2015,Binghamton (America East),False,32,6,26,18.8,31.0,35.1,-4.1,19.78125,49.9375,39.6,23.28125,52.0625,44.7,5.34375,17.3125,30.9,7.4375,19.96875,37.2,12.75,19.3125,66.0,57.7,66.4,-8.7,8.6875,13.53125,0.64,DNP,DNP,DNP,DNP,DNP
336,2015,Tennessee St. (OVC),False,31,5,26,16.1,33.0,36.0,-3.0,19.70967741935484,49.935483870967744,39.5,22.967741935483872,53.74193548387097,42.7,5.483870967741935,15.67741935483871,35.0,7.387096774193548,22.741935483870968,32.5,12.935483870967742,20.90322580645161,61.9,57.8,68.1,-10.3,9.483870967741936,14.387096774193548,0.66,DNP,DNP,DNP,DNP,DNP
337,2015,Central Conn. St. (NEC),False,31,5,26,16.1,33.7,35.3,-1.5,21.741935483870968,54.03225806451613,40.2,26.516129032258064,58.516129032258064,45.3,4.709677419354839,14.64516129032258,32.2,7.129032258064516,20.677419354838708,34.5,10.96774193548387,15.451612903225806,71.0,59.2,70.1,-10.9,10.96774193548387,13.709677419354838,0.8,DNP,DNP,DNP,DNP,DNP
338,2015,UMBC (America East),False,30,4,26,13.3,30.1,34.6,-4.5,19.7,48.03333333333333,41.0,24.0,53.46666666666667,44.9,5.1,15.633333333333333,32.6,6.766666666666667,18.73333333333333,36.1,11.566666666666666,17.966666666666665,64.4,56.1,67.1,-11.0,11.266666666666667,15.566666666666666,0.72,DNP,DNP,DNP,DNP,DNP
339,2015,Maine (America East),False,30,3,27,10.0,29.4,36.1,-6.7,21.566666666666663,53.3,40.5,26.8,54.63333333333333,49.1,6.566666666666666,20.3,32.3,7.5,19.933333333333334,37.6,10.7,14.733333333333333,72.6,60.4,74.8,-14.4,13.1,14.4,0.91,DNP,DNP,DNP,DNP,DNP
340,2015,Florida A&M (MEAC),False,29,2,27,6.9,31.5,38.4,-6.9,19.310344827586206,51.72413793103448,37.3,26.41379310344828,56.310344827586206,46.9,4.103448275862069,14.517241379310343,28.3,7.448275862068965,21.20689655172414,35.1,12.689655172413794,19.55172413793104,64.9,55.4,72.9,-17.5,8.310344827586206,14.310344827586206,0.58,DNP,DNP,DNP,DNP,DNP
341,2015,Central Ark. (Southland),False,29,2,27,6.9,31.1,36.8,-5.6,22.27586206896552,52.55172413793103,42.4,29.24137931034483,59.0,49.6,6.758620689655173,19.17241379310345,35.3,6.379310344827586,16.96551724137931,37.6,14.0,20.655172413793103,67.8,65.3,82.2,-16.9,12.448275862068966,18.24137931034483,0.68,DNP,DNP,DNP,DNP,DNP
342,2015,Grambling (SWAC),False,29,2,27,6.9,32.0,35.6,-3.6,17.655172413793103,48.86206896551724,36.1,26.103448275862068,56.62068965517241,46.1,3.6206896551724137,12.620689655172416,28.7,6.482758620689655,19.86206896551724,32.6,13.10344827586207,20.13793103448276,65.1,52.0,72.6,-20.6,7.758620689655173,16.75862068965517,0.46,DNP,DNP,DNP,DNP,DNP
343,2015,San Jose St. (Mountain West),False,30,2,28,6.7,31.3,37.1,-5.8,18.433333333333334,51.96666666666667,35.5,24.166666666666668,52.46666666666667,46.1,6.533333333333333,22.266666666666666,29.3,6.833333333333333,17.966666666666665,38.0,10.333333333333334,15.833333333333334,65.3,53.7,69.5,-15.8,9.8,14.2,0.69,DNP,DNP,DNP,DNP,DNP
