Rank,Team,W,L,Pct
68,Mercer (ASUN),24,12,66.7
68,Harvard (Ivy League),20,10,66.7
68,UConn (AAC),20,10,66.7
72,Iowa (Big Ten),25,13,65.8
72,Maryland (ACC),25,13,65.8
74,Iowa St. (Big 12),23,12,65.7
74,Wisconsin (Big Ten),23,12,65.7
74,Loyola Maryland (MAAC),23,12,65.7
74,Virginia (ACC),23,12,65.7
74,East Carolina (C-USA),23,12,65.7
79,Boise St. (Mountain West),21,11,65.6
80,Cincinnati (AAC),22,12,64.7
81,UCF (C-USA),20,11,64.5
82,Wright St. (Horizon),23,13,63.9
82,Alabama (SEC),23,13,63.9
82,Illinois (Big Ten),23,13,63.9
85,Elon (SoCon),21,12,63.6
85,Charlotte (Atlantic 10),21,12,63.6
85,Norfolk St. (MEAC),21,12,63.6
85,Vermont (America East),21,12,63.6
85,Kentucky (SEC),21,12,63.6
85,Colorado (Pac-12),21,12,63.6
85,California (Pac-12),21,12,63.6
85,Massachusetts (Atlantic 10),21,12,63.6
93,Arizona St. (Pac-12),22,13,62.9
93,Pacific (Big West),22,13,62.9
93,Western Mich. (MAC),22,13,62.9
96,Oklahoma (Big 12),20,12,62.5
97,Baylor (Big 12),23,14,62.2
98,Gardner-Webb (Big South),21,13,61.8
98,Minnesota (Big Ten),21,13,61.8
100,Wagner (NEC),19,12,61.3
100,Bryant (NEC),19,12,61.3
100,Arkansas St. (Sun Belt),19,12,61.3
100,LSU (SEC),19,12,61.3
104,Jacksonville St. (OVC),17,11,60.7
104,Princeton (Ivy League),17,11,60.7
106,Detroit Mercy (Horizon),20,13,60.6
106,Houston (C-USA),20,13,60.6
106,Tennessee (SEC),20,13,60.6
106,Northeastern (CAA),20,13,60.6
110,Kent St. (MAC),21,14,60
111,Charleston So. (Big South),19,13,59.4
111,Arkansas (SEC),19,13,59.4
113,Canisius (MAAC),20,14,58.8
113,LIU (NEC),20,14,58.8
113,Villanova (AAC),20,14,58.8
113,Wyoming (Mountain West),20,14,58.8
113,Iona (MAAC),20,14,58.8
118,James Madison (CAA),21,15,58.3
118,UNI (MVC),21,15,58.3
118,Evansville (MVC),21,15,58.3
121,Towson (CAA),18,13,58.1
122,George Mason (CAA),22,16,57.9
123,Delaware (CAA),19,14,57.6
123,Long Beach St. (Big West),19,14,57.6
123,Niagara (MAAC),19,14,57.6
123,UT Arlington (WAC),19,14,57.6
127,Oral Roberts (Southland),20,15,57.1
127,Tulane (C-USA),20,15,57.1
129,UC Irvine (Big West),21,16,56.8
130,South Alabama (Sun Belt),17,13,56.7
130,Boston U. (America East),17,13,56.7
132,Saint Joseph's (Atlantic 10),18,14,56.3
132,UTEP (C-USA),18,14,56.3
132,Air Force (Mountain West),18,14,56.3
132,FIU (Sun Belt),18,14,56.3
132,Cal Poly (Big West),18,14,56.3
132,Mount St. Mary's (NEC),18,14,56.3
138,Lafayette (Patriot),19,15,55.9
138,Richmond (Atlantic 10),19,15,55.9
138,Stanford (Pac-12),19,15,55.9
138,Providence (AAC),19,15,55.9
138,Rider (MAAC),19,15,55.9
138,Savannah St. (MEAC),19,15,55.9
144,Western Ky. (Sun Belt),20,16,55.6
145,NJIT (GWC),16,13,55.2
146,Hartford (America East),17,14,54.8
146,Texas Southern (SWAC),17,14,54.8
146,High Point (Big South),17,14,54.8
146,Dayton (Atlantic 10),17,14,54.8
146,Xavier (Atlantic 10),17,14,54.8
151,Texas A&M (SEC),18,15,54.5
151,Tennessee St. (OVC),18,15,54.5
151,Illinois St. (MVC),18,15,54.5
151,Indiana St. (MVC),18,15,54.5
155,Fairfield (MAAC),19,16,54.3
156,N.C. A&T (MEAC),20,17,54.1
157,Toledo (MAC),15,13,53.6
158,Ark.-Pine Bluff (SWAC),16,14,53.3
159,Hawaii (Big West),17,15,53.1
159,Little Rock (Sun Belt),17,15,53.1
159,Morgan St. (MEAC),17,15,53.1
162,Florida St. (ACC),18,16,52.9
162,UIC (Horizon),18,16,52.9
162,Washington (Pac-12),18,16,52.9
162,Green Bay (Horizon),18,16,52.9
162,Youngstown St. (Horizon),18,16,52.9
167,Georgia Tech (ACC),16,15,51.6
167,Army West Point (Patriot),16,15,51.6
169,Southeast Mo. St. (OVC),17,16,51.5
169,St. John's (NY) (AAC),17,16,51.5
169,Tulsa (C-USA),17,16,51.5
172,Bradley (MVC),18,17,51.4
173,Sam Houston (Southland),17,17,50
173,UNC Asheville (Big South),16,16,50
173,UTRGV (GWC),16,16,50
173,Ball St. (MAC),15,15,50
177,USC Upstate (ASUN),16,17,48.5
177,Boston College (ACC),16,17,48.5
177,Vanderbilt (SEC),16,17,48.5
177,Purdue Fort Wayne (Summit League),16,17,48.5
177,UAB (C-USA),16,17,48.5
177,Oakland (Summit League),16,17,48.5
177,North Dakota (Big Sky),16,17,48.5
184,Georgia St. (CAA),15,16,48.4
184,Quinnipiac (NEC),15,16,48.4
184,Stetson (ASUN),15,16,48.4
184,San Francisco (WCC),15,16,48.4
184,Rutgers (AAC),15,16,48.4
184,App State (SoCon),15,16,48.4
184,Loyola Chicago (Horizon),15,16,48.4
191,St. Bonaventure (Atlantic 10),14,15,48.3
191,Coastal Carolina (Big South),14,15,48.3
191,Sacramento St. (Big Sky),14,15,48.3
194,Purdue (Big Ten),16,18,47.1
194,Eastern Mich. (MAC),16,18,47.1
194,Texas (Big 12),16,18,47.1
194,San Diego (WCC),16,18,47.1
198,Georgia (SEC),15,17,46.9
198,SMU (C-USA),15,17,46.9
198,Drake (MVC),15,17,46.9
201,CSU Bakersfield (Independent),14,16,46.7
202,Brown (Ivy League),13,15,46.4
203,Delaware St. (MEAC),15,18,45.5
203,Nebraska (Big Ten),15,18,45.5
203,Utah (Pac-12),15,18,45.5
203,Morehead St. (OVC),15,18,45.5
203,Seton Hall (AAC),15,18,45.5
208,Southern Ill. (MVC),14,17,45.2
208,VMI (Big South),14,17,45.2
208,Winthrop (Big South),14,17,45.2
208,Yale (Ivy League),14,17,45.2
208,McNeese (Southland),14,17,45.2
208,CSUN (Big West),14,17,45.2
208,UC Davis (Big West),14,17,45.2
208,Hampton (MEAC),14,17,45.2
208,Houston Baptist (GWC),14,17,45.2
217,Prairie View (SWAC),15,19,44.1
218,South Carolina (SEC),14,18,43.8
218,Southern California (Pac-12),14,18,43.8
218,Manhattan (MAAC),14,18,43.8
218,Fla. Atlantic (Sun Belt),14,18,43.8
218,Cleveland St. (Horizon),14,18,43.8
218,Cal St. Fullerton (Big West),14,18,43.8
218,Oregon St. (Pac-12),14,18,43.8
218,Utah Valley (GWC),14,18,43.8
218,Jacksonville (ASUN),14,18,43.8
227,George Washington (Atlantic 10),13,17,43.3
227,Central Conn. St. (NEC),13,17,43.3
227,Montana St. (Big Sky),13,17,43.3
227,Central Ark. (Southland),13,17,43.3
227,William & Mary (CAA),13,17,43.3
232,Columbia (Ivy League),12,16,42.9
233,Ga. Southern (SoCon),14,19,42.4
233,Western Caro. (SoCon),14,19,42.4
235,Southeastern La. (Southland),13,18,41.9
235,Northern Colo. (Big Sky),13,18,41.9
235,Cornell (Ivy League),13,18,41.9
235,Clemson (ACC),13,18,41.9
235,Drexel (CAA),13,18,41.9
235,Wake Forest (ACC),13,18,41.9
241,Liberty (Big South),15,21,41.7
242,Tennessee Tech (OVC),12,17,41.4
243,Buffalo (MAC),14,20,41.2
243,Bethune-Cookman (MEAC),14,20,41.2
245,Washington St. (Pac-12),13,19,40.6
245,West Virginia (Big 12),13,19,40.6
245,North Florida (ASUN),13,19,40.6
245,Wofford (SoCon),13,19,40.6
245,Chattanooga (SoCon),13,19,40.6
245,Virginia Tech (ACC),13,19,40.6
245,Bowling Green (MAC),13,19,40.6
245,Radford (Big South),13,19,40.6
245,Northwestern (Big Ten),13,19,40.6
245,Marshall (C-USA),13,19,40.6
255,Pepperdine (WCC),12,18,40
255,St. Francis Brooklyn (NEC),12,18,40
255,Idaho (WAC),12,18,40
255,Holy Cross (Patriot),12,18,40
255,Lipscomb (ASUN),12,18,40
260,Campbell (Big South),13,20,39.4
260,Louisiana (Sun Belt),13,20,39.4
262,Nevada (Mountain West),12,19,38.7
262,South Fla. (AAC),12,19,38.7
264,Jackson St. (SWAC),11,18,37.9
265,North Texas (Sun Belt),12,20,37.5
266,Maine (America East),11,19,36.7
266,Fresno St. (Mountain West),11,19,36.7
268,Troy (Sun Belt),12,21,36.4
269,Southern Utah (Big Sky),11,20,35.5
269,Texas Tech (Big 12),11,20,35.5
269,Central Mich. (MAC),11,20,35.5
269,Alabama A&M (SWAC),11,20,35.5
269,UC Santa Barbara (Big West),11,20,35.5
274,Texas St. (WAC),12,22,35.3
275,TCU (Big 12),11,21,34.4
275,Northern Ariz. (Big Sky),11,21,34.4
275,Portland (WCC),11,21,34.4
275,Eastern Ill. (OVC),11,21,34.4
275,Colgate (Patriot),11,21,34.4
275,DePaul (AAC),11,21,34.4
275,Samford (SoCon),11,21,34.4
282,Missouri St. (MVC),11,22,33.3
282,Chicago St. (GWC),11,22,33.3
282,American (Patriot),10,20,33.3
282,UNCW (CAA),10,20,33.3
282,South Dakota (Summit League),10,20,33.3
282,SIUE (OVC),9,18,33.3
288,LMU (CA) (WCC),11,23,32.4
289,Eastern Wash. (Big Sky),10,21,32.3
289,Penn St. (Big Ten),10,21,32.3
289,Marist (MAAC),10,21,32.3
289,Monmouth (NEC),10,21,32.3
293,Dartmouth (Ivy League),9,19,32.1
294,Alabama St. (SWAC),10,22,31.3
294,Mississippi St. (SEC),10,22,31.3
294,UTSA (WAC),10,22,31.3
294,ETSU (ASUN),10,22,31.3
298,San Jose St. (WAC),9,20,31
298,New Hampshire (America East),9,20,31
298,Sacred Heart (NEC),9,20,31
301,New Orleans (Independent),8,18,30.8
302,Saint Peter's (MAAC),9,21,30
302,Nicholls (Southland),9,21,30
302,UT Martin (OVC),9,21,30
305,Alcorn (SWAC),10,24,29.4
306,Penn (Ivy League),9,22,29
306,Miami (OH) (MAC),9,22,29
306,UNC Greensboro (SoCon),9,22,29
309,Portland St. (Big Sky),8,20,28.6
310,Auburn (SEC),9,23,28.1
311,Rhode Island (Atlantic 10),8,21,27.6
312,Seattle U (WAC),8,22,26.7
312,Duquesne (Atlantic 10),8,22,26.7
312,The Citadel (SoCon),8,22,26.7
315,Navy (Patriot),8,23,25.8
315,Austin Peay (OVC),8,23,25.8
315,UMBC (America East),8,23,25.8
315,Florida A&M (MEAC),8,23,25.8
319,Coppin St. (MEAC),8,24,25
319,Presbyterian (Big South),8,24,25
319,Milwaukee (Horizon),8,24,25
319,Siena (MAAC),8,24,25
319,Kansas City (Summit League),8,24,25
324,Longwood (Big South),8,25,24.2
325,Fairleigh Dickinson (NEC),7,24,22.6
325,Howard (MEAC),7,24,22.6
325,Furman (SoCon),7,24,22.6
325,Fordham (Atlantic 10),7,24,22.6
329,Hofstra (CAA),7,25,21.9
330,A&M-Corpus Christi (Southland),6,23,20.7
331,Idaho St. (Big Sky),6,24,20
331,South Carolina St. (MEAC),6,24,20
333,UC Riverside (Big West),6,25,19.4
334,IUPUI (Summit League),6,26,18.8
335,Mississippi Val. (SWAC),5,23,17.9
336,Saint Francis (PA) (NEC),5,24,17.2
337,Northern Ill. (MAC),5,25,16.7
337,Old Dominion (CAA),5,25,16.7
339,Rice (C-USA),5,26,16.1
340,ULM (Sun Belt),4,23,14.8
341,Binghamton (America East),3,27,10
341,Kennesaw St. (ASUN),3,27,10
343,Lamar University (Southland),3,28,9.7
344,UMES (MEAC),2,26,7.1
345,Grambling (SWAC),0,28,0
