Rank,Team,GM,W-L,FT,FTA,FT%
67,Rice (C-USA),31,5-26,358,493,72.6
68,Illinois (Big Ten),36,23-13,469,646,72.6
69,Wofford (SoCon),32,13-19,346,477,72.5
70,Cal Poly (Big West),32,18-14,409,564,72.5
71,Saint Mary's (CA) (WCC),35,28-7,517,713,72.5
72,George Mason (CAA),38,22-16,540,745,72.5
73,Southern Utah (Big Sky),31,11-20,468,646,72.4
74,UCLA (Pac-12),35,25-10,511,706,72.4
75,UAB (C-USA),33,16-17,424,586,72.4
76,Illinois St. (MVC),33,18-15,476,658,72.3
77,Bradley (MVC),35,18-17,434,600,72.3
78,Harvard (Ivy League),30,20-10,504,697,72.3
79,Temple (Atlantic 10),34,24-10,511,707,72.3
80,Utah St. (WAC),31,21-10,456,631,72.3
81,Princeton (Ivy League),28,17-11,349,483,72.3
82,Bryant (NEC),31,19-12,453,627,72.2
83,North Dakota St. (Summit League),34,24-10,372,515,72.2
84,Sacred Heart (NEC),29,9-20,385,533,72.2
85,Richmond (Atlantic 10),34,19-15,546,756,72.2
86,Weber St. (Big Sky),37,30-7,554,768,72.1
87,New Mexico (Mountain West),35,29-6,598,829,72.1
88,Denver (WAC),32,22-10,346,481,71.9
89,Massachusetts (Atlantic 10),33,21-12,497,691,71.9
90,Montana St. (Big Sky),30,13-17,450,626,71.9
91,Villanova (AAC),34,20-14,639,889,71.9
92,UC Davis (Big West),31,14-17,391,544,71.9
93,Loyola Chicago (Horizon),31,15-16,395,550,71.8
94,Penn (Ivy League),31,9-22,400,557,71.8
95,High Point (Big South),31,17-14,437,609,71.8
96,Drake (MVC),32,15-17,467,651,71.7
97,Dayton (Atlantic 10),31,17-14,471,657,71.7
98,South Alabama (Sun Belt),30,17-13,531,741,71.7
99,Canisius (MAAC),34,20-14,472,659,71.6
100,East Carolina (C-USA),35,23-12,561,784,71.6
101,Gardner-Webb (Big South),34,21-13,464,649,71.5
102,Bowling Green (MAC),32,13-19,346,484,71.5
103,Colorado St. (Mountain West),35,26-9,611,855,71.5
104,California (Pac-12),33,21-12,418,585,71.5
105,UNC Asheville (Big South),32,16-16,493,690,71.4
106,Michigan St. (Big Ten),36,27-9,507,710,71.4
107,Air Force (Mountain West),32,18-14,379,531,71.4
108,Elon (SoCon),33,21-12,387,543,71.3
109,Georgia St. (CAA),31,15-16,417,586,71.2
110,Boston College (ACC),33,16-17,481,676,71.2
111,North Dakota (Big Sky),33,16-17,463,651,71.1
112,Utah Valley (GWC),32,14-18,390,549,71
113,Longwood (Big South),33,8-25,421,593,71
114,Houston (C-USA),33,20-13,555,782,71
115,William & Mary (CAA),30,13-17,405,571,70.9
116,Campbell (Big South),33,13-20,439,619,70.9
117,Vermont (America East),33,21-12,517,729,70.9
118,Kent St. (MAC),35,21-14,597,842,70.9
119,Notre Dame (AAC),35,25-10,438,618,70.9
120,Louisville (AAC),40,35-5,652,920,70.9
120,American (Patriot),30,10-20,326,460,70.9
122,Virginia Tech (ACC),32,13-19,484,683,70.9
123,Tennessee Tech (OVC),29,12-17,401,566,70.8
124,Cleveland St. (Horizon),32,14-18,379,535,70.8
125,North Texas (Sun Belt),32,12-20,524,740,70.8
126,Ohio St. (Big Ten),37,29-8,516,729,70.8
127,Oakland (Summit League),33,16-17,559,790,70.8
128,Charleston So. (Big South),32,19-13,428,605,70.7
129,Colgate (Patriot),32,11-21,343,485,70.7
130,FIU (Sun Belt),32,18-14,454,642,70.7
131,Indiana St. (MVC),33,18-15,507,717,70.7
132,Virginia (ACC),35,23-12,399,565,70.6
133,Monmouth (NEC),31,10-21,410,581,70.6
134,Texas St. (WAC),34,12-22,513,727,70.6
135,Stetson (ASUN),31,15-16,414,587,70.5
136,Gonzaga (WCC),35,32-3,548,777,70.5
137,Texas A&M (SEC),33,18-15,404,573,70.5
138,Wagner (NEC),31,19-12,492,698,70.5
139,Oregon (Pac-12),37,28-9,570,809,70.5
140,Stony Brook (America East),33,25-8,472,670,70.4
141,Saint Louis (Atlantic 10),35,28-7,562,798,70.4
142,DePaul (AAC),32,11-21,435,618,70.4
143,Western Caro. (SoCon),33,14-19,425,604,70.4
144,Cornell (Ivy League),31,13-18,368,523,70.4
145,Wright St. (Horizon),36,23-13,427,607,70.3
146,Buffalo (MAC),34,14-20,472,671,70.3
147,Jacksonville (ASUN),32,14-18,467,664,70.3
148,Pepperdine (WCC),30,12-18,372,529,70.3
149,The Citadel (SoCon),30,8-22,393,559,70.3
150,Western Mich. (MAC),35,22-13,587,835,70.3
151,LMU (CA) (WCC),34,11-23,466,663,70.3
152,UNLV (Mountain West),35,25-10,525,747,70.3
153,Lamar University (Southland),31,3-28,385,548,70.3
154,Alabama (SEC),36,23-13,455,648,70.2
155,VCU (Atlantic 10),36,27-9,469,669,70.1
156,Providence (AAC),34,19-15,511,729,70.1
157,Michigan (Big Ten),39,31-8,450,642,70.1
158,Fla. Atlantic (Sun Belt),32,14-18,433,618,70.1
159,Southeast Mo. St. (OVC),33,17-16,430,614,70
160,Auburn (SEC),32,9-23,439,627,70
161,CSU Bakersfield (Independent),30,14-16,422,603,70
162,Wichita St. (MVC),39,30-9,553,791,69.9
163,Ohio (MAC),34,24-10,418,598,69.9
164,Rutgers (AAC),31,15-16,383,548,69.9
165,James Madison (CAA),36,21-15,499,714,69.9
166,Jackson St. (SWAC),29,11-18,445,637,69.9
167,Mount St. Mary's (NEC),32,18-14,403,578,69.7
168,Hartford (America East),31,17-14,338,485,69.7
169,Louisiana Tech (WAC),34,27-7,503,722,69.7
170,Saint Joseph's (Atlantic 10),32,18-14,429,616,69.6
171,Butler (Atlantic 10),36,27-9,518,744,69.6
172,Penn St. (Big Ten),31,10-21,432,621,69.6
173,Coppin St. (MEAC),32,8-24,418,601,69.6
174,West Virginia (Big 12),32,13-19,501,721,69.5
175,Middle Tenn. (Sun Belt),34,28-6,528,760,69.5
176,Southern Miss. (C-USA),37,27-10,518,746,69.4
177,Georgia (SEC),32,15-17,486,700,69.4
178,South Fla. (AAC),31,12-19,338,487,69.4
179,Southern California (Pac-12),32,14-18,379,547,69.3
180,Youngstown St. (Horizon),34,18-16,475,686,69.2
181,Nebraska (Big Ten),33,15-18,342,494,69.2
182,Baylor (Big 12),37,23-14,550,795,69.2
183,UC Santa Barbara (Big West),31,11-20,350,506,69.2
184,Morehead St. (OVC),33,15-18,511,739,69.1
185,Niagara (MAAC),33,19-14,521,754,69.1
186,Murray St. (OVC),31,21-10,462,669,69.1
187,Furman (SoCon),31,7-24,392,568,69
188,Tennessee (SEC),33,20-13,510,739,69
189,LIU (NEC),34,20-14,601,871,69
190,Delaware St. (MEAC),33,15-18,396,574,69
191,Loyola Maryland (MAAC),35,23-12,542,786,69
192,Southern U. (SWAC),33,23-10,475,689,68.9
193,App State (SoCon),31,15-16,456,662,68.9
194,Pacific (Big West),35,22-13,471,684,68.9
195,South Carolina (SEC),32,14-18,437,635,68.8
196,Washington St. (Pac-12),32,13-19,395,574,68.8
197,Ga. Southern (SoCon),33,14-19,423,615,68.8
198,Winthrop (Big South),31,14-17,385,560,68.8
199,Saint Francis (PA) (NEC),29,5-24,331,482,68.7
200,Hawaii (Big West),32,17-15,469,683,68.7
201,Northwestern St. (Southland),32,23-9,532,775,68.6
202,Colorado (Pac-12),33,21-12,502,732,68.6
203,Col. of Charleston (SoCon),35,24-11,482,703,68.6
204,Fairfield (MAAC),35,19-16,365,533,68.5
205,Kansas St. (Big 12),35,27-8,432,631,68.5
206,Minnesota (Big Ten),34,21-13,523,764,68.5
207,Miami (FL) (ACC),36,29-7,465,680,68.4
208,Milwaukee (Horizon),32,8-24,432,632,68.4
209,Washington (Pac-12),34,18-16,446,653,68.3
210,San Diego St. (Mountain West),34,23-11,476,697,68.3
211,Arkansas St. (Sun Belt),31,19-12,520,762,68.2
212,NC State (ACC),35,24-11,554,813,68.1
213,Idaho St. (Big Sky),30,6-24,373,548,68.1
214,Miami (OH) (MAC),31,9-22,402,591,68
215,Wake Forest (ACC),31,13-18,491,722,68
216,A&M-Corpus Christi (Southland),29,6-23,340,500,68
217,Troy (Sun Belt),33,12-21,318,468,67.9
218,Georgetown (AAC),32,25-7,407,599,67.9
219,Northwestern (Big Ten),32,13-19,379,558,67.9
220,Maryland (ACC),38,25-13,497,732,67.9
221,Jacksonville St. (OVC),28,17-11,424,625,67.8
222,Rider (MAAC),34,19-15,463,683,67.8
223,Ole Miss (SEC),36,27-9,587,866,67.8
224,Florida (SEC),37,29-8,422,623,67.7
225,UTEP (C-USA),32,18-14,453,669,67.7
226,Portland (WCC),32,11-21,408,603,67.7
227,UTSA (WAC),32,10-22,426,630,67.6
228,Little Rock (Sun Belt),32,17-15,501,741,67.6
229,San Diego (WCC),34,16-18,448,663,67.6
230,Northern Ariz. (Big Sky),32,11-21,383,567,67.5
231,FGCU (ASUN),37,26-11,497,736,67.5
232,Syracuse (AAC),40,30-10,569,843,67.5
233,Wyoming (Mountain West),34,20-14,436,646,67.5
234,North Carolina (ACC),36,25-11,442,655,67.5
235,Northern Colo. (Big Sky),31,13-18,381,565,67.4
236,Western Ky. (Sun Belt),36,20-16,509,755,67.4
237,Fordham (Atlantic 10),31,7-24,393,583,67.4
238,Kansas City (Summit League),32,8-24,345,512,67.4
239,Austin Peay (OVC),31,8-23,426,633,67.3
240,Quinnipiac (NEC),31,15-16,510,758,67.3
241,UNC Greensboro (SoCon),31,9-22,419,623,67.3
242,Arkansas (SEC),32,19-13,462,687,67.2
243,Siena (MAAC),32,8-24,418,622,67.2
244,Fairleigh Dickinson (NEC),31,7-24,396,590,67.1
245,NJIT (GWC),29,16-13,455,678,67.1
246,Louisiana (Sun Belt),33,13-20,457,681,67.1
247,Rhode Island (Atlantic 10),29,8-21,371,553,67.1
248,Tulsa (C-USA),33,17-16,514,767,67
249,Eastern Mich. (MAC),34,16-18,357,533,67
250,IUPUI (Summit League),32,6-26,294,439,67
251,Oregon St. (Pac-12),32,14-18,460,687,67
252,Missouri St. (MVC),33,11-22,391,584,67
253,SIUE (OVC),27,9-18,322,481,66.9
254,Nicholls (Southland),30,9-21,435,651,66.8
255,Pittsburgh (AAC),33,24-9,445,666,66.8
256,ETSU (ASUN),32,10-22,370,554,66.8
257,Fresno St. (Mountain West),30,11-19,396,593,66.8
258,Texas Tech (Big 12),31,11-20,435,652,66.7
259,Xavier (Atlantic 10),31,17-14,437,655,66.7
260,San Francisco (WCC),31,15-16,400,600,66.7
261,Hampton (MEAC),31,14-17,445,668,66.6
262,St. Francis Brooklyn (NEC),30,12-18,376,565,66.5
263,UC Irvine (Big West),37,21-16,445,669,66.5
264,Houston Baptist (GWC),31,14-17,417,627,66.5
265,Chattanooga (SoCon),32,13-19,527,793,66.5
266,Eastern Ill. (OVC),32,11-21,359,541,66.4
267,Howard (MEAC),31,7-24,370,558,66.3
268,Southeastern La. (Southland),31,13-18,402,607,66.2
269,Manhattan (MAAC),32,14-18,456,689,66.2
270,Samford (SoCon),32,11-21,332,502,66.1
271,North Florida (ASUN),32,13-19,343,519,66.1
272,Long Beach St. (Big West),33,19-14,446,675,66.1
273,New Orleans (Independent),26,8-18,368,557,66.1
274,Old Dominion (CAA),30,5-25,395,598,66.1
275,Memphis (C-USA),36,31-5,509,771,66
276,Texas (Big 12),34,16-18,505,766,65.9
277,Seton Hall (AAC),33,15-18,387,588,65.8
278,N.C. A&T (MEAC),37,20-17,532,809,65.8
279,Mississippi St. (SEC),32,10-22,449,683,65.7
280,VMI (Big South),31,14-17,397,604,65.7
281,George Washington (Atlantic 10),30,13-17,440,670,65.7
282,San Jose St. (WAC),29,9-20,397,605,65.6
283,Coastal Carolina (Big South),29,14-15,385,587,65.6
284,New Mexico St. (WAC),35,24-11,554,845,65.6
285,Sam Houston (Southland),34,17-17,464,708,65.5
286,Eastern Wash. (Big Sky),31,10-21,380,580,65.5
287,Maine (America East),30,11-19,366,559,65.5
288,Clemson (ACC),31,13-18,356,544,65.4
289,Charlotte (Atlantic 10),33,21-12,529,809,65.4
290,Towson (CAA),31,18-13,449,687,65.4
291,Purdue (Big Ten),34,16-18,431,660,65.3
292,Northern Ill. (MAC),30,5-25,361,553,65.3
293,Ball St. (MAC),30,15-15,468,718,65.2
294,UT Arlington (WAC),33,19-14,432,663,65.2
295,Kennesaw St. (ASUN),30,3-27,391,601,65.1
296,USC Upstate (ASUN),33,16-17,416,640,65
297,Arizona St. (Pac-12),35,22-13,458,706,64.9
298,Radford (Big South),32,13-19,442,682,64.8
299,Mississippi Val. (SWAC),28,5-23,410,633,64.8
300,Marist (MAAC),31,10-21,428,661,64.8
301,South Carolina St. (MEAC),30,6-24,315,487,64.7
302,Cincinnati (AAC),34,22-12,450,696,64.7
303,Norfolk St. (MEAC),33,21-12,478,740,64.6
304,Binghamton (America East),30,3-27,344,533,64.5
305,Lipscomb (ASUN),30,12-18,486,754,64.5
306,UCF (C-USA),31,20-11,438,680,64.4
307,Duquesne (Atlantic 10),30,8-22,356,553,64.4
308,Akron (MAC),33,26-7,436,678,64.3
309,McNeese (Southland),31,14-17,353,549,64.3
310,UNCW (CAA),30,10-20,381,593,64.2
311,Southern Ill. (MVC),31,14-17,359,559,64.2
312,Western Ill. (Summit League),31,22-9,366,570,64.2
313,Kentucky (SEC),33,21-12,486,757,64.2
314,Purdue Fort Wayne (Summit League),33,16-17,437,681,64.2
315,St. John's (NY) (AAC),33,17-16,368,575,64
316,New Hampshire (America East),29,9-20,348,545,63.9
317,UTRGV (GWC),32,16-16,413,648,63.7
318,Texas Southern (SWAC),31,17-14,350,550,63.6
319,Vanderbilt (SEC),33,16-17,372,586,63.5
320,Georgia Tech (ACC),31,16-15,318,501,63.5
321,Wisconsin (Big Ten),35,23-12,369,582,63.4
322,Central Ark. (Southland),30,13-17,368,582,63.2
323,UMES (MEAC),28,2-26,337,533,63.2
324,Brown (Ivy League),28,13-15,323,512,63.1
325,UMBC (America East),31,8-23,328,520,63.1
326,Ark.-Pine Bluff (SWAC),30,16-14,355,563,63.1
327,Alabama A&M (SWAC),31,11-20,410,651,63
328,Navy (Patriot),31,8-23,281,448,62.7
329,Florida A&M (MEAC),31,8-23,380,606,62.7
330,Hofstra (CAA),32,7-25,416,664,62.7
331,LSU (SEC),31,19-12,384,614,62.5
332,Seattle U (WAC),30,8-22,317,507,62.5
333,Bethune-Cookman (MEAC),34,14-20,463,742,62.4
334,Alcorn (SWAC),34,10-24,438,705,62.1
335,Savannah St. (MEAC),34,19-15,380,615,61.8
336,Prairie View (SWAC),34,15-19,409,665,61.5
337,SFA (Southland),32,27-5,397,651,61
338,TCU (Big 12),32,11-21,382,636,60.1
339,Marshall (C-USA),32,13-19,476,796,59.8
340,Alabama St. (SWAC),32,10-22,343,575,59.7
341,Saint Peter's (MAAC),30,9-21,293,495,59.2
342,Morgan St. (MEAC),32,17-15,417,708,58.9
343,Grambling (SWAC),28,0-28,210,358,58.7
344,UC Riverside (Big West),31,6-25,307,527,58.3
345,ULM (Sun Belt),27,4-23,256,444,57.7
