Rank,Team,GM,W-L,AST,TO,Ratio
81,Portland St. (Big Sky),28,8-20,368,335,1.10
82,Indiana (Big Ten),36,29-7,515,469,1.10
83,Purdue (Big Ten),34,16-18,468,427,1.10
84,Robert Morris (NEC),35,24-11,491,448,1.10
85,William & Mary (CAA),30,13-17,428,391,1.09
86,Northwestern St. (Southland),32,23-9,489,448,1.09
87,Boston U. (America East),30,17-13,408,375,1.09
88,Toledo (MAC),28,15-13,365,336,1.09
89,Oakland (Summit League),33,16-17,433,399,1.09
90,Troy (Sun Belt),33,12-21,374,345,1.08
91,UTEP (C-USA),32,18-14,428,396,1.08
92,Louisiana Tech (WAC),34,27-7,454,421,1.08
93,Utah (Pac-12),33,15-18,458,425,1.08
94,Wichita St. (MVC),39,30-9,530,492,1.08
95,St. John's (NY) (AAC),33,17-16,405,376,1.08
96,Minnesota (Big Ten),34,21-13,503,467,1.08
97,Boston College (ACC),33,16-17,404,376,1.07
98,Missouri (SEC),34,23-11,473,442,1.07
99,Northeastern (CAA),33,20-13,453,427,1.06
100,Miami (FL) (ACC),36,29-7,408,385,1.06
101,LIU (NEC),34,20-14,515,486,1.06
102,Akron (MAC),33,26-7,485,458,1.06
103,Oregon St. (Pac-12),32,14-18,457,432,1.06
104,Bradley (MVC),35,18-17,439,415,1.06
105,St. Bonaventure (Atlantic 10),29,14-15,415,393,1.06
106,UC Davis (Big West),31,14-17,458,434,1.06
107,James Madison (CAA),36,21-15,423,401,1.05
108,Western Ill. (Summit League),31,22-9,371,352,1.05
109,Loyola Chicago (Horizon),31,15-16,430,408,1.05
110,Richmond (Atlantic 10),34,19-15,436,414,1.05
111,Sam Houston (Southland),34,17-17,472,449,1.05
112,Oklahoma (Big 12),32,20-12,394,376,1.05
113,Southern U. (SWAC),33,23-10,376,359,1.05
114,St. Francis Brooklyn (NEC),30,12-18,387,370,1.05
115,Bethune-Cookman (MEAC),34,14-20,439,420,1.05
116,Stony Brook (America East),33,25-8,407,390,1.04
117,Arizona (Pac-12),35,27-8,476,458,1.04
118,South Fla. (AAC),31,12-19,351,338,1.04
119,UAB (C-USA),33,16-17,529,510,1.04
120,Navy (Patriot),31,8-23,364,351,1.04
121,Middle Tenn. (Sun Belt),34,28-6,481,464,1.04
122,San Diego St. (Mountain West),34,23-11,425,410,1.04
123,Montana (Big Sky),32,25-7,405,391,1.04
124,IUPUI (Summit League),32,6-26,420,406,1.03
125,South Dakota (Summit League),30,10-20,375,363,1.03
126,Stanford (Pac-12),34,19-15,413,402,1.03
127,Wyoming (Mountain West),34,20-14,397,387,1.03
128,Kentucky (SEC),33,21-12,441,430,1.03
129,Marquette (AAC),35,26-9,483,471,1.03
130,Stetson (ASUN),31,15-16,502,490,1.02
131,UNI (MVC),36,21-15,442,432,1.02
132,UC Santa Barbara (Big West),31,11-20,457,447,1.02
133,San Francisco (WCC),31,15-16,382,375,1.02
134,Washington St. (Pac-12),32,13-19,392,385,1.02
135,Eastern Ill. (OVC),32,11-21,420,413,1.02
136,Rice (C-USA),31,5-26,351,346,1.01
137,McNeese (Southland),31,14-17,380,375,1.01
138,Massachusetts (Atlantic 10),33,21-12,482,476,1.01
139,Loyola Maryland (MAAC),35,23-12,422,417,1.01
140,Army West Point (Patriot),31,16-15,442,437,1.01
141,Georgia St. (CAA),31,15-16,362,358,1.01
142,Southern Miss. (C-USA),37,27-10,551,545,1.01
143,Campbell (Big South),33,13-20,461,456,1.01
144,UCF (C-USA),31,20-11,431,427,1.01
145,Central Mich. (MAC),31,11-20,404,402,1.00
146,Charleston So. (Big South),32,19-13,395,394,1.00
147,Central Conn. St. (NEC),30,13-17,378,378,1.00
148,Green Bay (Horizon),34,18-16,455,456,1.00
149,Eastern Wash. (Big Sky),31,10-21,414,416,1.00
150,Northern Colo. (Big Sky),31,13-18,405,407,1.00
151,Jacksonville St. (OVC),28,17-11,363,365,0.99
152,Missouri St. (MVC),33,11-22,334,336,0.99
153,LSU (SEC),31,19-12,442,445,0.99
154,Drexel (CAA),31,13-18,363,366,0.99
155,Georgia Tech (ACC),31,16-15,394,399,0.99
156,Harvard (Ivy League),30,20-10,393,399,0.98
157,Drake (MVC),32,15-17,433,440,0.98
158,Holy Cross (Patriot),30,12-18,366,372,0.98
159,UIC (Horizon),34,18-16,416,423,0.98
160,UNC Asheville (Big South),32,16-16,457,465,0.98
161,N.C. Central (MEAC),31,22-9,436,444,0.98
162,Butler (Atlantic 10),36,27-9,465,474,0.98
163,Central Ark. (Southland),30,13-17,423,432,0.98
164,Mount St. Mary's (NEC),32,18-14,389,398,0.98
165,Idaho (WAC),30,12-18,394,404,0.98
166,Colgate (Patriot),32,11-21,412,423,0.97
167,The Citadel (SoCon),30,8-22,452,465,0.97
168,Buffalo (MAC),34,14-20,510,525,0.97
169,Michigan St. (Big Ten),36,27-9,474,489,0.97
170,Oklahoma St. (Big 12),33,24-9,398,411,0.97
171,Maryland (ACC),38,25-13,551,569,0.97
172,Vanderbilt (SEC),33,16-17,385,398,0.97
173,DePaul (AAC),32,11-21,440,457,0.96
174,Dayton (Atlantic 10),31,17-14,433,450,0.96
175,Hawaii (Big West),32,17-15,444,462,0.96
176,Valparaiso (Horizon),34,26-8,467,486,0.96
177,Cincinnati (AAC),34,22-12,415,432,0.96
178,Montana St. (Big Sky),30,13-17,339,353,0.96
179,Canisius (MAAC),34,20-14,432,450,0.96
180,FGCU (ASUN),37,26-11,523,545,0.96
181,American (Patriot),30,10-20,348,364,0.96
182,Gardner-Webb (Big South),34,21-13,438,459,0.95
183,Samford (SoCon),32,11-21,402,422,0.95
184,UNC Greensboro (SoCon),31,9-22,374,393,0.95
185,West Virginia (Big 12),32,13-19,396,417,0.95
186,Northern Ariz. (Big Sky),32,11-21,434,458,0.95
187,Southern California (Pac-12),32,14-18,403,426,0.95
188,Fairfield (MAAC),35,19-16,445,471,0.94
189,Clemson (ACC),31,13-18,334,355,0.94
190,North Florida (ASUN),32,13-19,441,469,0.94
191,Bowling Green (MAC),32,13-19,385,410,0.94
192,Tulane (C-USA),35,20-15,402,430,0.93
193,Auburn (SEC),32,9-23,396,427,0.93
194,Liberty (Big South),36,15-21,443,478,0.93
195,Nebraska (Big Ten),33,15-18,325,352,0.92
196,Wright St. (Horizon),36,23-13,430,467,0.92
197,Purdue Fort Wayne (Summit League),33,16-17,413,449,0.92
198,Murray St. (OVC),31,21-10,397,433,0.92
199,George Mason (CAA),38,22-16,473,516,0.92
200,Oral Roberts (Southland),35,20-15,442,483,0.92
201,North Dakota (Big Sky),33,16-17,385,421,0.91
202,Presbyterian (Big South),32,8-24,382,418,0.91
203,Indiana St. (MVC),33,18-15,390,427,0.91
204,Old Dominion (CAA),30,5-25,376,412,0.91
205,Rutgers (AAC),31,15-16,390,428,0.91
206,Nicholls (Southland),30,9-21,377,414,0.91
207,Austin Peay (OVC),31,8-23,455,502,0.91
208,Yale (Ivy League),31,14-17,400,442,0.90
209,Rhode Island (Atlantic 10),29,8-21,316,350,0.90
210,Washington (Pac-12),34,18-16,405,449,0.90
211,Quinnipiac (NEC),31,15-16,389,432,0.90
212,A&M-Corpus Christi (Southland),29,6-23,316,351,0.90
213,Kent St. (MAC),35,21-14,402,447,0.90
214,UTRGV (GWC),32,16-16,412,459,0.90
215,Seton Hall (AAC),33,15-18,461,514,0.90
216,CSU Bakersfield (Independent),30,14-16,380,424,0.90
217,Marist (MAAC),31,10-21,396,443,0.89
218,Wofford (SoCon),32,13-19,369,413,0.89
219,Vermont (America East),33,21-12,375,421,0.89
220,Illinois (Big Ten),36,23-13,365,411,0.89
221,Nevada (Mountain West),31,12-19,351,396,0.89
222,Marshall (C-USA),32,13-19,448,506,0.89
223,Radford (Big South),32,13-19,382,432,0.88
224,Cornell (Ivy League),31,13-18,364,412,0.88
225,Ark.-Pine Bluff (SWAC),30,16-14,382,433,0.88
226,NJIT (GWC),29,16-13,374,424,0.88
227,Brown (Ivy League),28,13-15,349,396,0.88
228,Texas St. (WAC),34,12-22,413,469,0.88
229,Sacred Heart (NEC),29,9-20,388,441,0.88
230,Saint Peter's (MAAC),30,9-21,340,387,0.88
231,Duquesne (Atlantic 10),30,8-22,383,437,0.88
232,SIUE (OVC),27,9-18,340,388,0.88
233,Oregon (Pac-12),37,28-9,484,555,0.87
234,Western Caro. (SoCon),33,14-19,373,429,0.87
235,Saint Francis (PA) (NEC),29,5-24,364,419,0.87
236,Texas A&M (SEC),33,18-15,380,438,0.87
237,New Hampshire (America East),29,9-20,304,351,0.87
238,Xavier (Atlantic 10),31,17-14,348,402,0.87
239,Hartford (America East),31,17-14,382,442,0.86
240,Cleveland St. (Horizon),32,14-18,389,452,0.86
241,Miami (OH) (MAC),31,9-22,379,441,0.86
242,San Diego (WCC),34,16-18,392,458,0.86
243,Tennessee St. (OVC),33,18-15,434,508,0.85
244,Morehead St. (OVC),33,15-18,489,573,0.85
245,Maine (America East),30,11-19,384,450,0.85
246,Southern Ill. (MVC),31,14-17,321,377,0.85
247,Idaho St. (Big Sky),30,6-24,307,361,0.85
248,Jacksonville (ASUN),32,14-18,414,488,0.85
249,App State (SoCon),31,15-16,356,420,0.85
250,UT Arlington (WAC),33,19-14,411,486,0.85
251,Penn (Ivy League),31,9-22,418,495,0.84
252,Virginia Tech (ACC),32,13-19,325,385,0.84
253,Chattanooga (SoCon),32,13-19,379,449,0.84
254,UC Riverside (Big West),31,6-25,382,453,0.84
255,Alabama (SEC),36,23-13,380,451,0.84
256,Morgan St. (MEAC),32,17-15,410,487,0.84
257,Albany (NY) (America East),35,24-11,394,468,0.84
258,George Washington (Atlantic 10),30,13-17,403,479,0.84
259,Chicago St. (GWC),33,11-22,407,484,0.84
260,Col. of Charleston (SoCon),35,24-11,392,467,0.84
261,Longwood (Big South),33,8-25,459,548,0.84
262,ULM (Sun Belt),27,4-23,367,439,0.84
263,Tennessee (SEC),33,20-13,354,425,0.83
264,Fairleigh Dickinson (NEC),31,7-24,404,486,0.83
265,SMU (C-USA),32,15-17,383,462,0.83
266,Alabama A&M (SWAC),31,11-20,367,444,0.83
267,Long Beach St. (Big West),33,19-14,398,485,0.82
268,Monmouth (NEC),31,10-21,377,460,0.82
269,UT Martin (OVC),30,9-21,370,452,0.82
270,LMU (CA) (WCC),34,11-23,367,450,0.82
271,Norfolk St. (MEAC),33,21-12,392,481,0.81
272,Pepperdine (WCC),30,12-18,360,442,0.81
273,UMBC (America East),31,8-23,368,455,0.81
274,South Carolina St. (MEAC),30,6-24,363,449,0.81
275,Western Mich. (MAC),35,22-13,412,510,0.81
276,Wagner (NEC),31,19-12,381,472,0.81
277,Portland (WCC),32,11-21,386,479,0.81
278,Tulsa (C-USA),33,17-16,389,484,0.80
279,Southern Utah (Big Sky),31,11-20,378,472,0.80
280,Penn St. (Big Ten),31,10-21,305,381,0.80
281,South Carolina (SEC),32,14-18,392,491,0.80
282,Georgia (SEC),32,15-17,371,466,0.80
283,Arkansas St. (Sun Belt),31,19-12,324,408,0.79
284,New Mexico St. (WAC),35,24-11,401,506,0.79
285,Wake Forest (ACC),31,13-18,352,445,0.79
286,Fresno St. (Mountain West),30,11-19,275,348,0.79
287,UNCW (CAA),30,10-20,338,428,0.79
288,San Jose St. (WAC),29,9-20,317,402,0.79
289,Dartmouth (Ivy League),28,9-19,298,378,0.79
290,Louisiana (Sun Belt),33,13-20,367,466,0.79
291,Ball St. (MAC),30,15-15,357,455,0.78
292,Texas (Big 12),34,16-18,391,500,0.78
293,New Orleans (Independent),26,8-18,359,461,0.78
294,Fordham (Atlantic 10),31,7-24,377,486,0.78
295,Villanova (AAC),34,20-14,413,533,0.77
296,Florida St. (ACC),34,18-16,385,497,0.77
297,Alabama St. (SWAC),32,10-22,371,479,0.77
298,Milwaukee (Horizon),32,8-24,350,453,0.77
299,Eastern Mich. (MAC),34,16-18,364,473,0.77
300,Seattle U (WAC),30,8-22,420,546,0.77
301,Charlotte (Atlantic 10),33,21-12,387,505,0.77
302,ETSU (ASUN),32,10-22,323,423,0.76
303,Delaware (CAA),33,19-14,319,418,0.76
304,FIU (Sun Belt),32,18-14,369,484,0.76
305,Little Rock (Sun Belt),32,17-15,372,488,0.76
306,Southeastern La. (Southland),31,13-18,303,398,0.76
307,Texas Tech (Big 12),31,11-20,344,456,0.75
308,Furman (SoCon),31,7-24,340,451,0.75
309,Kennesaw St. (ASUN),30,3-27,312,414,0.75
310,Coastal Carolina (Big South),29,14-15,308,410,0.75
311,Colorado (Pac-12),33,21-12,328,439,0.75
312,UTSA (WAC),32,10-22,322,431,0.75
313,TCU (Big 12),32,11-21,322,432,0.75
314,Western Ky. (Sun Belt),36,20-16,400,537,0.74
315,Jackson St. (SWAC),29,11-18,275,370,0.74
316,Winthrop (Big South),31,14-17,297,403,0.74
317,North Texas (Sun Belt),32,12-20,325,444,0.73
318,Ga. Southern (SoCon),33,14-19,318,435,0.73
319,Prairie View (SWAC),34,15-19,370,509,0.73
320,Tennessee Tech (OVC),29,12-17,340,468,0.73
321,Delaware St. (MEAC),33,15-18,326,453,0.72
322,N.C. A&T (MEAC),37,20-17,405,564,0.72
323,Florida A&M (MEAC),31,8-23,340,484,0.70
324,Coppin St. (MEAC),32,8-24,328,472,0.69
325,Towson (CAA),31,18-13,315,460,0.68
326,Lipscomb (ASUN),30,12-18,345,504,0.68
327,South Alabama (Sun Belt),30,17-13,322,475,0.68
328,Siena (MAAC),32,8-24,331,490,0.68
329,Hofstra (CAA),32,7-25,312,463,0.67
330,Hampton (MEAC),31,14-17,352,527,0.67
331,Fla. Atlantic (Sun Belt),32,14-18,323,488,0.66
332,Manhattan (MAAC),32,14-18,341,518,0.66
333,Rider (MAAC),34,19-15,344,525,0.66
334,Houston Baptist (GWC),31,14-17,349,534,0.65
335,Kansas City (Summit League),32,8-24,315,482,0.65
336,Mississippi Val. (SWAC),28,5-23,271,427,0.63
337,Lamar University (Southland),31,3-28,353,564,0.63
338,UMES (MEAC),28,2-26,261,429,0.61
339,Alcorn (SWAC),34,10-24,308,512,0.60
340,Howard (MEAC),31,7-24,275,461,0.60
341,Savannah St. (MEAC),34,19-15,348,586,0.59
342,Grambling (SWAC),28,0-28,290,491,0.59
343,Mississippi St. (SEC),32,10-22,321,545,0.59
344,NIU (MAC),30,5-25,254,434,0.59
345,Binghamton (America East),30,3-27,247,461,0.54
