Team,RPG,OPP RPG,REB MAR
Central Conn. St. (NEC),35.7,35.6,0.2
LIU (NEC),37.4,37.2,0.2
Air Force (Mountain West),33.7,33.5,0.2
Vanderbilt (SEC),35.5,35.3,0.1
Southern Miss. (C-USA),35.7,35.6,0.1
Monmouth (MAAC),35,34.9,0.1
Seton Hall (Big East),35.7,35.8,0
Brown (Ivy League),36.2,36.2,0
William & Mary (CAA),34.2,34.2,0
UNI (MVC),32.7,32.8,-0.1
Sacramento St. (Big Sky),33.9,34,-0.1
Tennessee St. (OVC),34.4,34.5,-0.1
Pittsburgh (ACC),36.7,36.8,-0.1
Alcorn (SWAC),34.8,34.9,-0.1
South Carolina (SEC),36.3,36.4,-0.1
Penn (Ivy League),35.6,35.8,-0.2
Eastern Wash. (Big Sky),35.1,35.3,-0.2
Boise St. (Mountain West),30.9,31.1,-0.2
Colorado St. (Mountain West),33.8,34,-0.2
Little Rock (Sun Belt),34.2,34.5,-0.2
Wisconsin (Big Ten),35.2,35.5,-0.3
Bucknell (Patriot),35,35.2,-0.3
North Florida (ASUN),37.9,38.2,-0.3
UMass Lowell (America East),34.8,35.2,-0.3
Albany (NY) (America East),33.8,34.1,-0.3
Niagara (MAAC),35.7,36.1,-0.3
New Orleans (Southland),35.3,35.7,-0.4
Missouri St. (MVC),31.3,31.7,-0.4
Northeastern (CAA),31.6,32,-0.4
Columbia (Ivy League),35.2,35.6,-0.4
Montana St. (Big Sky),33.8,34.3,-0.5
Illinois St. (MVC),34.5,35,-0.5
San Jose St. (Mountain West),36.5,37,-0.5
Central Mich. (MAC),37.7,38.4,-0.7
ULM (Sun Belt),33.6,34.4,-0.8
Ark.-Pine Bluff (SWAC),33.2,34.1,-0.8
Presbyterian (Big South),34.7,35.5,-0.9
Fairleigh Dickinson (NEC),33,33.9,-0.9
Texas (Big 12),34.2,35.1,-0.9
Milwaukee (Horizon),35.4,36.3,-0.9
Santa Clara (WCC),33.1,34.2,-1
Mercer (SoCon),34.2,35.3,-1.1
Gardner-Webb (Big South),34,35.1,-1.1
Auburn (SEC),34.2,35.3,-1.1
Omaha (Summit League),32.7,33.8,-1.1
Manhattan (MAAC),31.1,32.3,-1.2
Florida (SEC),33.3,34.5,-1.2
Eastern Ill. (OVC),35.8,37.1,-1.2
UTSA (C-USA),38,39.3,-1.3
St. Francis Brooklyn (NEC),36.1,37.5,-1.4
SFA (Southland),33.6,35,-1.4
BYU (WCC),34.9,36.4,-1.5
Alabama St. (SWAC),35.3,36.8,-1.5
North Dakota (Summit League),33.6,35.1,-1.5
La Salle (Atlantic 10),34.1,35.6,-1.5
Army West Point (Patriot),35.2,36.7,-1.5
Maine (America East),31.7,33.3,-1.5
Purdue Fort Wayne (Summit League),34.5,36.1,-1.5
Marist (MAAC),31.2,32.7,-1.5
Troy (Sun Belt),34.1,35.6,-1.6
Weber St. (Big Sky),35.6,37.2,-1.6
Western Ill. (Summit League),35.5,37.1,-1.6
Delaware (CAA),32.8,34.4,-1.6
North Dakota St. (Summit League),31.5,33.2,-1.7
Southeast Mo. St. (OVC),34.9,36.6,-1.7
Coppin St. (MEAC),36.9,38.7,-1.8
Northern Ariz. (Big Sky),34.1,35.9,-1.8
Southern California (Pac-12),35.9,37.8,-1.8
Morehead St. (OVC),35.6,37.5,-1.8
Kennesaw St. (ASUN),36.3,38.2,-1.9
Idaho St. (Big Sky),32.5,34.4,-1.9
Boston College (ACC),36.7,38.6,-1.9
Oklahoma St. (Big 12),34.2,36.1,-1.9
App State (Sun Belt),35.2,37.1,-2
Long Beach St. (Big West),37.1,39.1,-2
NJIT (ASUN),33.7,35.7,-2
Chattanooga (SoCon),34.3,36.3,-2
UT Martin (OVC),34.3,36.3,-2
Tulsa (AAC),34.9,37,-2.1
Indiana St. (MVC),32.5,34.6,-2.1
Tulane (AAC),36.4,38.5,-2.2
Charlotte (C-USA),30.8,33,-2.2
Nebraska (Big Ten),35.5,37.7,-2.3
Northwestern (Big Ten),34.1,36.3,-2.3
Butler (Big East),32,34.3,-2.3
Loyola Maryland (Patriot),31.1,33.4,-2.3
Syracuse (ACC),34.6,36.9,-2.3
UIC (Horizon),34.6,36.9,-2.3
FGCU (ASUN),33.2,35.5,-2.3
Notre Dame (ACC),36.6,39,-2.4
Louisiana (Sun Belt),35.7,38.1,-2.4
Washington St. (Pac-12),33.6,36.1,-2.4
Lafayette (Patriot),33.4,35.8,-2.5
Tennessee Tech (OVC),36.2,38.7,-2.5
Georgia Tech (ACC),33.5,36,-2.6
Saint Joseph's (Atlantic 10),34.5,37.1,-2.6
SIUE (OVC),34.9,37.5,-2.6
Akron (MAC),36.5,39.1,-2.6
Temple (AAC),34.4,37,-2.6
South Dakota (Summit League),31.4,34.1,-2.6
Central Ark. (Southland),35.2,37.9,-2.7
Southern U. (SWAC),30.7,33.3,-2.7
Green Bay (Horizon),37,39.7,-2.7
Duquesne (Atlantic 10),35.4,38.2,-2.8
Elon (CAA),33.8,36.6,-2.8
Iona (MAAC),34.2,36.9,-2.8
Florida A&M (MEAC),32.1,35,-2.9
Howard (MEAC),36.9,39.7,-2.9
East Carolina (AAC),34.2,37.2,-2.9
Campbell (Big South),31.8,34.8,-2.9
Miami (FL) (ACC),33.2,36.2,-3
N.C. A&T (MEAC),33.1,36.2,-3.1
Idaho (Big Sky),33.1,36.2,-3.1
Fairfield (MAAC),31.2,34.4,-3.1
CSUN (Big West),35.7,38.9,-3.2
New Hampshire (America East),34,37.2,-3.2
South Alabama (Sun Belt),32.1,35.4,-3.2
Washington (Pac-12),31.3,34.6,-3.3
Stetson (ASUN),35.8,39.1,-3.3
Northwestern St. (Southland),35.7,39,-3.3
Hartford (America East),31.8,35.2,-3.4
Fordham (Atlantic 10),33.9,37.3,-3.4
Mississippi Val. (SWAC),36.6,40.1,-3.5
Pepperdine (WCC),31.9,35.4,-3.5
Illinois (Big Ten),33,36.5,-3.5
Oakland (Horizon),32.2,35.8,-3.6
Mount St. Mary's (NEC),33.4,37,-3.6
George Washington (Atlantic 10),33.8,37.5,-3.7
The Citadel (SoCon),36.8,40.5,-3.7
Cleveland St. (Horizon),35.3,39,-3.7
Bryant (NEC),32.3,36.1,-3.8
UIW (Southland),27.3,31.1,-3.8
Eastern Ky. (OVC),37.6,41.5,-3.9
Evansville (MVC),34.1,38,-3.9
Siena (MAAC),29.5,33.5,-4.1
VMI (SoCon),34.7,38.8,-4.2
Alabama A&M (SWAC),32,36.2,-4.2
Canisius (MAAC),31.7,35.9,-4.2
Morgan St. (MEAC),36,40.2,-4.2
UC Davis (Big West),29.9,34.5,-4.5
Arkansas (SEC),33.6,38.2,-4.6
UNC Asheville (Big South),30,34.6,-4.6
Cal Poly (Big West),33.6,38.2,-4.6
USC Upstate (Big South),32.8,37.5,-4.6
Prairie View (SWAC),32.9,37.6,-4.7
Cornell (Ivy League),32.7,37.4,-4.7
Portland (WCC),32.3,37.4,-5.2
Delaware St. (MEAC),36.9,42.1,-5.2
St. John's (NY) (Big East),32.9,38.8,-5.9
UTRGV (WAC),32.8,38.8,-5.9
Kansas City (WAC),30.3,36.5,-6.2
Binghamton (America East),32.1,38.3,-6.2
Detroit Mercy (Horizon),32.9,39.1,-6.2
UMES (MEAC),31,37.2,-6.2
Savannah St. (MEAC),38.3,44.7,-6.4
Nicholls (Southland),33.6,40,-6.4
Richmond (Atlantic 10),29,35.6,-6.6
Georgia St. (Sun Belt),32.6,39.3,-6.6
California (Pac-12),29.1,36.1,-7
FIU (C-USA),35.8,43.2,-7.4
Wyoming (Mountain West),30.7,38.1,-7.4
Chicago St. (WAC),31.1,38.9,-7.8
Marshall (C-USA),34.1,41.9,-7.9
Holy Cross (Patriot),27.8,36.1,-8.3
