Team,FTPG,FTAPG,FT%
Middle Tenn. (C-USA),11.66,17.22,67.7
Charleston So. (Big South),11.71,17.29,67.7
Chicago St. (WAC),12.28,18.16,67.6
Savannah St. (MEAC),11.58,17.13,67.6
Western Caro. (SoCon),13.25,19.63,67.5
Houston Baptist (Southland),17.83,26.43,67.5
Alcorn (SWAC),11.81,17.52,67.4
Vanderbilt (SEC),14.94,22.19,67.3
UAB (C-USA),12.11,18.00,67.3
UMES (MEAC),10.28,15.28,67.3
CSU Bakersfield (WAC),12.26,18.24,67.3
Stanford (Pac-12),13.94,20.74,67.2
Central Mich. (MAC),17.40,25.94,67.1
Portland (WCC),14.00,20.88,67.1
ETSU (SoCon),12.50,18.65,67
Bowling Green (MAC),14.88,22.21,67
North Texas (C-USA),10.79,16.12,66.9
William & Mary (CAA),12.42,18.58,66.8
Arkansas (SEC),15.12,22.62,66.8
FGCU (ASUN),12.28,18.38,66.8
Southern U. (SWAC),12.28,18.38,66.8
Holy Cross (Patriot),8.58,12.85,66.7
Texas Southern (SWAC),17.32,25.95,66.7
Kansas St. (Big 12),11.26,16.88,66.7
Northern Ky. (Horizon),13.80,20.71,66.6
Loyola Chicago (MVC),10.68,16.03,66.6
Alabama (SEC),14.47,21.74,66.6
Georgia St. (Sun Belt),13.59,20.41,66.6
Coppin St. (MEAC),13.88,20.88,66.5
N.C. A&T (MEAC),11.38,17.13,66.4
Old Dominion (C-USA),11.09,16.71,66.3
Richmond (Atlantic 10),11.06,16.73,66.1
UTEP (C-USA),13.17,19.93,66.1
Mississippi Val. (SWAC),13.31,20.22,65.8
Louisiana Tech (C-USA),13.73,20.91,65.7
Southern Miss. (C-USA),9.73,14.82,65.6
Little Rock (Sun Belt),14.87,22.68,65.6
San Francisco (WCC),12.00,18.32,65.5
San Jose St. (Mountain West),13.10,20.00,65.5
Indiana (Big Ten),13.00,19.86,65.5
Alabama St. (SWAC),14.39,22.06,65.2
UCF (AAC),15.70,24.18,64.9
Cal Poly (Big West),10.10,15.59,64.8
Maine (America East),9.16,14.13,64.8
Wisconsin (Big Ten),10.12,15.62,64.8
Binghamton (America East),8.82,13.64,64.7
South Fla. (AAC),17.32,26.79,64.6
Southern California (Pac-12),11.00,17.06,64.5
FIU (C-USA),16.09,25.15,64
Penn (Ivy League),10.52,16.48,63.8
CSUN (Big West),12.68,19.88,63.8
Rutgers (Big Ten),12.00,18.84,63.7
Jackson St. (SWAC),12.03,18.97,63.4
Ohio (MAC),12.29,19.42,63.3
UCLA (Pac-12),14.73,23.27,63.3
Tennessee Tech (OVC),13.13,20.81,63.1
Eastern Mich. (MAC),11.88,18.88,62.9
Alabama A&M (SWAC),8.88,14.16,62.7
Rider (MAAC),15.00,24.35,61.6
Florida A&M (MEAC),9.97,16.23,61.4
New Hampshire (America East),8.10,13.28,61
Bethune-Cookman (MEAC),13.55,22.23,61
Saint Louis (Atlantic 10),13.44,22.47,59.8
Manhattan (MAAC),9.75,16.69,58.4
