Rank,Team,ASTPG,TOPG,Ratio
169,Bowling Green (MAC),12.56,12.09,1.04
170,South Alabama (Sun Belt),13.85,13.41,1.03
171,FIU (C-USA),14.44,14.03,1.03
172,Akron (MAC),12.09,11.76,1.03
173,Air Force (Mountain West),13.56,13.22,1.03
174,Saint Francis (PA) (NEC),12.52,12.21,1.02
175,Eastern Ky. (OVC),14.77,14.42,1.02
176,Northern Ariz. (Big Sky),12.29,12.00,1.02
177,Memphis (AAC),15.36,15.00,1.02
178,Maine (America East),14.72,14.38,1.02
179,Illinois (Big Ten),13.52,13.21,1.02
180,Chattanooga (SoCon),13.06,12.81,1.02
181,IUPUI (Horizon),14.27,14.00,1.02
182,N.C. Central (MEAC),15.47,15.18,1.02
183,Maryland (Big Ten),13.15,12.91,1.02
184,Lamar University (Southland),14.58,14.33,1.02
185,Eastern Ill. (OVC),13.56,13.34,1.02
186,Jacksonville St. (OVC),13.52,13.30,1.02
187,Houston Baptist (Southland),14.97,14.73,1.02
188,Fairleigh Dickinson (NEC),13.89,13.69,1.01
189,Sacred Heart (NEC),14.72,14.53,1.01
190,Illinois St. (MVC),12.76,12.64,1.01
191,Loyola Maryland (Patriot),14.00,13.88,1.01
192,Winthrop (Big South),15.33,15.20,1.01
193,UCLA (Pac-12),14.30,14.18,1.01
194,Boston College (ACC),12.32,12.23,1.01
195,Texas Southern (SWAC),15.55,15.47,1.01
196,UAB (C-USA),11.46,11.40,1.01
197,Ohio (MAC),14.55,14.48,1.00
198,UC Riverside (Big West),12.88,12.85,1.00
199,Prairie View (SWAC),12.71,12.71,1.00
200,LSU (SEC),12.91,12.94,1.00
201,Colorado (Pac-12),13.28,13.33,1.00
202,Samford (SoCon),13.97,14.03,1.00
203,High Point (Big South),13.03,13.10,1.00
204,Utah Valley (WAC),13.83,13.91,0.99
205,Saint Louis (Atlantic 10),12.78,12.86,0.99
206,St. Bonaventure (Atlantic 10),12.26,12.35,0.99
207,UNLV (Mountain West),12.87,12.97,0.99
208,Weber St. (Big Sky),11.61,11.70,0.99
209,Rhode Island (Atlantic 10),12.15,12.27,0.99
210,Kansas (Big 12),13.28,13.42,0.99
211,Valparaiso (MVC),13.06,13.21,0.99
212,UConn (AAC),12.79,12.94,0.99
213,Jacksonville (ASUN),14.28,14.47,0.99
214,USC Upstate (Big South),13.56,13.75,0.99
215,Arizona St. (Pac-12),13.50,13.74,0.98
216,Duquesne (Atlantic 10),13.81,14.09,0.98
217,VCU (Atlantic 10),13.64,13.94,0.98
218,New Mexico (Mountain West),13.94,14.25,0.98
219,Southern Ill. (MVC),13.69,14.00,0.98
220,Penn St. (Big Ten),12.16,12.47,0.97
221,Oral Roberts (Summit League),13.56,13.94,0.97
222,Marist (MAAC),12.16,12.52,0.97
223,North Florida (ASUN),15.76,16.24,0.97
224,App State (Sun Belt),12.69,13.09,0.97
225,Central Ark. (Southland),14.03,14.48,0.97
226,Marquette (Big East),13.41,13.85,0.97
227,Rice (C-USA),13.28,13.72,0.97
228,Portland St. (Big Sky),13.56,14.03,0.97
229,Savannah St. (MEAC),14.90,15.42,0.97
230,Florida St. (ACC),12.84,13.30,0.97
231,Mercer (SoCon),12.68,13.16,0.96
232,Troy (Sun Belt),13.07,13.57,0.96
233,Syracuse (ACC),12.00,12.47,0.96
234,North Texas (C-USA),12.97,13.48,0.96
235,New Orleans (Southland),15.06,15.67,0.96
236,Evansville (MVC),12.31,12.81,0.96
237,Santa Clara (WCC),13.42,13.97,0.96
238,Robert Morris (NEC),13.91,14.49,0.96
239,James Madison (CAA),12.21,12.73,0.96
240,Bradley (MVC),12.09,12.60,0.96
241,Rutgers (Big Ten),12.58,13.16,0.96
242,Seattle U (WAC),11.70,12.24,0.96
243,Saint Mary's (CA) (WCC),10.03,10.50,0.96
244,South Carolina (SEC),12.91,13.53,0.95
245,Coastal Carolina (Sun Belt),13.26,13.91,0.95
246,McNeese (Southland),13.84,14.52,0.95
247,Tulane (AAC),14.32,15.13,0.95
248,California (Pac-12),10.81,11.42,0.95
249,UNI (MVC),10.91,11.56,0.94
250,Georgia Tech (ACC),13.53,14.34,0.94
251,Quinnipiac (MAAC),12.68,13.48,0.94
252,St. Francis Brooklyn (NEC),11.73,12.52,0.94
253,FGCU (ASUN),14.03,15.03,0.93
254,George Mason (Atlantic 10),12.09,12.97,0.93
255,Milwaukee (Horizon),11.48,12.32,0.93
256,A&M-Corpus Christi (Southland),13.22,14.25,0.93
257,Northern Ill. (MAC),11.00,11.91,0.92
258,Idaho (Big Sky),12.47,13.53,0.92
259,Fairfield (MAAC),12.94,14.06,0.92
260,Missouri St. (MVC),11.06,12.03,0.92
261,East Carolina (AAC),12.32,13.42,0.92
262,Southern Utah (Big Sky),12.53,13.71,0.91
263,Navy (Patriot),12.87,14.10,0.91
264,New Hampshire (America East),11.21,12.28,0.91
265,Brown (Ivy League),13.06,14.31,0.91
266,LIU (NEC),13.44,14.75,0.91
267,George Washington (Atlantic 10),11.36,12.48,0.91
267,UC Davis (Big West),12.10,13.29,0.91
269,Clemson (ACC),12.06,13.26,0.91
270,Cal St. Fullerton (Big West),11.97,13.26,0.90
271,UT Arlington (Sun Belt),12.76,14.15,0.90
272,Cal Poly (Big West),10.38,11.52,0.90
273,Western Ill. (Summit League),10.29,11.42,0.90
274,Southeast Mo. St. (OVC),12.97,14.42,0.90
275,Alabama (SEC),12.29,13.68,0.90
276,La Salle (Atlantic 10),12.61,14.03,0.90
277,Kansas City (WAC),10.97,12.22,0.90
278,Detroit Mercy (Horizon),10.29,11.48,0.90
279,Western Ky. (C-USA),12.26,13.71,0.89
280,NJIT (ASUN),10.74,12.03,0.89
281,Morgan St. (MEAC),11.93,13.37,0.89
282,Ga. Southern (Sun Belt),12.21,13.70,0.89
283,Ball St. (MAC),12.91,14.55,0.89
284,Bethune-Cookman (MEAC),14.32,16.16,0.89
285,Albany (NY) (America East),12.56,14.19,0.89
286,Niagara (MAAC),10.72,12.19,0.88
287,Little Rock (Sun Belt),14.29,16.26,0.88
288,West Virginia (Big 12),13.56,15.47,0.88
289,Norfolk St. (MEAC),12.69,14.53,0.87
290,San Jose St. (Mountain West),13.65,15.65,0.87
291,SIUE (OVC),12.32,14.13,0.87
292,Washington (Pac-12),11.64,13.36,0.87
293,Mississippi Val. (SWAC),11.28,12.97,0.87
294,Portland (WCC),11.53,13.28,0.87
295,Denver (Summit League),11.80,13.60,0.87
296,Fla. Atlantic (C-USA),12.70,14.67,0.87
297,Pittsburgh (ACC),11.73,13.58,0.86
298,Mount St. Mary's (NEC),11.42,13.23,0.86
299,CSU Bakersfield (WAC),11.15,12.91,0.86
300,South Fla. (AAC),13.71,15.89,0.86
301,Indiana St. (MVC),11.03,12.97,0.85
302,Wagner (NEC),11.70,13.80,0.85
303,Miami (OH) (MAC),10.91,12.91,0.85
304,Texas A&M (SEC),11.75,13.91,0.84
305,Southeastern La. (Southland),13.70,16.24,0.84
306,Longwood (Big South),11.79,14.03,0.84
307,UMES (MEAC),11.28,13.47,0.84
308,Georgia (SEC),13.22,15.81,0.84
309,Stanford (Pac-12),12.65,15.13,0.84
310,Princeton (Ivy League),10.54,12.64,0.83
311,Eastern Mich. (MAC),11.53,13.84,0.83
312,Long Beach St. (Big West),11.74,14.12,0.83
313,Bryant (NEC),10.63,12.83,0.83
314,Kennesaw St. (ASUN),11.31,13.66,0.83
315,Central Conn. St. (NEC),11.39,13.77,0.83
316,Jackson St. (SWAC),11.22,13.66,0.82
317,Towson (CAA),9.97,12.19,0.82
318,Vanderbilt (SEC),11.59,14.19,0.82
319,Arkansas St. (Sun Belt),11.34,14.06,0.81
320,Alcorn (SWAC),12.61,15.87,0.79
321,Binghamton (America East),9.82,12.39,0.79
322,Wake Forest (ACC),10.65,13.45,0.79
323,Missouri (SEC),11.06,14.00,0.79
324,Alabama A&M (SWAC),12.00,15.22,0.79
325,SFA (Southland),11.60,14.73,0.79
326,Grambling (SWAC),12.35,15.74,0.79
327,South Carolina St. (MEAC),11.35,14.53,0.78
328,Stony Brook (America East),11.27,14.52,0.78
329,Delaware St. (MEAC),10.74,14.03,0.77
330,Ark.-Pine Bluff (SWAC),11.41,14.94,0.76
331,Western Mich. (MAC),11.69,15.31,0.76
332,Pacific (WCC),10.16,13.31,0.76
333,Monmouth (MAAC),10.83,14.34,0.75
334,Tennessee Tech (OVC),12.55,16.68,0.75
335,Harvard (Ivy League),11.90,15.84,0.75
336,Wyoming (Mountain West),10.34,13.97,0.74
337,Manhattan (MAAC),11.25,15.31,0.73
338,Chicago St. (WAC),11.75,16.03,0.73
339,Southern U. (SWAC),11.63,15.94,0.73
340,UNC Asheville (Big South),10.68,14.74,0.72
341,Florida A&M (MEAC),11.45,16.06,0.71
342,UIW (Southland),11.42,16.26,0.70
343,Alabama St. (SWAC),10.10,14.55,0.69
344,Tennessee St. (OVC),11.40,16.57,0.69
345,Middle Tenn. (C-USA),11.00,16.00,0.69
346,Northwestern St. (Southland),10.97,16.03,0.68
347,Charlotte (C-USA),9.93,14.52,0.68
348,Western Caro. (SoCon),12.16,18.22,0.67
349,UTEP (C-USA),10.59,16.10,0.66
350,Saint Peter's (MAAC),9.41,15.28,0.62
351,Coppin St. (MEAC),9.88,16.82,0.59
