Team,FGPG,FGAPG,FG%
Towson (CAA),25,58,43.5
Canisius (MAAC),25,57,43.5
Saint Francis (PA) (NEC),27,62,43.5
North Texas (C-USA),25,58,43.5
Minnesota (Big Ten),25,57,43.5
Miami (FL) (ACC),25,58,43.5
Ohio St. (Big Ten),24,55,43.4
Louisville (ACC),25,58,43.4
Siena (MAAC),23,54,43.4
Fairfield (MAAC),25,57,43.4
Bradley (MVC),23,54,43.3
UTSA (C-USA),28,65,43.3
Howard (MEAC),28,64,43.3
UMBC (America East),24,56,43.3
Norfolk St. (MEAC),25,58,43.3
Texas (Big 12),25,58,43.3
Robert Morris (NEC),25,57,43.2
Maine (America East),23,54,43.2
Cincinnati (AAC),25,58,43.2
Kent St. (MAC),27,62,43.2
Hampton (Big South),28,64,43.2
Eastern Ill. (OVC),26,60,43.2
Tennessee St. (OVC),25,58,43.2
Long Beach St. (Big West),26,60,43.2
Northern Ariz. (Big Sky),25,59,43.2
Kansas City (WAC),24,56,43.1
Saint Peter's (MAAC),22,51,43.1
Illinois St. (MVC),25,57,43.1
Illinois (Big Ten),26,61,43.1
Binghamton (America East),24,56,43.1
South Fla. (AAC),24,56,43
Missouri (SEC),24,55,43
Charleston So. (Big South),27,63,42.9
Nebraska (Big Ten),25,59,42.9
Eastern Wash. (Big Sky),26,60,42.9
A&M-Corpus Christi (Southland),24,56,42.9
Kansas St. (Big 12),24,55,42.9
Morehead St. (OVC),26,60,42.9
St. Bonaventure (Atlantic 10),24,56,42.9
Rhode Island (Atlantic 10),25,58,42.9
South Carolina St. (MEAC),24,56,42.9
Longwood (Big South),24,55,42.8
Army West Point (Patriot),26,61,42.8
Duquesne (Atlantic 10),25,59,42.8
Youngstown St. (Horizon),27,64,42.7
Quinnipiac (MAAC),24,56,42.7
UNLV (Mountain West),26,60,42.7
VMI (SoCon),26,62,42.7
Ark.-Pine Bluff (SWAC),22,53,42.7
Arizona (Pac-12),25,58,42.7
California (Pac-12),24,56,42.6
Rice (C-USA),25,58,42.6
Central Ark. (Southland),25,58,42.6
Florida (SEC),24,56,42.5
Western Mich. (MAC),24,57,42.5
Boston College (ACC),25,58,42.5
Eastern Ky. (OVC),29,69,42.4
Portland St. (Big Sky),27,63,42.4
CSU Bakersfield (WAC),26,62,42.4
Syracuse (ACC),24,56,42.4
Providence (Big East),25,58,42.3
Oklahoma St. (Big 12),24,56,42.3
St. Francis Brooklyn (NEC),25,60,42.3
South Carolina (SEC),25,60,42.3
Pacific (WCC),22,53,42.2
New Mexico (Mountain West),25,60,42.2
Bryant (NEC),24,56,42.2
Nicholls (Southland),26,62,42.1
Niagara (MAAC),25,59,42.1
Evansville (MVC),23,55,42.1
Stony Brook (America East),25,59,42.1
Miami (OH) (MAC),24,58,42.1
Vanderbilt (SEC),23,55,42.1
Milwaukee (Horizon),25,59,42
Rutgers (Big Ten),25,59,41.9
Middle Tenn. (C-USA),24,58,41.9
