Team,Opp 3FGAPG,OPP 3FGPG,Pct
Arizona St. (Pac-12),25.71,8.59,33.4
Southern California (Pac-12),23.85,7.97,33.4
Washington (Pac-12),19.19,6.42,33.4
Green Bay (Horizon),25.55,8.55,33.5
Western Caro. (SoCon),22.50,7.53,33.5
Penn (Ivy League),19.45,6.52,33.5
Florida St. (ACC),21.70,7.27,33.5
North Carolina (ACC),27.36,9.17,33.5
Seattle U (WAC),19.06,6.39,33.5
UConn (AAC),18.79,6.30,33.5
Kansas (Big 12),25.58,8.58,33.6
Iowa St. (Big 12),23.49,7.89,33.6
Winthrop (Big South),26.40,8.87,33.6
Tulane (AAC),24.48,8.23,33.6
Colgate (Patriot),23.54,7.91,33.6
Pittsburgh (ACC),23.42,7.88,33.6
UTRGV (WAC),18.78,6.32,33.7
Southern Miss. (C-USA),26.64,8.97,33.7
Longwood (Big South),27.94,9.41,33.7
Sam Houston (Southland),21.76,7.33,33.7
UC Irvine (Big West),19.32,6.51,33.7
Tennessee Tech (OVC),22.48,7.58,33.7
Northeastern (CAA),20.41,6.88,33.7
UNI (MVC),20.32,6.85,33.7
LSU (SEC),23.80,8.03,33.7
Navy (Patriot),24.65,8.32,33.8
Lehigh (Patriot),26.94,9.10,33.8
Milwaukee (Horizon),26.35,8.90,33.8
Jacksonville St. (OVC),24.21,8.18,33.8
Hartford (America East),23.12,7.82,33.8
Duquesne (Atlantic 10),20.59,6.97,33.8
Illinois St. (MVC),22.82,7.73,33.9
FIU (C-USA),23.09,7.82,33.9
Montana (Big Sky),19.89,6.74,33.9
Radford (Big South),24.58,8.33,33.9
North Florida (ASUN),19.12,6.48,33.9
Georgetown (Big East),26.00,8.82,33.9
Lamar University (Southland),21.33,7.24,33.9
Hawaii (Big West),19.26,6.55,34
Belmont (OVC),22.55,7.67,34
Alabama St. (SWAC),20.58,7.00,34
UAB (C-USA),24.94,8.49,34
South Carolina (SEC),22.50,7.66,34
Minnesota (Big Ten),19.83,6.75,34
Seton Hall (Big East),23.32,7.94,34
Robert Morris (NEC),19.89,6.77,34.1
North Dakota (Summit League),19.97,6.80,34.1
Indiana St. (MVC),20.65,7.03,34.1
Harvard (Ivy League),21.58,7.35,34.1
UIC (Horizon),22.28,7.59,34.1
Boise St. (Mountain West),21.61,7.36,34.1
UC Davis (Big West),19.87,6.77,34.1
USC Upstate (Big South),20.34,6.94,34.1
Eastern Mich. (MAC),24.28,8.28,34.1
Providence (Big East),21.21,7.24,34.1
Wake Forest (ACC),23.26,7.94,34.1
Youngstown St. (Horizon),22.88,7.81,34.2
St. John's (NY) (Big East),24.35,8.32,34.2
Bowling Green (MAC),26.41,9.03,34.2
La Salle (Atlantic 10),18.19,6.23,34.2
Delaware St. (MEAC),23.00,7.87,34.2
Purdue (Big Ten),23.94,8.19,34.2
Kent St. (MAC),21.58,7.39,34.3
Villanova (Big East),22.19,7.61,34.3
Boston U. (Patriot),21.91,7.52,34.3
Middle Tenn. (C-USA),23.59,8.09,34.3
Kentucky (SEC),22.27,7.65,34.3
South Dakota St. (Summit League),30.06,10.33,34.4
Eastern Ky. (OVC),21.58,7.42,34.4
Pepperdine (WCC),22.41,7.71,34.4
Richmond (Atlantic 10),21.39,7.36,34.4
Wyoming (Mountain West),23.97,8.25,34.4
Baylor (Big 12),21.00,7.24,34.5
Auburn (SEC),23.43,8.08,34.5
Western Ky. (C-USA),24.47,8.44,34.5
Detroit Mercy (Horizon),24.58,8.48,34.5
Rice (C-USA),24.44,8.44,34.5
Quinnipiac (MAAC),22.52,7.77,34.5
Stanford (Pac-12),16.61,5.74,34.6
Howard (MEAC),23.65,8.18,34.6
A&M-Corpus Christi (Southland),21.59,7.47,34.6
UNC Greensboro (SoCon),21.28,7.36,34.6
Vermont (America East),20.38,7.06,34.6
Hofstra (CAA),22.34,7.74,34.7
UCLA (Pac-12),27.18,9.42,34.7
Portland St. (Big Sky),19.91,6.91,34.7
Mercer (SoCon),26.84,9.32,34.7
Central Ark. (Southland),24.33,8.45,34.7
Grand Canyon (WAC),20.29,7.06,34.8
Wagner (NEC),21.17,7.37,34.8
Evansville (MVC),18.94,6.59,34.8
Tennessee (SEC),24.14,8.41,34.8
Texas Southern (SWAC),22.89,7.97,34.8
Vanderbilt (SEC),20.97,7.31,34.9
Oakland (Horizon),22.39,7.82,34.9
Miami (FL) (ACC),23.25,8.13,34.9
Saint Francis (PA) (NEC),23.06,8.06,35
James Madison (CAA),19.94,6.97,35
Clemson (ACC),21.62,7.56,35
Utah Valley (WAC),21.57,7.54,35
Massachusetts (Atlantic 10),19.28,6.75,35
Arkansas St. (Sun Belt),21.41,7.50,35
Southern Ill. (MVC),22.63,7.94,35.1
SMU (AAC),23.78,8.34,35.1
Jackson St. (SWAC),18.97,6.66,35.1
Fairleigh Dickinson (NEC),22.54,7.91,35.1
Presbyterian (Big South),23.89,8.39,35.1
Army West Point (Patriot),23.63,8.31,35.2
Mount St. Mary's (NEC),22.61,7.97,35.2
Utah St. (Mountain West),22.86,8.06,35.3
UTEP (C-USA),21.31,7.52,35.3
Little Rock (Sun Belt),25.42,8.97,35.3
Rutgers (Big Ten),21.84,7.71,35.3
ULM (Sun Belt),23.63,8.34,35.3
Samford (SoCon),27.97,9.88,35.3
South Alabama (Sun Belt),20.56,7.26,35.3
Alabama A&M (SWAC),20.78,7.34,35.3
Penn St. (Big Ten),18.38,6.50,35.4
Oklahoma St. (Big 12),24.38,8.63,35.4
Texas (Big 12),20.16,7.14,35.4
Creighton (Big East),23.49,8.31,35.4
Towson (CAA),25.84,9.16,35.4
Campbell (Big South),22.58,8.00,35.4
Southern Utah (Big Sky),22.82,8.09,35.4
Kennesaw St. (ASUN),22.66,8.03,35.4
Charleston So. (Big South),23.97,8.50,35.5
Marshall (C-USA),22.32,7.92,35.5
New Mexico (Mountain West),20.25,7.19,35.5
Cincinnati (AAC),22.86,8.11,35.5
Colorado St. (Mountain West),24.47,8.69,35.5
Ark.-Pine Bluff (SWAC),17.69,6.28,35.5
Charlotte (C-USA),22.90,8.14,35.5
Marist (MAAC),25.23,8.97,35.5
Air Force (Mountain West),26.28,9.34,35.6
George Washington (Atlantic 10),23.42,8.33,35.6
Columbia (Ivy League),23.18,8.25,35.6
Xavier (Big East),25.11,8.94,35.6
Utah (Pac-12),21.19,7.55,35.6
UNLV (Mountain West),19.90,7.10,35.7
South Dakota (Summit League),20.37,7.27,35.7
Savannah St. (MEAC),27.29,9.74,35.7
Butler (Big East),21.30,7.61,35.7
Chattanooga (SoCon),21.00,7.50,35.7
Mississippi St. (SEC),20.82,7.44,35.7
Northern Ill. (MAC),24.76,8.85,35.7
Ohio (MAC),23.45,8.39,35.8
UC Riverside (Big West),19.39,6.94,35.8
Monmouth (MAAC),27.60,9.89,35.8
Northern Ariz. (Big Sky),25.84,9.26,35.8
Rider (MAAC),24.84,8.90,35.8
Siena (MAAC),19.09,6.85,35.9
Pacific (WCC),22.13,7.94,35.9
Sacramento St. (Big Sky),20.48,7.35,35.9
McNeese (Southland),23.71,8.52,35.9
Morehead St. (OVC),23.00,8.27,36
Saint Joseph's (Atlantic 10),26.03,9.36,36
Jacksonville (ASUN),21.28,7.66,36
Albany (NY) (America East),21.97,7.91,36
Canisius (MAAC),20.75,7.47,36
UIW (Southland),21.55,7.77,36.1
West Virginia (Big 12),21.22,7.67,36.1
North Dakota St. (Summit League),20.60,7.46,36.2
Manhattan (MAAC),19.59,7.09,36.2
Omaha (Summit League),26.06,9.44,36.2
Washington St. (Pac-12),25.63,9.28,36.2
Wright St. (Horizon),20.74,7.51,36.2
Northwestern St. (Southland),22.06,8.00,36.3
Morgan St. (MEAC),21.40,7.77,36.3
Loyola Chicago (MVC),20.09,7.29,36.3
Kansas City (WAC),20.13,7.31,36.3
IUPUI (Horizon),23.00,8.36,36.4
Stetson (ASUN),24.55,8.94,36.4
Central Conn. St. (NEC),26.10,9.52,36.5
UNC Asheville (Big South),23.97,8.74,36.5
CSU Bakersfield (WAC),21.00,7.68,36.6
BYU (WCC),21.88,8.00,36.6
SFA (Southland),24.70,9.03,36.6
Coppin St. (MEAC),24.61,9.00,36.6
Fairfield (MAAC),18.68,6.84,36.6
South Carolina St. (MEAC),21.76,7.97,36.6
Western Mich. (MAC),23.72,8.69,36.6
Iona (MAAC),25.97,9.52,36.6
FGCU (ASUN),24.53,9.00,36.7
Northern Colo. (Big Sky),17.88,6.56,36.7
App State (Sun Belt),20.59,7.56,36.7
Cal Poly (Big West),19.14,7.03,36.8
Louisiana (Sun Belt),21.75,8.00,36.8
Delaware (CAA),22.27,8.21,36.9
SIUE (OVC),21.77,8.03,36.9
Portland (WCC),23.72,8.75,36.9
Purdue Fort Wayne (Summit League),24.58,9.09,37
Southern U. (SWAC),18.47,6.84,37.1
UMES (MEAC),23.94,8.88,37.1
VMI (SoCon),24.44,9.06,37.1
The Citadel (SoCon),31.10,11.53,37.1
Sacred Heart (NEC),23.91,8.88,37.1
Elon (CAA),24.06,8.94,37.1
Oregon St. (Pac-12),21.29,7.94,37.3
Holy Cross (Patriot),23.73,8.85,37.3
DePaul (Big East),25.61,9.56,37.3
San Jose St. (Mountain West),30.03,11.23,37.4
William & Mary (CAA),22.00,8.23,37.4
Ole Miss (SEC),19.52,7.30,37.4
Drexel (CAA),20.38,7.63,37.4
Montana St. (Big Sky),26.53,9.94,37.5
Tennessee St. (OVC),19.10,7.17,37.5
Troy (Sun Belt),22.47,8.43,37.5
ETSU (SoCon),22.97,8.71,37.9
Eastern Wash. (Big Sky),22.53,8.56,38
Niagara (MAAC),22.69,8.63,38
Oral Roberts (Summit League),23.41,8.91,38.1
Chicago St. (WAC),27.16,10.34,38.1
California (Pac-12),23.03,8.77,38.1
UT Martin (OVC),25.35,9.68,38.2
Lafayette (Patriot),21.47,8.20,38.2
Maine (America East),24.75,9.47,38.3
CSUN (Big West),22.44,8.59,38.3
Eastern Ill. (OVC),24.06,9.25,38.4
Western Ill. (Summit League),23.13,8.90,38.5
Mississippi Val. (SWAC),22.78,8.78,38.5
Saint Peter's (MAAC),21.22,8.19,38.6
UNCW (CAA),25.88,10.00,38.6
Binghamton (America East),23.39,9.06,38.7
Bryant (NEC),21.67,8.40,38.8
Idaho St. (Big Sky),22.43,8.80,39.2
Loyola Maryland (Patriot),20.19,7.94,39.3
Missouri St. (MVC),19.06,7.50,39.3
Houston Baptist (Southland),20.60,8.27,40.1
Denver (Summit League),25.33,10.60,41.8
