Team,3FGPG,3FGAPG,3FG%
South Dakota (Summit League),7.57,22.20,34.1
LIU (NEC),8.66,25.41,34.1
SMU (AAC),8.22,24.13,34.1
Tulsa (AAC),6.94,20.38,34
Southern Utah (Big Sky),8.00,23.50,34
Col. of Charleston (CAA),6.88,20.21,34
Houston Baptist (Southland),6.67,19.60,34
Youngstown St. (Horizon),9.47,27.84,34
Alabama (SEC),7.18,21.12,34
Evansville (MVC),8.25,24.31,33.9
Siena (MAAC),8.73,25.73,33.9
North Texas (C-USA),8.61,25.39,33.9
Ark.-Pine Bluff (SWAC),6.06,17.94,33.8
Southeastern La. (Southland),7.12,21.09,33.8
Nebraska (Big Ten),7.50,22.22,33.8
UAB (C-USA),6.69,19.83,33.7
UNLV (Mountain West),8.10,24.03,33.7
Kent St. (MAC),7.91,23.48,33.7
IUPUI (Horizon),7.09,21.06,33.7
Troy (Sun Belt),7.87,23.37,33.7
Buffalo (MAC),9.56,28.39,33.7
Arizona (Pac-12),7.34,21.84,33.6
Arizona St. (Pac-12),7.06,21.00,33.6
Tennessee St. (OVC),8.00,23.87,33.5
St. Francis Brooklyn (NEC),8.18,24.42,33.5
Louisiana Tech (C-USA),7.67,22.91,33.5
Arkansas St. (Sun Belt),7.41,22.16,33.4
Kansas St. (Big 12),7.09,21.21,33.4
New Orleans (Southland),5.73,17.15,33.4
Florida (SEC),8.08,24.22,33.4
New Mexico St. (WAC),9.31,27.91,33.4
Miami (FL) (ACC),8.38,25.16,33.3
Syracuse (ACC),8.06,24.24,33.3
Illinois St. (MVC),7.39,22.24,33.2
Cornell (Ivy League),7.84,23.58,33.2
Dayton (Atlantic 10),6.21,18.70,33.2
Fordham (Atlantic 10),8.63,25.97,33.2
Florida St. (ACC),7.35,22.14,33.2
South Fla. (AAC),7.16,21.55,33.2
Sacramento St. (Big Sky),5.65,17.00,33.2
New Hampshire (America East),9.00,27.14,33.2
South Carolina St. (MEAC),5.68,17.12,33.2
Manhattan (MAAC),6.84,20.66,33.1
Xavier (Big East),7.00,21.14,33.1
Pittsburgh (ACC),6.82,20.61,33.1
Southern U. (SWAC),5.63,17.00,33.1
La Salle (Atlantic 10),8.35,25.26,33.1
Grand Canyon (WAC),7.56,22.85,33.1
BYU (WCC),7.06,21.38,33
Jacksonville (ASUN),6.66,20.16,33
Temple (AAC),7.48,22.67,33
George Mason (Atlantic 10),6.36,19.30,33
USC Upstate (Big South),8.41,25.53,32.9
Air Force (Mountain West),7.31,22.22,32.9
Central Conn. St. (NEC),6.48,19.74,32.8
Clemson (ACC),6.38,19.44,32.8
Texas St. (Sun Belt),7.18,21.88,32.8
UC Davis (Big West),6.55,19.97,32.8
San Jose St. (Mountain West),6.77,20.68,32.8
St. Bonaventure (Atlantic 10),6.12,18.68,32.8
Cal Poly (Big West),7.76,23.69,32.8
Western Ky. (C-USA),5.85,17.88,32.7
Towson (CAA),5.63,17.19,32.7
Eastern Ky. (OVC),8.77,26.84,32.7
Alcorn (SWAC),6.81,20.84,32.7
Providence (Big East),6.62,20.29,32.6
American (Patriot),6.33,19.43,32.6
Stony Brook (America East),7.06,21.67,32.6
Middle Tenn. (C-USA),6.63,20.34,32.6
Portland (WCC),6.75,20.75,32.5
A&M-Corpus Christi (Southland),6.31,19.41,32.5
Ball St. (MAC),6.12,18.82,32.5
Bryant (NEC),7.67,23.60,32.5
UNC Asheville (Big South),7.19,22.16,32.5
Saint Peter's (MAAC),5.75,17.72,32.5
Fla. Atlantic (C-USA),8.79,27.12,32.4
Texas Southern (SWAC),7.26,22.42,32.4
Seton Hall (Big East),7.06,21.79,32.4
Canisius (MAAC),8.00,24.72,32.4
CSU Bakersfield (WAC),6.50,20.09,32.4
Colorado (Pac-12),6.39,19.75,32.3
UMBC (America East),7.68,23.74,32.3
Miami (OH) (MAC),8.41,26.03,32.3
Ga. Southern (Sun Belt),6.18,19.15,32.3
Morgan St. (MEAC),5.60,17.37,32.2
