Rank,Team,GM,W-L,FGM,FGA,FG%
50,Tennessee Tech (OVC),33,19-14,823,"1,772",46.4
51,Houston (C-USA),30,15-15,795,"1,714",46.4
52,La Salle (Atlantic 10),34,21-13,898,"1,937",46.4
53,Florida (SEC),37,26-11,976,"2,106",46.3
54,George Mason (CAA),33,24-9,828,"1,788",46.3
55,Montana (Big Sky),32,25-7,781,"1,689",46.2
56,Minnesota (Big Ten),38,23-15,915,"1,979",46.2
57,Akron (MAC),34,22-12,868,"1,879",46.2
58,Princeton (Ivy League),32,20-12,776,"1,681",46.2
59,New Mexico (Mountain West),35,28-7,876,"1,898",46.2
60,UCLA (Pac-12),33,19-14,848,"1,838",46.1
61,Bucknell (Patriot),35,25-10,836,"1,813",46.1
62,Hawaii (WAC),32,16-16,835,"1,811",46.1
63,Evansville (MVC),32,16-16,801,"1,738",46.1
64,Vanderbilt (SEC),36,25-11,885,"1,921",46.1
65,UC Santa Barbara (Big West),31,20-11,809,"1,759",46
66,Sacred Heart (NEC),32,14-18,807,"1,756",46
67,Weber St. (Big Sky),32,25-7,825,"1,797",45.9
68,North Carolina (ACC),38,32-6,"1,134","2,473",45.9
69,Saint Francis (PA) (NEC),29,23-Jun,652,"1,422",45.9
70,Bowling Green (MAC),32,16-16,823,"1,795",45.8
71,NC State (ACC),37,24-13,977,"2,134",45.8
72,UTEP (C-USA),32,15-17,727,"1,588",45.8
73,Western Ill. (Summit League),33,18-15,744,"1,626",45.8
74,North Florida (ASUN),32,16-16,787,"1,720",45.8
75,Virginia (ACC),32,22-10,721,"1,576",45.7
76,UNLV (Mountain West),35,26-9,942,"2,062",45.7
77,Mercer (ASUN),38,27-11,899,"1,968",45.7
78,St. Bonaventure (Atlantic 10),32,20-12,770,"1,687",45.6
79,Duke (ACC),34,27-7,874,"1,915",45.6
80,Florida St. (ACC),35,25-10,877,"1,923",45.6
81,FGCU (ASUN),32,15-17,823,"1,806",45.6
82,Michigan (Big Ten),34,24-10,808,"1,777",45.5
83,Iowa (Big Ten),35,18-17,902,"1,984",45.5
84,Toledo (MAC),36,19-17,871,"1,916",45.5
85,Arizona St. (Pac-12),31,21-Oct,654,"1,439",45.4
86,Mississippi St. (SEC),33,21-12,854,"1,880",45.4
87,CSU Bakersfield (Independent),31,16-15,761,"1,677",45.4
88,San Diego St. (Mountain West),34,26-8,863,"1,903",45.3
89,Pittsburgh (AAC),39,22-17,981,"2,164",45.3
90,Liberty (Big South),32,14-18,811,"1,790",45.3
91,Xavier (Atlantic 10),36,23-13,899,"1,985",45.3
92,Kent St. (MAC),33,21-12,830,"1,836",45.2
93,Marquette (AAC),35,27-8,919,"2,033",45.2
94,Alabama (SEC),33,21-12,778,"1,722",45.2
95,UConn (AAC),34,20-14,858,"1,900",45.2
96,San Diego (WCC),31,13-18,744,"1,648",45.1
97,Duquesne (Atlantic 10),31,16-15,806,"1,786",45.1
98,Purdue Fort Wayne (Summit League),30,19-Nov,756,"1,676",45.1
99,Sacramento St. (Big Sky),28,18-Oct,663,"1,470",45.1
100,Northwestern (Big Ten),33,19-14,790,"1,754",45
101,Tulsa (C-USA),31,17-14,710,"1,577",45
102,Oakland (Summit League),36,20-16,947,"2,104",45
103,Rider (MAAC),32,13-19,771,"1,713",45
104,Nevada (WAC),35,28-7,842,"1,871",45
105,Detroit Mercy (Horizon),36,22-14,903,"2,008",45
106,Saint Louis (Atlantic 10),34,26-8,814,"1,813",44.9
107,Iowa St. (Big 12),34,23-11,847,"1,888",44.9
108,Fairfield (MAAC),37,22-15,884,"1,973",44.8
109,Wyoming (Mountain West),33,21-12,710,"1,585",44.8
110,Washington (Pac-12),35,24-11,966,"2,157",44.8
111,Charleston So. (Big South),31,19-12,835,"1,866",44.7
112,Cleveland St. (Horizon),33,22-11,804,"1,798",44.7
113,Rice (C-USA),35,19-16,859,"1,921",44.7
114,UT Arlington (Southland),33,24-9,842,"1,884",44.7
115,SFA (Southland),32,20-12,724,"1,620",44.7
116,UTSA (Southland),32,18-14,793,"1,775",44.7
117,Davidson (SoCon),33,25-8,879,"1,969",44.6
118,Albany (NY) (America East),34,19-15,842,"1,889",44.6
119,Colorado (Pac-12),36,24-12,835,"1,874",44.6
120,Air Force (Mountain West),29,13-16,616,"1,383",44.5
121,Stanford (Pac-12),37,26-11,938,"2,107",44.5
122,Austin Peay (OVC),32,20-Dec,792,"1,781",44.5
123,VMI (Big South),33,17-16,892,"2,006",44.5
124,Lehigh (Patriot),35,27-8,902,"2,030",44.4
125,Samford (SoCon),30,19-Nov,712,"1,604",44.4
126,Penn (Ivy League),33,20-13,767,"1,731",44.3
127,Vermont (America East),36,24-12,848,"1,914",44.3
128,IUPUI (Summit League),32,14-18,819,"1,850",44.3
129,Maine (America East),29,17-Dec,750,"1,698",44.2
130,Stetson (ASUN),29,20-Sep,732,"1,660",44.1
131,Wagner (NEC),31,25-6,779,"1,767",44.1
132,App State (SoCon),31,13-18,746,"1,693",44.1
133,ETSU (ASUN),31,17-14,768,"1,743",44.1
134,Illinois (Big Ten),32,17-15,767,"1,741",44.1
135,Purdue (Big Ten),35,22-13,889,"2,019",44
136,Norfolk St. (MEAC),36,26-10,870,"1,977",44
137,Drexel (CAA),36,29-7,801,"1,821",44
138,High Point (Big South),31,13-18,746,"1,698",43.9
139,Drake (MVC),34,18-16,788,"1,794",43.9
140,Kansas St. (Big 12),33,22-11,812,"1,849",43.9
141,Illinois St. (MVC),35,21-14,804,"1,832",43.9
142,Arizona (Pac-12),35,23-12,795,"1,812",43.9
143,USC Upstate (ASUN),34,21-13,888,"2,024",43.9
144,Lafayette (Patriot),31,13-18,723,"1,650",43.8
145,DePaul (AAC),31,19-Dec,857,"1,956",43.8
146,Texas Tech (Big 12),31,23-Aug,644,"1,470",43.8
147,Tennessee (SEC),34,19-15,809,"1,847",43.8
148,West Virginia (AAC),33,19-14,838,"1,914",43.8
149,Dayton (Atlantic 10),33,20-13,814,"1,860",43.8
150,South Fla. (AAC),36,22-14,772,"1,765",43.7
151,The Citadel (SoCon),30,24-Jun,704,"1,610",43.7
152,Manhattan (MAAC),34,21-13,815,"1,864",43.7
153,Tennessee St. (OVC),33,20-13,774,"1,773",43.7
154,Marshall (C-USA),35,21-14,895,"2,052",43.6
155,Missouri St. (MVC),32,16-16,775,"1,778",43.6
156,East Carolina (C-USA),31,15-16,747,"1,714",43.6
157,Eastern Ill. (OVC),29,17-Dec,688,"1,579",43.6
158,Seton Hall (AAC),34,21-13,833,"1,913",43.5
159,Western Mich. (MAC),34,14-20,801,"1,841",43.5
160,Georgia St. (CAA),34,22-12,842,"1,936",43.5
161,Delaware St. (MEAC),29,15-14,694,"1,596",43.5
162,TCU (Mountain West),33,18-15,819,"1,884",43.5
163,Oklahoma (Big 12),31,15-16,794,"1,827",43.5
164,Arkansas (SEC),32,18-14,808,"1,860",43.4
165,Miami (OH) (MAC),30,21-Sep,639,"1,472",43.4
166,Massachusetts (Atlantic 10),37,25-12,"1,016","2,341",43.4
167,North Texas (Sun Belt),32,18-14,818,"1,885",43.4
168,Notre Dame (AAC),34,22-12,781,"1,800",43.4
169,Texas (Big 12),34,20-14,836,"1,927",43.4
170,Eastern Ky. (OVC),32,16-16,744,"1,715",43.4
171,Longwood (Independent),31,21-Oct,826,"1,905",43.4
172,Wofford (SoCon),33,19-14,777,"1,792",43.4
173,Lipscomb (ASUN),31,13-18,802,"1,852",43.3
174,Bethune-Cookman (MEAC),35,18-17,818,"1,890",43.3
175,Clemson (ACC),31,16-15,736,"1,701",43.3
176,Ole Miss (SEC),34,20-14,820,"1,896",43.2
177,Morehead St. (OVC),33,18-15,701,"1,621",43.2
178,Coppin St. (MEAC),30,14-16,756,"1,749",43.2
179,Lamar University (Southland),35,23-12,902,"2,087",43.2
180,UCF (C-USA),33,22-11,768,"1,777",43.2
181,Texas St. (Southland),30,13-17,796,"1,842",43.2
182,Arkansas St. (Sun Belt),34,14-20,765,"1,771",43.2
183,Texas A&M (Big 12),32,14-18,732,"1,695",43.2
184,Yale (Ivy League),29,19-10,678,"1,571",43.2
185,Youngstown St. (Horizon),31,16-15,746,"1,729",43.1
186,St. Francis Brooklyn (NEC),30,15-15,727,"1,685",43.1
187,Kansas City (Summit League),31,21-Oct,699,"1,621",43.1
188,Colgate (Patriot),30,22-Aug,660,"1,532",43.1
189,Miami (FL) (ACC),33,20-13,814,"1,890",43.1
190,Columbia (Ivy League),30,15-15,683,"1,586",43.1
191,UNI (MVC),34,20-14,754,"1,752",43
192,Holy Cross (Patriot),29,15-14,673,"1,565",43
193,Morgan St. (MEAC),29,20-Sep,676,"1,574",42.9
194,Nicholls (Southland),30,20-Oct,694,"1,616",42.9
195,Cal Poly (Big West),33,18-15,772,"1,800",42.9
196,Louisiana (Sun Belt),32,16-16,767,"1,790",42.8
197,Boise St. (Mountain West),30,13-17,708,"1,653",42.8
198,Northeastern (CAA),31,14-17,676,"1,579",42.8
199,Portland (WCC),31,24-Jul,723,"1,691",42.8
200,Richmond (Atlantic 10),32,16-16,724,"1,694",42.7
201,Providence (AAC),32,15-17,772,"1,807",42.7
202,Wake Forest (ACC),31,13-18,689,"1,613",42.7
203,Georgia Tech (ACC),31,20-Nov,700,"1,639",42.7
204,Ohio (MAC),37,29-8,901,"2,111",42.7
205,Nebraska (Big Ten),30,18-Dec,649,"1,521",42.7
206,Stony Brook (America East),32,22-10,768,"1,800",42.7
207,Delaware (CAA),32,18-14,746,"1,750",42.6
208,Col. of Charleston (SoCon),31,19-12,754,"1,769",42.6
209,Quinnipiac (NEC),32,18-14,828,"1,943",42.6
210,LMU (CA) (WCC),34,21-13,825,"1,936",42.6
211,Northwestern St. (Southland),32,16-16,789,"1,852",42.6
212,Loyola Maryland (MAAC),33,24-9,755,"1,775",42.5
213,Maryland (ACC),32,17-15,743,"1,747",42.5
214,Wisconsin (Big Ten),36,26-10,797,"1,875",42.5
215,George Washington (Atlantic 10),31,21-Oct,733,"1,725",42.5
216,Oklahoma St. (Big 12),33,15-18,746,"1,756",42.5
217,Montana St. (Big Sky),29,17-Dec,709,"1,669",42.5
218,Jacksonville St. (OVC),33,15-18,748,"1,761",42.5
219,Central Conn. St. (NEC),29,13-16,717,"1,689",42.5
220,American (Patriot),32,20-12,713,"1,680",42.4
221,South Alabama (Sun Belt),29,17-12,682,"1,607",42.4
222,Siena (MAAC),31,14-17,718,"1,692",42.4
223,Mount St. Mary's (NEC),29,21-Aug,647,"1,525",42.4
224,Utah Valley (GWC),33,20-13,819,"1,931",42.4
225,Rutgers (AAC),32,14-18,764,"1,802",42.4
226,Western Caro. (SoCon),35,17-18,885,"2,090",42.3
227,Houston Baptist (GWC),30,20-Oct,787,"1,860",42.3
228,Green Bay (Horizon),30,15-15,693,"1,638",42.3
229,NJIT (GWC),32,15-17,787,"1,861",42.3
230,Tulane (C-USA),31,15-16,693,"1,641",42.2
231,McNeese (Southland),33,17-16,804,"1,904",42.2
232,Boston U. (America East),32,16-16,725,"1,717",42.2
233,Louisville (AAC),40,30-10,963,"2,281",42.2
234,Louisiana Tech (WAC),34,18-16,849,"2,012",42.2
235,James Madison (CAA),32,20-Dec,748,"1,774",42.2
236,Army West Point (Patriot),30,18-Dec,678,"1,608",42.2
237,Loyola Chicago (Horizon),30,23-Jul,612,"1,452",42.1
238,Ball St. (MAC),30,15-15,647,"1,536",42.1
239,Cincinnati (AAC),37,26-11,924,"2,194",42.1
240,Idaho St. (Big Sky),30,21-Sep,695,"1,652",42.1
241,Elon (SoCon),31,15-16,770,"1,831",42.1
242,Winthrop (Big South),32,20-Dec,754,"1,793",42.1
243,N.C. A&T (MEAC),32,20-Dec,778,"1,852",42
244,Indiana St. (MVC),33,18-15,722,"1,719",42
245,St. John's (NY) (AAC),32,13-19,757,"1,803",42
246,Virginia Tech (ACC),33,16-17,754,"1,797",42
247,UAB (C-USA),31,15-16,654,"1,559",41.9
248,SMU (C-USA),32,13-19,645,"1,539",41.9
249,Monmouth (NEC),32,20-Dec,777,"1,855",41.9
250,Jacksonville (ASUN),30,22-Aug,706,"1,688",41.8
251,Robert Morris (NEC),37,26-11,844,"2,020",41.8
252,Milwaukee (Horizon),34,20-14,748,"1,792",41.7
253,Central Ark. (Southland),29,21-Aug,786,"1,884",41.7
254,Auburn (SEC),31,15-16,696,"1,669",41.7
255,UC Irvine (Big West),32,20-Dec,776,"1,861",41.7
256,Savannah St. (MEAC),33,21-12,746,"1,791",41.7
257,Alcorn (SWAC),32,22-Oct,712,"1,710",41.6
258,FIU (Sun Belt),29,21-Aug,630,"1,514",41.6
259,Sam Houston (Southland),32,13-19,657,"1,580",41.6
260,Marist (MAAC),32,14-18,721,"1,734",41.6
261,UNCW (CAA),31,21-Oct,723,"1,740",41.6
262,Gardner-Webb (Big South),32,20-Dec,749,"1,804",41.5
263,UTRGV (GWC),32,21-Nov,677,"1,631",41.5
264,Kennesaw St. (ASUN),31,28-Mar,691,"1,665",41.5
265,Southern Miss. (C-USA),34,25-9,819,"1,975",41.5
266,Southern Ill. (MVC),31,23-Aug,709,"1,711",41.4
267,Hartford (America East),31,22-Sep,654,"1,580",41.4
268,Chattanooga (SoCon),32,21-Nov,765,"1,849",41.4
269,Furman (SoCon),31,15-16,681,"1,646",41.4
270,Fla. Atlantic (Sun Belt),30,19-Nov,718,"1,737",41.3
271,Ark.-Pine Bluff (SWAC),33,22-Nov,705,"1,707",41.3
272,UT Martin (OVC),31,27-Apr,701,"1,698",41.3
273,Texas Southern (SWAC),33,15-18,684,"1,658",41.3
274,Villanova (AAC),32,13-19,762,"1,848",41.2
275,Fairleigh Dickinson (NEC),29,26-Mar,655,"1,589",41.2
276,Eastern Wash. (Big Sky),32,15-17,788,"1,914",41.2
277,Charlotte (Atlantic 10),30,13-17,693,"1,684",41.2
278,Southeastern La. (Southland),29,17-Dec,629,"1,530",41.1
279,VCU (CAA),36,29-7,837,"2,040",41
280,Troy (Sun Belt),28,18-Oct,721,"1,758",41
281,Southern U. (SWAC),31,17-14,659,"1,607",41
282,UC Riverside (Big West),31,14-17,684,"1,669",41
283,ULM (Sun Belt),29,26-Mar,637,"1,555",41
284,UC Davis (Big West),31,26-May,661,"1,614",41
285,Santa Clara (WCC),30,22-Aug,717,"1,751",40.9
286,Fresno St. (WAC),33,13-20,745,"1,820",40.9
287,Alabama A&M (SWAC),28,21-Jul,629,"1,538",40.9
288,Butler (Horizon),37,22-15,823,"2,014",40.9
289,Northern Ariz. (Big Sky),29,24-May,661,"1,620",40.8
290,Cornell (Ivy League),28,16-Dec,639,"1,567",40.8
291,Boston College (ACC),31,22-Sep,629,"1,543",40.8
292,Canisius (MAAC),30,25-May,704,"1,731",40.7
293,LSU (SEC),33,18-15,791,"1,947",40.6
294,Florida A&M (MEAC),33,23-Oct,820,"2,019",40.6
295,Little Rock (Sun Belt),31,15-16,672,"1,655",40.6
296,Saint Peter's (MAAC),31,26-May,668,"1,646",40.6
297,Navy (Patriot),29,26-Mar,594,"1,464",40.6
298,William & Mary (CAA),32,26-Jun,662,"1,632",40.6
299,Old Dominion (CAA),36,22-14,844,"2,082",40.5
300,Utah (Pac-12),31,25-Jun,606,"1,496",40.5
301,Pacific (Big West),30,19-Nov,644,"1,591",40.5
302,Niagara (MAAC),33,14-19,785,"1,940",40.5
303,Hofstra (CAA),32,22-Oct,700,"1,732",40.4
304,Brown (Ivy League),31,23-Aug,685,"1,695",40.4
305,UNC Greensboro (SoCon),32,13-19,791,"1,961",40.3
306,Hampton (MEAC),33,21-Dec,746,"1,853",40.3
307,South Carolina (SEC),31,21-Oct,689,"1,713",40.2
308,Mississippi Val. (SWAC),34,21-13,812,"2,025",40.1
309,Rhode Island (Atlantic 10),31,24-Jul,757,"1,888",40.1
310,New Hampshire (America East),29,13-16,620,"1,547",40.1
311,Bradley (MVC),32,25-Jul,689,"1,720",40.1
312,Wright St. (Horizon),32,13-19,625,"1,569",39.8
313,Chicago St. (GWC),30,26-Apr,688,"1,732",39.7
314,Binghamton (America East),31,Feb-29,627,"1,579",39.7
315,Pepperdine (WCC),29,19-Oct,603,"1,523",39.6
316,A&M-Corpus Christi (Southland),30,24-Jun,627,"1,584",39.6
317,Georgia (SEC),32,15-17,692,"1,750",39.5
318,Central Mich. (MAC),32,21-Nov,700,"1,772",39.5
319,San Jose St. (WAC),31,22-Sep,715,"1,810",39.5
320,UIC (Horizon),30,22-Aug,636,"1,611",39.5
321,South Carolina St. (MEAC),31,26-May,721,"1,827",39.5
322,Western Ky. (Sun Belt),35,16-19,769,"1,952",39.4
323,Dartmouth (Ivy League),30,25-May,592,"1,504",39.4
324,Prairie View (SWAC),32,14-18,755,"1,922",39.3
325,Penn St. (Big Ten),32,20-Dec,695,"1,770",39.3
326,UMBC (America East),30,26-Apr,686,"1,753",39.1
327,Southern California (Pac-12),32,26-Jun,642,"1,658",38.7
328,Radford (Big South),32,26-Jun,699,"1,819",38.4
329,CSUN (Big West),28,21-Jul,641,"1,671",38.4
330,Fordham (Atlantic 10),29,19-Oct,663,"1,729",38.3
331,Howard (MEAC),31,21-Oct,618,"1,613",38.3
332,Jackson St. (SWAC),31,24-Jul,618,"1,621",38.1
333,UMES (MEAC),30,23-Jul,644,"1,695",38
334,Alabama St. (SWAC),31,19-Dec,648,"1,714",37.8
335,Eastern Mich. (MAC),32,14-18,583,"1,555",37.5
336,Northern Ill. (MAC),31,26-May,594,"1,602",37.1
337,Towson (CAA),32,31-Jan,580,"1,581",36.7
338,Grambling (SWAC),28,24-Apr,521,"1,452",35.9
