Rank,Team,GM,W-L,FT,FTA,FT%
241,Kansas St. (Big 12),33,22-11,536,799,67.1
242,Austin Peay (OVC),32,12-20,493,735,67.1
243,Clemson (ACC),31,16-15,358,534,67
244,UIC (Horizon),30,8-22,361,539,67
245,Campbell (Big South),32,17-15,509,761,66.9
246,Long Beach St. (Big West),34,25-9,529,791,66.9
247,New Mexico St. (WAC),36,26-10,707,"1,058",66.8
248,Duquesne (Atlantic 10),31,16-15,441,660,66.8
249,UCLA (Pac-12),33,19-14,398,596,66.8
250,Gardner-Webb (Big South),32,12-20,414,620,66.8
251,Arkansas St. (Sun Belt),34,14-20,492,737,66.8
252,Hawaii (WAC),32,16-16,524,786,66.7
252,Hartford (America East),31,9-22,324,486,66.7
254,Stanford (Pac-12),37,26-11,529,794,66.6
255,James Madison (CAA),32,12-20,371,557,66.6
256,Utah (Pac-12),31,6-25,345,518,66.6
257,Wofford (SoCon),33,19-14,338,508,66.5
258,Ga. Southern (SoCon),30,15-15,341,513,66.5
259,George Washington (Atlantic 10),31,10-21,326,491,66.4
260,Maryland (ACC),32,17-15,539,812,66.4
261,Fla. Atlantic (Sun Belt),30,11-19,333,502,66.3
262,St. Francis Brooklyn (NEC),30,15-15,391,590,66.3
263,UConn (AAC),34,20-14,435,657,66.2
264,Tulane (C-USA),31,15-16,432,653,66.2
265,UMBC (America East),30,4-26,373,564,66.1
266,The Citadel (SoCon),30,6-24,355,537,66.1
267,Fairleigh Dickinson (NEC),29,3-26,343,520,66
268,Pepperdine (WCC),29,10-19,369,560,65.9
269,Buffalo (MAC),31,20-11,438,665,65.9
270,Charlotte (Atlantic 10),30,13-17,432,656,65.9
271,Bethune-Cookman (MEAC),35,18-17,462,702,65.8
272,Texas A&M (Big 12),32,14-18,330,502,65.7
273,Jacksonville (ASUN),30,8-22,388,591,65.7
274,Winthrop (Big South),32,12-20,370,564,65.6
275,Purdue (Big Ten),35,22-13,452,689,65.6
276,Georgia St. (CAA),34,22-12,436,665,65.6
277,Drake (MVC),34,18-16,491,749,65.6
278,San Diego (WCC),31,13-18,392,598,65.6
279,Norfolk St. (MEAC),36,26-10,544,830,65.5
280,Samford (SoCon),30,11-19,313,478,65.5
281,Georgia Tech (ACC),31,11-20,308,471,65.4
282,N.C. A&T (MEAC),32,12-20,456,698,65.3
283,Saint Francis (PA) (NEC),29,6-23,324,496,65.3
284,ULM (Sun Belt),29,3-26,288,441,65.3
285,Chicago St. (GWC),30,4-26,353,541,65.2
286,Fairfield (MAAC),37,22-15,420,645,65.1
287,South Carolina St. (MEAC),31,5-26,417,641,65.1
288,Nevada (WAC),35,28-7,541,832,65
289,Monmouth (NEC),32,12-20,392,603,65
290,App State (SoCon),31,13-18,426,656,64.9
291,Butler (Horizon),37,22-15,523,806,64.9
292,Louisiana Tech (WAC),34,18-16,402,620,64.8
293,Auburn (SEC),31,15-16,394,608,64.8
294,Youngstown St. (Horizon),31,16-15,333,514,64.8
295,Saint Peter's (MAAC),31,5-26,309,477,64.8
296,Alabama A&M (SWAC),28,7-21,359,555,64.7
297,Mount St. Mary's (NEC),29,8-21,295,458,64.4
298,Mississippi Val. (SWAC),34,21-13,456,708,64.4
299,Cincinnati (AAC),37,26-11,414,643,64.4
300,Col. of Charleston (SoCon),31,19-12,438,683,64.1
301,Hampton (MEAC),33,12-21,459,717,64
302,Southern Ill. (MVC),31,8-23,391,611,64
303,Quinnipiac (NEC),32,18-14,474,743,63.8
304,UMES (MEAC),30,7-23,343,538,63.8
305,USC Upstate (ASUN),34,21-13,443,695,63.7
306,Ark.-Pine Bluff (SWAC),33,11-22,458,719,63.7
307,UC Irvine (Big West),32,12-20,377,592,63.7
308,Radford (Big South),32,6-26,359,564,63.7
309,Lipscomb (ASUN),31,13-18,403,634,63.6
310,Middle Tenn. (Sun Belt),34,27-7,532,838,63.5
311,Central Mich. (MAC),32,11-21,377,594,63.5
312,ETSU (ASUN),31,17-14,434,684,63.5
313,SFA (Southland),32,20-12,411,650,63.2
314,Louisiana (Sun Belt),32,16-16,483,766,63.1
315,Southeast Mo. St. (OVC),31,15-16,373,592,63
316,Texas Southern (SWAC),33,15-18,470,746,63
317,Brown (Ivy League),31,8-23,303,482,62.9
318,UCF (C-USA),33,22-11,452,722,62.6
319,Kennesaw St. (ASUN),31,3-28,332,531,62.5
320,Washington (Pac-12),35,24-11,497,798,62.3
321,Old Dominion (CAA),36,22-14,473,766,61.7
322,Florida A&M (MEAC),33,10-23,352,572,61.5
323,Marshall (C-USA),35,21-14,479,780,61.4
324,Milwaukee (Horizon),34,20-14,423,691,61.2
325,Northwestern St. (Southland),32,16-16,488,800,61
326,Fordham (Atlantic 10),29,10-19,333,546,61
327,Southern California (Pac-12),32,6-26,272,446,61
328,North Florida (ASUN),32,16-16,393,645,60.9
329,New Hampshire (America East),29,13-16,322,529,60.9
330,Ole Miss (SEC),34,20-14,486,806,60.3
331,A&M-Corpus Christi (Southland),30,6-24,360,600,60
332,Sam Houston (Southland),32,13-19,412,689,59.8
333,Southeastern La. (Southland),29,12-17,352,596,59.1
334,Savannah St. (MEAC),33,21-12,405,688,58.9
335,Towson (CAA),32,1-31,379,647,58.6
336,Alabama St. (SWAC),31,12-19,354,606,58.4
337,Central Ark. (Southland),29,8-21,336,605,55.5
338,Prairie View (SWAC),32,14-18,340,629,54.1
