Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
103,St. Bonaventure (Atlantic 10),32,20-12,719,"1,723",41.7
104,Murray St. (OVC),33,31-2,730,"1,749",41.7
105,La Salle (Atlantic 10),34,21-13,801,"1,919",41.7
106,Baylor (Big 12),38,30-8,883,"2,114",41.8
107,Yale (Ivy League),29,19-10,676,"1,618",41.8
108,New Hampshire (America East),29,13-16,633,"1,515",41.8
109,Cornell (Ivy League),28,12-16,633,"1,514",41.8
110,Tulsa (C-USA),31,17-14,688,"1,644",41.8
111,Vanderbilt (SEC),36,25-11,861,"2,055",41.9
112,Georgia (SEC),32,15-17,681,"1,625",41.9
113,Stony Brook (America East),32,22-10,677,"1,615",41.9
114,Milwaukee (Horizon),34,20-14,761,"1,815",41.9
115,UTSA (Southland),32,18-14,759,"1,810",41.9
116,Col. of Charleston (SoCon),31,19-12,793,"1,890",42
117,LSU (SEC),33,18-15,745,"1,775",42
118,Akron (MAC),34,22-12,809,"1,926",42
119,Rutgers (AAC),32,14-18,689,"1,640",42
120,Little Rock (Sun Belt),31,15-16,668,"1,590",42
121,Holy Cross (Patriot),29,15-14,697,"1,657",42.1
122,Long Beach St. (Big West),34,25-9,804,"1,909",42.1
123,UCF (C-USA),33,22-11,764,"1,814",42.1
124,Miami (FL) (ACC),33,20-13,778,"1,847",42.1
125,Lamar University (Southland),35,23-12,838,"1,989",42.1
126,Washington (Pac-12),35,24-11,866,"2,053",42.2
127,UTEP (C-USA),32,15-17,718,"1,702",42.2
128,Texas Tech (Big 12),31,8-23,685,"1,620",42.3
129,Valparaiso (Horizon),34,22-12,787,"1,860",42.3
130,Florida (SEC),37,26-11,875,"2,067",42.3
131,Dartmouth (Ivy League),30,5-25,649,"1,533",42.3
132,Providence (AAC),32,15-17,808,"1,908",42.3
133,Princeton (Ivy League),32,20-12,731,"1,724",42.4
134,VCU (CAA),36,29-7,762,"1,796",42.4
135,Tulane (C-USA),31,15-16,677,"1,594",42.5
136,Toledo (MAC),36,19-17,862,"2,028",42.5
137,Kent St. (MAC),33,21-12,789,"1,856",42.5
138,Elon (SoCon),31,15-16,804,"1,889",42.6
139,Western Mich. (MAC),34,14-20,837,"1,965",42.6
140,Savannah St. (MEAC),33,21-12,677,"1,589",42.6
141,Indiana (Big Ten),36,27-9,847,"1,988",42.6
142,SMU (C-USA),32,13-19,666,"1,563",42.6
143,Washington St. (Pac-12),37,19-18,839,"1,969",42.6
144,Fordham (Atlantic 10),29,10-19,718,"1,685",42.6
145,Penn (Ivy League),33,20-13,707,"1,657",42.7
146,Morgan St. (MEAC),29,9-20,699,"1,638",42.7
147,Davidson (SoCon),33,25-8,781,"1,830",42.7
148,Charlotte (Atlantic 10),30,13-17,723,"1,693",42.7
149,Oklahoma St. (Big 12),33,15-18,800,"1,873",42.7
150,Green Bay (Horizon),30,15-15,708,"1,657",42.7
151,Michigan (Big Ten),34,24-10,756,"1,768",42.8
152,Weber St. (Big Sky),32,25-7,780,"1,824",42.8
153,Pepperdine (WCC),29,10-19,654,"1,529",42.8
154,Northwestern St. (Southland),32,16-16,809,"1,891",42.8
155,Saint Mary's (CA) (WCC),33,27-6,771,"1,802",42.8
156,Maryland (ACC),32,17-15,808,"1,888",42.8
157,McNeese (Southland),33,17-16,762,"1,777",42.9
158,Hawaii (WAC),32,16-16,838,"1,954",42.9
159,Loyola Maryland (MAAC),33,24-9,739,"1,723",42.9
160,Belmont (ASUN),35,27-8,850,"1,981",42.9
161,Illinois (Big Ten),32,17-15,712,"1,659",42.9
162,Idaho (WAC),33,19-14,807,"1,880",42.9
163,Robert Morris (NEC),37,26-11,764,"1,778",43
164,New Mexico St. (WAC),36,26-10,896,"2,085",43
165,Drake (MVC),34,18-16,771,"1,794",43
166,Oklahoma (Big 12),31,15-16,747,"1,738",43
167,Indiana St. (MVC),33,18-15,758,"1,763",43
168,Central Mich. (MAC),32,11-21,702,"1,632",43
169,Youngstown St. (Horizon),31,16-15,739,"1,718",43
170,Alcorn (SWAC),32,10-22,761,"1,769",43
171,Delaware St. (MEAC),29,15-14,675,"1,568",43
172,Clemson (ACC),31,16-15,683,"1,585",43.1
173,Samford (SoCon),30,11-19,728,"1,689",43.1
174,Arizona St. (Pac-12),31,10-21,701,"1,626",43.1
175,Campbell (Big South),32,17-15,796,"1,846",43.1
176,FGCU (ASUN),32,15-17,794,"1,840",43.2
177,Jacksonville St. (OVC),33,15-18,701,"1,624",43.2
178,Western Ky. (Sun Belt),35,16-19,839,"1,940",43.2
179,Mississippi Val. (SWAC),34,21-13,801,"1,851",43.3
180,Duke (ACC),34,27-7,864,"1,996",43.3
181,Penn St. (Big Ten),32,12-20,667,"1,538",43.4
182,North Dakota St. (Summit League),31,17-14,726,"1,674",43.4
183,Furman (SoCon),31,15-16,711,"1,639",43.4
184,Arkansas (SEC),32,18-14,793,"1,827",43.4
185,Mississippi St. (SEC),33,21-12,855,"1,969",43.4
186,East Carolina (C-USA),31,15-16,733,"1,688",43.4
187,Fairleigh Dickinson (NEC),29,3-26,718,"1,653",43.4
188,Southern California (Pac-12),32,6-26,686,"1,579",43.4
189,Temple (Atlantic 10),32,24-8,806,"1,855",43.5
190,Pacific (Big West),30,11-19,697,"1,603",43.5
191,A&M-Corpus Christi (Southland),30,6-24,696,"1,600",43.5
192,Colorado St. (Mountain West),32,20-12,738,"1,696",43.5
193,High Point (Big South),31,13-18,747,"1,716",43.5
194,Alabama St. (SWAC),31,12-19,709,"1,628",43.6
195,App State (SoCon),31,13-18,777,"1,784",43.6
196,Wofford (SoCon),33,19-14,752,"1,726",43.6
197,Rider (MAAC),32,13-19,838,"1,923",43.6
198,Boston College (ACC),31,9-22,775,"1,777",43.6
199,Howard (MEAC),31,10-21,703,"1,611",43.6
200,Denver (Sun Belt),31,22-9,649,"1,486",43.7
201,James Madison (CAA),32,12-20,765,"1,751",43.7
202,ETSU (ASUN),31,17-14,703,"1,609",43.7
203,Cal St. Fullerton (Big West),31,21-10,770,"1,762",43.7
204,Iowa St. (Big 12),34,23-11,864,"1,977",43.7
205,Cal Poly (Big West),33,18-15,681,"1,557",43.7
206,FIU (Sun Belt),29,8-21,654,"1,495",43.7
207,UNCW (CAA),31,10-21,782,"1,787",43.8
208,Gardner-Webb (Big South),32,12-20,751,"1,716",43.8
209,Oregon (Pac-12),34,24-10,860,"1,962",43.8
210,Houston (C-USA),30,15-15,793,"1,809",43.8
211,Southeast Mo. St. (OVC),31,15-16,746,"1,701",43.9
212,Western Ill. (Summit League),33,18-15,707,"1,612",43.9
213,St. Francis Brooklyn (NEC),30,15-15,711,"1,621",43.9
214,UMES (MEAC),30,7-23,722,"1,646",43.9
215,UNI (MVC),34,20-14,772,"1,759",43.9
216,NIU (MAC),31,5-26,680,"1,547",44
217,Detroit Mercy (Horizon),36,22-14,842,"1,915",44
218,Richmond (Atlantic 10),32,16-16,771,"1,752",44
219,St. John's (NY) (AAC),32,13-19,830,"1,885",44
220,Pittsburgh (AAC),39,22-17,915,"2,077",44.1
221,Wake Forest (ACC),31,13-18,791,"1,795",44.1
222,Creighton (MVC),35,29-6,903,"2,049",44.1
223,Tennessee St. (OVC),33,20-13,765,"1,735",44.1
224,Towson (CAA),32,1-31,773,"1,753",44.1
225,Northeastern (CAA),31,14-17,710,"1,608",44.2
226,Purdue (Big Ten),35,22-13,826,"1,870",44.2
227,Mount St. Mary's (NEC),29,8-21,683,"1,544",44.2
228,Ark.-Pine Bluff (SWAC),33,11-22,791,"1,787",44.3
229,Fla. Atlantic (Sun Belt),30,11-19,706,"1,594",44.3
230,Sacred Heart (NEC),32,14-18,816,"1,842",44.3
231,Southern Miss. (C-USA),34,25-9,766,"1,727",44.4
232,Morehead St. (OVC),33,18-15,675,"1,521",44.4
233,UNC Asheville (Big South),34,24-10,865,"1,949",44.4
234,Bowling Green (MAC),32,16-16,735,"1,656",44.4
235,Saint Peter's (MAAC),31,5-26,710,"1,599",44.4
236,Army West Point (Patriot),30,12-18,736,"1,657",44.4
237,Louisiana Tech (WAC),34,18-16,828,"1,864",44.4
238,Missouri (Big 12),35,30-5,869,"1,956",44.4
239,Winthrop (Big South),32,12-20,704,"1,583",44.5
240,Florida A&M (MEAC),33,10-23,846,"1,902",44.5
241,Jackson St. (SWAC),31,7-24,724,"1,624",44.6
242,Eastern Wash. (Big Sky),32,15-17,721,"1,617",44.6
243,UTRGV (GWC),32,11-21,795,"1,782",44.6
244,Texas St. (Southland),30,13-17,776,"1,739",44.6
245,Loyola Chicago (Horizon),30,7-23,681,"1,526",44.6
246,South Carolina (SEC),31,10-21,690,"1,546",44.6
247,Alabama A&M (SWAC),28,7-21,668,"1,494",44.7
248,Radford (Big South),32,6-26,726,"1,622",44.8
249,Fresno St. (WAC),33,13-20,746,"1,666",44.8
250,Dayton (Atlantic 10),33,20-13,801,"1,786",44.8
251,South Dakota St. (Summit League),35,27-8,871,"1,942",44.9
252,West Virginia (AAC),33,19-14,815,"1,816",44.9
253,Sacramento St. (Big Sky),28,10-18,670,"1,492",44.9
254,George Washington (Atlantic 10),31,10-21,733,"1,632",44.9
255,LIU (NEC),34,25-9,"1,039","2,313",44.9
256,Marshall (C-USA),35,21-14,859,"1,911",45
257,San Jose St. (WAC),31,9-22,806,"1,793",45
258,Hartford (America East),31,9-22,711,"1,581",45
259,Lipscomb (ASUN),31,13-18,843,"1,873",45
260,Miami (OH) (MAC),30,9-21,688,"1,526",45.1
261,Iona (MAAC),33,25-8,885,"1,962",45.1
262,Grambling (SWAC),28,4-24,746,"1,653",45.1
263,USC Upstate (ASUN),34,21-13,807,"1,788",45.1
264,Chicago St. (GWC),30,4-26,781,"1,730",45.1
265,North Florida (ASUN),32,16-16,832,"1,842",45.2
266,Northwestern (Big Ten),33,19-14,825,"1,826",45.2
267,San Diego (WCC),31,13-18,770,"1,704",45.2
268,Western Caro. (SoCon),35,17-18,852,"1,883",45.2
269,Tennessee Tech (OVC),33,19-14,819,"1,809",45.3
270,William & Mary (CAA),32,6-26,799,"1,764",45.3
271,Central Conn. St. (NEC),29,13-16,739,"1,630",45.3
272,Bradley (MVC),32,7-25,821,"1,810",45.4
273,UIC (Horizon),30,8-22,710,"1,565",45.4
274,Arkansas St. (Sun Belt),34,14-20,838,"1,847",45.4
275,Canisius (MAAC),30,5-25,801,"1,765",45.4
276,Northern Colo. (Big Sky),28,9-19,698,"1,538",45.4
277,Wright St. (Horizon),32,13-19,659,"1,452",45.4
278,Nebraska (Big Ten),30,12-18,696,"1,533",45.4
279,Brown (Ivy League),31,8-23,795,"1,751",45.4
280,Eastern Ill. (OVC),29,12-17,714,"1,572",45.4
281,Coppin St. (MEAC),30,14-16,838,"1,845",45.4
282,Colgate (Patriot),30,8-22,772,"1,699",45.4
283,Boise St. (Mountain West),30,13-17,687,"1,511",45.5
284,Ga. Southern (SoCon),30,15-15,722,"1,587",45.5
285,Oregon St. (Pac-12),36,21-15,932,"2,047",45.5
286,Portland St. (Big Sky),32,17-15,872,"1,915",45.5
287,Southern Utah (Summit League),31,14-17,715,"1,570",45.5
288,Montana St. (Big Sky),29,12-17,712,"1,562",45.6
289,Iowa (Big Ten),35,18-17,910,"1,993",45.7
290,ULM (Sun Belt),29,3-26,714,"1,563",45.7
291,Liberty (Big South),32,14-18,838,"1,834",45.7
292,Niagara (MAAC),33,14-19,777,"1,700",45.7
293,Hofstra (CAA),32,10-22,755,"1,651",45.7
294,Eastern Ky. (OVC),32,16-16,741,"1,619",45.8
295,Duquesne (Atlantic 10),31,16-15,810,"1,768",45.8
296,Albany (NY) (America East),34,19-15,878,"1,910",46
297,Marist (MAAC),32,14-18,883,"1,913",46.2
298,CSUN (Big West),28,7-21,683,"1,479",46.2
299,UNC Greensboro (SoCon),32,13-19,824,"1,784",46.2
300,Portland (WCC),31,7-24,801,"1,732",46.2
301,San Francisco (WCC),34,20-14,857,"1,852",46.3
302,Bethune-Cookman (MEAC),35,18-17,811,"1,752",46.3
303,Santa Clara (WCC),30,8-22,742,"1,602",46.3
304,Saint Francis (PA) (NEC),29,6-23,726,"1,567",46.3
305,Stetson (ASUN),29,9-20,844,"1,821",46.3
306,UC Davis (Big West),31,5-26,827,"1,780",46.5
307,Austin Peay (OVC),32,12-20,839,"1,804",46.5
308,CSU Bakersfield (Independent),31,16-15,711,"1,527",46.6
309,Charleston So. (Big South),31,19-12,809,"1,735",46.6
310,Purdue Fort Wayne (Summit League),30,11-19,769,"1,647",46.7
311,Jacksonville (ASUN),30,8-22,719,"1,538",46.7
312,Troy (Sun Belt),28,10-18,763,"1,629",46.8
313,Lafayette (Patriot),31,13-18,795,"1,697",46.8
314,Southern Ill. (MVC),31,8-23,706,"1,507",46.8
315,Oral Roberts (Summit League),34,27-7,821,"1,752",46.9
316,UMBC (America East),30,4-26,785,"1,673",46.9
317,Utah (Pac-12),31,6-25,780,"1,661",47
318,Houston Baptist (GWC),30,10-20,813,"1,729",47
319,Binghamton (America East),31,2-29,776,"1,645",47.2
320,South Carolina St. (MEAC),31,5-26,879,"1,862",47.2
321,Navy (Patriot),29,3-26,658,"1,393",47.2
322,The Citadel (SoCon),30,6-24,804,"1,701",47.3
323,IUPUI (Summit League),32,14-18,835,"1,765",47.3
324,Rhode Island (Atlantic 10),31,7-24,839,"1,766",47.5
325,Nicholls (Southland),30,10-20,811,"1,703",47.6
326,Idaho St. (Big Sky),30,9-21,739,"1,548",47.7
327,TCU (Mountain West),33,18-15,842,"1,762",47.8
328,Kansas City (Summit League),31,10-21,784,"1,639",47.8
329,Monmouth (NEC),32,12-20,833,"1,737",48
330,DePaul (AAC),31,12-19,868,"1,802",48.2
331,VMI (Big South),33,17-16,979,"2,027",48.3
332,Longwood (Independent),31,10-21,962,"1,981",48.6
333,Evansville (MVC),32,16-16,807,"1,660",48.6
334,Oakland (Summit League),36,20-16,"1,031","2,113",48.8
335,Northern Ariz. (Big Sky),29,5-24,776,"1,573",49.3
336,Central Ark. (Southland),29,8-21,864,"1,750",49.4
337,Kennesaw St. (ASUN),31,3-28,856,"1,713",50
338,UT Martin (OVC),31,4-27,849,"1,682",50.5
