Rank,Team,PPG,OPP PPG,SCR MAR
193,Northwestern (Big Ten),70.2,70,0.2
194,Little Rock (Sun Belt),68.7,68.5,0.2
195,Stanford (Pac-12),69.7,69.6,0.1
196,Northern Ky. (Horizon),71.4,71.2,0.1
197,Providence (Big East),69.8,69.7,0.1
198,Hofstra (CAA),73.1,73,0.1
199,Delaware (CAA),67.5,67.5,0.1
200,Sacramento St. (Big Sky),72.2,72.1,0.1
201,Marquette (Big East),69.7,69.8,-0.1
202,Utah Valley (WAC),74.2,74.3,-0.1
203,Duquesne (Atlantic 10),66.9,67.1,-0.2
204,Marist (MAAC),63.4,63.6,-0.2
205,Georgetown (Big East),71.4,71.7,-0.2
206,N.C. A&T (MEAC),72.2,72.5,-0.3
207,Cleveland St. (Horizon),70.9,71.2,-0.3
208,Penn St. (Big Ten),72.6,73,-0.4
209,Southern U. (SWAC),69.8,70.3,-0.4
210,New Orleans (Southland),76,76.4,-0.4
211,Georgia (SEC),77.5,78,-0.5
212,Niagara (MAAC),64.7,65.2,-0.6
213,Vanderbilt (SEC),71.8,72.4,-0.6
214,Minnesota (Big Ten),72.5,73.2,-0.7
215,Milwaukee (Horizon),75.5,76.3,-0.7
216,Ball St. (MAC),74.7,75.5,-0.7
217,Canisius (MAAC),70.4,71.2,-0.8
218,Pacific (WCC),69.8,70.7,-0.9
219,Santa Clara (WCC),69.7,70.6,-0.9
220,Northeastern (CAA),67.2,68.3,-1.1
221,Fresno St. (Mountain West),66.3,67.4,-1.1
222,East Carolina (AAC),66.8,67.9,-1.2
223,Grambling (SWAC),67.4,68.7,-1.3
224,Quinnipiac (MAAC),67.5,69,-1.5
225,Cal St. Fullerton (Big West),77,78.6,-1.6
226,Longwood (Big South),66.2,67.8,-1.6
227,UNI (MVC),69.5,71.2,-1.6
228,Notre Dame (ACC),72.7,74.3,-1.7
229,Michigan St. (Big Ten),69.4,71.1,-1.7
230,St. Francis Brooklyn (NEC),77.7,79.5,-1.8
231,Jacksonville (ASUN),67.6,69.5,-1.9
232,UCF (AAC),67.2,69.4,-2.2
233,Bucknell (Patriot),74.9,77.3,-2.4
234,UMass Lowell (America East),68.5,70.9,-2.4
235,Southern Miss. (C-USA),64.2,66.7,-2.5
236,Southern Ill. (MVC),65.5,68.1,-2.5
237,Tulane (AAC),63.9,66.5,-2.6
238,Samford (SoCon),76.8,79.5,-2.6
239,Southeast Mo. St. (OVC),69,71.7,-2.7
239,Texas A&M (SEC),64.3,66.9,-2.7
241,FIU (C-USA),73.6,76.3,-2.7
242,Arizona St. (Pac-12),74.3,77.1,-2.8
243,Florida A&M (SWAC),65.7,68.5,-2.8
244,Illinois St. (MVC),72,74.8,-2.8
245,Valparaiso (MVC),65,67.9,-2.9
246,Presbyterian (Big South),64.1,67.1,-3
247,Central Mich. (MAC),76.8,79.8,-3
247,Temple (AAC),65.8,68.8,-3
249,High Point (Big South),66.7,69.9,-3.2
250,Cincinnati (AAC),68.9,72.1,-3.2
251,Charlotte (C-USA),63.5,66.7,-3.2
252,Western Caro. (SoCon),75.5,78.9,-3.3
253,Purdue Fort Wayne (Horizon),75.1,78.7,-3.5
254,Fairleigh Dickinson (NEC),75,78.8,-3.7
255,UIW (Southland),68,71.7,-3.8
256,California (Pac-12),65.4,69.2,-3.8
257,Manhattan (MAAC),63.4,67.2,-3.9
258,Alabama A&M (SWAC),63.3,67.2,-3.9
259,Troy (Sun Belt),65.3,69.4,-4
260,NJIT (America East),66.1,70.2,-4.1
261,George Washington (Atlantic 10),68.1,72.3,-4.2
262,Kennesaw St. (ASUN),65.5,69.7,-4.2
263,Nebraska (Big Ten),70,74.2,-4.3
264,N.C. Central (MEAC),67.3,71.6,-4.4
265,Hampton (Big South),68.8,73.2,-4.4
266,TCU (Big 12),66.8,71.2,-4.5
267,Saint Francis (PA) (NEC),68.9,73.4,-4.5
267,American (Patriot),69.1,73.6,-4.5
269,Miami (FL) (ACC),66.4,71,-4.5
270,Boston U. (Patriot),69.4,73.9,-4.6
271,IUPUI (Horizon),71.2,75.8,-4.6
272,UIC (Horizon),67.7,72.3,-4.6
273,ULM (Sun Belt),64.2,68.9,-4.7
274,Sacred Heart (NEC),70.3,75,-4.7
275,Evansville (MVC),64.8,69.6,-4.8
276,Fairfield (MAAC),61.8,66.7,-4.9
277,Green Bay (Horizon),71.6,76.5,-4.9
278,Butler (Big East),63.5,68.7,-5.2
279,Eastern Mich. (MAC),70.4,75.7,-5.3
280,North Florida (ASUN),69.6,75,-5.4
281,Holy Cross (Patriot),70.6,76.1,-5.4
282,La Salle (Atlantic 10),68.1,73.5,-5.4
283,Eastern Ill. (OVC),69.4,74.9,-5.5
284,South Fla. (AAC),65.9,71.4,-5.5
285,CSUN (Big West),72.1,77.7,-5.6
286,Tennessee St. (OVC),68.4,74,-5.6
287,Long Beach St. (Big West),73.8,79.4,-5.7
288,Wake Forest (ACC),66.3,72,-5.7
289,DePaul (Big East),65.8,71.9,-6.2
290,Robert Morris (Horizon),72.3,78.6,-6.3
291,Coppin St. (MEAC),72.8,79.1,-6.3
292,Western Ill. (Summit League),73,79.4,-6.4
293,New Mexico (Mountain West),65.3,71.7,-6.5
294,Rider (MAAC),67.5,74,-6.5
295,Oakland (Horizon),74.7,81.2,-6.5
296,Lamar University (Southland),65.8,72.4,-6.5
297,South Carolina (SEC),72.5,79.1,-6.6
298,A&M-Corpus Christi (Southland),64.8,71.5,-6.8
299,Binghamton (America East),65.4,72.3,-6.9
300,North Dakota (Summit League),68.7,75.7,-7
301,Northwestern St. (Southland),72.6,79.7,-7.1
302,William & Mary (CAA),64.8,71.9,-7.1
303,SIUE (OVC),65.7,73,-7.2
304,Alabama St. (SWAC),64.2,71.6,-7.3
305,Towson (CAA),67.4,74.9,-7.5
306,Boston College (ACC),71.3,79.5,-8.2
307,Lehigh (Patriot),68.3,76.6,-8.3
308,Charleston So. (Big South),65.5,73.8,-8.3
309,Kansas St. (Big 12),61.8,70.2,-8.4
310,USC Upstate (Big South),65.9,74.4,-8.6
311,Middle Tenn. (C-USA),62,70.7,-8.7
312,Central Conn. St. (NEC),68.5,77.4,-8.9
312,Western Mich. (MAC),63.1,72,-8.9
