Rank,Team,FTPG,FTAPG,FT%
316,Duquesne (Atlantic 10),11.89,18.28,65
317,San Diego (WCC),10.07,15.50,65
318,Southern California (Pac-12),13.67,21.06,64.9
319,Alabama St. (SWAC),15.50,23.94,64.7
320,Butler (Big East),10.60,16.40,64.6
321,George Mason (Atlantic 10),11.50,17.91,64.2
322,Creighton (Big East),9.87,15.42,64
323,Nebraska (Big Ten),11.81,18.48,63.9
324,Western Mich. (MAC),8.86,13.86,63.9
325,Army West Point (Patriot),10.55,16.55,63.7
326,South Fla. (AAC),12.68,19.91,63.7
327,UTRGV (WAC),15.68,24.63,63.7
328,Rutgers (Big Ten),10.18,16.00,63.6
329,Ga. Southern (Sun Belt),11.31,17.81,63.5
330,Utah Valley (WAC),15.09,23.91,63.1
331,Alabama A&M (SWAC),11.53,18.40,62.7
332,Coppin St. (MEAC),15.95,25.64,62.2
333,South Carolina St. (MEAC),9.83,15.83,62.1
334,Memphis (AAC),11.96,19.39,61.7
335,Northern Ill. (MAC),8.84,14.37,61.5
336,UNC Asheville (Big South),10.55,17.40,60.6
337,Loyola Maryland (Patriot),12.47,20.65,60.4
338,New Mexico (Mountain West),11.59,19.36,59.9
339,Mississippi Val. (SWAC),7.92,13.83,57.2
340,Maine (America East),7.78,13.67,56.9
