Rank,Team,FGMPG,FGAPG,FG%
204,UConn (Big East),26.17,60.35,43.4
205,Santa Clara (WCC),24.30,56.05,43.4
206,Indiana St. (MVC),23.20,53.52,43.3
207,Morgan St. (MEAC),27.36,63.14,43.3
208,Indiana (Big Ten),24.22,55.93,43.3
209,Arizona St. (Pac-12),26.24,60.60,43.3
210,Northwestern (Big Ten),25.29,58.42,43.3
211,Stetson (ASUN),25.44,58.78,43.3
212,Western Mich. (MAC),23.76,54.90,43.3
213,Tennessee Tech (OVC),24.30,56.19,43.2
214,Charlotte (C-USA),21.80,50.44,43.2
215,Southern Miss. (C-USA),24.12,55.84,43.2
216,Pittsburgh (ACC),25.18,58.32,43.2
217,Southern U. (SWAC),24.47,56.68,43.2
218,Idaho (Big Sky),22.23,51.50,43.2
219,Louisville (ACC),24.70,57.30,43.1
220,Hampton (Big South),24.76,57.48,43.1
221,Hartford (America East),23.42,54.38,43.1
222,Northwestern St. (Southland),26.55,61.66,43.1
223,Lehigh (Patriot),25.87,60.07,43.1
224,California (Pac-12),22.79,52.97,43
225,FIU (C-USA),26.54,61.69,43
226,Vanderbilt (SEC),24.36,56.64,43
227,Providence (Big East),25.27,58.81,43
228,UCF (AAC),23.57,54.87,42.9
229,Southeast Mo. St. (OVC),23.33,54.37,42.9
230,George Mason (Atlantic 10),26.27,61.23,42.9
231,FGCU (ASUN),26.83,62.56,42.9
232,UIC (Horizon),25.36,59.14,42.9
233,West Virginia (Big 12),26.52,61.83,42.9
234,Youngstown St. (Horizon),26.56,61.93,42.9
235,North Dakota (Summit League),23.96,55.92,42.8
236,Massachusetts (Atlantic 10),26.27,61.33,42.8
237,Fresno St. (Mountain West),23.00,53.71,42.8
238,Grambling (SWAC),23.42,54.71,42.8
239,Rider (MAAC),24.52,57.30,42.8
240,San Francisco (WCC),25.88,60.52,42.8
241,Saint Francis (PA) (NEC),24.59,57.55,42.7
242,Houston Baptist (Southland),25.40,59.44,42.7
243,Marist (MAAC),22.62,53.00,42.7
244,Norfolk St. (MEAC),25.20,59.08,42.7
245,Michigan St. (Big Ten),24.89,58.39,42.6
246,New Mexico St. (WAC),24.60,57.80,42.6
247,Clemson (ACC),23.42,55.13,42.5
248,Wisconsin (Big Ten),24.74,58.26,42.5
249,Mount St. Mary's (NEC),22.91,53.96,42.5
250,UTEP (C-USA),25.33,59.67,42.5
251,Miami (FL) (ACC),23.96,56.44,42.5
252,Central Conn. St. (NEC),24.86,58.57,42.4
253,USC Upstate (Big South),23.39,55.13,42.4
254,Washington (Pac-12),24.65,58.19,42.4
255,Georgetown (Big East),24.77,58.50,42.3
256,CSUN (Big West),25.45,60.14,42.3
257,Tennessee St. (OVC),24.70,58.35,42.3
258,IUPUI (Horizon),25.11,59.39,42.3
259,Cincinnati (AAC),24.61,58.22,42.3
260,Monmouth (MAAC),25.90,61.30,42.3
