Rank,Team,3FGPG,3FGAPG,3FG%
237,Middle Tenn. (C-USA),7.43,22.96,32.4
238,George Washington (Atlantic 10),6.00,18.53,32.4
238,UC Davis (Big West),5.67,17.50,32.4
240,Indiana (Big Ten),5.85,18.07,32.4
241,Quinnipiac (MAAC),7.68,23.73,32.4
242,Jacksonville (ASUN),7.08,21.92,32.3
243,Butler (Big East),7.16,22.16,32.3
244,Southern U. (SWAC),5.47,16.95,32.3
245,Saint Peter's (MAAC),6.16,19.08,32.3
246,Hartford (America East),7.46,23.13,32.3
246,Marquette (Big East),6.63,20.56,32.3
248,Stanford (Pac-12),5.37,16.70,32.2
249,Cleveland St. (Horizon),6.37,19.81,32.1
250,Tennessee Tech (OVC),7.70,24.00,32.1
251,Seton Hall (Big East),6.67,20.78,32.1
252,Michigan St. (Big Ten),6.36,19.82,32.1
253,Nicholls (Southland),7.76,24.20,32.1
254,Iowa St. (Big 12),7.29,22.75,32.1
255,Cal Poly (Big West),6.54,20.46,32
256,Providence (Big East),6.31,19.73,32
257,N.C. A&T (MEAC),6.52,20.43,31.9
258,Bowling Green (MAC),8.19,25.65,31.9
259,Ga. Southern (Sun Belt),7.46,23.38,31.9
260,Bradley (MVC),6.86,21.54,31.8
261,SIUE (OVC),6.00,18.85,31.8
262,Southern Miss. (C-USA),5.36,16.84,31.8
263,North Carolina (ACC),5.59,17.55,31.8
264,Boston U. (Patriot),6.94,21.83,31.8
265,Wagner (NEC),5.85,18.40,31.8
266,San Jose St. (Mountain West),7.48,23.52,31.8
267,New Hampshire (America East),6.79,21.37,31.8
268,Alabama St. (SWAC),6.17,19.44,31.7
269,South Carolina St. (MEAC),6.83,21.56,31.7
270,New Mexico St. (WAC),8.75,27.65,31.6
271,Charleston So. (Big South),7.62,24.10,31.6
272,App State (Sun Belt),8.03,25.41,31.6
273,Lehigh (Patriot),4.87,15.40,31.6
274,Western Ill. (Summit League),7.14,22.59,31.6
275,Tulsa (AAC),6.91,21.91,31.5
276,Fairfield (MAAC),6.04,19.15,31.5
277,Maine (America East),7.11,22.56,31.5
278,DePaul (Big East),5.42,17.21,31.5
279,Seattle U (WAC),8.09,25.78,31.4
280,Saint Joseph's (Atlantic 10),9.55,30.45,31.4
281,Florida A&M (SWAC),4.75,15.15,31.4
282,Radford (Big South),5.85,18.67,31.3
283,Niagara (MAAC),6.40,20.45,31.3
284,Lamar University (Southland),4.96,15.89,31.2
285,Rhode Island (Atlantic 10),5.72,18.32,31.2
286,Rutgers (Big Ten),6.14,19.68,31.2
287,Samford (SoCon),7.95,25.47,31.2
288,Kennesaw St. (ASUN),6.83,21.92,31.2
289,Little Rock (Sun Belt),5.65,18.15,31.1
290,Eastern Mich. (MAC),7.11,22.83,31.1
291,Cincinnati (AAC),7.09,22.78,31.1
292,Marist (MAAC),6.76,21.81,31
293,UAB (C-USA),5.07,16.38,30.9
294,Saint Francis (PA) (NEC),5.86,18.95,30.9
295,Delaware St. (MEAC),8.00,25.89,30.9
295,Howard (MEAC),7.60,24.60,30.9
297,Louisville (ACC),5.35,17.35,30.8
298,Ark.-Pine Bluff (SWAC),4.92,16.00,30.8
299,Youngstown St. (Horizon),6.89,22.44,30.7
300,Northern Ky. (Horizon),7.16,23.36,30.7
301,Santa Clara (WCC),5.50,17.95,30.6
302,Presbyterian (Big South),5.82,19.00,30.6
303,Loyola Maryland (Patriot),5.41,17.71,30.6
304,NJIT (America East),6.26,20.53,30.5
305,South Carolina (SEC),6.76,22.19,30.5
