Rank,Team,OPP 3FGAPG,OPP 3FGPG,OPP 3FG%
183,Hofstra (CAA),22.91,7.74,33.8
184,UTSA (C-USA),22.65,7.65,33.8
185,Belmont (OVC),22.00,7.43,33.8
186,Ohio (MAC),23.32,7.88,33.8
187,Hampton (Big South),22.48,7.60,33.8
188,Xavier (Big East),23.24,7.86,33.8
189,Georgia St. (Sun Belt),24.86,8.41,33.8
190,Massachusetts (Atlantic 10),17.73,6.00,33.8
191,Vanderbilt (SEC),21.04,7.12,33.8
192,Oral Roberts (Summit League),20.17,6.83,33.8
193,Georgetown (Big East),24.65,8.35,33.9
194,Virginia (ACC),19.84,6.72,33.9
195,Weber St. (Big Sky),20.78,7.04,33.9
196,Marquette (Big East),22.07,7.48,33.9
197,Niagara (MAAC),22.10,7.50,33.9
198,Georgia (SEC),23.12,7.85,33.9
199,Grambling (SWAC),22.21,7.54,34
200,Tennessee St. (OVC),20.61,7.00,34
201,Indiana St. (MVC),20.48,6.96,34
202,Ohio St. (Big Ten),22.58,7.68,34
203,Southern Ill. (MVC),22.62,7.69,34
204,Fla. Atlantic (C-USA),20.43,6.96,34
205,Canisius (MAAC),17.85,6.08,34.1
206,Texas A&M (SEC),25.28,8.61,34.1
207,New Mexico (Mountain West),24.00,8.18,34.1
208,Gardner-Webb (Big South),22.42,7.65,34.1
209,Arizona (Pac-12),20.73,7.08,34.1
210,St. John's (NY) (Big East),22.33,7.63,34.2
211,N.C. Central (MEAC),19.64,6.71,34.2
212,Texas Tech (Big 12),20.17,6.90,34.2
213,ETSU (SoCon),24.68,8.44,34.2
214,Pacific (WCC),23.56,8.06,34.2
215,NC State (ACC),19.88,6.80,34.2
216,Oregon (Pac-12),21.82,7.46,34.2
217,George Washington (Atlantic 10),22.18,7.59,34.2
218,Idaho St. (Big Sky),17.04,5.83,34.2
219,Temple (AAC),22.44,7.69,34.3
220,CSU Bakersfield (Big West),20.54,7.04,34.3
221,Utah Valley (WAC),20.82,7.14,34.3
222,Villanova (Big East),22.52,7.72,34.3
223,Charleston So. (Big South),22.19,7.62,34.3
224,Delaware (CAA),19.60,6.73,34.4
225,New Hampshire (America East),18.68,6.42,34.4
226,Houston Baptist (Southland),24.20,8.32,34.4
227,Long Beach St. (Big West),24.39,8.39,34.4
228,UTEP (C-USA),17.92,6.17,34.4
229,Penn St. (Big Ten),21.48,7.40,34.5
230,Montana St. (Big Sky),21.70,7.48,34.5
231,South Fla. (AAC),23.59,8.14,34.5
232,LMU (CA) (WCC),19.64,6.77,34.5
233,Maryland (Big Ten),23.94,8.26,34.5
234,Central Mich. (MAC),25.30,8.74,34.5
235,Albany (NY) (America East),20.63,7.13,34.5
235,Kent St. (MAC),23.91,8.26,34.5
237,Wagner (NEC),20.55,7.10,34.5
238,Stetson (ASUN),21.22,7.33,34.6
239,Nicholls (Southland),21.52,7.44,34.6
240,Presbyterian (Big South),18.14,6.27,34.6
241,Little Rock (Sun Belt),22.35,7.73,34.6
242,Alcorn (SWAC),20.37,7.05,34.6
243,Loyola Maryland (Patriot),21.35,7.41,34.7
244,Iowa (Big Ten),25.48,8.87,34.8
245,Samford (SoCon),29.63,10.32,34.8
246,South Dakota (Summit League),23.20,8.08,34.8
247,N.C. A&T (MEAC),23.24,8.10,34.8
248,Texas St. (Sun Belt),20.52,7.16,34.9
249,USC Upstate (Big South),21.04,7.35,34.9
250,Washington (Pac-12),20.15,7.04,34.9
251,Fresno St. (Mountain West),20.88,7.29,34.9
252,Ga. Southern (Sun Belt),22.12,7.73,35
253,Butler (Big East),20.48,7.16,35
254,South Dakota St. (Summit League),24.22,8.48,35
255,UC Davis (Big West),18.72,6.56,35
256,North Carolina (ACC),22.93,8.03,35
257,Old Dominion (C-USA),24.30,8.52,35.1
258,Saint Joseph's (Atlantic 10),23.50,8.25,35.1
259,Central Conn. St. (NEC),23.57,8.29,35.2
