Rank,Team,OPP FGPG,OPP FGAPG,OPP FG%
224,West Virginia (Big 12),26.52,59.34,44.7
225,Hofstra (CAA),26.87,60.13,44.7
226,Rice (C-USA),28.21,63.11,44.7
227,The Citadel (SoCon),29.08,65.04,44.7
228,UNC Asheville (Big South),26.65,59.60,44.7
229,Stetson (ASUN),25.59,57.22,44.7
230,Miami (OH) (MAC),26.00,58.09,44.8
231,Illinois St. (MVC),27.68,61.84,44.8
232,North Florida (ASUN),27.35,61.09,44.8
233,George Washington (Atlantic 10),27.24,60.82,44.8
234,Utah (Pac-12),25.56,57.08,44.8
235,Towson (CAA),26.56,59.28,44.8
236,Drexel (CAA),25.20,56.20,44.8
237,Miami (FL) (ACC),26.74,59.63,44.8
238,Charlotte (C-USA),24.88,55.48,44.8
239,N.C. Central (MEAC),24.71,55.07,44.9
240,TCU (Big 12),26.31,58.58,44.9
241,Binghamton (America East),25.89,57.61,44.9
242,Longwood (Big South),23.86,53.07,45
243,Albany (NY) (America East),25.13,55.88,45
244,Texas A&M (SEC),24.00,53.28,45
245,Indiana St. (MVC),24.28,53.88,45.1
246,Eastern Ill. (OVC),26.74,59.30,45.1
247,Northern Ky. (Horizon),25.64,56.84,45.1
248,San Jose St. (Mountain West),30.05,66.57,45.1
249,San Francisco (WCC),24.20,53.56,45.2
250,Milwaukee (Horizon),26.45,58.55,45.2
251,Kennesaw St. (ASUN),25.25,55.88,45.2
252,SIUE (OVC),26.15,57.85,45.2
253,Sacred Heart (NEC),28.11,62.17,45.2
254,NC State (ACC),25.60,56.60,45.2
255,Canisius (MAAC),26.00,57.46,45.2
256,New Orleans (Southland),27.36,60.44,45.3
257,William & Mary (CAA),27.35,60.41,45.3
258,UNI (MVC),26.04,57.48,45.3
259,Washington (Pac-12),27.65,60.92,45.4
260,Saint Francis (PA) (NEC),26.86,59.18,45.4
261,Lamar University (Southland),26.68,58.75,45.4
262,Central Ark. (Southland),28.92,63.63,45.4
263,Southeast Mo. St. (OVC),24.89,54.74,45.5
264,La Salle (Atlantic 10),25.80,56.72,45.5
265,Duke (ACC),25.96,57.00,45.5
266,Chattanooga (SoCon),26.46,58.08,45.6
267,Central Mich. (MAC),29.04,63.74,45.6
268,Georgia (SEC),28.31,61.88,45.7
269,Southern Ill. (MVC),25.46,55.65,45.7
270,Presbyterian (Big South),23.00,50.27,45.8
271,Youngstown St. (Horizon),26.59,58.11,45.8
272,Vanderbilt (SEC),25.84,56.44,45.8
273,Massachusetts (Atlantic 10),26.87,58.67,45.8
274,American (Patriot),26.80,58.40,45.9
275,Navy (Patriot),24.22,52.78,45.9
276,Purdue Fort Wayne (Horizon),28.26,61.57,45.9
277,Campbell (Big South),24.93,54.30,45.9
278,Georgia Tech (ACC),25.69,55.96,45.9
279,Lafayette (Patriot),28.13,61.27,45.9
280,Arizona St. (Pac-12),26.84,58.40,46
281,Kansas St. (Big 12),24.83,54.00,46
282,Richmond (Atlantic 10),25.74,55.83,46.1
283,St. Francis Brooklyn (NEC),27.37,59.21,46.2
