Rank,Team,AST,ASTPG,TO,TOPG,AST/TO Ratio
190,Montana (Big Sky),356,12.71,371,13.25,0.96
191,Western Ky. (C-USA),395,13.62,413,14.24,0.96
192,IUPUI (Horizon),239,13.28,250,13.89,0.96
193,Old Dominion (C-USA),278,12.09,291,12.65,0.96
194,Saint Mary's (CA) (WCC),257,10.71,271,11.29,0.95
195,Morgan St. (MEAC),326,14.82,344,15.64,0.95
196,Bucknell (Patriot),144,12.00,152,12.67,0.95
197,SFA (Southland),331,15.76,350,16.67,0.95
198,Northern Ky. (Horizon),295,11.80,312,12.48,0.95
199,Elon (CAA),206,10.84,218,11.47,0.94
200,South Alabama (Sun Belt),314,11.21,333,11.89,0.94
201,Western Caro. (SoCon),359,13.30,381,14.11,0.94
202,Eastern Ill. (OVC),360,13.33,383,14.19,0.94
203,Dayton (Atlantic 10),325,13.54,346,14.42,0.94
204,Norfolk St. (MEAC),302,12.08,322,12.88,0.94
205,Holy Cross (Patriot),193,12.06,206,12.88,0.94
206,California (Pac-12),346,11.93,370,12.76,0.94
207,Albany (NY) (America East),187,11.69,201,12.56,0.93
208,New Orleans (Southland),391,15.64,421,16.84,0.93
209,FGCU (ASUN),246,13.67,265,14.72,0.93
210,Santa Clara (WCC),240,12.00,260,13.00,0.92
211,Vanderbilt (SEC),318,12.72,346,13.84,0.92
212,Northern Ariz. (Big Sky),238,10.82,259,11.77,0.92
213,Hampton (Big South),292,11.68,318,12.72,0.92
214,TCU (Big 12),340,13.08,371,14.27,0.92
215,Samford (SoCon),283,14.89,309,16.26,0.92
216,VCU (Atlantic 10),347,13.35,380,14.62,0.91
217,UC Irvine (Big West),319,11.81,350,12.96,0.91
218,Auburn (SEC),400,14.81,439,16.26,0.91
219,Grambling (SWAC),337,14.04,370,15.42,0.91
220,Northeastern (CAA),234,12.32,257,13.53,0.91
221,Texas (Big 12),357,13.22,393,14.56,0.91
222,Central Conn. St. (NEC),270,12.86,298,14.19,0.91
