Rank,Team,RPG,OPP RPG,REB MAR
242,UT Arlington (Sun Belt),37.4,39.2,-1.7
243,Hartford (America East),33.3,35.1,-1.8
244,Marshall (C-USA),35.4,37.2,-1.9
245,IUPUI (Horizon),33.8,35.7,-1.9
246,Canisius (MAAC),34.6,36.5,-1.9
247,St. John's (NY) (Big East),36,37.9,-1.9
248,South Carolina (SEC),36,37.9,-2
249,San Francisco (WCC),33.2,35.2,-2
250,Southeastern La. (Southland),34.1,36.2,-2
251,Charleston So. (Big South),35.7,37.8,-2.1
252,Monmouth (MAAC),37.5,39.6,-2.1
253,Grambling (SWAC),34.5,36.6,-2.2
254,A&M-Corpus Christi (Southland),34,36.2,-2.2
254,Northwestern (Big Ten),33.7,35.9,-2.2
256,La Salle (Atlantic 10),33.2,35.4,-2.2
257,SIUE (OVC),32.8,35.1,-2.3
258,William & Mary (CAA),33.8,36.1,-2.3
259,Middle Tenn. (C-USA),33.7,36,-2.3
260,South Alabama (Sun Belt),35.6,37.9,-2.4
261,UIC (Horizon),34.8,37.2,-2.4
262,Western Mich. (MAC),34,36.4,-2.4
263,Lamar University (Southland),34.6,37,-2.4
264,Central Mich. (MAC),36.2,38.7,-2.5
265,Syracuse (ACC),35.4,37.9,-2.5
265,American (Patriot),32.6,35.1,-2.5
267,Massachusetts (Atlantic 10),34.5,37,-2.5
268,Albany (NY) (America East),30,32.6,-2.6
269,Utah (Pac-12),31.3,34,-2.7
270,Milwaukee (Horizon),35,37.7,-2.7
271,Northeastern (CAA),32.8,35.5,-2.7
272,Jacksonville (ASUN),33.3,36.1,-2.8
273,Alcorn (SWAC),32,34.9,-2.9
274,Minnesota (Big Ten),36.8,39.9,-3.1
275,Fairleigh Dickinson (NEC),33.9,37,-3.2
276,North Dakota (Summit League),32.5,35.7,-3.2
277,Green Bay (Horizon),32.8,36,-3.2
278,Notre Dame (ACC),33.4,36.7,-3.3
279,Cal St. Fullerton (Big West),32.9,36.2,-3.3
280,UNCW (CAA),32.2,35.6,-3.4
281,Bucknell (Patriot),33.5,36.9,-3.4
282,Omaha (Summit League),34.1,37.7,-3.6
283,Nebraska (Big Ten),36.2,39.8,-3.6
284,Robert Morris (Horizon),34,37.6,-3.6
285,Quinnipiac (MAAC),36,39.7,-3.6
286,Oakland (Horizon),35.1,38.9,-3.8
287,Boston College (ACC),33.3,37.1,-3.8
288,Eastern Ky. (OVC),35.6,39.4,-3.8
289,UIW (Southland),31.3,35.2,-3.9
290,Lafayette (Patriot),35,38.9,-3.9
291,UNC Asheville (Big South),33.5,37.4,-4
292,Seattle U (WAC),33.7,37.7,-4
293,Houston Baptist (Southland),34.2,38.2,-4
294,Georgia Tech (ACC),30.3,34.2,-4
295,Valparaiso (MVC),32.9,36.9,-4
295,Holy Cross (Patriot),32.7,36.7,-4
297,Northwestern St. (Southland),35.6,39.6,-4
298,Denver (Summit League),30.3,34.4,-4.1
299,Maine (America East),31.4,35.6,-4.1
300,Wyoming (Mountain West),32.6,36.8,-4.1
301,North Florida (ASUN),32.7,36.9,-4.2
302,Howard (MEAC),35.4,39.6,-4.2
303,CSUN (Big West),33.2,37.5,-4.3
304,Idaho (Big Sky),29.9,34.2,-4.4
305,Tennessee St. (OVC),33.7,38.2,-4.4
306,Southern Ill. (MVC),29.7,34.2,-4.5
306,Niagara (MAAC),31.6,36.1,-4.5
308,Long Beach St. (Big West),35,39.6,-4.6
309,Ark.-Pine Bluff (SWAC),32.3,36.9,-4.6
310,UT Martin (OVC),32.3,36.9,-4.6
311,USC Upstate (Big South),31.2,35.8,-4.7
312,Campbell (Big South),28.4,33.1,-4.7
313,Eastern Mich. (MAC),33,37.7,-4.7
314,Oral Roberts (Summit League),34.7,39.5,-4.8
315,Richmond (Atlantic 10),30.1,35,-5
316,Cal Poly (Big West),32.4,37.5,-5
317,Evansville (MVC),26.8,32,-5.2
318,Northern Ariz. (Big Sky),28.5,33.9,-5.3
319,Delaware St. (MEAC),35.7,41.1,-5.4
320,N.C. Central (MEAC),31.9,37.3,-5.4
321,N.C. A&T (MEAC),35,40.6,-5.6
321,San Diego (WCC),33.5,39.1,-5.6
323,FIU (C-USA),32.6,38.3,-5.7
324,NJIT (America East),31.4,37.2,-5.8
325,Hampton (Big South),33.8,39.7,-5.9
326,Tulane (AAC),32.7,38.7,-6
327,Iowa St. (Big 12),31.6,38,-6.5
328,ULM (Sun Belt),30.5,37.5,-6.9
329,Central Conn. St. (NEC),31.6,39.1,-7.5
330,South Carolina St. (MEAC),31.3,38.8,-7.6
331,Saint Joseph's (Atlantic 10),33.8,41.5,-7.8
332,Arizona St. (Pac-12),31.8,39.6,-7.8
333,Washington (Pac-12),31.2,39,-7.8
334,Fordham (Atlantic 10),29.7,38.5,-8.8
335,Portland (WCC),28.6,38.8,-10.2
336,Coppin St. (MEAC),36.2,46.7,-10.5
337,San Jose St. (Mountain West),34.4,44.9,-10.5
338,Air Force (Mountain West),23.1,34.6,-11.5
339,Mississippi Val. (SWAC),31.2,45.3,-14.1
340,Chicago St. (WAC),26,42.4,-16.4
