Rank,Team,GM,W-L,AST,TO,Ratio
334,Maine (America East),32,6-26,378,497,0.76
335,Chicago St. (WAC),32,3-29,367,483,0.76
336,Marist (MAAC),31,6-25,369,488,0.76
337,Morehead St. (OVC),29,8-21,344,456,0.75
338,Charlotte (C-USA),29,6-23,319,428,0.75
339,Tennessee St. (OVC),30,15-15,326,442,0.74
340,Siena (MAAC),32,8-24,355,483,0.73
341,Coppin St. (MEAC),32,5-27,338,462,0.73
342,Grambling (SWAC),31,17-14,342,477,0.72
343,Alabama St. (SWAC),31,8-23,313,437,0.72
344,Delaware St. (MEAC),32,4-28,348,491,0.71
345,UIW (Southland),28,7-21,311,444,0.70
346,A&M-Corpus Christi (Southland),29,11-18,323,462,0.70
347,California (Pac-12),32,8-24,313,470,0.67
348,Alabama A&M (SWAC),31,3-28,340,514,0.66
349,Longwood (Big South),33,7-26,327,516,0.63
350,Northern Ariz. (Big Sky),32,5-27,314,497,0.63
351,Northwestern St. (Southland),29,4-25,279,496,0.56
