Rank,Team,GM,W-L,AST,TO,Ratio
43,Purdue Fort Wayne (Summit League),33,20-13,576,450,1.28
44,Iowa (Big Ten),34,19-15,602,472,1.28
45,Syracuse (ACC),34,19-15,532,418,1.27
46,Temple (AAC),32,16-16,464,365,1.27
47,Belmont (OVC),30,23-7,481,380,1.27
48,Youngstown St. (Horizon),34,13-21,513,406,1.26
49,Texas Tech (Big 12),32,18-14,447,354,1.26
50,Loyola Chicago (MVC),32,18-14,474,377,1.26
51,Villanova (Big East),36,32-4,505,402,1.26
52,FGCU (ASUN),34,26-8,527,421,1.25
53,Arizona St. (Pac-12),33,15-18,430,344,1.25
54,Virginia Tech (ACC),33,22-11,497,398,1.25
55,Liberty (Big South),35,21-14,453,363,1.25
56,Air Force (Mountain West),33,12-21,494,396,1.25
57,Oakland (Horizon),34,25-9,577,463,1.25
58,Elon (CAA),32,18-14,466,374,1.25
59,Texas St. (Sun Belt),36,22-14,526,423,1.24
60,UMBC (America East),34,21-13,507,410,1.24
61,Toledo (MAC),34,17-17,551,447,1.23
62,Louisville (ACC),34,25-9,461,374,1.23
63,Florida St. (ACC),35,26-9,511,415,1.23
64,Hofstra (CAA),32,15-17,419,341,1.23
65,Holy Cross (Patriot),32,15-17,431,351,1.23
66,Akron (MAC),36,27-9,517,422,1.23
67,Wisconsin (Big Ten),37,27-10,503,411,1.22
68,Columbia (Ivy League),27,11-16,422,347,1.22
69,Vermont (America East),35,29-6,476,392,1.21
70,Arizona (Pac-12),37,32-5,501,413,1.21
71,Old Dominion (C-USA),31,19-12,422,348,1.21
72,VCU (Atlantic 10),35,26-9,525,435,1.21
72,Yale (Ivy League),29,18-11,455,377,1.21
74,USC Upstate (ASUN),33,17-16,508,421,1.21
75,Michigan St. (Big Ten),35,20-15,591,490,1.21
76,UT Arlington (Sun Belt),36,27-9,568,471,1.21
77,Montana (Big Sky),32,16-16,416,345,1.21
78,Stetson (ASUN),32,11-21,436,362,1.20
79,Stony Brook (America East),32,18-14,391,325,1.20
80,Lipscomb (ASUN),33,20-13,599,500,1.20
81,Eastern Ill. (OVC),29,14-15,443,370,1.20
82,Rhode Island (Atlantic 10),35,25-10,465,389,1.20
83,Pittsburgh (ACC),33,16-17,473,396,1.19
84,Morehead St. (OVC),30,14-16,482,404,1.19
85,Utah St. (Mountain West),31,14-17,466,391,1.19
86,The Citadel (SoCon),33,12-21,561,473,1.19
87,N.C. Central (MEAC),34,25-9,480,406,1.18
88,Samford (SoCon),36,20-16,581,493,1.18
89,Mercer (SoCon),32,15-17,432,367,1.18
90,Kennesaw St. (ASUN),32,14-18,507,431,1.18
91,Oral Roberts (Summit League),30,8-22,423,360,1.18
92,Xavier (Big East),38,24-14,560,478,1.17
93,Arkansas (SEC),36,26-10,501,428,1.17
94,Clemson (ACC),33,17-16,414,354,1.17
95,Washington St. (Pac-12),31,13-18,453,389,1.16
96,Savannah St. (MEAC),29,13-16,501,431,1.16
97,North Dakota (Big Sky),32,22-10,487,419,1.16
98,Furman (SoCon),35,23-12,524,451,1.16
99,Baylor (Big 12),35,27-8,544,469,1.16
100,Georgia Tech (ACC),37,21-16,570,494,1.15
101,Colorado (Pac-12),34,19-15,473,410,1.15
102,Kansas St. (Big 12),35,21-14,522,453,1.15
103,Duke (ACC),37,28-9,484,421,1.15
104,Providence (Big East),33,20-13,471,412,1.14
105,BYU (WCC),34,22-12,534,469,1.14
106,Murray St. (OVC),33,16-17,458,403,1.14
107,Evansville (MVC),33,16-17,442,389,1.14
108,IUPUI (Summit League),32,14-18,455,401,1.13
109,Sacramento St. (Big Sky),31,13-18,408,360,1.13
110,UAB (C-USA),33,17-16,503,444,1.13
111,Wyoming (Mountain West),38,23-15,568,502,1.13
112,Illinois St. (MVC),35,28-7,483,427,1.13
113,Oklahoma St. (Big 12),33,20-13,486,432,1.13
114,LMU (CA) (WCC),30,15-15,444,395,1.12
115,Denver (Summit League),30,16-14,452,404,1.12
116,Weber St. (Big Sky),34,20-14,443,396,1.12
117,Penn (Ivy League),28,13-15,401,359,1.12
118,Fairfield (MAAC),31,16-15,464,416,1.12
119,Houston Baptist (Southland),31,17-14,457,410,1.11
120,Milwaukee (Horizon),35,11-24,467,419,1.11
121,Texas A&M (SEC),31,16-15,489,439,1.11
122,Eastern Mich. (MAC),33,16-17,443,399,1.11
123,Maryland (Big Ten),33,24-9,472,426,1.11
124,UNC Greensboro (SoCon),35,25-10,525,474,1.11
125,Southeast Mo. St. (OVC),33,15-18,454,410,1.11
126,Drexel (CAA),32,9-23,470,425,1.11
127,Saint Peter's (MAAC),36,23-13,440,398,1.11
128,Tennessee (SEC),32,16-16,441,399,1.11
129,Utah (Pac-12),32,20-12,476,431,1.10
130,Bucknell (Patriot),35,26-9,510,466,1.09
131,Seattle U (WAC),30,13-17,476,436,1.09
132,Illinois (Big Ten),35,20-15,472,433,1.09
133,Harvard (Ivy League),28,18-10,403,370,1.09
134,Sam Houston (Southland),34,21-13,507,466,1.09
135,New Mexico St. (WAC),34,28-6,505,465,1.09
136,Bethune-Cookman (MEAC),32,10-22,448,413,1.08
137,UTEP (C-USA),32,15-17,463,427,1.08
138,Massachusetts (Atlantic 10),33,15-18,529,489,1.08
139,La Salle (Atlantic 10),30,15-15,425,393,1.08
140,Pepperdine (WCC),31,9-22,420,389,1.08
141,Montana St. (Big Sky),32,16-16,423,393,1.08
142,Louisiana (Sun Belt),33,21-12,473,440,1.08
143,Bryant (NEC),32,12-20,460,428,1.07
144,UConn (AAC),33,16-17,432,402,1.07
145,Army West Point (Patriot),32,13-19,519,483,1.07
146,Ohio (MAC),31,20-11,416,388,1.07
147,NC State (ACC),32,15-17,458,428,1.07
148,Albany (NY) (America East),35,21-14,444,416,1.07
149,Ball St. (MAC),34,21-13,529,496,1.07
150,Northeastern (CAA),31,15-16,414,390,1.06
151,Fla. Atlantic (C-USA),30,10-20,369,348,1.06
152,San Jose St. (Mountain West),30,14-16,417,394,1.06
153,Georgetown (Big East),32,14-18,480,454,1.06
154,Lamar University (Southland),34,19-15,481,455,1.06
155,Stanford (Pac-12),31,14-17,421,399,1.06
156,St. Bonaventure (Atlantic 10),32,20-12,423,401,1.05
157,Indiana St. (MVC),31,11-20,417,396,1.05
158,Penn St. (Big Ten),33,15-18,452,430,1.05
159,UT Martin (OVC),35,22-13,555,528,1.05
160,Jacksonville (ASUN),33,17-16,445,424,1.05
161,North Dakota St. (Summit League),30,19-11,365,348,1.05
162,Troy (Sun Belt),37,22-15,484,462,1.05
163,Vanderbilt (SEC),35,19-16,450,430,1.05
164,Florida (SEC),36,27-9,451,431,1.05
165,Central Ark. (Southland),32,8-24,465,446,1.04
166,New Mexico (Mountain West),31,17-14,419,403,1.04
167,Northern Ky. (Horizon),35,24-11,486,468,1.04
168,Lehigh (Patriot),32,20-12,467,450,1.04
169,Western Mich. (MAC),32,16-16,414,399,1.04
170,Drake (MVC),31,7-24,403,389,1.04
171,Jacksonville St. (OVC),35,20-15,493,477,1.03
172,Binghamton (America East),32,12-20,410,397,1.03
173,South Dakota (Summit League),34,22-12,415,402,1.03
174,San Francisco (WCC),33,20-13,428,415,1.03
175,George Washington (Atlantic 10),35,20-15,467,453,1.03
176,CSUN (Big West),30,11-19,411,399,1.03
177,St. John's (NY) (Big East),33,14-19,446,433,1.03
178,UMES (MEAC),34,14-20,449,437,1.03
179,Fordham (Atlantic 10),32,13-19,429,418,1.03
180,Ohio St. (Big Ten),32,17-15,434,423,1.03
181,Pacific (WCC),33,11-22,396,386,1.03
182,Tennessee Tech (OVC),32,12-20,445,434,1.03
183,Gardner-Webb (Big South),33,19-14,486,474,1.03
184,Western Ky. (C-USA),32,15-17,397,388,1.02
185,ULM (Sun Belt),33,9-24,443,433,1.02
186,Western Ill. (Summit League),28,8-20,375,369,1.02
187,Utah Valley (WAC),34,17-17,530,522,1.02
188,Eastern Wash. (Big Sky),34,22-12,421,415,1.01
189,Monmouth (MAAC),34,27-7,431,425,1.01
190,South Dakota St. (Summit League),35,18-17,459,453,1.01
191,Boston College (ACC),32,9-23,473,467,1.01
192,Colorado St. (Mountain West),36,24-12,397,392,1.01
193,Texas Southern (SWAC),35,23-12,411,407,1.01
194,Hawaii (Big West),30,14-16,418,414,1.01
195,Missouri (SEC),32,8-24,386,384,1.01
196,UNLV (Mountain West),32,11-21,412,410,1.00
197,Cornell (Ivy League),29,8-21,420,419,1.00
198,Idaho (Big Sky),33,19-14,422,421,1.00
199,A&M-Corpus Christi (Southland),36,24-12,486,485,1.00
200,App State (Sun Belt),30,9-21,414,414,1.00
200,Central Mich. (MAC),32,16-16,362,362,1.00
202,Quinnipiac (MAAC),31,10-21,447,448,1.00
202,Green Bay (Horizon),32,18-14,447,448,1.00
204,Wright St. (Horizon),32,20-12,472,474,1.00
205,Omaha (Summit League),32,18-14,442,444,1.00
206,South Carolina St. (MEAC),31,11-20,381,383,0.99
207,ETSU (SoCon),35,27-8,516,519,0.99
208,Valparaiso (Horizon),33,24-9,422,425,0.99
209,Missouri St. (MVC),33,17-16,403,406,0.99
210,New Hampshire (America East),32,20-12,398,401,0.99
211,San Diego (WCC),31,13-18,376,379,0.99
212,UC Santa Barbara (Big West),28,6-22,338,341,0.99
213,Eastern Ky. (OVC),31,12-19,427,432,0.99
214,Charlotte (C-USA),30,13-17,361,366,0.99
215,Buffalo (MAC),32,17-15,459,466,0.98
216,Delaware St. (MEAC),32,10-22,429,436,0.98
217,Winthrop (Big South),33,26-7,423,430,0.98
218,Col. of Charleston (CAA),35,25-10,357,364,0.98
219,Boston U. (Patriot),32,18-14,449,459,0.98
220,CSU Bakersfield (WAC),35,25-10,507,519,0.98
221,South Alabama (Sun Belt),32,14-18,408,419,0.97
222,South Carolina (SEC),37,26-11,467,480,0.97
223,Delaware (CAA),33,13-20,385,396,0.97
224,Niagara (MAAC),33,10-23,416,428,0.97
225,Auburn (SEC),32,18-14,421,434,0.97
226,Rider (MAAC),33,18-15,466,481,0.97
227,Georgia (SEC),34,19-15,430,444,0.97
228,Cal Poly (Big West),31,11-20,322,333,0.97
229,Siena (MAAC),34,17-17,460,476,0.97
230,Kent St. (MAC),36,22-14,449,465,0.97
231,Northern Colo. (Big Sky),29,11-18,392,407,0.96
232,Washington (Pac-12),31,9-22,408,425,0.96
233,Saint Louis (Atlantic 10),33,12-21,423,441,0.96
234,Arkansas St. (Sun Belt),32,20-12,397,414,0.96
235,High Point (Big South),31,15-16,390,407,0.96
236,UC Irvine (Big West),36,21-15,460,481,0.96
237,Bowling Green (MAC),32,13-19,390,408,0.96
238,California (Pac-12),34,21-13,409,428,0.96
239,UTRGV (WAC),32,10-22,484,507,0.95
240,Nicholls (Southland),31,14-17,430,451,0.95
241,Charleston So. (Big South),31,12-19,341,358,0.95
242,Saint Joseph's (Atlantic 10),31,11-20,352,371,0.95
243,Northern Ariz. (Big Sky),32,9-23,441,465,0.95
244,Tulane (AAC),31,6-25,398,420,0.95
245,Boise St. (Mountain West),32,20-12,387,409,0.95
246,Saint Francis (PA) (NEC),34,17-17,472,499,0.95
247,Indiana (Big Ten),34,18-16,488,517,0.94
248,Southern Ill. (MVC),33,17-16,375,398,0.94
249,Alcorn (SWAC),32,18-14,425,452,0.94
250,Fresno St. (Mountain West),33,20-13,417,444,0.94
251,New Orleans (Southland),32,20-12,501,534,0.94
252,Navy (Patriot),32,16-16,433,464,0.93
253,Miami (FL) (ACC),33,21-12,389,417,0.93
254,Florida A&M (MEAC),30,7-23,379,407,0.93
255,San Diego St. (Mountain West),33,19-14,360,387,0.93
256,Southern Miss. (C-USA),31,9-22,376,405,0.93
257,Brown (Ivy League),30,13-17,400,431,0.93
258,Prairie View (SWAC),33,13-20,404,436,0.93
259,Northwestern St. (Southland),29,13-16,406,439,0.92
260,Rice (C-USA),35,23-12,484,524,0.92
261,Little Rock (Sun Belt),32,15-17,379,412,0.92
262,Coastal Carolina (Sun Belt),39,20-19,467,508,0.92
263,Fairleigh Dickinson (NEC),30,11-19,366,399,0.92
264,Long Beach St. (Big West),34,15-19,447,488,0.92
265,Chattanooga (SoCon),31,19-12,377,413,0.91
266,Campbell (Big South),37,19-18,432,476,0.91
267,Ole Miss (SEC),36,22-14,467,515,0.91
268,NJIT (ASUN),31,11-20,395,436,0.91
269,George Mason (Atlantic 10),34,20-14,398,440,0.90
270,VMI (SoCon),30,6-24,356,395,0.90
271,Seton Hall (Big East),33,21-12,404,449,0.90
272,Maine (America East),32,7-25,377,419,0.90
273,UC Davis (Big West),36,23-13,461,513,0.90
274,Jackson St. (SWAC),32,14-18,350,390,0.90
275,Mississippi St. (SEC),32,16-16,386,433,0.89
276,UIC (Horizon),36,17-19,524,589,0.89
277,Sacred Heart (NEC),32,13-19,459,516,0.89
278,Southeastern La. (Southland),32,16-16,455,512,0.89
279,Kansas City (WAC),35,18-17,451,510,0.88
280,Duquesne (Atlantic 10),32,10-22,401,454,0.88
281,Detroit Mercy (Horizon),31,8-23,398,451,0.88
282,Ga. Southern (Sun Belt),33,18-15,342,388,0.88
283,Colgate (Patriot),32,10-22,414,470,0.88
284,LSU (SEC),31,10-21,397,451,0.88
285,UNI (MVC),30,14-16,298,342,0.87
286,Austin Peay (OVC),30,11-19,324,373,0.87
287,Lafayette (Patriot),30,9-21,378,436,0.87
288,Georgia St. (Sun Belt),33,20-13,399,463,0.86
289,Nebraska (Big Ten),31,12-19,354,411,0.86
290,Marist (MAAC),32,8-24,352,409,0.86
291,Alabama A&M (SWAC),29,2-27,330,384,0.86
292,East Carolina (AAC),33,15-18,394,459,0.86
293,Southern U. (SWAC),33,15-18,388,453,0.86
294,American (Patriot),30,8-22,339,396,0.86
295,UTSA (C-USA),33,14-19,357,418,0.85
296,Mount St. Mary's (NEC),36,20-16,403,472,0.85
297,Texas (Big 12),33,11-22,377,443,0.85
298,Southern Utah (Big Sky),33,6-27,381,452,0.84
299,FIU (C-USA),31,7-24,346,412,0.84
300,Hampton (MEAC),31,14-17,364,435,0.84
301,Radford (Big South),32,14-18,393,470,0.84
302,Rutgers (Big Ten),33,15-18,362,437,0.83
303,North Florida (ASUN),34,15-19,447,541,0.83
304,James Madison (CAA),33,10-23,385,467,0.82
305,North Texas (C-USA),30,8-22,338,410,0.82
306,UC Riverside (Big West),28,7-21,319,387,0.82
307,Central Conn. St. (NEC),29,6-23,340,413,0.82
308,Alabama (SEC),34,19-15,390,474,0.82
309,Chicago St. (WAC),32,6-26,360,440,0.82
310,Grambling (SWAC),33,16-17,368,450,0.82
311,Towson (CAA),33,20-13,348,426,0.82
312,Mississippi Val. (SWAC),32,7-25,374,460,0.81
313,DePaul (Big East),32,9-23,365,451,0.81
314,Cleveland St. (Horizon),31,9-22,327,405,0.81
315,Presbyterian (Big South),30,5-25,364,451,0.81
316,Northern Ill. (MAC),32,15-17,347,430,0.81
317,Cal St. Fullerton (Big West),32,17-15,387,480,0.81
318,Hartford (America East),32,9-23,367,462,0.79
319,Miami (OH) (MAC),32,11-21,364,467,0.78
320,Loyola Maryland (Patriot),33,16-17,385,496,0.78
321,Oregon St. (Pac-12),32,5-27,380,491,0.77
322,Tulsa (AAC),32,15-17,366,473,0.77
323,Wagner (NEC),30,16-14,326,422,0.77
324,Dartmouth (Ivy League),27,7-20,309,401,0.77
325,Morgan St. (MEAC),30,14-16,323,420,0.77
326,Oklahoma (Big 12),31,11-20,329,428,0.77
327,Portland (WCC),33,11-22,325,424,0.77
328,UCF (AAC),36,24-12,400,525,0.76
329,Coppin St. (MEAC),32,8-24,335,440,0.76
330,LIU (NEC),32,20-12,350,460,0.76
331,St. Francis Brooklyn (NEC),31,4-27,287,379,0.76
332,N.C. A&T (MEAC),32,3-29,352,466,0.76
333,Idaho St. (Big Sky),31,5-26,316,419,0.75
334,Tennessee St. (OVC),30,17-13,339,452,0.75
335,McNeese (Southland),29,7-22,302,403,0.75
336,Bradley (MVC),33,13-20,373,499,0.75
337,Norfolk St. (MEAC),34,17-17,375,502,0.75
338,South Fla. (AAC),30,7-23,365,489,0.75
339,Longwood (Big South),30,6-24,325,456,0.71
340,SFA (Southland),33,18-15,409,578,0.71
341,Western Caro. (SoCon),32,9-23,364,516,0.71
342,Robert Morris (NEC),33,14-19,348,497,0.70
343,SIUE (OVC),30,6-24,305,436,0.70
344,Manhattan (MAAC),32,10-22,350,530,0.66
345,Alabama St. (SWAC),31,8-23,300,488,0.61
346,Howard (MEAC),34,10-24,307,500,0.61
347,Ark.-Pine Bluff (SWAC),32,7-25,334,578,0.58
