Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
225,Auburn (SEC),32,18-14,765,273,35.7
226,Houston Baptist (Southland),31,17-14,661,236,35.7
227,UIC (Horizon),36,17-19,686,245,35.7
228,North Florida (ASUN),34,15-19,718,257,35.8
229,Wake Forest (ACC),33,19-14,754,270,35.8
230,Iowa (Big Ten),34,19-15,807,289,35.8
231,Denver (Summit League),30,16-14,659,236,35.8
232,Oregon St. (Pac-12),32,5-27,661,237,35.9
232,Duquesne (Atlantic 10),32,10-22,661,237,35.9
234,Fordham (Atlantic 10),32,13-19,608,218,35.9
235,UNC Greensboro (SoCon),35,25-10,719,258,35.9
236,Charleston So. (Big South),31,12-19,663,238,35.9
237,Tulsa (AAC),32,15-17,707,254,35.9
238,Maine (America East),32,7-25,651,234,35.9
239,Penn (Ivy League),28,13-15,617,222,36
240,Louisiana (Sun Belt),33,21-12,639,230,36
241,Murray St. (OVC),33,16-17,722,260,36
242,Little Rock (Sun Belt),32,15-17,633,228,36
243,Hampton (MEAC),31,14-17,608,219,36
244,Green Bay (Horizon),32,18-14,780,281,36
245,TCU (Big 12),39,24-15,757,273,36.1
246,Iona (MAAC),35,22-13,776,280,36.1
247,DePaul (Big East),32,9-23,701,253,36.1
248,Binghamton (America East),32,12-20,687,248,36.1
249,Columbia (Ivy League),27,11-16,695,251,36.1
250,Chicago St. (WAC),32,6-26,836,302,36.1
251,IUPUI (Summit League),32,14-18,628,227,36.1
252,Western Mich. (MAC),32,16-16,683,247,36.2
253,Florida A&M (MEAC),30,7-23,746,270,36.2
254,Virginia Tech (ACC),33,22-11,728,264,36.3
255,Delaware (CAA),33,13-20,772,280,36.3
256,Alabama A&M (SWAC),29,2-27,590,214,36.3
256,Ole Miss (SEC),36,22-14,885,321,36.3
258,UNI (MVC),30,14-16,634,230,36.3
259,Penn St. (Big Ten),33,15-18,678,246,36.3
260,Boston U. (Patriot),32,18-14,755,274,36.3
261,High Point (Big South),31,15-16,699,254,36.3
262,Air Force (Mountain West),33,12-21,880,320,36.4
263,Northeastern (CAA),31,15-16,646,235,36.4
264,Arizona St. (Pac-12),33,15-18,835,304,36.4
265,Loyola Chicago (MVC),32,18-14,582,212,36.4
266,Akron (MAC),36,27-9,683,249,36.5
267,Oklahoma (Big 12),31,11-20,710,259,36.5
268,UTRGV (WAC),32,10-22,655,239,36.5
269,UCLA (Pac-12),36,31-5,849,310,36.5
270,Fla. Atlantic (C-USA),30,10-20,517,189,36.6
271,Niagara (MAAC),33,10-23,733,268,36.6
272,Charlotte (C-USA),30,13-17,566,207,36.6
273,Saint Francis (PA) (NEC),34,17-17,853,312,36.6
274,San Diego (WCC),31,13-18,615,225,36.6
275,Hofstra (CAA),32,15-17,661,242,36.6
276,Oklahoma St. (Big 12),33,20-13,641,235,36.7
277,South Dakota (Summit League),34,22-12,744,273,36.7
278,Southeast Mo. St. (OVC),33,15-18,719,264,36.7
279,Colorado (Pac-12),34,19-15,754,277,36.7
280,Southern California (Pac-12),36,26-10,819,301,36.8
280,American (Patriot),30,8-22,468,172,36.8
282,Marquette (Big East),32,19-13,639,235,36.8
283,Western Ky. (C-USA),32,15-17,722,266,36.8
284,New Mexico (Mountain West),31,17-14,708,261,36.9
285,Omaha (Summit League),32,18-14,788,291,36.9
286,Drake (MVC),31,7-24,701,259,36.9
287,Portland St. (Big Sky),31,15-16,747,276,36.9
288,Southern Miss. (C-USA),31,9-22,763,282,37
289,NC State (ACC),32,15-17,725,268,37
290,Austin Peay (OVC),30,11-19,714,264,37
291,Eastern Wash. (Big Sky),34,22-12,731,271,37.1
292,Grambling (SWAC),33,16-17,660,245,37.1
293,Brown (Ivy League),30,13-17,616,229,37.2
294,South Dakota St. (Summit League),35,18-17,990,369,37.3
295,Kennesaw St. (ASUN),32,14-18,590,220,37.3
296,Indiana St. (MVC),31,11-20,560,209,37.3
297,Jacksonville St. (OVC),35,20-15,716,268,37.4
298,Montana St. (Big Sky),32,16-16,702,263,37.5
299,Jacksonville (ASUN),33,17-16,750,281,37.5
300,St. John's (NY) (Big East),33,14-19,664,249,37.5
300,Colgate (Patriot),32,10-22,672,252,37.5
302,NJIT (ASUN),31,11-20,677,254,37.5
303,Stony Brook (America East),32,18-14,618,232,37.5
304,Northwestern St. (Southland),29,13-16,606,228,37.6
305,Wisconsin (Big Ten),37,27-10,667,251,37.6
306,App State (Sun Belt),30,9-21,515,194,37.7
307,Santa Clara (WCC),33,17-16,560,211,37.7
308,Marist (MAAC),32,8-24,663,250,37.7
309,Michigan (Big Ten),38,26-12,593,224,37.8
310,Long Beach St. (Big West),34,15-19,696,263,37.8
311,UNLV (Mountain West),32,11-21,677,256,37.8
312,Lafayette (Patriot),30,9-21,771,292,37.9
313,Sacred Heart (NEC),32,13-19,681,258,37.9
314,N.C. A&T (MEAC),32,3-29,768,291,37.9
315,Quinnipiac (MAAC),31,10-21,629,239,38
316,Detroit Mercy (Horizon),31,8-23,663,252,38
317,Central Conn. St. (NEC),29,6-23,613,233,38
318,North Dakota St. (Summit League),30,19-11,660,251,38
319,Mississippi Val. (SWAC),32,7-25,751,286,38.1
320,Davidson (Atlantic 10),32,17-15,632,241,38.1
321,Tulane (AAC),31,6-25,616,235,38.1
321,Sacramento St. (Big Sky),31,13-18,616,235,38.1
323,Stanford (Pac-12),31,14-17,676,258,38.2
324,Kansas St. (Big 12),35,21-14,654,250,38.2
325,LSU (SEC),31,10-21,724,277,38.3
326,Purdue Fort Wayne (Summit League),33,20-13,854,327,38.3
327,Southern Utah (Big Sky),33,6-27,756,290,38.4
328,Morehead St. (OVC),30,14-16,679,261,38.4
329,CSUN (Big West),30,11-19,541,209,38.6
330,The Citadel (SoCon),33,12-21,728,282,38.7
331,Presbyterian (Big South),30,5-25,734,285,38.8
332,Hartford (America East),32,9-23,643,250,38.9
333,Cal Poly (Big West),31,11-20,470,184,39.1
334,Manhattan (MAAC),32,10-22,571,224,39.2
335,Central Ark. (Southland),32,8-24,892,350,39.2
336,La Salle (Atlantic 10),30,15-15,665,262,39.4
337,Southern Ill. (MVC),33,17-16,672,266,39.6
338,Idaho St. (Big Sky),31,5-26,730,289,39.6
339,VMI (SoCon),30,6-24,616,244,39.6
340,South Fla. (AAC),30,7-23,709,281,39.6
341,Longwood (Big South),30,6-24,628,249,39.6
342,Oral Roberts (Summit League),30,8-22,698,277,39.7
343,Nicholls (Southland),31,14-17,649,258,39.8
344,Washington (Pac-12),31,9-22,591,236,39.9
345,Nebraska (Big Ten),31,12-19,601,240,39.9
346,Western Ill. (Summit League),28,8-20,527,214,40.6
347,Pepperdine (WCC),31,9-22,698,292,41.8
