Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,3FGPG,3FGAPG,3FG%,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,ASTPG,TOPG,AST/TO Ratio
2017,Savannah St. (MEAC),False,29,13,16,44.8,40.3,48.7,-8.3,28.724137931034484,70.0,41.0,33.10344827586207,73.20689655172414,45.2,13.517241379310345,40.758620689655174,33.2,10.586206896551724,31.93103448275862,33.2,14.724137931034482,22.724137931034484,64.8,85.7,91.9,-6.2,17.275862068965516,14.862068965517242,1.16
2017,Northwestern St. (Southland),False,29,13,16,44.8,36.2,36.7,-0.5,25.896551724137932,58.55172413793103,44.2,28.137931034482758,59.93103448275862,47.0,7.0,19.103448275862068,36.6,7.862068965517241,20.896551724137932,37.6,17.20689655172414,24.93103448275862,69.0,76.0,79.3,-3.3,14.0,15.137931034482758,0.92
2017,North Florida (ASUN),False,34,15,19,44.1,38.9,36.0,2.8,27.235294117647058,59.588235294117645,45.7,28.235294117647058,63.029411764705884,44.8,8.676470588235293,24.735294117647058,35.1,7.5588235294117645,21.11764705882353,35.8,14.411764705882353,22.0,65.5,77.6,78.6,-1.1,13.147058823529411,15.911764705882353,0.83
2017,Long Beach St. (Big West),False,34,15,19,44.1,35.7,36.3,-0.6,26.323529411764707,59.85294117647059,44.0,27.61764705882353,59.6764705882353,46.3,6.352941176470588,18.11764705882353,35.1,7.735294117647059,20.470588235294116,37.8,15.970588235294118,22.058823529411764,72.4,75.0,78.4,-3.4,13.147058823529411,14.352941176470589,0.92
2017,IUPUI (Summit League),False,32,14,18,43.8,34.5,35.3,-0.8,27.59375,61.15625,45.1,26.875,56.96875,47.2,9.0,23.21875,38.8,7.09375,19.625,36.1,13.9375,20.40625,68.3,78.1,78.7,-0.5,14.21875,12.53125,1.13
2017,Radford (Big South),False,32,14,18,43.8,38.1,33.4,4.7,23.28125,56.34375,41.3,25.8125,57.84375,44.6,7.71875,22.375,34.5,6.6875,18.75,35.7,11.03125,16.5625,66.6,65.3,70.2,-4.9,12.28125,14.6875,0.84
2017,Georgetown (Big East),False,32,14,18,43.8,35.7,34.8,0.9,25.25,54.78125,46.1,24.9375,59.15625,42.2,6.4375,18.4375,34.9,6.21875,19.1875,32.4,17.09375,23.34375,73.2,74.0,72.2,1.9,15.0,14.1875,1.06
2017,Jackson St. (SWAC),False,32,14,18,43.8,36.4,34.2,2.2,22.375,58.125,38.5,21.75,50.0625,43.4,6.8125,22.8125,29.9,5.875,17.65625,33.3,13.03125,19.34375,67.4,64.6,66.9,-2.3,10.9375,12.1875,0.9
2017,Kennesaw St. (ASUN),False,32,14,18,43.8,35.8,34.4,1.5,27.875,60.375,46.2,27.65625,58.65625,47.1,6.4375,15.46875,41.6,6.875,18.4375,37.3,12.84375,18.59375,69.1,75.0,76.8,-1.7,15.84375,13.46875,1.18
2017,South Alabama (Sun Belt),False,32,14,18,43.8,34.6,38.0,-3.3,24.78125,58.09375,42.7,24.78125,56.03125,44.2,6.96875,21.9375,31.8,7.40625,21.28125,34.8,14.84375,22.65625,65.5,71.4,72.6,-1.2,12.75,13.09375,0.97
2017,Charlotte (C-USA),False,30,13,17,43.3,32.6,40.1,-7.5,26.666666666666668,60.1,44.4,29.0,62.0,46.8,7.9,21.0,37.6,6.9,18.866666666666667,36.6,15.266666666666667,20.466666666666665,74.6,76.5,80.2,-3.7,12.033333333333333,12.2,0.99
2017,Brown (Ivy League),False,30,13,17,43.3,31.1,33.9,-2.8,24.5,55.36666666666667,44.3,27.733333333333334,55.63333333333333,49.9,8.133333333333333,22.166666666666668,36.7,7.633333333333334,20.533333333333335,37.2,18.7,24.633333333333333,75.9,75.8,77.9,-2.1,13.333333333333334,14.366666666666667,0.93
2017,Seattle U (WAC),False,30,13,17,43.3,33.7,37.9,-4.2,23.766666666666666,54.86666666666667,43.3,24.233333333333334,60.1,40.3,8.666666666666666,25.233333333333334,34.3,8.3,26.333333333333332,31.5,13.5,19.1,70.7,69.7,71.4,-1.7,15.866666666666667,14.533333333333333,1.09
2017,UTSA (C-USA),False,33,14,19,42.4,39.2,35.2,4.0,23.303030303030305,59.36363636363637,39.3,24.12121212121212,55.515151515151516,43.4,5.212121212121212,18.424242424242426,28.3,7.181818181818182,20.515151515151516,35.0,14.181818181818182,21.303030303030305,66.6,66.0,69.4,-3.4,10.818181818181818,12.666666666666666,0.85
2017,Robert Morris (NEC),False,33,14,19,42.4,34.5,37.2,-2.7,22.060606060606062,55.09090909090909,40.0,23.545454545454547,53.72727272727273,43.8,5.545454545454546,17.393939393939394,31.9,4.909090909090909,16.454545454545453,29.8,14.727272727272727,22.757575757575758,64.7,64.4,67.8,-3.4,10.545454545454545,15.06060606060606,0.7
2017,St. John's (NY) (Big East),False,33,14,19,42.4,34.4,38.9,-4.5,26.242424242424242,60.60606060606061,43.3,27.393939393939394,59.45454545454545,46.1,8.424242424242424,23.12121212121212,36.4,7.545454545454546,20.12121212121212,37.5,15.878787878787879,21.939393939393938,72.4,76.8,78.7,-1.9,13.515151515151516,13.121212121212121,1.03
2017,San Diego (WCC),False,31,13,18,41.9,33.2,34.2,-1.0,21.483870967741936,52.774193548387096,40.7,25.322580645161292,55.16129032258065,45.9,8.32258064516129,23.903225806451612,34.8,7.258064516129032,19.838709677419356,36.6,14.03225806451613,19.451612903225808,72.1,65.3,71.3,-6.0,12.129032258064516,12.225806451612904,0.99
2017,Washington St. (Pac-12),True,31,13,18,41.9,32.0,36.2,-4.3,25.838709677419356,56.096774193548384,46.1,28.419354838709676,61.806451612903224,46.0,6.741935483870968,18.516129032258064,36.4,8.0,22.774193548387096,35.1,11.870967741935484,15.709677419354838,75.6,70.3,76.6,-6.4,14.612903225806452,12.548387096774194,1.16
2017,Sacramento St. (Big Sky),False,31,13,18,41.9,35.5,35.0,0.5,26.06451612903226,56.74193548387097,45.9,26.677419354838708,58.96774193548387,45.2,5.161290322580645,16.322580645161292,31.6,7.580645161290323,19.870967741935484,38.1,13.806451612903226,21.193548387096776,65.1,71.1,74.3,-3.2,13.161290322580646,11.612903225806452,1.13
2017,UMES (MEAC),False,34,14,20,41.2,33.6,38.9,-5.2,25.11764705882353,59.205882352941174,42.4,25.88235294117647,57.0,45.4,7.705882352941177,22.5,34.2,7.735294117647059,21.91176470588235,35.3,13.411764705882353,19.647058823529413,68.3,71.4,76.0,-4.7,13.205882352941176,12.852941176470589,1.03
2017,Columbia (Ivy League),False,27,11,16,40.7,35.0,37.0,-2.0,25.925925925925927,59.407407407407405,43.6,24.925925925925927,57.48148148148148,43.4,7.814814814814815,21.74074074074074,35.9,9.296296296296296,25.74074074074074,36.1,12.185185185185185,17.22222222222222,70.8,71.9,72.7,-0.9,15.62962962962963,12.851851851851851,1.22
2017,Bowling Green (MAC),False,32,13,19,40.6,36.0,37.8,-1.8,26.0,61.15625,42.5,27.46875,59.15625,46.4,6.875,20.125,34.2,7.21875,21.09375,34.2,14.71875,22.0625,66.7,73.6,76.7,-3.1,12.1875,12.75,0.96
2017,Army West Point (Patriot),False,32,13,19,40.6,37.9,35.2,2.7,26.3125,59.625,44.1,26.21875,59.59375,44.0,9.09375,25.78125,35.3,6.875,20.8125,33.0,10.90625,16.65625,65.5,72.6,73.1,-0.5,16.21875,15.09375,1.07
2017,Sacred Heart (NEC),False,32,13,19,40.6,37.3,34.9,2.4,26.0,58.8125,44.2,27.21875,59.21875,46.0,6.25,18.65625,33.5,8.0625,21.28125,37.9,14.4375,20.59375,70.1,72.7,76.1,-3.4,14.34375,16.125,0.89
2017,Fordham (Atlantic 10),False,32,13,19,40.6,28.5,35.8,-7.3,23.15625,55.71875,41.6,22.875,49.53125,46.2,8.25,24.71875,33.4,6.8125,19.0,35.9,10.75,14.8125,72.6,65.3,67.7,-2.4,13.40625,13.0625,1.03
2017,Prairie View (SWAC),False,33,13,20,39.4,30.8,38.0,-7.2,23.87878787878788,55.72727272727273,42.8,24.424242424242426,53.21212121212121,45.9,7.181818181818182,20.545454545454547,35.0,6.484848484848484,18.484848484848484,35.1,14.030303030303031,19.96969696969697,70.3,69.0,73.3,-4.4,12.242424242424242,13.212121212121213,0.93
2017,Bradley (MVC),False,33,13,20,39.4,35.2,36.3,-1.1,22.151515151515152,52.333333333333336,42.3,23.484848484848484,56.39393939393939,41.6,6.575757575757576,18.454545454545453,35.6,7.515151515151516,21.96969696969697,34.2,14.666666666666666,21.818181818181817,67.2,65.5,70.7,-5.2,11.303030303030303,15.121212121212121,0.75
2017,Delaware (CAA),False,33,13,20,39.4,35.2,35.0,0.2,23.484848484848484,55.78787878787879,42.1,24.636363636363637,55.24242424242424,44.6,5.9393939393939394,19.515151515151516,30.4,8.484848484848484,23.393939393939394,36.3,12.454545454545455,18.151515151515152,68.6,65.4,72.2,-6.8,11.666666666666666,12.0,0.97
2017,Charleston So. (Big South),False,31,12,19,38.7,35.2,35.1,0.1,26.580645161290324,60.25806451612903,44.1,25.64516129032258,55.645161290322584,46.1,7.354838709677419,21.580645161290324,34.1,7.67741935483871,21.387096774193548,35.9,13.806451612903226,20.741935483870968,66.6,74.3,75.6,-1.3,11.0,11.548387096774194,0.95
