Rank,Team,W,L,Pct
133,Omaha (Summit League),18,14,56.3
133,Stony Brook (America East),18,14,56.3
142,Georgia (SEC),19,15,55.9
142,Syracuse (ACC),19,15,55.9
142,Alabama (SEC),19,15,55.9
142,Colorado (Pac-12),19,15,55.9
142,Lamar University (Southland),19,15,55.9
142,Iowa (Big Ten),19,15,55.9
148,Samford (SoCon),20,16,55.6
148,Mount St. Mary's (NEC),20,16,55.6
150,Houston Baptist (Southland),17,14,54.8
150,William & Mary (CAA),17,14,54.8
150,New Mexico (Mountain West),17,14,54.8
153,Rider (MAAC),18,15,54.5
153,Ga. Southern (Sun Belt),18,15,54.5
153,SFA (Southland),18,15,54.5
156,Vanderbilt (SEC),19,16,54.3
157,Wagner (NEC),16,14,53.3
157,Denver (Summit League),16,14,53.3
159,Cal St. Fullerton (Big West),17,15,53.1
159,Buffalo (MAC),17,15,53.1
159,Davidson (Atlantic 10),17,15,53.1
159,Ohio St. (Big Ten),17,15,53.1
163,Canisius (MAAC),18,16,52.9
163,Indiana (Big Ten),18,16,52.9
165,Texas A&M (SEC),16,15,51.6
165,Fairfield (MAAC),16,15,51.6
167,Southern Ill. (MVC),17,16,51.5
167,UAB (C-USA),17,16,51.5
167,Missouri St. (MVC),17,16,51.5
167,USC Upstate (ASUN),17,16,51.5
167,Clemson (ACC),17,16,51.5
167,Santa Clara (WCC),17,16,51.5
167,Jacksonville (ASUN),17,16,51.5
174,Kansas City (WAC),18,17,51.4
174,South Dakota St. (Summit League),18,17,51.4
176,Campbell (Big South),19,18,51.4
177,Coastal Carolina (Sun Belt),20,19,51.3
178,Saint Francis (PA) (NEC),17,17,50
178,Toledo (MAC),17,17,50
178,Norfolk St. (MEAC),17,17,50
178,Siena (MAAC),17,17,50
178,Utah Valley (WAC),17,17,50
178,Montana (Big Sky),16,16,50
178,Montana St. (Big Sky),16,16,50
178,Mississippi St. (SEC),16,16,50
178,Temple (AAC),16,16,50
178,Tennessee (SEC),16,16,50
178,Navy (Patriot),16,16,50
178,Central Mich. (MAC),16,16,50
178,Western Mich. (MAC),16,16,50
178,Southeastern La. (Southland),16,16,50
178,La Salle (Atlantic 10),15,15,50
178,LMU (CA) (WCC),15,15,50
194,Pittsburgh (ACC),16,17,48.5
194,Evansville (MVC),16,17,48.5
194,UConn (AAC),16,17,48.5
194,Loyola Maryland (Patriot),16,17,48.5
194,Murray St. (OVC),16,17,48.5
194,Wofford (SoCon),16,17,48.5
194,Eastern Mich. (MAC),16,17,48.5
194,Grambling (SWAC),16,17,48.5
202,Portland St. (Big Sky),15,16,48.4
202,Northeastern (CAA),15,16,48.4
202,High Point (Big South),15,16,48.4
205,Eastern Ill. (OVC),14,15,48.3
206,UIC (Horizon),17,19,47.2
207,Holy Cross (Patriot),15,17,46.9
207,Mercer (SoCon),15,17,46.9
207,Little Rock (Sun Belt),15,17,46.9
207,Northern Ill. (MAC),15,17,46.9
207,Hofstra (CAA),15,17,46.9
207,Western Ky. (C-USA),15,17,46.9
207,Tulsa (AAC),15,17,46.9
207,NC State (ACC),15,17,46.9
207,UTEP (C-USA),15,17,46.9
216,Morehead St. (OVC),14,16,46.7
216,San Jose St. (Mountain West),14,16,46.7
216,Morgan St. (MEAC),14,16,46.7
216,Hawaii (Big West),14,16,46.7
216,UNI (MVC),14,16,46.7
221,Penn (Ivy League),13,15,46.4
222,Rutgers (Big Ten),15,18,45.5
222,Penn St. (Big Ten),15,18,45.5
222,Southeast Mo. St. (OVC),15,18,45.5
222,Arizona St. (Pac-12),15,18,45.5
222,Southern U. (SWAC),15,18,45.5
222,East Carolina (AAC),15,18,45.5
222,Massachusetts (Atlantic 10),15,18,45.5
229,Nicholls (Southland),14,17,45.2
229,Hampton (MEAC),14,17,45.2
229,Utah St. (Mountain West),14,17,45.2
229,Stanford (Pac-12),14,17,45.2
233,Savannah St. (MEAC),13,16,44.8
233,Northwestern St. (Southland),13,16,44.8
235,North Florida (ASUN),15,19,44.1
235,Long Beach St. (Big West),15,19,44.1
237,IUPUI (Summit League),14,18,43.8
237,Radford (Big South),14,18,43.8
237,Georgetown (Big East),14,18,43.8
237,Jackson St. (SWAC),14,18,43.8
237,Kennesaw St. (ASUN),14,18,43.8
237,South Alabama (Sun Belt),14,18,43.8
243,Charlotte (C-USA),13,17,43.3
243,Brown (Ivy League),13,17,43.3
243,Seattle U (WAC),13,17,43.3
246,UTSA (C-USA),14,19,42.4
246,Robert Morris (NEC),14,19,42.4
246,St. John's (NY) (Big East),14,19,42.4
249,San Diego (WCC),13,18,41.9
249,Washington St. (Pac-12),13,18,41.9
249,Sacramento St. (Big Sky),13,18,41.9
252,UMES (MEAC),14,20,41.2
253,Columbia (Ivy League),11,16,40.7
254,Bowling Green (MAC),13,19,40.6
254,Army West Point (Patriot),13,19,40.6
254,Sacred Heart (NEC),13,19,40.6
254,Fordham (Atlantic 10),13,19,40.6
258,Prairie View (SWAC),13,20,39.4
258,Bradley (MVC),13,20,39.4
258,Delaware (CAA),13,20,39.4
261,Charleston So. (Big South),12,19,38.7
261,Eastern Ky. (OVC),12,19,38.7
261,Nebraska (Big Ten),12,19,38.7
264,Youngstown St. (Horizon),13,21,38.2
265,Northern Colo. (Big Sky),11,18,37.9
266,Binghamton (America East),12,20,37.5
266,Bryant (NEC),12,20,37.5
266,Tennessee Tech (OVC),12,20,37.5
269,Fairleigh Dickinson (NEC),11,19,36.7
269,CSUN (Big West),11,19,36.7
269,Austin Peay (OVC),11,19,36.7
272,The Citadel (SoCon),12,21,36.4
272,Air Force (Mountain West),12,21,36.4
272,Saint Louis (Atlantic 10),12,21,36.4
275,Cal Poly (Big West),11,20,35.5
275,Oklahoma (Big 12),11,20,35.5
275,Indiana St. (MVC),11,20,35.5
275,Saint Joseph's (Atlantic 10),11,20,35.5
275,NJIT (ASUN),11,20,35.5
275,South Carolina St. (MEAC),11,20,35.5
281,Stetson (ASUN),11,21,34.4
281,Miami (OH) (MAC),11,21,34.4
281,UNLV (Mountain West),11,21,34.4
284,Texas (Big 12),11,22,33.3
284,Pacific (WCC),11,22,33.3
284,Portland (WCC),11,22,33.3
284,Fla. Atlantic (C-USA),10,20,33.3
288,LSU (SEC),10,21,32.3
288,Quinnipiac (MAAC),10,21,32.3
290,Milwaukee (Horizon),11,24,31.4
291,Delaware St. (MEAC),10,22,31.3
291,Bethune-Cookman (MEAC),10,22,31.3
291,Duquesne (Atlantic 10),10,22,31.3
291,Colgate (Patriot),10,22,31.3
291,UTRGV (WAC),10,22,31.3
291,Manhattan (MAAC),10,22,31.3
297,Niagara (MAAC),10,23,30.3
297,James Madison (CAA),10,23,30.3
299,App State (Sun Belt),9,21,30
299,Lafayette (Patriot),9,21,30
301,Howard (MEAC),10,24,29.4
302,Pepperdine (WCC),9,22,29
302,Cleveland St. (Horizon),9,22,29
302,Washington (Pac-12),9,22,29
302,Southern Miss. (C-USA),9,22,29
306,Western Ill. (Summit League),8,20,28.6
307,Northern Ariz. (Big Sky),9,23,28.1
307,DePaul (Big East),9,23,28.1
307,Hartford (America East),9,23,28.1
307,Drexel (CAA),9,23,28.1
307,Boston College (ACC),9,23,28.1
307,Western Caro. (SoCon),9,23,28.1
313,Cornell (Ivy League),8,21,27.6
314,ULM (Sun Belt),9,24,27.3
315,Oral Roberts (Summit League),8,22,26.7
315,American (Patriot),8,22,26.7
315,North Texas (C-USA),8,22,26.7
318,Dartmouth (Ivy League),7,20,25.9
319,Detroit Mercy (Horizon),8,23,25.8
319,Alabama St. (SWAC),8,23,25.8
321,Coppin St. (MEAC),8,24,25
321,Missouri (SEC),8,24,25
321,Central Ark. (Southland),8,24,25
321,Marist (MAAC),8,24,25
321,UC Riverside (Big West),7,21,25
326,McNeese (Southland),7,22,24.1
327,Florida A&M (MEAC),7,23,23.3
327,South Fla. (AAC),7,23,23.3
329,Drake (MVC),7,24,22.6
329,FIU (C-USA),7,24,22.6
331,Ark.-Pine Bluff (SWAC),7,25,21.9
331,Mississippi Val. (SWAC),7,25,21.9
331,Maine (America East),7,25,21.9
334,UC Santa Barbara (Big West),6,22,21.4
335,Central Conn. St. (NEC),6,23,20.7
336,Longwood (Big South),6,24,20
336,VMI (SoCon),6,24,20
336,SIUE (OVC),6,24,20
339,Tulane (AAC),6,25,19.4
340,Chicago St. (WAC),6,26,18.8
341,Southern Utah (Big Sky),6,27,18.2
342,Presbyterian (Big South),5,25,16.7
343,Idaho St. (Big Sky),5,26,16.1
344,Oregon St. (Pac-12),5,27,15.6
345,St. Francis Brooklyn (NEC),4,27,12.9
346,N.C. A&T (MEAC),3,29,9.4
347,Alabama A&M (SWAC),2,27,6.9
