Rank,Team,GM,W-L,FGM,FGA,FG%
66,Akron (MAC),36,27-9,949,"2,036",46.6
67,TCU (Big 12),39,24-15,"1,064","2,284",46.6
68,Jacksonville (ASUN),33,17-16,878,"1,885",46.6
69,North Carolina (ACC),40,33-7,"1,226","2,633",46.6
70,Dayton (Atlantic 10),32,24-8,820,"1,763",46.5
71,UNC Greensboro (SoCon),35,25-10,947,"2,043",46.4
72,Ohio St. (Big Ten),32,17-15,827,"1,786",46.3
73,UAB (C-USA),33,17-16,835,"1,808",46.2
74,Kennesaw St. (ASUN),32,14-18,892,"1,932",46.2
75,Rice (C-USA),35,23-12,946,"2,049",46.2
76,Kansas St. (Big 12),35,21-14,869,"1,883",46.1
77,CSUN (Big West),30,11-19,806,"1,747",46.1
78,Ball St. (MAC),34,21-13,929,"2,014",46.1
79,Utah St. (Mountain West),31,14-17,790,"1,713",46.1
80,VCU (Atlantic 10),35,26-9,945,"2,050",46.1
81,Arkansas St. (Sun Belt),32,20-12,826,"1,792",46.1
82,Georgetown (Big East),32,14-18,808,"1,753",46.1
83,UT Arlington (Sun Belt),36,27-9,999,"2,168",46.1
84,Morehead St. (OVC),30,14-16,878,"1,906",46.1
85,Washington St. (Pac-12),31,13-18,801,"1,739",46.1
86,Arkansas (SEC),36,26-10,997,"2,166",46
87,Virginia (ACC),34,23-11,839,"1,823",46
88,New Mexico (Mountain West),31,17-14,778,"1,693",46
89,Sacramento St. (Big Sky),31,13-18,808,"1,759",45.9
90,Syracuse (ACC),34,19-15,894,"1,949",45.9
91,Lamar University (Southland),34,19-15,907,"1,978",45.9
92,Jacksonville St. (OVC),35,20-15,857,"1,869",45.9
93,Texas A&M (SEC),31,16-15,804,"1,754",45.8
94,Notre Dame (ACC),36,26-10,980,"2,139",45.8
95,USC Upstate (ASUN),33,17-16,936,"2,044",45.8
96,North Dakota St. (Summit League),30,19-11,775,"1,693",45.8
97,Cincinnati (AAC),36,30-6,969,"2,117",45.8
98,North Florida (ASUN),34,15-19,926,"2,026",45.7
99,La Salle (Atlantic 10),30,15-15,761,"1,666",45.7
100,Xavier (Big East),38,24-14,981,"2,148",45.7
101,Canisius (MAAC),34,18-16,943,"2,066",45.6
102,Marshall (C-USA),35,20-15,"1,021","2,237",45.6
103,Louisville (ACC),34,25-9,952,"2,086",45.6
104,Campbell (Big South),37,19-18,909,"1,992",45.6
105,Northeastern (CAA),31,15-16,767,"1,682",45.6
106,Troy (Sun Belt),37,22-15,982,"2,154",45.6
107,Southern California (Pac-12),36,26-10,975,"2,139",45.6
108,BYU (WCC),34,22-12,937,"2,056",45.6
109,Northern Ky. (Horizon),35,24-11,928,"2,037",45.6
110,Winthrop (Big South),33,26-7,891,"1,957",45.5
111,Fresno St. (Mountain West),33,20-13,852,"1,873",45.5
112,South Dakota St. (Summit League),35,18-17,881,"1,938",45.5
113,Wisconsin (Big Ten),37,27-10,971,"2,136",45.5
114,Oakland (Horizon),34,25-9,935,"2,057",45.5
115,Ohio (MAC),31,20-11,835,"1,838",45.4
116,Iona (MAAC),35,22-13,979,"2,155",45.4
117,Iowa (Big Ten),34,19-15,964,"2,122",45.4
118,FIU (C-USA),31,7-24,805,"1,773",45.4
119,Evansville (MVC),33,16-17,800,"1,762",45.4
120,West Virginia (Big 12),37,28-9,"1,059","2,333",45.4
121,Rhode Island (Atlantic 10),35,25-10,916,"2,018",45.4
122,N.C. Central (MEAC),34,25-9,910,"2,005",45.4
123,Omaha (Summit League),32,18-14,895,"1,972",45.4
124,Houston Baptist (Southland),31,17-14,871,"1,924",45.3
125,Cornell (Ivy League),29,8-21,746,"1,648",45.3
126,Siena (MAAC),34,17-17,899,"1,989",45.2
127,Miami (FL) (ACC),33,21-12,813,"1,800",45.2
128,IUPUI (Summit League),32,14-18,883,"1,957",45.1
129,Buffalo (MAC),32,17-15,877,"1,945",45.1
130,LSU (SEC),31,10-21,853,"1,893",45.1
131,Western Mich. (MAC),32,16-16,863,"1,916",45
132,Boise St. (Mountain West),32,20-12,811,"1,802",45
133,Princeton (Ivy League),30,23-7,772,"1,716",45
134,Florida (SEC),36,27-9,953,"2,119",45
135,Southeastern La. (Southland),32,16-16,796,"1,770",45
136,Maryland (Big Ten),33,24-9,827,"1,840",44.9
137,Southeast Mo. St. (OVC),33,15-18,852,"1,896",44.9
138,Clemson (ACC),33,17-16,871,"1,939",44.9
139,Wright St. (Horizon),32,20-12,817,"1,819",44.9
140,San Francisco (WCC),33,20-13,868,"1,934",44.9
141,American (Patriot),30,8-22,692,"1,542",44.9
142,Eastern Mich. (MAC),33,16-17,918,"2,046",44.9
143,Montana (Big Sky),32,16-16,843,"1,879",44.9
144,Boston College (ACC),32,9-23,843,"1,880",44.8
145,Washington (Pac-12),31,9-22,874,"1,950",44.8
146,Nevada (Mountain West),35,28-7,933,"2,082",44.8
147,George Mason (Atlantic 10),34,20-14,879,"1,962",44.8
148,Providence (Big East),33,20-13,804,"1,795",44.8
149,Seton Hall (Big East),33,21-12,872,"1,947",44.8
150,Texas St. (Sun Belt),36,22-14,865,"1,932",44.8
151,Towson (CAA),33,20-13,850,"1,900",44.7
152,Harvard (Ivy League),28,18-10,699,"1,564",44.7
153,Houston (AAC),32,21-11,850,"1,902",44.7
154,SFA (Southland),33,18-15,783,"1,753",44.7
155,Rider (MAAC),33,18-15,907,"2,034",44.6
156,Pepperdine (WCC),31,9-22,807,"1,810",44.6
157,Colorado (Pac-12),34,19-15,888,"1,993",44.6
158,Oral Roberts (Summit League),30,8-22,810,"1,820",44.5
159,Elon (CAA),32,18-14,850,"1,911",44.5
160,Illinois (Big Ten),35,20-15,898,"2,019",44.5
161,Longwood (Big South),30,6-24,738,"1,660",44.5
162,Detroit Mercy (Horizon),31,8-23,830,"1,867",44.5
163,UIC (Horizon),36,17-19,939,"2,113",44.4
164,James Madison (CAA),33,10-23,770,"1,733",44.4
165,Mississippi St. (SEC),32,16-16,821,"1,849",44.4
166,LMU (CA) (WCC),30,15-15,779,"1,755",44.4
167,Cal St. Fullerton (Big West),32,17-15,821,"1,850",44.4
168,Valparaiso (Horizon),33,24-9,848,"1,911",44.4
169,UC Irvine (Big West),36,21-15,915,"2,062",44.4
170,South Dakota (Summit League),34,22-12,907,"2,044",44.4
171,Charlotte (C-USA),30,13-17,800,"1,803",44.4
172,Mercer (SoCon),32,15-17,787,"1,774",44.4
173,Mount St. Mary's (NEC),36,20-16,877,"1,977",44.4
174,Hofstra (CAA),32,15-17,846,"1,908",44.3
175,Penn (Ivy League),28,13-15,710,"1,602",44.3
176,Little Rock (Sun Belt),32,15-17,775,"1,749",44.3
177,Boston U. (Patriot),32,18-14,817,"1,844",44.3
178,Green Bay (Horizon),32,18-14,913,"2,061",44.3
179,Tennessee St. (OVC),30,17-13,744,"1,680",44.3
180,Missouri St. (MVC),33,17-16,838,"1,893",44.3
181,St. Bonaventure (Atlantic 10),32,20-12,825,"1,864",44.3
182,Brown (Ivy League),30,13-17,735,"1,661",44.3
183,Memphis (AAC),32,19-13,852,"1,926",44.2
184,Northwestern St. (Southland),29,13-16,751,"1,698",44.2
185,Sacred Heart (NEC),32,13-19,832,"1,882",44.2
186,Pittsburgh (ACC),33,16-17,807,"1,826",44.2
187,Fairfield (MAAC),31,16-15,822,"1,860",44.2
188,Stetson (ASUN),32,11-21,886,"2,007",44.1
189,Army West Point (Patriot),32,13-19,842,"1,908",44.1
190,Charleston So. (Big South),31,12-19,824,"1,868",44.1
191,Milwaukee (Horizon),35,11-24,860,"1,950",44.1
192,San Jose St. (Mountain West),30,14-16,772,"1,751",44.1
193,Murray St. (OVC),33,16-17,899,"2,040",44.1
194,Stanford (Pac-12),31,14-17,772,"1,753",44
195,Ga. Southern (Sun Belt),33,18-15,841,"1,910",44
196,Fairleigh Dickinson (NEC),30,11-19,754,"1,713",44
197,Colgate (Patriot),32,10-22,745,"1,693",44
198,Western Ky. (C-USA),32,15-17,777,"1,766",44
199,Youngstown St. (Horizon),34,13-21,981,"2,230",44
200,Long Beach St. (Big West),34,15-19,895,"2,035",44
201,Northern Colo. (Big Sky),29,11-18,732,"1,665",44
202,CSU Bakersfield (WAC),35,25-10,895,"2,037",43.9
203,Georgia (SEC),34,19-15,836,"1,903",43.9
204,Kansas City (WAC),35,18-17,911,"2,076",43.9
205,Illinois St. (MVC),35,28-7,865,"1,972",43.9
206,Texas (Big 12),33,11-22,810,"1,847",43.9
207,New Hampshire (America East),32,20-12,783,"1,787",43.8
208,Northern Ill. (MAC),32,15-17,828,"1,891",43.8
209,Georgia Tech (ACC),37,21-16,910,"2,079",43.8
210,Bryant (NEC),32,12-20,839,"1,918",43.7
211,Sam Houston (Southland),34,21-13,898,"2,053",43.7
212,Davidson (Atlantic 10),32,17-15,814,"1,861",43.7
213,Auburn (SEC),32,18-14,861,"1,969",43.7
214,Central Ark. (Southland),32,8-24,836,"1,912",43.7
215,Binghamton (America East),32,12-20,768,"1,757",43.7
216,Utah Valley (WAC),34,17-17,886,"2,027",43.7
217,Massachusetts (Atlantic 10),33,15-18,847,"1,939",43.7
218,Monmouth (MAAC),34,27-7,929,"2,127",43.7
219,Northwestern (Big Ten),36,24-12,913,"2,092",43.6
220,Columbia (Ivy League),27,11-16,700,"1,604",43.6
221,Southern U. (SWAC),33,15-18,825,"1,891",43.6
221,Saint Peter's (MAAC),36,23-13,825,"1,891",43.6
223,Santa Clara (WCC),33,17-16,778,"1,784",43.6
224,Liberty (Big South),35,21-14,779,"1,787",43.6
225,Air Force (Mountain West),33,12-21,817,"1,876",43.6
226,Montana St. (Big Sky),32,16-16,857,"1,968",43.5
227,Western Ill. (Summit League),28,8-20,711,"1,633",43.5
228,Drexel (CAA),32,9-23,865,"1,987",43.5
229,Minnesota (Big Ten),34,24-10,887,"2,038",43.5
230,LIU (NEC),32,20-12,803,"1,846",43.5
231,UC Davis (Big West),36,23-13,873,"2,008",43.5
232,UCF (AAC),36,24-12,825,"1,898",43.5
233,Wyoming (Mountain West),38,23-15,986,"2,269",43.5
234,Idaho St. (Big Sky),31,5-26,742,"1,708",43.4
235,Arizona St. (Pac-12),33,15-18,888,"2,047",43.4
236,Miami (OH) (MAC),32,11-21,787,"1,815",43.4
237,Seattle U (WAC),30,13-17,713,"1,646",43.3
238,Idaho (Big Sky),33,19-14,809,"1,868",43.3
239,Southern Ill. (MVC),33,17-16,808,"1,866",43.3
240,St. John's (NY) (Big East),33,14-19,866,"2,000",43.3
241,Grambling (SWAC),33,16-17,841,"1,943",43.3
242,High Point (Big South),31,15-16,732,"1,692",43.3
243,Dartmouth (Ivy League),27,7-20,631,"1,461",43.2
244,Col. of Charleston (CAA),35,25-10,804,"1,862",43.2
245,South Carolina St. (MEAC),31,11-20,796,"1,850",43
246,Lafayette (Patriot),30,9-21,712,"1,655",43
247,UConn (AAC),33,16-17,778,"1,809",43
248,Vanderbilt (SEC),35,19-16,815,"1,896",43
249,DePaul (Big East),32,9-23,775,"1,804",43
250,Texas Southern (SWAC),35,23-12,866,"2,017",42.9
251,Marist (MAAC),32,8-24,749,"1,747",42.9
252,Alcorn (SWAC),32,18-14,800,"1,866",42.9
253,Prairie View (SWAC),33,13-20,788,"1,839",42.8
254,Kent St. (MAC),36,22-14,986,"2,303",42.8
255,Eastern Ky. (OVC),31,12-19,750,"1,752",42.8
256,Duquesne (Atlantic 10),32,10-22,785,"1,835",42.8
257,Wagner (NEC),30,16-14,727,"1,700",42.8
258,Oregon St. (Pac-12),32,5-27,721,"1,686",42.8
259,Holy Cross (Patriot),32,15-17,663,"1,551",42.7
260,Nicholls (Southland),31,14-17,771,"1,806",42.7
261,South Alabama (Sun Belt),32,14-18,793,"1,859",42.7
262,South Fla. (AAC),30,7-23,716,"1,683",42.5
263,Bowling Green (MAC),32,13-19,832,"1,957",42.5
264,ULM (Sun Belt),33,9-24,814,"1,916",42.5
265,Colorado St. (Mountain West),36,24-12,879,"2,070",42.5
266,Norfolk St. (MEAC),34,17-17,827,"1,949",42.4
267,UMES (MEAC),34,14-20,854,"2,013",42.4
267,N.C. A&T (MEAC),32,3-29,728,"1,716",42.4
269,UTRGV (WAC),32,10-22,869,"2,050",42.4
270,George Washington (Atlantic 10),35,20-15,821,"1,938",42.4
271,Central Mich. (MAC),32,16-16,912,"2,153",42.4
272,Alabama (SEC),34,19-15,809,"1,910",42.4
273,Bradley (MVC),33,13-20,731,"1,727",42.3
274,NJIT (ASUN),31,11-20,786,"1,857",42.3
275,North Texas (C-USA),30,8-22,740,"1,749",42.3
276,Florida A&M (MEAC),30,7-23,762,"1,801",42.3
277,Hawaii (Big West),30,14-16,698,"1,650",42.3
278,Coastal Carolina (Sun Belt),39,20-19,"1,021","2,415",42.3
279,Ole Miss (SEC),36,22-14,914,"2,162",42.3
280,Portland (WCC),33,11-22,758,"1,793",42.3
281,Oklahoma (Big 12),31,11-20,788,"1,864",42.3
282,Navy (Patriot),32,16-16,735,"1,740",42.2
283,Quinnipiac (MAAC),31,10-21,848,"2,008",42.2
284,California (Pac-12),34,21-13,807,"1,911",42.2
285,Tennessee (SEC),32,16-16,803,"1,903",42.2
286,Temple (AAC),32,16-16,808,"1,916",42.2
287,Central Conn. St. (NEC),29,6-23,675,"1,602",42.1
288,McNeese (Southland),29,7-22,715,"1,697",42.1
289,Mississippi Val. (SWAC),32,7-25,818,"1,942",42.1
290,Tennessee Tech (OVC),32,12-20,786,"1,867",42.1
291,Delaware (CAA),33,13-20,775,"1,841",42.1
292,Loyola Maryland (Patriot),33,16-17,753,"1,791",42
293,App State (Sun Belt),30,9-21,749,"1,783",42
294,South Carolina (SEC),37,26-11,923,"2,198",42
295,Delaware St. (MEAC),32,10-22,782,"1,865",41.9
296,Tulsa (AAC),32,15-17,701,"1,673",41.9
297,Saint Joseph's (Atlantic 10),31,11-20,755,"1,808",41.8
298,Eastern Ill. (OVC),29,14-15,772,"1,852",41.7
299,San Diego St. (Mountain West),33,19-14,782,"1,878",41.6
300,Nebraska (Big Ten),31,12-19,793,"1,906",41.6
301,Indiana St. (MVC),31,11-20,762,"1,832",41.6
302,Niagara (MAAC),33,10-23,846,"2,035",41.6
303,Manhattan (MAAC),32,10-22,754,"1,814",41.6
304,Bethune-Cookman (MEAC),32,10-22,840,"2,021",41.6
305,Fordham (Atlantic 10),32,13-19,741,"1,783",41.6
306,The Citadel (SoCon),33,12-21,980,"2,359",41.5
307,Penn St. (Big Ten),33,15-18,825,"1,991",41.4
308,Radford (Big South),32,14-18,745,"1,803",41.3
309,Presbyterian (Big South),30,5-25,667,"1,618",41.2
310,Old Dominion (C-USA),31,19-12,727,"1,765",41.2
311,VMI (SoCon),30,6-24,732,"1,778",41.2
312,Fla. Atlantic (C-USA),30,10-20,756,"1,839",41.1
313,Rutgers (Big Ten),33,15-18,809,"1,968",41.1
314,UC Riverside (Big West),28,7-21,656,"1,596",41.1
315,Savannah St. (MEAC),29,13-16,833,"2,030",41
316,Drake (MVC),31,7-24,760,"1,860",40.9
317,SIUE (OVC),30,6-24,687,"1,686",40.7
318,Hampton (MEAC),31,14-17,751,"1,844",40.7
319,San Diego (WCC),31,13-18,666,"1,636",40.7
320,Northern Ariz. (Big Sky),32,9-23,769,"1,891",40.7
321,Southern Utah (Big Sky),33,6-27,815,"2,005",40.6
322,Cleveland St. (Horizon),31,9-22,745,"1,838",40.5
323,Tulane (AAC),31,6-25,751,"1,856",40.5
324,Pacific (WCC),33,11-22,784,"1,940",40.4
325,Stony Brook (America East),32,18-14,759,"1,879",40.4
326,Saint Louis (Atlantic 10),33,12-21,700,"1,733",40.4
327,Cal Poly (Big West),31,11-20,726,"1,801",40.3
328,Ark.-Pine Bluff (SWAC),32,7-25,695,"1,725",40.3
329,Maine (America East),32,7-25,746,"1,853",40.3
330,Hartford (America East),32,9-23,730,"1,814",40.2
331,Alabama A&M (SWAC),29,2-27,628,"1,563",40.2
332,Robert Morris (NEC),33,14-19,728,"1,818",40
333,Southern Miss. (C-USA),31,9-22,690,"1,728",39.9
334,UNI (MVC),30,14-16,622,"1,559",39.9
335,East Carolina (AAC),33,15-18,716,"1,797",39.8
336,UNLV (Mountain West),32,11-21,747,"1,893",39.5
337,Missouri (SEC),32,8-24,744,"1,893",39.3
338,UTSA (C-USA),33,14-19,769,"1,959",39.3
339,Alabama St. (SWAC),31,8-23,719,"1,834",39.2
340,Western Caro. (SoCon),32,9-23,719,"1,844",39
341,Howard (MEAC),34,10-24,723,"1,856",39
342,Morgan St. (MEAC),30,14-16,691,"1,793",38.5
343,Jackson St. (SWAC),32,14-18,716,"1,860",38.5
344,Chicago St. (WAC),32,6-26,739,"1,923",38.4
345,Coppin St. (MEAC),32,8-24,705,"1,846",38.2
346,UC Santa Barbara (Big West),28,6-22,622,"1,651",37.7
347,St. Francis Brooklyn (NEC),31,4-27,650,"1,871",34.7
