Rank,Team,GM,W-L,OPP FG,OPP FGA,OPP FG%
282,St. John's (NY) (Big East),33,14-19,904,"1,962",46.1
283,Charleston So. (Big South),31,12-19,795,"1,725",46.1
284,Maine (America East),32,7-25,861,"1,868",46.1
285,Lamar University (Southland),34,19-15,853,"1,850",46.1
286,Drake (MVC),31,7-24,866,"1,878",46.1
287,Marshall (C-USA),35,20-15,"1,104","2,393",46.1
288,Montana (Big Sky),32,16-16,802,"1,737",46.2
289,Morehead St. (OVC),30,14-16,780,"1,689",46.2
290,Youngstown St. (Horizon),34,13-21,"1,034","2,239",46.2
291,Drexel (CAA),32,9-23,877,"1,899",46.2
292,Fordham (Atlantic 10),32,13-19,732,"1,585",46.2
293,Hofstra (CAA),32,15-17,904,"1,955",46.2
294,Long Beach St. (Big West),34,15-19,939,"2,029",46.3
295,Loyola Maryland (Patriot),33,16-17,810,"1,750",46.3
296,Omaha (Summit League),32,18-14,941,"2,030",46.4
297,Bowling Green (MAC),32,13-19,879,"1,893",46.4
298,Quinnipiac (MAAC),31,10-21,899,"1,936",46.4
299,Michigan (Big Ten),38,26-12,958,"2,062",46.5
300,Chicago St. (WAC),32,6-26,870,"1,870",46.5
301,Milwaukee (Horizon),35,11-24,891,"1,915",46.5
302,FIU (C-USA),31,7-24,809,"1,738",46.5
303,Central Ark. (Southland),32,8-24,945,"2,030",46.6
304,DePaul (Big East),32,9-23,812,"1,743",46.6
305,SIUE (OVC),30,6-24,787,"1,688",46.6
306,Washington (Pac-12),31,9-22,898,"1,926",46.6
307,Cal Poly (Big West),31,11-20,791,"1,695",46.7
308,La Salle (Atlantic 10),30,15-15,810,"1,733",46.7
309,Central Conn. St. (NEC),29,6-23,749,"1,602",46.8
310,Charlotte (C-USA),30,13-17,870,"1,860",46.8
311,Oral Roberts (Summit League),30,8-22,857,"1,832",46.8
312,Nicholls (Southland),31,14-17,882,"1,883",46.8
313,American (Patriot),30,8-22,716,"1,528",46.9
314,Dartmouth (Ivy League),27,7-20,740,"1,578",46.9
315,Bethune-Cookman (MEAC),32,10-22,886,"1,889",46.9
316,Northwestern St. (Southland),29,13-16,816,"1,738",47
317,Boston College (ACC),32,9-23,864,"1,840",47
318,Coppin St. (MEAC),32,8-24,872,"1,856",47
319,UTRGV (WAC),32,10-22,884,"1,881",47
320,Western Mich. (MAC),32,16-16,858,"1,823",47.1
321,Oklahoma St. (Big 12),33,20-13,875,"1,856",47.1
322,Tulane (AAC),31,6-25,843,"1,788",47.1
323,Kennesaw St. (ASUN),32,14-18,885,"1,877",47.1
324,Wofford (SoCon),33,16-17,881,"1,868",47.2
325,IUPUI (Summit League),32,14-18,860,"1,823",47.2
326,LSU (SEC),31,10-21,897,"1,899",47.2
327,Louisiana (Sun Belt),33,21-12,905,"1,913",47.3
328,Alabama A&M (SWAC),29,2-27,822,"1,736",47.4
329,Grambling (SWAC),33,16-17,834,"1,761",47.4
