Rank,Team,GM,W-L,AST,TO,Ratio
57,NC State (ACC),31,15-16,442,376,1.18
58,Colorado (Big 12),38,24-14,524,446,1.17
59,Eastern Ky. (OVC),31,15-16,436,374,1.17
60,Brown (Ivy League),28,11-17,399,343,1.16
61,North Carolina (ACC),37,29-8,573,493,1.16
62,Penn St. (Big Ten),34,19-15,413,358,1.15
63,Florida (SEC),37,29-8,521,452,1.15
64,Valparaiso (Horizon),35,23-12,553,481,1.15
65,Villanova (AAC),33,21-12,450,392,1.15
66,UConn (AAC),41,32-9,534,466,1.15
67,Old Dominion (CAA),34,27-7,485,424,1.14
68,Gonzaga (WCC),35,25-10,542,474,1.14
69,UNI (MVC),34,20-14,359,314,1.14
70,Oregon (Pac-12),39,21-18,545,477,1.14
71,Texas (Big 12),36,28-8,485,425,1.14
72,New Mexico (Mountain West),35,22-13,535,471,1.14
73,Saint Joseph's (Atlantic 10),33,11-22,412,363,1.13
74,TCU (Mountain West),33,11-22,474,418,1.13
75,Ohio (MAC),35,19-16,533,471,1.13
76,VMI (Big South),31,18-13,462,411,1.12
77,Michigan St. (Big Ten),34,19-15,509,454,1.12
78,San Jose St. (WAC),33,17-16,406,363,1.12
79,Rutgers (AAC),32,15-17,434,389,1.12
80,Georgia (SEC),33,21-12,495,444,1.11
81,Elon (SoCon),31,14-17,435,391,1.11
82,Georgetown (AAC),32,21-11,481,433,1.11
83,Col. of Charleston (SoCon),37,26-11,497,448,1.11
84,Seton Hall (AAC),31,13-18,422,381,1.11
85,Arizona (Pac-12),38,30-8,536,484,1.11
86,Lafayette (Patriot),32,13-19,476,430,1.11
87,Nicholls (Southland),28,14-14,395,358,1.10
88,Dayton (Atlantic 10),36,22-14,525,477,1.10
89,Fla. Atlantic (Sun Belt),32,21-11,396,360,1.10
90,Xavier (Atlantic 10),32,24-8,424,386,1.10
91,Tulane (C-USA),30,13-17,403,367,1.10
92,California (Pac-12),33,18-15,493,449,1.10
93,Northeastern (CAA),31,11-20,427,389,1.10
93,Princeton (Ivy League),32,25-7,427,389,1.10
95,Evansville (MVC),32,16-16,452,415,1.09
96,Butler (Horizon),38,28-10,452,416,1.09
97,UAB (C-USA),31,22-9,420,387,1.09
98,Canisius (MAAC),30,15-15,449,414,1.08
99,Portland (WCC),32,20-12,447,413,1.08
100,James Madison (CAA),33,21-12,455,421,1.08
101,Harvard (Ivy League),30,23-7,429,398,1.08
102,Kent St. (MAC),37,25-12,513,476,1.08
103,Denver (Sun Belt),30,13-17,397,371,1.07
104,Southeastern La. (Southland),29,15-14,415,389,1.07
105,UC Davis (Big West),30,10-20,450,422,1.07
106,DePaul (AAC),31,7-24,446,420,1.06
107,Boise St. (WAC),35,22-13,449,425,1.06
108,Ball St. (MAC),32,19-13,436,414,1.05
109,SFA (Southland),29,18-11,424,404,1.05
110,Montana (Big Sky),32,21-11,421,402,1.05
111,Washington St. (Pac-12),35,22-13,466,445,1.05
112,Rice (C-USA),32,14-18,411,393,1.05
113,Virginia (ACC),31,16-15,354,339,1.04
114,Portland St. (Big Sky),30,14-16,390,374,1.04
115,Texas A&M (Big 12),33,24-9,444,426,1.04
116,North Dakota St. (Summit League),29,14-15,396,381,1.04
117,Cleveland St. (Horizon),36,27-9,427,412,1.04
118,Delaware St. (MEAC),30,9-21,347,335,1.04
119,Robert Morris (NEC),32,18-14,436,422,1.03
120,Southern California (Pac-12),34,19-15,402,390,1.03
121,Vanderbilt (SEC),34,23-11,454,441,1.03
122,Rider (MAAC),34,23-11,481,469,1.03
123,Fresno St. (WAC),31,14-17,441,430,1.03
124,Maine (America East),30,15-15,396,387,1.02
125,St. John's (NY) (AAC),33,21-12,417,408,1.02
126,Bowling Green (MAC),33,14-19,452,444,1.02
127,Saint Louis (Atlantic 10),31,12-19,421,414,1.02
128,Virginia Tech (ACC),34,22-12,425,419,1.01
129,Little Rock (Sun Belt),36,19-17,433,428,1.01
130,Central Conn. St. (NEC),31,19-12,452,447,1.01
131,William & Mary (CAA),32,10-22,426,423,1.01
132,Utah Valley (Utah Valley),30,19-11,416,414,1.00
133,Montana St. (Big Sky),31,13-18,374,373,1.00
134,Southern Miss. (C-USA),32,22-10,380,379,1.00
135,UC Santa Barbara (Big West),32,18-14,457,456,1.00
136,Austin Peay (OVC),34,20-14,484,485,1.00
137,Rhode Island (Atlantic 10),34,20-14,415,416,1.00
138,LIU (NEC),33,27-6,503,505,1.00
139,SMU (C-USA),35,20-15,488,490,1.00
140,Holy Cross (Patriot),29,8-21,385,387,0.99
141,Lipscomb (ASUN),30,17-13,461,464,0.99
142,Clemson (ACC),34,22-12,445,449,0.99
143,Fairfield (MAAC),33,25-8,452,457,0.99
144,The Citadel (SoCon),32,10-22,402,407,0.99
145,Oral Roberts (Summit League),35,19-16,446,452,0.99
146,Penn (Ivy League),28,13-15,381,387,0.98
147,UCLA (Pac-12),34,23-11,493,501,0.98
148,Weber St. (Big Sky),32,18-14,401,408,0.98
149,Providence (AAC),32,15-17,399,407,0.98
150,Samford (SoCon),31,12-19,409,418,0.98
151,Tennessee (SEC),34,19-15,443,454,0.98
152,IUPUI (Summit League),33,19-14,362,371,0.98
153,UNC Asheville (Big South),34,20-14,492,506,0.97
154,Marshall (C-USA),34,22-12,439,452,0.97
155,Idaho (WAC),32,18-14,455,470,0.97
156,Loyola Chicago (Horizon),31,16-15,383,396,0.97
157,La Salle (Atlantic 10),33,15-18,496,513,0.97
158,Murray St. (OVC),32,23-9,433,448,0.97
159,Texas Tech (Big 12),32,13-19,426,442,0.96
160,Nebraska (Big 12),32,19-13,415,431,0.96
161,Georgia Tech (ACC),31,13-18,408,424,0.96
162,Bradley (MVC),32,12-20,374,390,0.96
163,Memphis (C-USA),35,25-10,512,535,0.96
164,LMU (CA) (WCC),32,11-21,435,455,0.96
165,NJIT (NJIT),30,15-15,390,408,0.96
166,Lamar University (Southland),30,13-17,437,458,0.95
167,Troy (Sun Belt),29,8-21,395,414,0.95
168,Ole Miss (SEC),34,20-14,415,435,0.95
169,Western Caro. (SoCon),33,18-15,432,453,0.95
170,Campbell (ASUN),31,12-19,425,446,0.95
171,Army West Point (Patriot),30,11-19,404,424,0.95
172,Drake (MVC),31,13-18,359,377,0.95
173,Kansas St. (Big 12),34,23-11,474,498,0.95
174,Western Mich. (MAC),34,21-13,442,465,0.95
175,Mississippi St. (SEC),31,17-14,392,413,0.95
176,Towson (CAA),30,4-26,342,361,0.95
177,Indiana (Big Ten),32,12-20,393,415,0.95
177,Bethune-Cookman (MEAC),34,21-13,393,415,0.95
179,Wright St. (Horizon),33,19-14,337,356,0.95
180,UC Irvine (Big West),32,13-19,390,412,0.95
181,Iowa (Big Ten),31,11-20,423,447,0.95
182,Hartford (America East),31,11-20,367,388,0.95
183,Cal Poly (Big West),30,15-15,336,356,0.94
184,Colorado St. (Mountain West),32,19-13,424,450,0.94
185,Drexel (CAA),31,21-10,348,370,0.94
186,Hampton (MEAC),33,24-9,387,412,0.94
187,George Washington (Atlantic 10),31,17-14,371,396,0.94
188,Yale (Ivy League),28,15-13,355,380,0.93
189,UTSA (Southland),34,20-14,430,461,0.93
190,Long Beach St. (Big West),34,22-12,455,488,0.93
191,Columbia (Ivy League),28,15-13,324,348,0.93
192,Pepperdine (WCC),33,12-21,408,440,0.93
193,North Texas (Sun Belt),33,22-11,407,439,0.93
194,Furman (SoCon),33,22-11,404,436,0.93
195,Lehigh (Patriot),31,16-15,372,402,0.93
196,Chattanooga (SoCon),32,16-16,447,484,0.92
197,Oklahoma (Big 12),32,14-18,400,434,0.92
198,East Carolina (C-USA),34,18-16,440,478,0.92
199,Milwaukee (Horizon),33,19-14,422,459,0.92
200,Vermont (America East),32,23-9,395,430,0.92
201,McNeese (Southland),33,21-12,370,403,0.92
202,Santa Clara (WCC),38,24-14,487,532,0.92
203,Davidson (SoCon),33,18-15,425,465,0.91
204,Buffalo (MAC),34,20-14,478,524,0.91
205,Wagner (NEC),30,13-17,419,460,0.91
206,Arkansas (SEC),31,18-13,373,411,0.91
207,Eastern Ill. (OVC),29,9-20,366,405,0.90
208,Indiana St. (MVC),34,20-14,431,477,0.90
209,Albany (NY) (America East),32,16-16,371,411,0.90
210,Loyola Maryland (MAAC),30,15-15,357,396,0.90
211,Eastern Mich. (MAC),31,9-22,404,449,0.90
212,Texas St. (Southland),32,16-16,440,490,0.90
213,Green Bay (Horizon),32,14-18,377,421,0.90
214,Cal St. Fullerton (Big West),31,11-20,393,439,0.90
215,Winthrop (Big South),30,13-17,352,394,0.89
216,UCF (C-USA),33,21-12,405,454,0.89
217,Fordham (Atlantic 10),28,7-21,350,393,0.89
218,Houston (C-USA),30,12-18,404,456,0.89
219,Jackson St. (SWAC),32,17-15,426,481,0.89
220,Delaware (CAA),31,14-17,323,365,0.88
221,Southern Utah (Summit League),30,11-19,423,479,0.88
222,Binghamton (America East),31,8-23,339,384,0.88
223,Charleston So. (Big South),32,16-16,401,455,0.88
224,Alabama (SEC),37,25-12,454,516,0.88
225,UMBC (America East),30,5-25,346,395,0.88
226,St. Francis Brooklyn (NEC),30,15-15,349,399,0.87
227,Georgia St. (CAA),31,12-19,404,463,0.87
228,San Francisco (WCC),34,19-15,430,493,0.87
229,Saint Francis (PA) (NEC),30,9-21,402,463,0.87
230,St. Bonaventure (Atlantic 10),31,16-15,398,459,0.87
231,Arkansas St. (Sun Belt),32,17-15,362,418,0.87
232,UC Riverside (Big West),31,12-19,374,432,0.87
233,Stanford (Pac-12),31,15-16,360,416,0.87
234,Eastern Wash. (Big Sky),30,10-20,356,412,0.86
235,Tennessee Tech (OVC),33,20-13,462,536,0.86
236,CSU Bakersfield (CSU Bakersfield),28,9-19,329,382,0.86
237,South Alabama (Sun Belt),28,12-16,341,396,0.86
238,Monmouth (NEC),30,9-21,376,439,0.86
239,Jacksonville St. (OVC),30,5-25,368,432,0.85
240,Siena (MAAC),31,13-18,378,444,0.85
241,UMES (MEAC),31,9-22,382,450,0.85
242,Northern Ill. (MAC),30,9-21,361,428,0.84
243,Mercer (ASUN),33,15-18,395,469,0.84
244,New Mexico St. (WAC),33,16-17,410,487,0.84
245,Southeast Mo. St. (OVC),32,10-22,389,463,0.84
246,Coppin St. (MEAC),30,16-14,344,410,0.84
247,Illinois St. (MVC),31,12-19,346,414,0.84
248,Miami (FL) (ACC),36,21-15,416,498,0.84
249,Sacramento St. (Big Sky),28,7-21,344,412,0.83
250,Tulsa (C-USA),32,19-13,365,441,0.83
251,Liberty (Big South),32,19-13,402,486,0.83
252,Tennessee St. (OVC),30,14-16,373,451,0.83
253,Northern Colo. (Big Sky),32,21-11,375,454,0.83
254,UNCW (CAA),31,13-18,350,424,0.83
255,Boston U. (America East),35,21-14,345,418,0.83
256,Western Ky. (Sun Belt),32,16-16,392,475,0.83
257,South Fla. (AAC),33,10-23,407,496,0.82
258,Massachusetts (Atlantic 10),30,15-15,337,412,0.82
259,ETSU (ASUN),36,24-12,390,477,0.82
260,Navy (Patriot),31,11-20,387,474,0.82
261,South Carolina (SEC),30,14-16,327,402,0.81
262,App State (SoCon),31,16-15,327,403,0.81
263,New Hampshire (America East),30,12-18,292,360,0.81
264,Morehead St. (OVC),35,25-10,424,525,0.81
265,CSUN (Big West),32,14-18,407,504,0.81
266,N.C. A&T (MEAC),32,15-17,385,477,0.81
267,Jacksonville (ASUN),32,20-12,390,484,0.81
268,UTRGV (UTRGV),31,6-25,382,475,0.80
269,Southern Ill. (MVC),32,13-19,365,456,0.80
270,Norfolk St. (MEAC),32,12-20,412,515,0.80
270,Miami (OH) (MAC),33,16-17,372,465,0.80
272,Colgate (Patriot),30,7-23,379,475,0.80
273,Mount St. Mary's (NEC),32,11-21,378,475,0.80
274,Auburn (SEC),31,11-20,349,440,0.79
275,Oregon St. (Pac-12),31,11-20,374,472,0.79
276,Morgan St. (MEAC),31,17-14,372,470,0.79
277,Charlotte (Atlantic 10),30,10-20,353,447,0.79
278,LSU (SEC),32,11-21,364,461,0.79
279,Northwestern St. (Southland),32,18-14,426,542,0.79
280,Detroit Mercy (Horizon),33,17-16,405,517,0.78
281,Kennesaw St. (ASUN),31,8-23,347,443,0.78
282,Florida St. (ACC),34,23-11,423,541,0.78
283,Western Ill. (Summit League),30,7-23,313,402,0.78
284,Nevada (WAC),32,13-19,356,459,0.78
285,Toledo (MAC),32,4-28,392,509,0.77
286,Fairleigh Dickinson (NEC),29,5-24,338,439,0.77
287,Stony Brook (America East),32,15-17,304,395,0.77
288,San Diego (WCC),30,6-24,338,440,0.77
289,Prairie View (SWAC),32,10-22,366,477,0.77
290,Sacred Heart (NEC),29,11-18,344,449,0.77
291,Kansas City (Summit League),30,16-14,321,419,0.77
292,Alabama A&M (SWAC),28,13-15,339,444,0.76
293,Saint Peter's (MAAC),34,20-14,383,511,0.75
294,Baylor (Big 12),31,18-13,365,487,0.75
295,Hawaii (WAC),32,19-13,380,509,0.75
296,UNC Greensboro (SoCon),31,7-24,353,473,0.75
297,Niagara (MAAC),32,9-23,335,449,0.75
298,Texas Southern (SWAC),32,19-13,392,527,0.74
299,Wyoming (Mountain West),31,10-21,324,436,0.74
300,Oklahoma St. (Big 12),34,20-14,338,456,0.74
301,Central Ark. (Southland),29,5-24,346,468,0.74
302,South Carolina St. (MEAC),32,10-22,385,521,0.74
303,Alabama St. (SWAC),35,17-18,404,551,0.73
304,Wake Forest (ACC),32,8-24,362,494,0.73
305,High Point (Big South),31,12-19,342,469,0.73
306,UIC (Horizon),31,7-24,361,497,0.73
307,FIU (Sun Belt),30,11-19,320,441,0.73
308,UT Martin (OVC),33,12-21,362,504,0.72
309,Idaho St. (Big Sky),29,9-20,277,386,0.72
310,Manhattan (MAAC),31,6-25,300,419,0.72
311,Chicago St. (Chicago St.),32,6-26,392,550,0.71
312,North Florida (ASUN),34,15-19,404,569,0.71
313,UT Arlington (Southland),29,13-16,362,510,0.71
314,Mississippi Val. (SWAC),32,13-19,393,555,0.71
315,Savannah St. (Savannah St.),30,12-18,316,448,0.71
316,ULM (Sun Belt),31,7-24,311,441,0.71
317,Southern U. (SWAC),30,4-26,350,498,0.70
318,Utah (Mountain West),31,13-18,298,425,0.70
319,Gardner-Webb (Big South),32,11-21,333,475,0.70
320,Middle Tenn. (Sun Belt),32,16-16,339,485,0.70
321,Ark.-Pine Bluff (SWAC),31,7-24,357,518,0.69
322,Dartmouth (Ivy League),28,5-23,257,383,0.67
323,Grambling (SWAC),33,12-21,338,506,0.67
324,Ga. Southern (SoCon),32,5-27,381,575,0.66
325,Louisiana (Sun Belt),29,14-15,295,447,0.66
326,Marist (MAAC),33,6-27,317,481,0.66
327,A&M-Corpus Christi (Southland),31,10-21,350,540,0.65
328,Central Mich. (MAC),31,10-21,271,419,0.65
329,Radford (Big South),29,5-24,294,475,0.62
330,Louisiana Tech (WAC),32,12-20,331,535,0.62
331,Stetson (ASUN),31,8-23,295,501,0.59
332,Howard (MEAC),30,6-24,279,476,0.59
333,Florida A&M (MEAC),32,12-20,298,528,0.56
334,Alcorn (SWAC),28,4-24,255,473,0.54
335,Centenary (LA) (Summit League),30,1-29,294,548,0.54
