Rank,Team,GM,W-L,FGM,FGA,FG%
315,Cal Poly (Big West),28,7-21,593,"1,450",40.9
316,Ark.-Pine Bluff (SWAC),31,7-24,708,"1,733",40.9
317,Austin Peay (OVC),29,12-17,669,"1,639",40.8
318,Charleston So. (Big South),31,6-25,745,"1,830",40.7
319,Grambling (SWAC),32,12-20,749,"1,842",40.7
320,Jackson St. (SWAC),30,11-19,693,"1,705",40.6
321,Fairleigh Dickinson (NEC),26,4-22,632,"1,555",40.6
322,East Carolina (AAC),30,15-15,700,"1,724",40.6
323,Washington St. (Pac-12),37,22-15,908,"2,239",40.6
324,North Dakota (Summit League),31,6-25,739,"1,828",40.4
325,UMES (MEAC),27,11-16,631,"1,562",40.4
326,Delaware St. (MEAC),28,2-26,633,"1,567",40.4
327,Cincinnati (AAC),33,18-15,812,"2,012",40.4
328,Duquesne (Atlantic 10),30,6-24,742,"1,842",40.3
329,Wichita St. (AAC),28,15-13,658,"1,634",40.3
330,CSUN (Big West),30,7-23,678,"1,684",40.3
331,William & Mary (CAA),32,5-27,724,"1,799",40.2
332,Western Caro. (SoCon),32,11-21,787,"1,960",40.2
333,Lamar University (WAC),29,2-27,664,"1,655",40.1
334,Georgetown (Big East),31,6-25,770,"1,924",40
335,Canisius (MAAC),32,11-21,777,"1,942",40
336,Georgia St. (Sun Belt),29,18-11,722,"1,806",40
337,Hampton (Big South),28,9-19,628,"1,573",39.9
338,Evansville (MVC),30,6-24,629,"1,581",39.8
339,Eastern Ill. (OVC),31,5-26,623,"1,567",39.8
340,UTSA (C-USA),32,10-22,795,"2,010",39.6
341,Temple (AAC),29,17-12,649,"1,644",39.5
342,Fordham (Atlantic 10),32,16-16,737,"1,870",39.4
343,Central Conn. St. (NEC),32,8-24,690,"1,755",39.3
344,South Carolina St. (MEAC),31,15-16,797,"2,030",39.3
345,Chicago St. (WAC),32,7-25,700,"1,800",38.9
346,Coppin St. (MEAC),32,9-23,715,"1,851",38.6
347,Mississippi Val. (SWAC),28,2-26,665,"1,723",38.6
348,IUPUI (Horizon),29,3-26,557,"1,467",38
349,Alabama A&M (SWAC),30,12-18,656,"1,733",37.9
350,South Fla. (AAC),31,8-23,670,"1,790",37.4
