Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
52,Buffalo (MAC),30,19-11,"2,398",79.9,"2,168",72.3,7.7
53,Arkansas (SEC),37,28-9,"2,810",75.9,"2,527",68.3,7.6
54,South Alabama (Sun Belt),33,21-12,"2,362",71.6,"2,111",64,7.6
55,Coastal Carolina (Sun Belt),33,19-14,"2,404",72.8,"2,156",65.3,7.5
56,Drake (MVC),36,25-11,"2,660",73.9,"2,391",66.4,7.5
57,Boise St. (Mountain West),35,27-8,"2,389",68.3,"2,130",60.9,7.4
58,Colorado St. (Mountain West),31,25-6,"2,275",73.4,"2,047",66,7.4
59,Kansas City (Summit League),31,19-12,"2,311",74.5,"2,085",67.3,7.3
60,San Diego St. (Mountain West),32,23-9,"2,093",65.4,"1,860",58.1,7.3
61,Montana St. (Big Sky),35,27-8,"2,679",76.5,"2,425",69.3,7.3
62,Louisiana Tech (C-USA),34,24-10,"2,558",75.2,"2,312",68,7.2
63,Nicholls (Southland),33,21-12,"2,590",78.5,"2,352",71.3,7.2
63,Illinois (Big Ten),33,23-10,"2,456",74.4,"2,218",67.2,7.2
65,Texas St. (Sun Belt),29,21-8,"2,043",70.4,"1,834",63.2,7.2
66,Wyoming (Mountain West),34,25-9,"2,466",72.5,"2,227",65.5,7
67,Memphis (AAC),33,22-11,"2,480",75.2,"2,255",68.3,6.8
68,Fresno St. (Mountain West),36,23-13,"2,384",66.2,"2,139",59.4,6.8
69,Howard (MEAC),29,16-13,"2,215",76.4,"2,019",69.6,6.8
70,SMU (AAC),33,24-9,"2,436",73.8,"2,215",67.1,6.7
71,Texas A&M (SEC),40,27-13,"2,908",72.7,"2,643",66.1,6.6
72,North Carolina (ACC),39,29-10,"3,038",77.9,"2,780",71.3,6.6
73,Iona (MAAC),33,25-8,"2,482",75.2,"2,264",68.6,6.6
74,Washington St. (Pac-12),37,22-15,"2,644",71.5,"2,400",64.9,6.6
75,Utah St. (Mountain West),34,18-16,"2,497",73.4,"2,273",66.9,6.6
76,UNC Asheville (Big South),32,17-15,"2,410",75.3,"2,201",68.8,6.5
77,A&M-Corpus Christi (Southland),35,23-12,"2,682",76.6,"2,454",70.1,6.5
78,Morehead St. (OVC),34,23-11,"2,379",70,"2,158",63.5,6.5
79,Southern California (Pac-12),34,26-8,"2,461",72.4,"2,243",66,6.4
80,Jacksonville St. (ASUN),32,21-11,"2,353",73.5,"2,151",67.2,6.3
80,Wofford (SoCon),32,19-13,"2,322",72.6,"2,120",66.2,6.3
82,Western Ky. (C-USA),32,19-13,"2,414",75.4,"2,214",69.2,6.2
83,North Dakota St. (Summit League),33,23-10,"2,469",74.8,"2,267",68.7,6.1
84,SFA (WAC),32,22-10,"2,385",74.5,"2,190",68.4,6.1
84,Utah Valley (WAC),32,20-12,"2,279",71.2,"2,084",65.1,6.1
86,Ohio (MAC),35,25-10,"2,591",74,"2,378",67.9,6.1
87,Kent St. (MAC),34,23-11,"2,423",71.3,"2,217",65.2,6.1
88,Fla. Atlantic (C-USA),34,19-15,"2,519",74.1,"2,315",68.1,6
89,UC Irvine (Big West),25,15-10,"1,656",66.2,"1,507",60.3,6
90,BYU (WCC),35,24-11,"2,599",74.3,"2,392",68.3,5.9
91,Weber St. (Big Sky),33,21-12,"2,513",76.2,"2,319",70.3,5.9
92,Oakland (Horizon),32,20-12,"2,381",74.4,"2,194",68.6,5.8
93,Sam Houston (WAC),33,19-14,"2,272",68.8,"2,082",63.1,5.8
94,Seton Hall (Big East),32,21-11,"2,302",71.9,"2,125",66.4,5.5
95,Notre Dame (ACC),35,24-11,"2,540",72.6,"2,349",67.1,5.5
96,St. John's (NY) (Big East),32,17-15,"2,547",79.6,"2,373",74.2,5.4
97,Cleveland St. (Horizon),31,20-11,"2,336",75.4,"2,168",69.9,5.4
98,Santa Clara (WCC),33,21-12,"2,550",77.3,"2,373",71.9,5.4
99,Providence (Big East),33,27-6,"2,360",71.5,"2,184",66.2,5.3
100,Gardner-Webb (Big South),31,18-13,"2,154",69.5,"1,989",64.2,5.3
101,Bradley (MVC),31,17-14,"2,185",70.5,"2,021",65.2,5.3
102,Montana (Big Sky),32,18-14,"2,310",72.2,"2,141",66.9,5.3
103,Southern Utah (Big Sky),35,23-12,"2,720",77.7,"2,538",72.5,5.2
104,Ohio St. (Big Ten),32,20-12,"2,329",72.8,"2,166",67.7,5.1
105,Hofstra (CAA),32,21-11,"2,494",77.9,"2,333",72.9,5
105,Winthrop (Big South),32,23-9,"2,407",75.2,"2,246",70.2,5
107,Georgia St. (Sun Belt),29,18-11,"2,049",70.7,"1,906",65.7,4.9
108,Xavier (Big East),36,23-13,"2,668",74.1,"2,492",69.2,4.9
109,UMass Lowell (America East),31,15-16,"2,191",70.7,"2,040",65.8,4.9
110,Navy (Patriot),32,21-11,"2,079",65,"1,924",60.1,4.8
111,VMI (SoCon),32,16-16,"2,529",79,"2,375",74.2,4.8
111,Northern Ky. (Horizon),32,20-12,"2,237",69.9,"2,083",65.1,4.8
113,Hawaii (Big West),28,17-11,"1,928",68.9,"1,796",64.1,4.7
114,Bryant (NEC),32,22-10,"2,497",78,"2,348",73.4,4.7
114,VCU (Atlantic 10),32,22-10,"2,146",67.1,"1,997",62.4,4.7
116,Indiana (Big Ten),35,21-14,"2,478",70.8,"2,316",66.2,4.6
117,Cornell (Ivy League),26,15-11,"2,059",79.2,"1,941",74.7,4.5
118,Saint Peter's (MAAC),34,22-12,"2,277",67,"2,125",62.5,4.5
119,N.C. Central (MEAC),31,16-15,"2,256",72.8,"2,120",68.4,4.4
120,UNLV (Mountain West),32,18-14,"2,236",69.9,"2,099",65.6,4.3
121,Mississippi St. (SEC),34,18-16,"2,396",70.5,"2,252",66.2,4.2
122,South Dakota (Summit League),31,19-12,"2,329",75.1,"2,198",70.9,4.2
123,Eastern Ky. (ASUN),31,13-18,"2,457",79.3,"2,327",75.1,4.2
124,Campbell (Big South),29,16-13,"1,919",66.2,"1,798",62,4.2
125,Florida (SEC),34,20-14,"2,400",70.6,"2,261",66.5,4.1
126,Oklahoma (Big 12),35,19-16,"2,417",69.1,"2,276",65,4
127,Wright St. (Horizon),36,22-14,"2,729",75.8,"2,585",71.8,4
127,FGCU (ASUN),34,22-12,"2,641",77.7,"2,505",73.7,4
127,Southern U. (SWAC),31,17-14,"2,229",71.9,"2,105",67.9,4
130,App State (Sun Belt),34,19-15,"2,281",67.1,"2,146",63.1,4
131,Wisconsin (Big Ten),33,25-8,"2,308",69.9,"2,177",66,4
132,Purdue Fort Wayne (Horizon),33,21-12,"2,424",73.5,"2,298",69.6,3.8
133,New Hampshire (America East),28,15-13,"1,925",68.8,"1,819",65,3.8
134,Colorado (Pac-12),33,21-12,"2,345",71.1,"2,224",67.4,3.7
135,Kennesaw St. (ASUN),31,13-18,"2,319",74.8,"2,206",71.2,3.6
136,Miami (FL) (ACC),37,26-11,"2,736",73.9,"2,603",70.4,3.6
137,Troy (Sun Belt),32,20-12,"2,214",69.2,"2,100",65.6,3.6
138,TCU (Big 12),34,21-13,"2,328",68.5,"2,207",64.9,3.6
139,St. Bonaventure (Atlantic 10),33,23-10,"2,309",70,"2,194",66.5,3.5
139,Cincinnati (AAC),33,18-15,"2,291",69.4,"2,176",65.9,3.5
141,UNI (MVC),32,20-12,"2,383",74.5,"2,273",71,3.4
141,Cal St. Fullerton (Big West),32,21-11,"2,239",70,"2,129",66.5,3.4
143,Clemson (ACC),33,17-16,"2,367",71.7,"2,259",68.5,3.3
144,Michigan (Big Ten),34,19-15,"2,470",72.6,"2,360",69.4,3.2
145,Michigan St. (Big Ten),36,23-13,"2,601",72.2,"2,485",69,3.2
146,Delaware (CAA),35,22-13,"2,568",73.4,"2,456",70.2,3.2
147,UNCW (CAA),36,27-9,"2,596",72.1,"2,483",69,3.1
148,Iowa St. (Big 12),35,22-13,"2,296",65.6,"2,189",62.5,3.1
149,Northwestern (Big Ten),31,15-16,"2,262",73,"2,168",69.9,3
150,Alabama (SEC),33,19-14,"2,623",79.5,"2,523",76.5,3
151,Vanderbilt (SEC),36,19-17,"2,548",70.8,"2,442",67.8,2.9
152,Texas Southern (SWAC),32,19-13,"2,209",69,"2,115",66.1,2.9
153,UC Riverside (Big West),28,16-12,"1,865",66.6,"1,784",63.7,2.9
154,Boston U. (Patriot),35,22-13,"2,470",70.6,"2,369",67.7,2.9
155,Youngstown St. (Horizon),34,19-15,"2,470",72.6,"2,374",69.8,2.8
156,Creighton (Big East),35,23-12,"2,422",69.2,"2,324",66.4,2.8
157,Arkansas St. (Sun Belt),29,18-11,"2,055",70.9,"1,974",68.1,2.8
158,Oklahoma St. (Big 12),30,15-15,"2,051",68.4,"1,970",65.7,2.7
159,Yale (Ivy League),31,19-12,"2,226",71.8,"2,143",69.1,2.7
159,Southern Ill. (MVC),31,16-15,"1,985",64,"1,902",61.4,2.7
161,Morgan St. (MEAC),28,13-15,"2,100",75,"2,026",72.4,2.6
162,Oregon (Pac-12),35,20-15,"2,532",72.3,"2,440",69.7,2.6
163,New Orleans (Southland),32,18-14,"2,469",77.2,"2,385",74.5,2.6
164,Richmond (Atlantic 10),37,24-13,"2,628",71,"2,532",68.4,2.6
165,UTEP (C-USA),34,20-14,"2,352",69.2,"2,265",66.6,2.6
166,Drexel (CAA),29,15-14,"2,112",72.8,"2,038",70.3,2.6
167,Marquette (Big East),32,19-13,"2,369",74,"2,292",71.6,2.4
168,Harvard (Ivy League),26,13-13,"1,858",71.5,"1,797",69.1,2.3
169,Syracuse (ACC),33,16-17,"2,553",77.4,"2,477",75.1,2.3
170,Virginia (ACC),35,21-14,"2,184",62.4,"2,104",60.1,2.3
171,Eastern Wash. (Big Sky),34,18-16,"2,611",76.8,"2,536",74.6,2.2
172,George Mason (Atlantic 10),30,14-16,"2,122",70.7,"2,056",68.5,2.2
173,Rhode Island (Atlantic 10),31,15-16,"2,081",67.1,"2,015",65,2.1
174,Wichita St. (AAC),28,15-13,"1,917",68.5,"1,858",66.4,2.1
175,Portland (WCC),34,19-15,"2,524",74.2,"2,454",72.2,2.1
176,Rutgers (Big Ten),32,18-14,"2,192",68.5,"2,129",66.5,2
177,Niagara (MAAC),30,14-16,"2,022",67.4,"1,965",65.5,1.9
178,James Madison (CAA),29,15-14,"2,178",75.1,"2,123",73.2,1.9
179,Fairfield (MAAC),33,15-18,"2,239",67.8,"2,177",66,1.9
180,Miami (OH) (MAC),32,14-18,"2,408",75.2,"2,351",73.5,1.8
181,Col. of Charleston (CAA),32,17-15,"2,502",78.2,"2,446",76.4,1.8
182,Louisiana (Sun Belt),31,16-15,"2,203",71.1,"2,151",69.4,1.7
183,UCF (AAC),30,18-12,"2,095",69.8,"2,045",68.2,1.7
184,UMBC (America East),32,18-14,"2,359",73.7,"2,307",72.1,1.6
185,Kansas St. (Big 12),31,14-17,"2,139",69,"2,091",67.5,1.5
186,Brown (Ivy League),29,13-16,"2,058",71,"2,015",69.5,1.5
187,UC Davis (Big West),24,13-11,"1,628",67.8,"1,593",66.4,1.5
188,Tulane (AAC),29,14-15,"2,121",73.1,"2,080",71.7,1.4
189,Portland St. (Big Sky),31,14-17,"2,280",73.5,"2,237",72.2,1.4
190,LIU (NEC),30,16-14,"2,245",74.8,"2,204",73.5,1.4
191,Monmouth (MAAC),34,21-13,"2,333",68.6,"2,289",67.3,1.3
192,Tennessee St. (OVC),32,14-18,"2,282",71.3,"2,246",70.2,1.1
193,DePaul (Big East),31,15-16,"2,272",73.3,"2,238",72.2,1.1
194,Southeastern La. (Southland),34,19-15,"2,679",78.8,"2,643",77.7,1.1
195,Northern Colo. (Big Sky),38,22-16,"2,962",77.9,"2,924",76.9,1
196,Mount St. Mary's (NEC),30,14-16,"1,984",66.1,"1,958",65.3,0.9
197,Long Beach St. (Big West),33,20-13,"2,437",73.8,"2,409",73,0.8
198,Samford (SoCon),32,21-11,"2,390",74.7,"2,363",73.8,0.8
199,Ga. Southern (Sun Belt),29,13-16,"1,927",66.4,"1,903",65.6,0.8
200,Rice (C-USA),33,16-17,"2,446",74.1,"2,421",73.4,0.8
201,McNeese (Southland),33,22-Nov,"2,579",78.2,"2,555",77.4,0.7
202,Western Ill. (Summit League),32,16-16,"2,493",77.9,"2,470",77.2,0.7
203,South Carolina (SEC),31,18-13,"2,200",71,"2,178",70.3,0.7
204,Marist (MAAC),30,14-16,"2,063",68.8,"2,045",68.2,0.6
205,Loyola Maryland (Patriot),30,14-16,"1,984",66.1,"1,970",65.7,0.5
206,Quinnipiac (MAAC),31,14-17,"2,226",71.8,"2,216",71.5,0.3
207,Temple (AAC),29,17-12,"1,936",66.8,"1,927",66.4,0.3
208,Detroit Mercy (Horizon),30,14-16,"2,122",70.7,"2,115",70.5,0.2
209,Maryland (Big Ten),32,15-17,"2,270",70.9,"2,263",70.7,0.2
209,Valparaiso (MVC),32,14-18,"2,264",70.8,"2,257",70.5,0.2
211,Dartmouth (Ivy League),25,16-Sep,"1,709",68.4,"1,705",68.2,0.2
212,UNC Greensboro (SoCon),32,17-15,"2,083",65.1,"2,079",65,0.1
213,Army West Point (Patriot),31,15-16,"2,183",70.4,"2,182",70.4,0
214,The Citadel (SoCon),31,13-18,"2,381",76.8,"2,382",76.8,0
215,Mercer (SoCon),33,16-17,"2,325",70.5,"2,328",70.5,-0.1
216,Presbyterian (Big South),32,20-Dec,"2,170",67.8,"2,174",67.9,-0.1
217,Stony Brook (America East),31,18-13,"2,261",72.9,"2,267",73.1,-0.2
218,High Point (Big South),32,14-18,"2,225",69.5,"2,232",69.8,-0.2
219,Bowling Green (MAC),31,13-18,"2,488",80.3,"2,495",80.5,-0.2
220,FIU (C-USA),32,15-17,"2,264",70.8,"2,274",71.1,-0.3
221,Penn St. (Big Ten),31,14-17,"2,003",64.6,"2,015",65,-0.4
222,West Virginia (Big 12),33,16-17,"2,259",68.5,"2,276",69,-0.5
223,UMES (MEAC),27,16-Nov,"1,778",65.9,"1,792",66.4,-0.5
224,Ole Miss (SEC),32,13-19,"2,180",68.1,"2,197",68.7,-0.5
225,Old Dominion (C-USA),32,13-19,"2,127",66.5,"2,145",67,-0.6
226,Illinois St. (MVC),33,13-20,"2,447",74.2,"2,466",74.7,-0.6
227,Fordham (Atlantic 10),32,16-16,"2,115",66.1,"2,137",66.8,-0.7
228,South Carolina St. (MEAC),31,15-16,"2,227",71.8,"2,249",72.5,-0.7
229,Binghamton (America East),29,17-Dec,"1,962",67.7,"1,983",68.4,-0.7
230,Tennessee Tech (OVC),32,21-Nov,"2,328",72.8,"2,357",73.7,-0.9
231,Florida St. (ACC),31,17-14,"2,201",71,"2,230",71.9,-0.9
232,ETSU (SoCon),32,15-17,"2,306",72.1,"2,336",73,-0.9
233,UIC (Horizon),30,14-16,"2,159",72,"2,188",72.9,-1
234,Houston Baptist (Southland),29,18-Nov,"2,190",75.5,"2,220",76.6,-1
235,Nevada (Mountain West),31,13-18,"2,249",72.5,"2,282",73.6,-1.1
236,New Mexico (Mountain West),32,13-19,"2,376",74.2,"2,411",75.3,-1.1
237,Utah (Pac-12),31,20-Nov,"2,161",69.7,"2,197",70.9,-1.2
238,Boston College (ACC),33,13-20,"2,209",66.9,"2,248",68.1,-1.2
239,Charlotte (C-USA),31,17-14,"2,171",70,"2,208",71.2,-1.2
240,San Diego (WCC),31,15-16,"2,041",65.8,"2,086",67.3,-1.5
241,Saint Joseph's (Atlantic 10),30,19-Nov,"2,028",67.6,"2,072",69.1,-1.5
242,Indiana St. (MVC),31,20-Nov,"2,184",70.5,"2,230",71.9,-1.5
243,Rider (MAAC),33,14-19,"2,237",67.8,"2,286",69.3,-1.5
244,UT Arlington (Sun Belt),29,18-Nov,"1,948",67.2,"1,993",68.7,-1.6
245,USC Upstate (Big South),32,15-17,"2,287",71.5,"2,341",73.2,-1.7
245,Washington (Pac-12),32,17-15,"2,260",70.6,"2,314",72.3,-1.7
247,Southeast Mo. St. (OVC),32,14-18,"2,418",75.6,"2,473",77.3,-1.7
248,Manhattan (MAAC),30,15-15,"2,126",70.9,"2,179",72.6,-1.8
249,Stetson (ASUN),30,19-Nov,"2,090",69.7,"2,144",71.5,-1.8
250,Arizona St. (Pac-12),31,14-17,"2,027",65.4,"2,084",67.2,-1.8
251,ULM (Sun Belt),31,13-18,"2,246",72.5,"2,304",74.3,-1.9
252,Georgia Tech (ACC),32,20-Dec,"2,195",68.6,"2,264",70.8,-2.2
253,Minnesota (Big Ten),30,13-17,"2,010",67,"2,076",69.2,-2.2
254,East Carolina (AAC),30,15-15,"2,061",68.7,"2,128",70.9,-2.2
255,Stanford (Pac-12),32,16-16,"2,124",66.4,"2,198",68.7,-2.3
256,Hartford (America East),32,20-Dec,"2,234",69.8,"2,309",72.2,-2.3
257,Massachusetts (Atlantic 10),32,15-17,"2,422",75.7,"2,498",78.1,-2.4
258,SIUE (OVC),32,21-Nov,"2,161",67.5,"2,238",69.9,-2.4
259,Ball St. (MAC),31,14-17,"2,304",74.3,"2,380",76.8,-2.5
260,Marshall (C-USA),33,21-Dec,"2,442",74,"2,523",76.5,-2.5
261,Sacred Heart (NEC),30,20-Oct,"2,180",72.7,"2,254",75.1,-2.5
262,Tulsa (AAC),31,20-Nov,"2,089",67.4,"2,167",69.9,-2.5
263,CSU Bakersfield (Big West),27,19-Aug,"1,729",64,"1,798",66.6,-2.6
264,NC State (ACC),32,21-Nov,"2,336",73,"2,419",75.6,-2.6
264,N.C. A&T (Big South),32,20-Dec,"2,167",67.7,"2,250",70.3,-2.6
266,North Florida (ASUN),31,20-Nov,"2,124",68.5,"2,206",71.2,-2.6
267,Louisville (ACC),32,13-19,"2,154",67.3,"2,243",70.1,-2.8
268,Lipscomb (ASUN),33,14-19,"2,442",74,"2,536",76.8,-2.8
269,Siena (MAAC),29,15-14,"1,922",66.3,"2,006",69.2,-2.9
270,Lehigh (Patriot),32,13-19,"2,190",68.4,"2,284",71.4,-2.9
271,Canisius (MAAC),32,21-Nov,"2,192",68.5,"2,288",71.5,-3
271,California (Pac-12),32,20-Dec,"2,018",63.1,"2,114",66.1,-3
273,Butler (Big East),33,14-19,"2,107",63.8,"2,209",66.9,-3.1
274,St. Francis Brooklyn (NEC),30,20-Oct,"2,017",67.2,"2,116",70.5,-3.3
275,Penn (Ivy League),28,16-Dec,"2,017",72,"2,113",75.5,-3.4
276,Florida A&M (SWAC),30,13-17,"1,952",65.1,"2,064",68.8,-3.7
277,Denver (Summit League),32,21-Nov,"2,257",70.5,"2,380",74.4,-3.8
278,UAlbany (America East),31,13-18,"1,917",61.8,"2,042",65.9,-4
279,La Salle (Atlantic 10),30,19-Nov,"2,025",67.5,"2,146",71.5,-4
280,Radford (Big South),29,18-Nov,"1,832",63.2,"1,955",67.4,-4.2
281,Austin Peay (OVC),29,17-Dec,"1,875",64.7,"2,004",69.1,-4.4
282,George Washington (Atlantic 10),30,18-Dec,"2,051",68.4,"2,185",72.8,-4.5
283,Jackson St. (SWAC),30,19-Nov,"1,827",60.9,"1,963",65.4,-4.5
284,Alcorn (SWAC),34,17-17,"2,262",66.5,"2,417",71.1,-4.6
285,UT Martin (OVC),30,22-Aug,"2,067",68.9,"2,206",73.5,-4.6
286,Sacramento St. (Big Sky),29,18-Nov,"1,898",65.4,"2,035",70.2,-4.7
287,Hampton (Big South),28,19-Sep,"1,813",64.8,"1,946",69.5,-4.8
288,LMU (CA) (WCC),29,18-Nov,"2,010",69.3,"2,148",74.1,-4.8
289,Northeastern (CAA),31,22-Sep,"1,993",64.3,"2,142",69.1,-4.8
290,Saint Francis (PA) (NEC),30,21-Sep,"2,058",68.6,"2,205",73.5,-4.9
291,Missouri (SEC),33,21-Dec,"2,160",65.5,"2,325",70.5,-5
291,UTSA (C-USA),32,22-Oct,"2,153",67.3,"2,313",72.3,-5
293,Lafayette (Patriot),30,20-Oct,"2,034",67.8,"2,185",72.8,-5
294,Elon (CAA),32,22-Oct,"2,147",67.1,"2,311",72.2,-5.1
295,Nebraska (Big Ten),32,22-Oct,"2,345",73.3,"2,513",78.5,-5.2
296,Robert Morris (Horizon),32,24-Aug,"2,220",69.4,"2,390",74.7,-5.3
297,Holy Cross (Patriot),31,22-Sep,"2,022",65.2,"2,192",70.7,-5.5
298,Alabama St. (SWAC),31,21-Oct,"2,160",69.7,"2,332",75.2,-5.5
299,Alabama A&M (SWAC),30,18-Dec,"1,843",61.4,"2,010",67,-5.6
300,Grambling (SWAC),32,20-Dec,"2,092",65.4,"2,273",71,-5.7
301,Northern Ariz. (Big Sky),32,23-Sep,"2,161",67.5,"2,347",73.3,-5.8
302,Cal Poly (Big West),28,21-Jul,"1,721",61.5,"1,885",67.3,-5.9
303,Milwaukee (Horizon),32,22-Oct,"2,073",64.8,"2,264",70.8,-6
304,Bethune-Cookman (SWAC),30,21-Sep,"1,901",63.4,"2,086",69.5,-6.2
305,Georgetown (Big East),31,25-Jun,"2,192",70.7,"2,388",77,-6.3
306,Little Rock (Sun Belt),28,19-Sep,"1,868",66.7,"2,047",73.1,-6.4
307,Pittsburgh (ACC),32,21-Nov,"1,969",61.5,"2,178",68.1,-6.5
308,Northwestern St. (Southland),32,23-Sep,"2,363",73.8,"2,573",80.4,-6.6
309,Western Caro. (SoCon),32,21-Nov,"2,261",70.7,"2,472",77.2,-6.6
310,Idaho (Big Sky),31,22-Sep,"2,263",73,"2,468",79.6,-6.6
311,Prairie View (SWAC),27,19-Aug,"1,876",69.5,"2,059",76.3,-6.8
312,Pacific (WCC),30,22-Aug,"1,976",65.9,"2,182",72.7,-6.9
313,Eastern Mich. (MAC),31,21-Oct,"2,143",69.1,"2,356",76,-6.9
314,Air Force (Mountain West),29,18-Nov,"1,712",59,"1,915",66,-7
315,NJIT (America East),29,18-Nov,"1,826",63,"2,030",70,-7
316,Idaho St. (Big Sky),30,23-Jul,"1,931",64.4,"2,146",71.5,-7.2
317,Green Bay (Horizon),30,25-May,"1,852",61.7,"2,068",68.9,-7.2
318,UTRGV (WAC),31,23-Aug,"2,212",71.4,"2,436",78.6,-7.2
319,NIU (MAC),30,21-Sep,"1,923",64.1,"2,146",71.5,-7.4
320,South Fla. (AAC),31,23-Aug,"1,781",57.5,"2,012",64.9,-7.5
321,American (Patriot),32,22-Oct,"2,031",63.5,"2,270",70.9,-7.5
322,Charleston So. (Big South),31,25-Jun,"2,122",68.5,"2,356",76,-7.5
323,Coppin St. (MEAC),32,23-Sep,"2,142",66.9,"2,390",74.7,-7.8
324,Central Ark. (ASUN),31,20-Nov,"2,269",73.2,"2,515",81.1,-7.9
325,San Jose St. (Mountain West),31,23-Aug,"1,993",64.3,"2,242",72.3,-8
326,Duquesne (Atlantic 10),30,24-Jun,"1,956",65.2,"2,202",73.4,-8.2
327,Bucknell (Patriot),32,23-Sep,"2,277",71.2,"2,541",79.4,-8.2
328,North Dakota (Summit League),31,25-Jun,"2,178",70.3,"2,444",78.8,-8.6
329,Georgia (SEC),32,26-Jun,"2,234",69.8,"2,512",78.5,-8.7
330,Maine (America East),29,23-Jun,"1,811",62.4,"2,063",71.1,-8.7
331,Pepperdine (WCC),32,25-Jul,"2,183",68.2,"2,480",77.5,-9.3
332,UIW (Southland),32,25-Jul,"2,145",67,"2,445",76.4,-9.4
333,CSUN (Big West),30,23-Jul,"1,847",61.6,"2,137",71.2,-9.7
334,Western Mich. (MAC),31,23-Aug,"2,027",65.4,"2,329",75.1,-9.7
335,Oregon St. (Pac-12),31,28-Mar,"2,117",68.3,"2,422",78.1,-9.8
336,Central Conn. St. (NEC),32,24-Aug,"1,977",61.8,"2,308",72.1,-10.3
