Rank,Team,GM,W-L,FT,FTA,FT%
133,Providence (Big East),33,27-6,501,688,72.8
134,Cal Poly (Big West),28,7-21,388,533,72.8
135,California (Pac-12),32,12-20,331,455,72.7
136,Longwood (Big South),33,26-7,485,667,72.7
137,Troy (Sun Belt),32,20-12,434,597,72.7
138,North Florida (ASUN),31,11-20,378,520,72.7
139,Ohio (MAC),35,25-10,479,659,72.7
140,Fordham (Atlantic 10),32,16-16,404,556,72.7
141,Kansas St. (Big 12),31,14-17,382,526,72.6
142,Tulsa (AAC),31,11-20,387,533,72.6
143,UNC Asheville (Big South),32,17-15,485,668,72.6
144,Kentucky (SEC),34,26-8,434,598,72.6
145,Wagner (NEC),27,21-6,378,521,72.6
146,ETSU (SoCon),32,15-17,319,440,72.5
147,Wyoming (Mountain West),34,25-9,485,669,72.5
148,Sacred Heart (NEC),30,10-20,324,447,72.5
149,NC State (ACC),32,11-21,421,581,72.5
150,Louisiana Tech (C-USA),34,24-10,455,628,72.5
151,ULM (Sun Belt),31,13-18,349,482,72.4
152,West Virginia (Big 12),33,16-17,493,681,72.4
153,UNC Greensboro (SoCon),32,17-15,349,484,72.1
154,Utah St. (Mountain West),34,18-16,398,552,72.1
155,Mississippi St. (SEC),34,18-16,519,720,72.1
156,Georgia St. (Sun Belt),29,18-11,384,533,72
157,UC Riverside (Big West),28,16-12,298,414,72
158,LMU (CA) (WCC),29,11-18,364,506,71.9
159,Marist (MAAC),30,14-16,312,434,71.9
160,Towson (CAA),34,25-9,473,658,71.9
161,Northwestern (Big Ten),31,15-16,355,494,71.9
162,Minnesota (Big Ten),30,13-17,288,401,71.8
163,Pepperdine (WCC),32,7-25,331,461,71.8
164,BYU (WCC),35,24-11,399,556,71.8
165,Richmond (Atlantic 10),37,24-13,470,655,71.8
166,Milwaukee (Horizon),32,10-22,350,488,71.7
167,Kansas (Big 12),40,34-6,555,774,71.7
168,Ark.-Pine Bluff (SWAC),31,7-24,427,597,71.5
169,San Diego (WCC),31,15-16,331,463,71.5
170,Tennessee St. (OVC),32,14-18,421,589,71.5
171,Tennessee (SEC),35,27-8,436,610,71.5
172,Rice (C-USA),33,16-17,413,578,71.5
173,Green Bay (Horizon),30,5-25,360,504,71.4
174,Northern Ky. (Horizon),32,20-12,347,486,71.4
175,Southern Utah (Big Sky),35,23-12,504,706,71.4
176,Utah Valley (WAC),32,20-12,479,671,71.4
177,Western Ky. (C-USA),32,19-13,406,569,71.4
178,Gonzaga (WCC),32,28-4,438,614,71.3
179,Alabama A&M (SWAC),30,12-18,414,581,71.3
180,Fla. Atlantic (C-USA),34,19-15,406,570,71.2
181,Loyola Chicago (MVC),33,25-8,400,562,71.2
182,Houston Baptist (Southland),29,11-18,466,655,71.1
183,Fresno St. (Mountain West),36,23-13,424,596,71.1
184,Ole Miss (SEC),32,13-19,372,523,71.1
185,Purdue (Big Ten),37,29-8,569,800,71.1
186,St. Francis Brooklyn (NEC),30,10-20,315,443,71.1
187,Drexel (CAA),29,15-14,309,435,71
188,Maine (America East),29,6-23,245,345,71
189,Grambling (SWAC),32,12-20,431,607,71
190,Brown (Ivy League),29,13-16,371,523,70.9
191,Buffalo (MAC),30,19-11,361,509,70.9
192,Oregon St. (Pac-12),31,3-28,351,495,70.9
193,Northern Colo. (Big Sky),38,22-16,475,670,70.9
194,CSU Bakersfield (Big West),27,8-19,333,470,70.9
195,Central Conn. St. (NEC),32,8-24,362,511,70.8
196,Holy Cross (Patriot),31,9-22,357,504,70.8
196,Fairleigh Dickinson (NEC),26,4-22,306,432,70.8
196,Evansville (MVC),30,6-24,272,384,70.8
199,Florida St. (ACC),31,17-14,395,558,70.8
200,Western Ill. (Summit League),32,16-16,438,619,70.8
201,UC Santa Barbara (Big West),28,17-11,404,571,70.8
202,Jacksonville (ASUN),31,21-10,358,506,70.8
203,Duquesne (Atlantic 10),30,6-24,285,403,70.7
204,Cornell (Ivy League),26,15-11,338,478,70.7
205,Austin Peay (OVC),29,12-17,308,436,70.6
206,Eastern Ky. (ASUN),31,13-18,320,453,70.6
207,Illinois (Big Ten),33,23-10,435,616,70.6
208,UIC (Horizon),30,14-16,292,414,70.5
209,UC Davis (Big West),24,13-11,280,397,70.5
210,Marshall (C-USA),33,12-21,354,502,70.5
211,Florida A&M (SWAC),30,13-17,349,495,70.5
212,William & Mary (CAA),32,5-27,380,539,70.5
213,Fairfield (MAAC),33,15-18,348,494,70.4
214,UAlbany (America East),31,13-18,307,436,70.4
215,Boston College (ACC),33,13-20,395,561,70.4
216,VCU (Atlantic 10),32,22-10,375,533,70.4
217,UCF (AAC),30,18-12,351,499,70.3
218,Louisiana (Sun Belt),31,16-15,443,630,70.3
219,Texas A&M (SEC),40,27-13,580,825,70.3
220,New Mexico St. (WAC),34,27-7,458,652,70.2
221,Prairie View (SWAC),27,8-19,408,581,70.2
222,FIU (C-USA),32,15-17,330,470,70.2
223,UMass Lowell (America East),31,15-16,346,493,70.2
224,Washington (Pac-12),32,17-15,470,670,70.1
225,Saint Peter's (MAAC),34,22-12,485,692,70.1
226,UT Arlington (Sun Belt),29,11-18,342,488,70.1
227,Gardner-Webb (Big South),31,18-13,356,508,70.1
228,Rutgers (Big Ten),32,18-14,341,487,70
229,Hampton (Big South),28,9-19,397,567,70
230,UT Martin (OVC),30,8-22,338,483,70
231,Indiana (Big Ten),35,21-14,466,666,70
232,Western Mich. (MAC),31,8-23,305,436,70
233,Winthrop (Big South),32,23-9,447,639,70
234,Norfolk St. (MEAC),31,24-7,458,655,69.9
235,Alabama St. (SWAC),31,10-21,465,666,69.8
236,Texas Tech (Big 12),37,27-10,504,722,69.8
237,Xavier (Big East),36,23-13,520,745,69.8
238,Georgia Tech (ACC),32,12-20,321,460,69.8
239,James Madison (CAA),29,15-14,355,509,69.7
240,Colgate (Patriot),35,23-12,371,532,69.7
241,Baylor (Big 12),34,27-7,421,604,69.7
242,Denver (Summit League),32,11-21,393,564,69.7
243,Vanderbilt (SEC),36,19-17,540,775,69.7
244,George Washington (Atlantic 10),30,12-18,321,461,69.6
245,Pittsburgh (ACC),32,11-21,447,642,69.6
246,Butler (Big East),33,14-19,380,546,69.6
247,Coastal Carolina (Sun Belt),33,19-14,414,595,69.6
248,Southern U. (SWAC),31,17-14,434,624,69.6
249,Eastern Mich. (MAC),31,10-21,383,551,69.5
250,UTRGV (WAC),31,8-23,498,717,69.5
251,Ball St. (MAC),31,14-17,463,667,69.4
252,Memphis (AAC),33,22-11,497,716,69.4
253,San Francisco (WCC),34,24-10,415,598,69.4
254,George Mason (Atlantic 10),30,14-16,340,490,69.4
254,Northwestern St. (Southland),32,9-23,340,490,69.4
256,American (Patriot),32,10-22,308,444,69.4
257,Harvard (Ivy League),26,13-13,285,411,69.3
258,Iona (MAAC),33,25-8,504,727,69.3
259,DePaul (Big East),31,15-16,436,629,69.3
260,Canisius (MAAC),32,11-21,402,580,69.3
261,Central Mich. (MAC),30,7-23,358,517,69.2
262,South Alabama (Sun Belt),33,21-12,412,595,69.2
263,Alcorn (SWAC),34,17-17,445,643,69.2
264,Murray St. (OVC),34,31-3,462,668,69.2
265,San Diego St. (Mountain West),32,23-9,379,548,69.2
266,Hartford (America East),32,12-20,339,491,69
267,Stetson (ASUN),30,11-19,305,442,69
268,SIUE (OVC),32,11-21,429,622,69
269,Southern Ill. (MVC),31,16-15,320,464,69
270,Bradley (MVC),31,17-14,346,502,68.9
271,Bethune-Cookman (SWAC),30,9-21,337,489,68.9
272,Akron (MAC),34,24-10,483,701,68.9
273,South Carolina St. (MEAC),31,15-16,436,633,68.9
274,Southern Miss. (C-USA),33,7-26,347,504,68.8
275,Lamar University (WAC),29,2-27,298,433,68.8
276,Mount St. Mary's (NEC),30,14-16,306,445,68.8
277,La Salle (Atlantic 10),30,11-19,310,451,68.7
278,Pacific (WCC),30,8-22,374,545,68.6
279,Jacksonville St. (ASUN),32,21-11,380,554,68.6
280,Idaho St. (Big Sky),30,7-23,373,545,68.4
281,Coppin St. (MEAC),32,9-23,438,640,68.4
282,Loyola Maryland (Patriot),30,14-16,283,414,68.4
283,Lafayette (Patriot),30,10-20,257,376,68.4
284,Dayton (Atlantic 10),35,24-11,392,574,68.3
284,Iowa St. (Big 12),35,22-13,364,533,68.3
286,UTSA (C-USA),32,10-22,363,532,68.2
287,CSUN (Big West),30,7-23,337,494,68.2
288,LIU (NEC),30,16-14,383,563,68
289,Campbell (Big South),29,16-13,293,431,68
290,Ga. Southern (Sun Belt),29,13-16,329,484,68
291,Temple (AAC),29,17-12,443,652,67.9
292,Oregon (Pac-12),35,20-15,411,605,67.9
293,Grand Canyon (WAC),31,23-8,383,564,67.9
294,Texas Southern (SWAC),32,19-13,423,623,67.9
295,Sacramento St. (Big Sky),29,11-18,310,457,67.8
296,SFA (WAC),32,22-10,442,652,67.8
297,Morgan St. (MEAC),28,13-15,386,570,67.7
298,St. John's (NY) (Big East),32,17-15,377,557,67.7
299,Charleston So. (Big South),31,6-25,376,556,67.6
299,Kansas City (Summit League),31,19-12,376,556,67.6
301,FGCU (ASUN),34,22-12,406,601,67.6
302,TCU (Big 12),34,21-13,416,617,67.4
303,NIU (MAC),30,9-21,368,546,67.4
304,Presbyterian (Big South),32,12-20,399,592,67.4
305,Louisville (ACC),32,13-19,318,472,67.4
306,Western Caro. (SoCon),32,11-21,367,545,67.3
307,Delaware St. (MEAC),28,2-26,322,479,67.2
308,Old Dominion (C-USA),32,13-19,414,616,67.2
309,The Citadel (SoCon),31,13-18,373,555,67.2
310,Cleveland St. (Horizon),31,20-11,433,645,67.1
311,South Carolina (SEC),31,18-13,367,547,67.1
312,New Hampshire (America East),28,15-13,271,405,66.9
313,Cincinnati (AAC),33,18-15,398,595,66.9
314,Radford (Big South),29,11-18,299,447,66.9
315,N.C. Central (MEAC),31,16-15,437,654,66.8
316,Houston (AAC),38,32-6,438,657,66.7
316,Oklahoma St. (Big 12),30,15-15,382,573,66.7
316,Morehead St. (OVC),34,23-11,360,540,66.7
316,IUPUI (Horizon),29,3-26,258,387,66.7
320,South Fla. (AAC),31,8-23,303,455,66.6
321,Northern Ariz. (Big Sky),32,9-23,344,518,66.4
322,Southern California (Pac-12),34,26-8,411,619,66.4
323,Kennesaw St. (ASUN),31,13-18,361,545,66.2
324,Tennessee Tech (OVC),32,11-21,310,469,66.1
325,Arizona St. (Pac-12),31,14-17,263,398,66.1
326,Binghamton (America East),29,12-17,257,389,66.1
327,App State (Sun Belt),34,19-15,354,537,65.9
328,McNeese (Southland),33,11-22,500,759,65.9
329,NJIT (America East),29,11-18,328,498,65.9
330,Stanford (Pac-12),32,16-16,351,533,65.9
331,San Jose St. (Mountain West),31,8-23,252,383,65.8
332,Chicago St. (WAC),32,7-25,344,525,65.5
333,Navy (Patriot),32,21-11,355,542,65.5
334,Mississippi Val. (SWAC),28,2-26,353,539,65.5
335,N.C. A&T (Big South),32,12-20,353,540,65.4
336,Saint Joseph's (Atlantic 10),30,11-19,266,407,65.4
337,North Texas (C-USA),32,25-7,392,603,65
338,Boise St. (Mountain West),35,27-8,434,668,65
339,Air Force (Mountain West),29,11-18,250,385,64.9
340,Saint Francis (PA) (NEC),30,9-21,353,545,64.8
341,UMES (MEAC),27,11-16,307,477,64.4
342,High Point (Big South),32,14-18,401,627,64
343,Princeton (Ivy League),30,23-7,248,388,63.9
344,Eastern Ill. (OVC),31,5-26,315,494,63.8
345,Jackson St. (SWAC),30,11-19,286,451,63.4
346,Army West Point (Patriot),31,15-16,366,581,63
347,Columbia (Ivy League),26,4-22,252,402,62.7
348,Nicholls (Southland),33,21-12,285,456,62.5
349,Rhode Island (Atlantic 10),31,15-16,377,608,62
350,Sam Houston (WAC),33,19-14,293,484,60.5
