Rank,Team,GM,W-L,AST,TO,Ratio
305,DePaul (Big East),33,21-Dec,359,444,0.81
306,Ga. Southern (SoCon),34,15-19,327,405,0.81
307,Old Dominion (C-USA),36,18-18,382,474,0.81
308,South Carolina St. (MEAC),30,21-Sep,364,452,0.81
309,George Mason (Atlantic 10),31,20-Nov,339,421,0.81
310,Alcorn (SWAC),31,19-Dec,286,356,0.8
311,Missouri (SEC),35,23-12,355,442,0.8
312,Hampton (MEAC),31,18-13,367,457,0.8
313,North Texas (C-USA),32,16-16,324,405,0.8
314,Bradley (MVC),32,20-Dec,306,383,0.8
315,Houston Baptist (Southland),31,25-Jun,385,485,0.79
316,Col. of Charleston (CAA),32,14-18,324,409,0.79
317,UMBC (America East),30,21-Sep,355,450,0.79
318,Southern Utah (Big Sky),29,27-Feb,313,403,0.78
319,Bethune-Cookman (MEAC),32,25-Jul,316,408,0.77
320,Florida A&M (MEAC),32,14-18,360,466,0.77
321,FIU (C-USA),31,15-16,336,436,0.77
322,Fairfield (MAAC),32,25-Jul,360,469,0.77
323,Coastal Carolina (Big South),34,21-13,362,473,0.77
324,Georgia (SEC),34,20-14,341,446,0.76
325,Indiana (Big Ten),32,17-15,368,482,0.76
326,Mississippi Val. (SWAC),32,23-Sep,357,469,0.76
327,Florida St. (ACC),36,22-14,385,512,0.75
328,New Hampshire (America East),30,24-Jun,292,392,0.74
329,Ball St. (MAC),30,25-May,375,505,0.74
330,Prairie View (SWAC),34,23-Nov,362,490,0.74
331,Niagara (MAAC),33,26-Jul,330,450,0.73
332,Ark.-Pine Bluff (SWAC),31,13-18,350,478,0.73
333,New Orleans (Southland),26,15-Nov,316,437,0.72
334,Tulane (C-USA),34,17-17,314,436,0.72
335,James Madison (CAA),31,20-Nov,272,379,0.72
336,Furman (SoCon),30,21-Sep,288,407,0.71
337,Grambling (SWAC),29,24-May,301,432,0.7
338,Kennesaw St. (ASUN),31,25-Jun,344,494,0.7
339,UTSA (C-USA),30,22-Aug,316,473,0.67
340,Savannah St. (MEAC),32,13-19,334,502,0.67
341,Binghamton (America East),30,23-Jul,282,428,0.66
342,Jackson St. (SWAC),31,20-Nov,293,463,0.63
343,N.C. A&T (MEAC),32,23-Sep,297,489,0.61
344,NIU (MAC),32,15-17,271,470,0.58
345,Howard (MEAC),33,25-Aug,261,540,0.48
