Year,Team,Power 5 School,Games,W,L,Win Pct,RPG,OPP RPG,REB MAR,FGPG,FGAPG,FG%,OPP FGPG,OPP FGAPG,OPP FG%,ASTPG,TOPG,AST/TO Ratio,OPP 3FGPG,OPP 3FGAPG,OPP 3FG%,FTPG,FTAPG,FT%,PPG,OPP PPG,SCR MAR,3FGPG,3FGAPG,3FG%
2014,Siena (MAAC),False,38,20,18,52.6,37.6,34.9,2.7,23.894736842105264,56.973684210526315,41.9,22.63157894736842,54.68421052631579,41.4,13.526315789473685,13.763157894736842,0.98,5.7368421052631575,17.36842105263158,33.0,17.105263157894736,23.763157894736842,72.0,69.3,70.1,-0.7,,,
2014,Brown (Ivy League),False,29,15,14,51.7,39.8,36.8,3.0,25.344827586206897,58.827586206896555,43.1,23.137931034482758,58.724137931034484,39.4,13.379310344827585,12.931034482758621,1.03,5.620689655172414,18.75862068965517,30.0,13.758620689655173,20.448275862068964,67.3,71.2,67.3,3.9,6.758620689655173,17.79310344827586,38.0
2014,Denver (Summit League),False,31,16,15,51.6,26.1,31.4,-5.3,22.93548387096774,49.516129032258064,46.3,22.193548387096776,46.354838709677416,47.9,15.03225806451613,9.903225806451612,1.52,4.67741935483871,13.419354838709678,34.9,11.903225806451612,16.774193548387096,71.0,65.9,64.5,1.5,8.161290322580646,21.096774193548388,38.7
2014,UNI (MVC),False,31,16,15,51.6,33.0,33.8,-0.8,24.580645161290324,54.61290322580645,45.0,23.903225806451612,54.03225806451613,44.2,14.064516129032258,10.64516129032258,1.32,7.064516129032258,19.580645161290324,36.1,15.096774193548388,20.838709677419356,72.4,72.8,69.3,3.5,8.516129032258064,23.612903225806452,36.1
2014,High Point (Big South),False,31,16,15,51.6,31.8,32.6,-0.9,25.838709677419356,54.774193548387096,47.2,25.806451612903224,55.32258064516129,46.6,14.67741935483871,12.03225806451613,1.22,7.258064516129032,20.516129032258064,35.4,13.35483870967742,18.0,74.2,71.1,72.7,-1.6,6.032258064516129,15.64516129032258,38.6
2014,Miami (FL) (ACC),True,33,17,16,51.5,34.5,32.1,2.5,21.575757575757574,51.21212121212121,42.1,21.060606060606062,51.90909090909091,40.6,10.484848484848484,10.151515151515152,1.03,6.696969696969697,18.848484848484848,35.5,12.696969696969697,18.484848484848484,68.7,61.5,59.5,2.0,5.636363636363637,17.454545454545453,32.3
2014,West Virginia (Big 12),True,33,17,16,51.5,35.6,36.2,-0.6,26.242424242424242,59.78787878787879,43.9,25.363636363636363,56.75757575757576,44.7,13.090909090909092,9.787878787878787,1.34,6.666666666666667,19.333333333333332,34.5,16.848484848484848,23.363636363636363,72.1,77.2,73.4,3.8,7.818181818181818,20.545454545454547,38.1
2014,Oral Roberts (Southland),False,33,17,16,51.5,35.4,32.5,2.8,25.181818181818183,54.72727272727273,46.0,23.727272727272727,54.81818181818182,43.3,12.06060606060606,11.393939393939394,1.06,5.636363636363637,15.575757575757576,36.2,16.303030303030305,22.636363636363637,72.0,71.4,69.3,2.1,,,
2014,Tennessee Tech (OVC),False,33,17,16,51.5,35.4,32.4,3.1,24.90909090909091,54.878787878787875,45.4,23.515151515151516,52.333333333333336,44.9,12.363636363636363,15.090909090909092,0.82,5.7272727272727275,16.303030303030305,35.1,16.575757575757574,24.484848484848484,67.7,72.0,72.0,0.0,5.606060606060606,17.12121212121212,32.7
2014,Wake Forest (ACC),True,33,17,16,51.5,34.6,36.0,-1.3,23.757575757575758,52.72727272727273,45.1,24.818181818181817,58.18181818181818,42.7,13.333333333333334,12.424242424242424,1.07,5.666666666666667,18.060606060606062,31.4,17.151515151515152,26.393939393939394,65.0,69.7,70.9,-1.2,5.03030303030303,15.272727272727273,32.9
2014,Houston (AAC),False,33,17,16,51.5,34.6,35.8,-1.2,25.242424242424242,55.54545454545455,45.4,26.242424242424242,58.75757575757576,44.7,14.727272727272727,12.757575757575758,1.15,6.333333333333333,18.151515151515152,34.9,14.151515151515152,21.21212121212121,66.7,71.1,73.0,-1.9,6.424242424242424,17.515151515151516,36.7
2014,Hartford (America East),False,33,17,16,51.5,27.5,31.8,-4.2,22.151515151515152,48.27272727272727,45.9,23.12121212121212,50.45454545454545,45.8,12.181818181818182,13.878787878787879,0.88,5.515151515151516,16.060606060606062,34.3,13.181818181818182,18.757575757575758,70.3,65.5,66.0,-0.5,8.030303030303031,21.333333333333332,37.6
2014,San Diego (WCC),False,35,18,17,51.4,33.1,32.7,0.5,23.314285714285713,51.857142857142854,45.0,22.742857142857144,53.285714285714285,42.7,11.714285714285714,11.857142857142858,0.99,6.057142857142857,17.82857142857143,34.0,14.428571428571429,20.742857142857144,69.6,67.5,65.2,2.3,6.428571428571429,17.142857142857142,37.5
2014,Old Dominion (C-USA),False,36,18,18,50.0,35.6,33.6,2.0,22.916666666666668,53.55555555555556,42.8,21.583333333333332,51.333333333333336,42.0,10.61111111111111,13.166666666666666,0.81,5.944444444444445,16.583333333333332,35.8,13.083333333333334,21.055555555555557,62.1,64.2,64.5,-0.3,5.277777777777778,16.194444444444443,32.6
2014,North Dakota (Big Sky),False,34,17,17,50.0,31.5,33.9,-2.4,26.147058823529413,57.38235294117647,45.6,25.58823529411765,52.23529411764706,49.0,12.264705882352942,11.147058823529411,1.1,5.0,13.882352941176471,36.0,16.11764705882353,23.441176470588236,68.8,74.3,74.6,-0.3,5.882352941176471,17.970588235294116,32.7
2014,Tulane (C-USA),False,34,17,17,50.0,33.8,33.9,-0.1,20.41176470588235,49.470588235294116,41.3,23.970588235294116,54.088235294117645,44.3,9.235294117647058,12.823529411764707,0.72,6.882352941176471,19.558823529411764,35.2,16.794117647058822,24.205882352941178,69.4,63.6,69.3,-5.7,6.029411764705882,17.205882352941178,35.0
2014,Seton Hall (Big East),False,34,17,17,50.0,32.4,33.0,-0.6,24.0,52.85294117647059,45.4,23.852941176470587,53.76470588235294,44.4,13.294117647058824,12.205882352941176,1.09,6.235294117647059,17.852941176470587,34.9,16.41176470588235,22.764705882352942,72.1,71.8,69.9,2.0,7.411764705882353,20.705882352941178,35.8
2014,East Carolina (C-USA),False,34,17,17,50.0,33.7,35.5,-1.8,23.794117647058822,53.911764705882355,44.1,26.235294117647058,58.14705882352941,45.1,13.470588235294118,11.705882352941176,1.15,6.470588235294118,20.0,32.4,16.764705882352942,23.5,71.3,72.9,70.9,1.9,8.5,23.11764705882353,36.8
2014,Colorado St. (Mountain West),False,32,16,16,50.0,37.6,32.8,4.8,24.0625,56.1875,42.8,24.03125,54.40625,44.2,12.65625,9.15625,1.38,7.1875,19.25,37.3,19.90625,27.40625,72.6,73.3,69.7,3.7,5.3125,16.3125,32.6
2014,Kent St. (MAC),False,32,16,16,50.0,33.6,34.5,-0.9,23.9375,55.8125,42.9,22.40625,52.1875,42.9,11.3125,12.1875,0.93,5.6875,16.84375,33.8,14.5,20.625,70.3,69.6,68.4,1.3,7.25,20.875,34.7
2014,North Texas (C-USA),False,32,16,16,50.0,37.0,37.6,-0.6,24.1875,57.65625,42.0,24.8125,57.59375,43.1,10.125,12.65625,0.8,6.15625,17.625,34.9,16.34375,24.03125,68.0,69.6,72.3,-2.7,,,
2014,Oregon St. (Pac-12),True,32,16,16,50.0,34.3,33.3,1.0,25.78125,52.78125,48.8,26.78125,59.625,44.9,13.4375,13.5,1.0,6.75,18.34375,36.8,18.6875,26.875,69.5,75.8,75.6,0.2,5.53125,14.09375,39.2
2014,North Florida (ASUN),False,32,16,16,50.0,37.0,34.1,2.9,24.65625,55.75,44.2,26.59375,58.15625,45.7,12.53125,15.09375,0.83,5.6875,15.96875,35.6,16.03125,22.75,70.5,72.4,74.3,-1.8,7.09375,19.78125,35.9
