Rank,Team,GM,W-L,Opp 3FGA,Opp 3FG,Pct
223,Tulsa (C-USA),34,21-13,620,218,35.2
224,San Jose St. (Mountain West),31,24-Jul,597,210,35.2
225,Columbia (Ivy League),34,21-13,469,165,35.2
226,Missouri St. (MVC),33,20-13,631,222,35.2
227,Tulane (C-USA),34,17-17,665,234,35.2
228,Penn St. (Big Ten),34,16-18,662,233,35.2
229,Illinois St. (MVC),34,18-16,679,239,35.2
230,Toledo (MAC),34,27-7,659,232,35.2
231,Hampton (MEAC),31,18-13,534,188,35.2
232,Loyola Chicago (MVC),32,22-Oct,551,194,35.2
233,Texas (Big 12),35,24-11,735,259,35.2
234,Purdue Fort Wayne (Summit League),36,25-11,647,228,35.2
235,Xavier (Big East),34,21-13,661,233,35.2
236,California (Pac-12),35,21-14,612,216,35.3
236,Baylor (Big 12),38,26-12,731,258,35.3
238,Monmouth (MAAC),32,21-Nov,711,251,35.3
239,Youngstown St. (Horizon),32,15-17,592,209,35.3
240,Davidson (SoCon),33,20-13,473,167,35.3
241,Villanova (Big East),34,29-5,623,220,35.3
242,Lipscomb (ASUN),30,15-15,665,235,35.3
243,Eastern Ky. (OVC),34,24-10,577,204,35.4
244,High Point (Big South),31,16-15,636,225,35.4
245,Indiana St. (MVC),34,23-11,602,213,35.4
246,Boston U. (Patriot),35,24-11,647,229,35.4
247,Bethune-Cookman (MEAC),32,25-Jul,545,193,35.4
248,Navy (Patriot),30,21-Sep,556,197,35.4
249,Kansas (Big 12),35,25-10,617,219,35.5
250,St. Bonaventure (Atlantic 10),33,18-15,586,208,35.5
251,Miami (FL) (ACC),33,17-16,622,221,35.5
252,Central Mich. (MAC),31,21-Oct,605,215,35.5
253,Colorado (Pac-12),35,23-12,706,251,35.6
254,Morgan St. (MEAC),31,15-16,517,184,35.6
255,North Florida (ASUN),32,16-16,511,182,35.6
256,Evansville (MVC),33,14-19,668,238,35.6
257,Coppin St. (MEAC),32,20-Dec,696,248,35.6
258,Fordham (Atlantic 10),31,21-Oct,628,224,35.7
259,Maine (America East),29,23-Jun,583,208,35.7
260,Santa Clara (WCC),33,14-19,426,152,35.7
261,South Dakota St. (Summit League),32,19-13,560,200,35.7
262,LSU (SEC),34,20-14,593,212,35.8
263,Old Dominion (C-USA),36,18-18,597,214,35.8
264,IUPUI (Summit League),32,26-Jun,530,190,35.8
265,Ark.-Pine Bluff (SWAC),31,13-18,566,203,35.9
266,N.C. A&T (MEAC),32,23-Sep,644,231,35.9
267,Temple (AAC),31,22-Sep,538,193,35.9
268,Austin Peay (OVC),30,18-Dec,651,234,35.9
269,Bryant (NEC),32,18-14,675,243,36
270,North Dakota (Big Sky),34,17-17,472,170,36
271,Texas Southern (SWAC),34,19-15,616,222,36
272,Montana (Big Sky),30,17-13,452,163,36.1
273,UNI (MVC),31,16-15,607,219,36.1
274,Detroit Mercy (Horizon),32,13-19,598,216,36.1
275,Winthrop (Big South),33,20-13,567,205,36.2
276,Oral Roberts (Southland),33,17-16,514,186,36.2
277,Dartmouth (Ivy League),28,16-Dec,462,168,36.4
278,Central Conn. St. (NEC),30,19-Nov,624,227,36.4
279,Yale (Ivy League),33,19-14,595,217,36.5
280,Marquette (Big East),32,17-15,660,241,36.5
281,UMBC (America East),30,21-Sep,546,200,36.6
282,Mississippi Val. (SWAC),32,23-Sep,469,172,36.7
283,Pepperdine (WCC),31,15-16,586,215,36.7
284,Washington St. (Pac-12),31,21-Oct,511,188,36.8
285,Oregon St. (Pac-12),32,16-16,587,216,36.8
286,Longwood (Big South),32,24-Aug,706,260,36.8
287,App State (SoCon),30,21-Sep,486,179,36.8
288,Portland St. (Big Sky),32,17-15,502,185,36.9
289,LMU (CA) (WCC),32,13-19,534,197,36.9
290,Montana St. (Big Sky),31,14-17,596,220,36.9
291,Boston College (ACC),32,24-Aug,493,182,36.9
292,Portland (WCC),31,15-16,563,208,36.9
293,South Fla. (AAC),32,20-Dec,549,203,37
294,North Dakota St. (Summit League),33,26-7,600,222,37
295,Samford (SoCon),33,13-20,608,225,37
296,Fairleigh Dickinson (NEC),31,21-Oct,583,216,37
297,Rutgers (AAC),33,21-Dec,642,238,37.1
298,Northeastern (CAA),32,21-Nov,539,200,37.1
299,UTSA (C-USA),30,22-Aug,644,239,37.1
300,UMES (MEAC),30,24-Jun,536,199,37.1
301,UT Arlington (Sun Belt),32,15-17,776,289,37.2
302,Lafayette (Patriot),31,20-Nov,641,239,37.3
303,Southeast Mo. St. (OVC),32,18-14,654,244,37.3
304,Colorado St. (Mountain West),32,16-16,616,230,37.3
305,Presbyterian (Big South),32,26-Jun,679,254,37.4
306,DePaul (Big East),33,21-Dec,561,210,37.4
307,Holy Cross (Patriot),34,20-14,569,213,37.4
308,Grambling (SWAC),29,24-May,542,203,37.5
309,William & Mary (CAA),32,20-12,598,224,37.5
310,Stetson (ASUN),31,24-Jul,606,227,37.5
311,Saint Francis (PA) (NEC),31,21-Oct,507,190,37.5
312,Northern Colo. (Big Sky),32,18-14,554,208,37.5
313,UT Martin (OVC),31,23-Aug,516,194,37.6
314,Furman (SoCon),30,21-Sep,611,230,37.6
315,Hofstra (CAA),33,23-Oct,642,242,37.7
316,UC Riverside (Big West),31,21-Oct,521,197,37.8
317,Lamar University (Southland),30,26-Apr,515,195,37.9
318,Miami (OH) (MAC),31,13-18,681,258,37.9
319,Idaho St. (Big Sky),29,18-Nov,670,254,37.9
320,Radford (Big South),35,22-13,575,218,37.9
321,McNeese (Southland),31,20-Nov,646,245,37.9
322,Jacksonville St. (OVC),31,21-Oct,432,164,38
323,Southern Utah (Big Sky),29,27-Feb,416,158,38
324,Jacksonville (ASUN),30,18-Dec,611,233,38.1
325,Marist (MAAC),31,19-Dec,553,211,38.2
326,UIC (Horizon),31,25-Jun,525,201,38.3
327,Penn (Ivy League),28,20-Aug,548,210,38.3
328,South Dakota (Summit League),30,18-Dec,574,220,38.3
329,UC Davis (Big West),31,22-Sep,558,214,38.4
330,Army West Point (Patriot),31,15-16,541,208,38.4
331,Niagara (MAAC),33,26-Jul,593,228,38.4
332,Rider (MAAC),31,14-17,611,235,38.5
333,Binghamton (America East),30,23-Jul,634,244,38.5
334,Notre Dame (ACC),32,15-17,584,225,38.5
335,Charleston So. (Big South),31,13-18,627,242,38.6
336,Auburn (SEC),30,14-16,566,219,38.7
337,Oakland (Horizon),33,13-20,719,279,38.8
338,Pacific (WCC),34,18-16,672,261,38.8
339,LIU (NEC),29,20-Sep,633,247,39
340,Eastern Ill. (OVC),30,19-Nov,524,205,39.1
341,Duquesne (Atlantic 10),30,13-17,671,264,39.3
342,Texas St. (Sun Belt),31,23-Aug,520,206,39.6
343,Northern Ariz. (Big Sky),32,15-17,577,229,39.7
344,Loyola Maryland (Patriot),30,19-Nov,502,203,40.4
345,Cornell (Ivy League),28,26-Feb,509,208,40.9
